t,Cxx_11_0,Cxx_11_1,Cxx_11_2,Cxx_11_3,Cxx_11_4,Cxx_11_5,Cxx_11_6,Cxx_11_7,Cxx_11_8,Cxx_11_9,Cxx_11_10,Cxx_11_11,Cxx_11_12,Cxx_11_13
0.0,-2.220446049250313e-16,1.0810798699380913e-46,9.305497614656988e-47,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16,-4.440892098500626e-16,-2.220446049250313e-16,-2.220446049250313e-16
1.0,2.1367182433507104e-05,-1.99696088912793e-05,4.378618269074153e-06,-1.2319945698280321e-05,1.0560764289069269e-05,9.368449213176255e-06,1.8170017604846045e-05,3.661542582222843e-05,5.425000850589612e-05,6.817137168091403e-05,0.00013847844801728737,0.0017852667365573227,0.0009922321548188062,0.0004914731193053079
2.0,3.2933555292991024e-05,-0.00015650526497706235,-0.00010512380830229873,9.691716859927535e-05,0.00014404994068573096,7.89910125987836e-05,2.5977732818538435e-05,1.5025680671354458e-05,3.067253060040631e-05,0.00013394202494054763,0.0004318510606009518,0.0021970604561157847,0.0012624798087668143,0.0002291369981418656
3.0,-7.147669703888582e-07,-0.00048621859141084744,0.00027839697762810367,4.050940272137815e-05,4.420815987837834e-05,1.7208924212752663e-05,6.367929748651857e-05,5.2468038761355196e-05,2.291286527955627e-05,6.105678913082002e-05,0.00037735390476201225,0.0010365772369934634,0.00036378954331206526,6.188996110290113e-05
4.0,9.823840518174976e-06,-0.0002542889620881228,-0.0003794213472544383,-0.00015833830069000854,-2.751033878667375e-05,3.2494584337738885e-05,4.8736917237612865e-05,6.344392340240645e-05,3.12013708501091e-05,0.00016148922261560728,0.0006333330246666158,0.002700203190699413,0.0008315752854026748,0.0002579449347875906
5.0,-0.00017432805325101608,-0.0009375615904478884,2.3649734706254755e-05,-0.0002481924780012301,-1.4757604161808047e-05,5.6794673717885935e-05,3.652112667695828e-05,1.7324412570185466e-05,6.891339623393833e-06,6.702229511779123e-05,0.0007389834007834883,0.003611725666744059,0.0011227088363910953,0.00027892976082055654
6.0,-9.796269827333504e-05,-0.0005900154949439601,-0.00011172422074251509,2.7827817441816727e-05,6.325931346795599e-05,6.735112606548466e-05,2.0464201833880757e-05,2.53210711999019e-05,4.8600401800102944e-05,0.0001586320167002997,0.0006595271288067917,0.002214270417120634,0.0004941945073190235,1.3016172209612265e-05
7.0,-0.00012505728366618563,-0.000331337410890975,0.00015735092914281879,5.0334159788612e-05,9.618406187295037e-06,1.7602857230958335e-05,2.716852180562057e-05,1.5057875404012044e-05,5.813903011187005e-05,5.2983357073488335e-05,0.0013717368525103524,0.0030255568674547595,0.000775948322176645,0.0004604253007463033
8.0,-5.704772714609785e-05,-9.423140511208294e-05,-0.0003349919068306173,-0.00010178643670610832,1.5372253802214964e-05,2.1841555258861334e-05,1.6495379797865084e-05,1.4820676264681865e-05,5.033490722006206e-06,1.8875562113440658e-05,0.000991037430290942,0.00314660540439593,0.0012896636382100368,0.00023322513348522644
9.0,-1.383548817179836e-06,-0.0007940217469136202,-0.0006200040914677296,4.775181397487227e-05,1.5747270833976756e-05,4.295476651683394e-05,6.204258455710931e-05,1.8215964151968578e-05,3.0196887218614243e-05,0.00013121138710536773,0.0016657515741621554,0.0036893624745010234,0.0003740413943678078,0.00011463343920625757
10.0,-3.3437019877569085e-05,-0.0011631932038528858,-9.207773049857426e-05,-0.00014183609382423246,-4.972940858893882e-05,-1.3763868900174003e-07,4.1701642565672437e-05,2.477701421610412e-05,2.7275837116813584e-05,4.318457049901081e-05,0.0015694010634986766,0.003867127897137612,0.00040906484488756334,0.0002995449455949206
11.0,3.0485000735436252e-05,-0.0005213842483355324,-0.00034981558170454896,-0.00013520751049223012,-1.4179174772088743e-06,2.621610334896385e-05,3.379576419926256e-05,5.9300558946651094e-05,6.753175044171833e-06,1.697941856959595e-05,0.0012460263545457373,0.004048457526031335,0.001522280387609598,0.00015948609634675037
12.0,2.6292353730084095e-05,-0.00037609374615721336,0.00011548584348564095,4.50905039438565e-05,4.466906167943652e-05,4.944041989174419e-05,4.095900416489773e-05,2.870412604893957e-05,8.458407822853342e-05,0.00015589073004806941,0.0014784075239890893,0.0029073146997239396,0.0008788162396913268,4.6193935386296126e-05
13.0,7.402045158144688e-06,-0.0005012588708651067,-0.00030649917771974344,-0.0001822168764794574,-1.945257233437747e-05,8.262078904275327e-05,3.352284547164519e-05,2.7441767487368374e-05,1.7407362947197136e-05,2.5571504528643096e-05,0.0010407213590929443,0.0028744430110344554,0.0002968364102859944,0.0003790503493530384
14.0,2.9255690086937847e-05,-0.0012914445337030012,-5.823381033265296e-05,-6.604754390426848e-05,-3.643726722180052e-05,2.7324103128112398e-05,5.652440065784248e-06,1.8280961250005667e-05,1.6994568902140017e-05,0.00014737582002544158,0.0012656162719408837,0.004765043767512966,0.0015894647873948564,0.00023399244609889625
15.0,6.501415579263092e-05,-0.00016203374707313145,-0.0006821570463651783,3.784209934798444e-05,3.3535812967833145e-05,4.668798324836132e-06,2.5898653221445578e-05,2.3843488173858063e-05,6.535675124885731e-05,0.00016486475447463622,0.0010018366387199995,0.0034295149049018425,0.001208027119038113,0.00015558342418153792
16.0,6.003735215420747e-05,-0.0008244813937930973,0.00017843261965377888,4.7874238313094786e-05,5.831929624289245e-05,3.384821326735121e-05,5.361796321501355e-05,3.008792081082845e-05,2.222652075023479e-05,2.451290865246314e-05,0.0007434681302022073,0.0022767343886977987,0.0004715745207470867,0.00040711757177880337
17.0,0.00011638698267779635,-3.591363938672265e-05,-0.0005220339275157637,-0.00020292470842953048,2.4604642534509225e-05,3.1506130870884164e-05,3.608392140064254e-05,5.4964423493841785e-05,3.236437638787226e-05,0.0001080338427007499,0.000725782421844845,0.0035174876724208826,0.0018768295145727976,8.449126305187793e-05
18.0,-2.8499506859458457e-05,-0.0007173867586971472,5.5965433866767e-05,4.310585539157863e-05,5.019997541289012e-05,3.245002228213778e-05,3.206247756293301e-05,5.8876885553282854e-05,2.9666676624628963e-05,1.5863129912307983e-05,0.0003876307018504388,0.0024146545655509,0.0011584488703967333,0.00013705244243533699
19.0,2.1957281972961873e-05,-0.0003573146785340441,-0.00023321460585407072,-1.1068432196448263e-05,1.23934872064968e-05,4.990123153547632e-05,1.4317479046677128e-05,2.207574997570294e-05,2.7023370591905405e-05,3.271338568144877e-05,0.00025019951670879337,0.0016483588390284742,0.000339020138624857,0.0003081001772987646
20.0,-0.00013420615665404867,-0.0005193607336269057,0.00015964549472602396,1.1946168378629274e-05,-2.7300013742959095e-06,2.934555337485989e-05,2.8392782958519547e-05,2.76981256861486e-05,4.8016966209818435e-05,0.00011508376383129182,0.000457512315600872,0.0034281289068232024,0.00203300547017804,0.00018050770254751658
21.0,-0.0001624478155574094,-0.0006329960908324425,-0.0007491855300393591,3.9883186338518506e-05,4.155337879141463e-05,2.2911418813720275e-05,4.3526742414257136e-05,3.458698920499881e-05,1.5731259130680186e-05,3.840491401763124e-05,0.00028772500000451284,0.003617132639393117,0.0015112981598998099,0.00017117146445622122
22.0,-0.0003031252998685341,-0.0028319684177749993,3.1874410812982035e-06,-0.00017088881439886183,-4.186271408723741e-05,1.999079473080645e-05,3.219414747090976e-05,3.067882045737491e-05,3.9987067985136626e-05,4.894143950129326e-05,0.000261702742593628,0.004592786813431449,0.00026445054351154074,0.0004727453314340435
23.0,-0.00014528346576692108,-0.0007430678058321372,-0.0009109664342581425,-6.159014739970381e-05,1.0641750926465576e-05,7.12899569299541e-06,3.670853153614484e-05,4.0174785003177504e-05,4.4619798679867984e-05,0.00010405845360683674,0.0003337842675120717,0.004371807714363074,0.0017746275901107111,8.932656111615422e-05
24.0,5.2430624649879576e-05,1.4937170113360487e-05,-0.00022573147523430315,5.1625193529969415e-05,4.0134046775386345e-05,4.009826482376244e-05,3.524987292324866e-05,4.313848300985246e-05,2.5046257043581655e-05,3.324242959634738e-05,0.0003293327036614224,0.0023426866259610435,0.00157987007396998,0.00021942999937740737
25.0,-2.1700209648867208e-05,-0.0009319643583954873,-0.00022371773073814882,-7.633243670779333e-05,-1.0090904194570705e-05,1.814702788627276e-05,3.255455715311939e-05,4.113634393732024e-05,2.6046368476362325e-05,0.00014424763039422306,0.0005094407633575715,0.002667722408763895,0.0003848103177302997,0.00026725579936637267
26.0,-4.499281619418927e-05,-0.0029119662945913394,-0.0004249644568409261,-0.0001441023148692766,2.625544890821896e-05,6.832167285264479e-05,1.1777787141453722e-05,3.044359094261928e-06,3.401167458350063e-05,4.053440363749328e-05,0.000833559549677898,0.006318293121685192,0.00153457525834777,0.0001286051198826632
27.0,4.406481644869675e-05,-0.0028467032054343977,-0.0008742041510090282,-7.035425079238156e-05,-8.892133869897734e-06,3.655950018000009e-05,4.94022227165436e-05,2.33184092756078e-05,3.758075307636055e-05,2.6869147914498903e-05,0.0007729732923011934,0.006320357837700907,0.0014125201067336501,0.00015910275352026826
28.0,6.0021980264446384e-05,-0.001605256229938845,-0.0005022951143336396,-0.00027470025787301733,-4.537167404161657e-05,3.185568005836803e-05,5.845303489093734e-05,5.481309713606386e-05,2.4119536868427716e-05,5.571307501817113e-05,0.0012678872874031244,0.00459293187332066,0.0003271202281204255,0.0004330997920777291
29.0,5.6715101299453785e-05,-0.00019641595016889335,-0.0001494675459801087,3.111779845077489e-05,3.0250471303117088e-05,4.54946592275407e-05,4.831538627869669e-05,4.0501294546579913e-05,3.7980819773353325e-05,4.4930451735369914e-05,0.0011219614195061567,0.0030273791666720617,0.0014241534520812449,6.740727362197774e-05
30.0,3.454065420160912e-05,-0.001161045184234294,-0.0009916401525688623,-3.880960723012805e-05,4.647268561008833e-05,5.237590799545e-05,2.2427920766454612e-05,3.0840399381282246e-05,2.6904574785158175e-05,5.3888561353354625e-05,0.0011373323267217517,0.005238247616783931,0.0014344309738948402,0.00028657515426921965
31.0,-0.0001316405810777299,-0.0033723121995351546,-0.00020474713163998182,-0.0003788213300689458,-0.00017723942686931338,5.10167564959918e-06,2.4414982211173886e-05,1.6294494438073848e-05,4.895553019379495e-05,0.00012422282759239067,0.0013519650947154682,0.006496004750717654,0.00019681375928770617,0.0002596921875076541
32.0,-3.915747624083643e-05,-0.001754462436840104,-0.001034507077317337,-0.00012086668251676258,4.288244669914398e-06,9.431630695444504e-06,2.4786807339971517e-05,3.9226597397967744e-05,1.7892347725423363e-05,5.229030626918707e-05,0.0012898568302470714,0.005479577286018222,0.0008910286230272568,0.0001023535540473075
33.0,-0.00019003809901740887,-0.0017237875147977366,-1.4653066761516342e-05,2.2076950046412414e-05,-4.981318040908622e-05,3.223950829234212e-05,5.6668788961156125e-05,3.565964831375723e-05,4.1362941752720594e-05,0.00020538384958590505,0.0014765635546076794,0.0055067543901077265,0.0014503236135671171,0.0001678530636421982
34.0,-0.00015145713117548087,-0.0010586994089926138,-0.0006085783256087884,-0.0004230695585419886,-1.625991053932907e-05,6.199716819788037e-05,5.224437421336159e-05,3.936777091329002e-05,1.9297468087042802e-05,6.285697346397612e-05,0.0015394995094567543,0.00474076782248567,0.00036014324569499934,0.0003846306804303756
35.0,-0.00021464311473673447,-0.0021867107792077345,-9.303754335054926e-05,6.662693652992324e-05,-2.4430482259418795e-05,4.703957831486694e-05,5.886391935672197e-05,5.580291094386958e-05,7.585241909613405e-05,6.771895136836736e-05,0.0009007133069276474,0.0042812906273728135,0.0006741691362638358,7.400075057106825e-05
36.0,-0.00018067226549378645,-0.00039879260890589296,-0.0016854510310227167,-0.00012617080298937822,-2.5280993556919817e-05,2.4174740773319492e-05,4.665298880612845e-05,7.225823416379118e-05,2.331920382969699e-05,7.662666774865823e-05,0.001255841314751538,0.005730244543140306,0.0013809720783199975,0.00037931967009219303
37.0,-0.00014704477450855347,-0.0025165830571233228,0.0002172576960238759,-6.908860731991151e-05,-1.9576233815210564e-05,3.803853378392397e-05,7.08931252660916e-05,2.885211172831692e-05,2.7401596350840052e-05,1.9576508777152668e-05,0.0006883013094892698,0.004202464005468642,0.0005294860103213228,0.0002894267160853392
38.0,-0.00016415828283433687,-0.001495154185915011,-0.0015807354235541637,-5.884083415796937e-05,3.414205325580344e-05,2.393998382532736e-05,2.218739283288418e-05,1.286802503797091e-05,5.3986060870703234e-05,3.9783826634165464e-05,0.0007464301728309364,0.004994557670972344,0.0006593395488172504,7.590619685593492e-05
39.0,-0.00023919318558407454,-0.005823193095145229,-8.38499179539598e-05,-0.0001388910455885073,-1.2402582197701406e-05,3.693617952316153e-05,4.020670123416892e-05,1.7099580655211e-05,1.8508736919664592e-05,0.00012065971215646787,0.000694243981561149,0.009077241757224574,0.0014630592252883323,0.00027203671674458363
40.0,-4.388026350288232e-05,-0.0024268438897736416,-0.0011341636833523405,-0.0005027514293520774,-2.9535412479519962e-05,4.965382598476342e-05,5.655767630996511e-05,3.836269128953962e-05,1.5484722867831202e-05,1.0675194503595442e-05,0.00036512741748639943,0.005474677713204312,0.0005213496372600268,0.00024265249136856681
41.0,2.2593651918589863e-05,-0.0013153937646207536,0.00013812649616251615,1.6223601962406242e-05,3.634677750885551e-06,3.504541982324305e-05,7.134383121931709e-05,6.537381469085002e-05,5.406353918191442e-05,0.00011837082278576272,0.00039277500008116917,0.002172785378575126,0.00036460819788874943,5.3306426103905125e-05
42.0,3.208175170721361e-05,-0.0020684679423959573,-0.000993890487678728,-0.00010533855321304131,-2.1925125371913268e-05,4.012609096926134e-05,2.8692104986682843e-05,5.097865244918509e-05,2.7959877740846295e-06,3.7000048446866884e-05,0.00015041849280628128,0.005320739578626443,0.001372649546440785,0.00041189263747376526
43.0,6.0299910797589895e-05,-0.005882626300067639,-0.0004529615121880992,-0.0006854037259419465,-8.340089483072077e-05,1.840674071118542e-05,3.6539783299094353e-06,3.44357845959431e-05,1.669578350205203e-05,0.0001167817494938106,5.094906864067106e-05,0.008513466607078746,0.0007189288788816972,0.0002654541736895055
44.0,-3.32489457874896e-05,-0.0047407768483263,-0.002308300937918506,-4.832106589303109e-06,-2.0974276596530395e-05,5.897409605304382e-05,1.707869735045886e-05,9.17154342283677e-06,3.7831177331137944e-05,9.365729719523763e-05,0.000259677027721561,0.008055544064268338,0.00019101458388581793,0.0001212200641889094
