t,C_0_0,C_0_1,C_0_2,C_0_3,C_0_4,C_0_5,C_0_6,C_0_7,C_0_8,C_0_9,C_0_10,C_0_11,C_0_12,C_0_13,C_1_0,C_1_1,C_1_2,C_1_3,C_1_4,C_1_5,C_1_6,C_1_7,C_1_8,C_1_9,C_1_10,C_1_11,C_1_12,C_1_13,C_2_0,C_2_1,C_2_2,C_2_3,C_2_4,C_2_5,C_2_6,C_2_7,C_2_8,C_2_9,C_2_10,C_2_11,C_2_12,C_2_13,C_3_0,C_3_1,C_3_2,C_3_3,C_3_4,C_3_5,C_3_6,C_3_7,C_3_8,C_3_9,C_3_10,C_3_11,C_3_12,C_3_13,C_4_0,C_4_1,C_4_2,C_4_3,C_4_4,C_4_5,C_4_6,C_4_7,C_4_8,C_4_9,C_4_10,C_4_11,C_4_12,C_4_13,C_5_0,C_5_1,C_5_2,C_5_3,C_5_4,C_5_5,C_5_6,C_5_7,C_5_8,C_5_9,C_5_10,C_5_11,C_5_12,C_5_13,C_6_0,C_6_1,C_6_2,C_6_3,C_6_4,C_6_5,C_6_6,C_6_7,C_6_8,C_6_9,C_6_10,C_6_11,C_6_12,C_6_13,C_7_0,C_7_1,C_7_2,C_7_3,C_7_4,C_7_5,C_7_6,C_7_7,C_7_8,C_7_9,C_7_10,C_7_11,C_7_12,C_7_13,C_8_0,C_8_1,C_8_2,C_8_3,C_8_4,C_8_5,C_8_6,C_8_7,C_8_8,C_8_9,C_8_10,C_8_11,C_8_12,C_8_13,C_9_0,C_9_1,C_9_2,C_9_3,C_9_4,C_9_5,C_9_6,C_9_7,C_9_8,C_9_9,C_9_10,C_9_11,C_9_12,C_9_13,C_10_0,C_10_1,C_10_2,C_10_3,C_10_4,C_10_5,C_10_6,C_10_7,C_10_8,C_10_9,C_10_10,C_10_11,C_10_12,C_10_13,C_11_0,C_11_1,C_11_2,C_11_3,C_11_4,C_11_5,C_11_6,C_11_7,C_11_8,C_11_9,C_11_10,C_11_11,C_11_12,C_11_13,C_12_0,C_12_1,C_12_2,C_12_3,C_12_4,C_12_5,C_12_6,C_12_7,C_12_8,C_12_9,C_12_10,C_12_11,C_12_12,C_12_13,C_13_0,C_13_1,C_13_2,C_13_3,C_13_4,C_13_5,C_13_6,C_13_7,C_13_8,C_13_9,C_13_10,C_13_11,C_13_12,C_13_13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999843497811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999843497811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.18574841965413594,0.014164894599870552,0.029491216017884802,0.018112620420347218,0.00035784349672421444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18574841965413594,0.0,0.10702545415853904,0.4669163991941736,0.3069875758869882,0.11426925841215121,0.023733321780022482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014164894599870552,0.10702545415853904,0.0,0.0016931052672874407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029491216017884802,0.4669163991941736,0.0016931052672874407,0.0,0.04439397728460828,0.00705813202639051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018112620420347218,0.3069875758869882,0.0,0.04439397728460828,0.0,0.0035449288778121937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035784349672421444,0.11426925841215121,0.0,0.00705813202639051,0.0035449288778121937,0.0,0.017275789703741797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023733321780022482,0.0,0.0,0.0,0.017275789703741797,0.0,0.022453780626792628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022453780626792628,0.0,0.01379312433996639,5.113585511689212e-06,0.014262537633433697,0.013287353366453904,0.009224649787725142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01379312433996639,0.0,0.03281377798739982,0.10236578116733995,0.08407441000974457,0.0905522861758498,0.0023344954108990117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.113585511689212e-06,0.03281377798739982,0.0,0.33915069382370067,0.28963609596755546,0.2964047007136604,0.02166201496085577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014262537633433697,0.10236578116733995,0.33915069382370067,0.0,0.5877137802986826,0.5865532061968534,0.048391520411778834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013287353366453904,0.08407441000974457,0.28963609596755546,0.5877137802986826,0.0,0.49075895704363776,0.008100546655552687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009224649787725142,0.0905522861758498,0.2964047007136604,0.5865532061968534,0.49075895704363776,0.0,0.0031509398600647193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023344954108990117,0.02166201496085577,0.048391520411778834,0.008100546655552687,0.0031509398600647193,0.0
2.0,0.0,0.242116943228808,0.14404442087386815,0.08038518676959663,0.05570886469780952,0.03213009833911914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.242116943228808,0.0,0.6925288774795907,0.40273646686352926,0.28931516746196784,0.1864443484519139,0.039852750206369296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14404442087386815,0.6925288774795907,0.0,0.24608455489685183,0.18118825839260505,0.11700684515375023,0.013837172907648698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08038518676959663,0.40273646686352926,0.24608455489685183,0.0,0.0901945381505932,0.06471308650108579,9.319458837261929e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05570886469780952,0.28931516746196784,0.18118825839260505,0.0901945381505932,0.0,0.03830055598062285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03213009833911914,0.1864443484519139,0.11700684515375023,0.06471308650108579,0.03830055598062285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039852750206369296,0.013837172907648698,9.319458837261929e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016814366370044048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05708521884069799,0.07772395990624827,0.1278797088315252,0.17189718870522003,0.0004308684713985947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05708521884069799,0.0,0.19599595340482115,0.2662788600870618,0.3312235412546976,0.027384349551302388,0.00043210497366559736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07772395990624827,0.19599595340482115,0.0,0.377118480684689,0.475216984571945,0.054742830595194324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1278797088315252,0.2662788600870618,0.377118480684689,0.0,0.6416926886996259,0.07890796447128715,0.008514394352379506,0.0,0.0,0.0,0.0,0.0,0.0,0.016814366370044048,0.17189718870522003,0.3312235412546976,0.475216984571945,0.6416926886996259,0.0,0.10216668440792974,0.012850205520044643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004308684713985947,0.027384349551302388,0.054742830595194324,0.07890796447128715,0.10216668440792974,0.0,0.00918172008341268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043210497366559736,0.0,0.008514394352379506,0.012850205520044643,0.00918172008341268,0.0
3.0,0.0,0.45561989433364875,0.06955167031074827,0.012288907527768624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45561989433364875,0.0,0.3450812335311363,0.11553888735892048,0.0686017163008111,0.019057952801841686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06955167031074827,0.3450812335311363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012288907527768624,0.11553888735892048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0686017163008111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019057952801841686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01628420871880166,0.013365189134726892,0.06601240663440955,0.0393744694605361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03961759859706476,0.12657027184846376,0.08395662612920818,0.0038567357342973486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11647776362672838,0.07990395981168892,0.0033718986170992084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031372714243881585,0.01621448094315278,0.15445481560190394,0.11186786164565057,0.009171184230912843,0.0,0.0,0.0,0.0,0.0,0.01628420871880166,0.0,0.0,0.031372714243881585,0.0,0.056920743871862745,0.1740561909818867,0.1303763597407606,0.004239859823639417,0.0,0.0,0.0,0.0,0.0,0.013365189134726892,0.03961759859706476,0.0,0.01621448094315278,0.056920743871862745,0.0,0.3631904694270425,0.2836902253698339,0.03257672605547553,0.0,0.0,0.0,0.0,0.0,0.06601240663440955,0.12657027184846376,0.11647776362672838,0.15445481560190394,0.1740561909818867,0.3631904694270425,0.0,0.6442998440641577,0.06760400313803913,0.0,0.0,0.0,0.0,0.0,0.0393744694605361,0.08395662612920818,0.07990395981168892,0.11186786164565057,0.1303763597407606,0.2836902253698339,0.6442998440641577,0.0,0.03759324945906859,0.0,0.0,0.0,0.0,0.0,0.0,0.0038567357342973486,0.0033718986170992084,0.009171184230912843,0.004239859823639417,0.03257672605547553,0.06760400313803913,0.03759324945906859,0.0
4.0,0.0,0.36564332408588784,0.266290519302317,0.0315912173250264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36564332408588784,0.0,0.7545197865552125,0.14042228828147565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266290519302317,0.7545197865552125,0.0,0.11418558639308783,0.0,0.0,0.0,0.004345503204883902,0.0,0.0,0.0,0.0,0.0,0.0,0.0315912173250264,0.14042228828147565,0.11418558639308783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012731048500554126,0.0,0.0,0.0,0.11539931241862902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019554145103482055,0.0,0.0,0.0,0.05019376720969404,0.3566087219717504,0.0082479401226584,0.004431671573177996,0.0,0.0,0.0,0.0,0.0,0.019554145103482055,0.0,0.0,0.0,0.0011264200389328929,0.0,0.11640634241498478,0.0,0.0,0.0,0.0,0.004345503204883902,0.0,0.012731048500554126,0.0,0.0,0.0,0.0,0.0,0.0,0.1793025445084845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1306607521021522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011264200389328929,0.0,0.0,0.0,0.01623353549683416,0.1718240375621847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05019376720969404,0.0,0.0,0.0,0.01623353549683416,0.0,0.4542268254822167,0.04247931922524442,0.0009705647142661698,0.0,0.0,0.0,0.0,0.11539931241862902,0.3566087219717504,0.11640634241498478,0.1793025445084845,0.1306607521021522,0.1718240375621847,0.4542268254822167,0.0,0.15196910960553214,0.05424425191445453,0.0,0.0,0.0,0.0,0.0,0.0082479401226584,0.0,0.0,0.0,0.0,0.04247931922524442,0.15196910960553214,0.0,0.001855148686383849,0.0,0.0,0.0,0.0,0.0,0.004431671573177996,0.0,0.0,0.0,0.0,0.0009705647142661698,0.05424425191445453,0.001855148686383849,0.0
5.0,0.0,0.4501223021740802,0.03762754849924325,0.07097704246171205,0.019908953968885718,0.0,0.010623306736132326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4501223021740802,0.0,0.22979815357484593,0.2494344984453624,0.10304524409323904,0.0,0.05594341879128526,0.03178425015095319,0.0,0.0,0.0,0.0,0.0,0.0,0.03762754849924325,0.22979815357484593,0.0,0.034818462815588626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07097704246171205,0.2494344984453624,0.034818462815588626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019908953968885718,0.10304524409323904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005018060148796213,0.0036023629711443017,0.05615028118559985,0.09986107389940523,0.07707570323940044,0.047946761626843554,1.4767527220779786e-05,0.010623306736132326,0.05594341879128526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02172701752495053,0.0,0.0,0.03178425015095319,0.0,0.0,0.0,0.005018060148796213,0.0,0.0,0.0,0.0,0.00546409826793931,0.06450162000070114,0.0402648848303407,0.0034370368233970876,0.0,0.0,0.0,0.0,0.0,0.0036023629711443017,0.0,0.0,0.0,0.06789159262646029,0.03545436987936138,0.12601399976963096,0.1694416117521276,0.019501852241129845,0.0,0.0,0.0,0.0,0.0,0.05615028118559985,0.0,0.0,0.06789159262646029,0.0,0.22323651724423002,0.21671424463905034,0.2333214007679078,0.02720772380316353,0.0,0.0,0.0,0.0,0.0,0.09986107389940523,0.0,0.00546409826793931,0.03545436987936138,0.22323651724423002,0.0,0.42972214963703365,0.425615031488664,0.058609704568339076,0.0,0.0,0.0,0.0,0.0,0.07707570323940044,0.0,0.06450162000070114,0.12601399976963096,0.21671424463905034,0.42972214963703365,0.0,0.42289015333973745,0.03790885503935329,0.0,0.0,0.0,0.0,0.0,0.047946761626843554,0.02172701752495053,0.0402648848303407,0.1694416117521276,0.2333214007679078,0.425615031488664,0.42289015333973745,0.0,0.03465930228693285,0.0,0.0,0.0,0.0,0.0,1.4767527220779786e-05,0.0,0.0034370368233970876,0.019501852241129845,0.02720772380316353,0.058609704568339076,0.03790885503935329,0.03465930228693285,0.0
6.0,0.0,0.3099577055658286,0.1444817083497661,0.08440038148783752,0.01531799674157366,0.0,0.010637140665152717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3099577055658286,0.0,0.5731566310652454,0.30204001019666316,0.0,0.0,0.05777221008150101,0.0941221574081989,0.0,0.0,0.0,0.0,0.0,0.0,0.1444817083497661,0.5731566310652454,0.0,0.18247275263179816,0.014118926974845656,0.0,0.0,0.0,0.0034409027038086685,0.0,0.0,0.0,0.0,0.0,0.08440038148783752,0.30204001019666316,0.18247275263179816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01531799674157366,0.0,0.014118926974845656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01616240760519006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00677273341856079,0.06361861124677462,0.07666427372841964,0.0,0.0,0.010637140665152717,0.05777221008150101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005406048130320577,0.0,0.0,0.0,0.0941221574081989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034409027038086685,0.0,0.0,0.0,0.0,0.0,0.0,0.06415492416443502,0.026797898776137426,0.11133914243179971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00677273341856079,0.0,0.0,0.06415492416443502,0.0,0.31652885583372975,0.41789353347770253,0.067785700511325,0.014314197341805491,0.0,0.0,0.0,0.0,0.01616240760519006,0.06361861124677462,0.0,0.0,0.026797898776137426,0.31652885583372975,0.0,0.6272637771466744,0.13660525099784282,0.032060795839904906,0.0,0.0,0.0,0.0,0.0,0.07666427372841964,0.005406048130320577,0.0,0.11133914243179971,0.41789353347770253,0.6272637771466744,0.0,0.17917448409944675,0.03358762081451365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067785700511325,0.13660525099784282,0.17917448409944675,0.0,0.008449954004180573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014314197341805491,0.032060795839904906,0.03358762081451365,0.008449954004180573,0.0
7.0,0.0,0.2558919879486166,0.06206239529344207,0.009544216476208643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2558919879486166,0.0,0.40253512677873055,0.0827395655151098,0.0,0.059071987248640406,0.03367081141799111,0.030707361744334825,0.0,0.0,0.0,0.0,0.0,0.0,0.06206239529344207,0.40253512677873055,0.0,0.02222426317741233,0.0,0.0,0.03934260217176883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009544216476208643,0.0827395655151098,0.02222426317741233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02508259058295704,0.0,0.0,0.0,0.059071987248640406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01991715205775061,0.045965574651425575,0.0,0.0,0.03367081141799111,0.03934260217176883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059927614522150854,0.026440440472945782,0.0,0.0,0.030707361744334825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061209047370947844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036948687002588618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013605019411956229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2660744349243171,0.17687113467273474,0.006808207694238046,0.0,0.0,0.0,0.0,0.02508259058295704,0.01991715205775061,0.059927614522150854,0.061209047370947844,0.0,0.013605019411956229,0.2660744349243171,0.0,0.7152937767870347,0.06347983358484008,0.0,0.0,0.0,0.0,0.0,0.045965574651425575,0.026440440472945782,0.0,0.0036948687002588618,0.0,0.17687113467273474,0.7152937767870347,0.0,0.02000832152884682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006808207694238046,0.06347983358484008,0.02000832152884682,0.0
8.0,0.0,0.12747377614779132,0.027336415971730695,0.011605519560943394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12747377614779132,0.0,0.6094161111568737,0.317133945158969,0.006879898239057748,0.0035616468292632153,0.07646403438229676,0.01898863992339308,0.025192329366031278,0.0,0.0,0.0,0.0,0.0,0.027336415971730695,0.6094161111568737,0.0,0.15955305405386233,0.0,0.027294936328267475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011605519560943394,0.317133945158969,0.15955305405386233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006879898239057748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022541117501995098,0.0,0.0,0.0,0.0,0.0035616468292632153,0.027294936328267475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06269556858066097,0.00874062362624168,0.0,0.0,0.07646403438229676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010948903834868545,0.0,0.0,0.0,0.01898863992339308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025329319208063583,0.0,0.0,0.0,0.0,0.025192329366031278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021438252408209214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14309867952115007,0.16717148468176715,0.013666189070926189,0.0,0.0,0.0,0.0,0.0,0.0022541117501995098,0.0,0.0,0.025329319208063583,0.0,0.14309867952115007,0.0,0.6964562442118275,0.1413318864340419,0.013395034339484673,0.0,0.0,0.0,0.0,0.0,0.06269556858066097,0.010948903834868545,0.0,0.021438252408209214,0.16717148468176715,0.6964562442118275,0.0,0.2136813126065062,0.02701605891049947,0.0,0.0,0.0,0.0,0.0,0.00874062362624168,0.0,0.0,0.0,0.013666189070926189,0.1413318864340419,0.2136813126065062,0.0,0.01744159957000971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013395034339484673,0.02701605891049947,0.01744159957000971,0.0
9.0,0.0,0.07288869443848028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07288869443848028,0.0,0.523664429767533,0.06284468575464862,0.07050966091760343,0.07351888614328665,0.05600856778876638,0.016418875305235427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.523664429767533,0.0,0.004665265229673124,0.0,0.0,0.029723861328655704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06284468575464862,0.004665265229673124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07050966091760343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07351888614328665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005576560221823349,0.0012188248961798945,0.0,0.0,0.0,0.0,0.05600856778876638,0.029723861328655704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03123732437061972,0.04824383571881558,0.019259018302435427,0.0,0.0,0.016418875305235427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05129515537827563,0.04358477072615821,0.00989749477788262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054350174931894334,0.017880607306937763,0.10505953578196704,0.10147675440426876,0.0,0.0,0.0,0.0,0.0,0.0,0.005576560221823349,0.0,0.0,0.054350174931894334,0.0,0.2954690430392469,0.22557631755959245,0.2308974432437036,0.01139104681398648,0.0,0.0,0.0,0.0,0.0,0.0012188248961798945,0.03123732437061972,0.05129515537827563,0.017880607306937763,0.2954690430392469,0.0,0.48538667278404257,0.4245674845452948,0.027521716286635346,0.0,0.0,0.0,0.0,0.0,0.0,0.04824383571881558,0.04358477072615821,0.10505953578196704,0.22557631755959245,0.48538667278404257,0.0,0.4144892560676698,0.00672835633595698,0.0,0.0,0.0,0.0,0.0,0.0,0.019259018302435427,0.00989749477788262,0.10147675440426876,0.2308974432437036,0.4245674845452948,0.4144892560676698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01139104681398648,0.027521716286635346,0.00672835633595698,0.0,0.0
