t,mx_0,mx_1,mx_2,mx_3,mx_4,mx_5,mx_6,mx_7,mx_8,mx_9,mx_10,mx_11,mx_12,mx_13
0.0,-1.0000000000000002,7.498798913309866e-33,7.498798913308953e-33,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,1.0000000000000002,-1.0000000000000002,-1.0000000000000002
1.0,-0.9767273239144667,0.7671083245550158,-0.9890812869595037,-0.8663082204217538,-0.9388288116332476,-0.9894283079511401,-0.9982485556248931,-0.9971371461630154,-0.9734787850765343,-0.8046099418531641,-0.3059084629918985,-0.464186521568898,-0.45519863873445343,-0.9892163206570481
2.0,-0.9338770160720131,0.08521965747869605,-0.526067132209313,-0.8234277058908944,-0.8968154768770056,-0.9321669362692957,-0.950291543641858,-0.9172703839122825,-0.8179076099632372,-0.67467203841398,-0.4513234852691181,-0.17106674813387024,-0.9760735411537443,-0.9974355036162471
3.0,-0.8556887393405109,0.5721158674417847,-0.892346196672538,-0.9716018807061472,-0.9686441562660479,-0.9077912319360224,-0.8708834043621376,-0.8780762753091722,-0.8986311481796159,-0.9287034194666376,-0.8136549263956507,-0.14381951898319578,-0.4436617357621916,-0.9799291918136797
4.0,-0.8467017482426817,0.035256997048867415,-0.3747481541747515,-0.9381982981284894,-0.9517872203890807,-0.843507723836626,-0.9458037296663966,-0.9070909350940429,-0.9283927354056459,-0.937570715645667,-0.807661594961252,0.4129353800303707,-0.9580847113449588,-0.9941001681813498
5.0,-0.8434266133502825,0.4493456829198565,-0.87662824320747,-0.8757357397986563,-0.9324107687378344,-0.8712954715859892,-0.9419311673860022,-0.8972689834162955,-0.8608699559876367,-0.8242034262551248,-0.5045746785771921,-0.49791868687699525,-0.5245636684165329,-0.9794246396800381
6.0,-0.8887257282431669,0.17898202274614283,-0.5995875273027762,-0.8434598632420344,-0.9377036170179911,-0.9140086669241956,-0.9126706655685245,-0.9316830773274901,-0.9145430053419111,-0.7107745739412678,-0.45685120258989587,-0.14436316868669286,-0.9141628402281128,-0.9917092792852074
7.0,-0.9361594585934007,0.5410284140589233,-0.812321255351626,-0.9386689760578797,-0.9596356078125284,-0.9274377975205227,-0.9023557388016212,-0.9335842550987092,-0.9372684004674516,-0.9615618821095101,-0.8543086265460537,0.0974672258275707,-0.4696992742794101,-0.9868042775286628
8.0,-0.9656332275386693,0.2698734859136094,-0.580372483602849,-0.8490697001476737,-0.9356028303406652,-0.9351409429585559,-0.9501135195894788,-0.9649568778858068,-0.9444448328879489,-0.9046070380716341,-0.4572610491838222,0.1495215938663399,-0.9204251991214295,-0.9953153999303099
9.0,-0.9769379325490329,0.4776346155117338,-0.6566858909717047,-0.9506367488207953,-0.9584446826393165,-0.9416367009327246,-0.9348841422246602,-0.9378870006496185,-0.9121899636289827,-0.7842222733378675,-0.4096880590435497,-0.4157500724198189,-0.5892900950682821,-0.9926694621123606
10.0,-0.9646773102773549,0.33424435810876296,-0.6076914133117494,-0.8690671122011904,-0.9500127193449956,-0.9151147939797505,-0.9023629505234695,-0.9370851927148414,-0.9146273627281392,-0.8925562777422034,-0.7452446882850555,0.20667944606889235,-0.8313845251978859,-0.996149061051927
11.0,-0.9264442982398639,0.3114139594535557,-0.6948508368187474,-0.846733154304689,-0.88245131601868,-0.8454844567507934,-0.9595009215400359,-0.9409782656565756,-0.9213648639558852,-0.8938194048689725,-0.7322320481303635,-0.09063810935540413,-0.5701059756721033,-0.9880784355383706
12.0,-0.8922632545614366,0.35294632864255254,-0.6765077552260776,-0.9197472083418705,-0.9198435847234963,-0.8610862256647783,-0.9396379866673503,-0.8888791586430892,-0.9008164341624577,-0.8481374691085554,-0.5391050388362297,-0.13550268342810654,-0.8211924437326588,-0.9932803060558253
13.0,-0.8534788056403805,0.17624127214264398,-0.5056965833734711,-0.9353005380563199,-0.9428336948500975,-0.8895688573360272,-0.950757302062657,-0.9095237597044273,-0.8725330429895765,-0.7855486866535039,-0.6601343135553548,-0.18850013208195443,-0.6785049821472022,-0.9845487401978453
14.0,-0.8400192139839581,0.2857359763427721,-0.7017196490912991,-0.8766261786675534,-0.8811579411664312,-0.9511805036522479,-0.9607805436125779,-0.9641180463428667,-0.9385981187484749,-0.871732636882098,-0.6775948620853197,0.13129950374203944,-0.7472226652478061,-0.9866455339696046
15.0,-0.8747853973782257,0.2029464209266273,-0.6220924063928788,-0.7733001807878191,-0.9151628894973358,-0.9815532794862161,-0.9751347552158871,-0.9732058937294269,-0.9368153780882833,-0.8796911704277206,-0.6609036809715203,0.039032865753790766,-0.6435485526905482,-0.9863519110960848
16.0,-0.9140800750937244,0.5078216265034624,-0.7243125392932177,-0.9273989622377471,-0.936741231673075,-0.966571996303611,-0.9774252123850197,-0.9811218802728268,-0.9748008011432665,-0.8060644893819504,-0.19426096145987629,-0.3632818793356307,-0.7351623618312427,-0.9870460692044591
17.0,-0.9713659589140174,0.19585398496288828,-0.4877014745998509,-0.8412816596668028,-0.9370626286718747,-0.9219668337875679,-0.9698838503480276,-0.9626739040588623,-0.9114361827229917,-0.8634863137737699,-0.7222546274819369,0.16086733095946773,-0.7566331277784154,-0.9951190729366977
18.0,-0.9909893208985123,0.5603072570678983,-0.8315100842875022,-0.917007712460446,-0.911526238020298,-0.9137938870519173,-0.9141180195026364,-0.9193585066003015,-0.8907930323008264,-0.9240012725963109,-0.7842537948549426,0.10051685921091022,-0.6540440921293003,-0.9907646112050336
19.0,-0.9796546760588782,0.14227858714461356,-0.47517594633537025,-0.8652035069967146,-0.9010060787314786,-0.9237807961884653,-0.8874655035541815,-0.8641332680244812,-0.892470735611225,-0.7756324788485616,-0.5829821154444547,-0.2001366993853392,-0.782325355178807,-0.9957449887132495
