t,Cxx_1_0,Cxx_1_1,Cxx_1_2,Cxx_1_3,Cxx_1_4,Cxx_1_5,Cxx_1_6,Cxx_1_7,Cxx_1_8,Cxx_1_9,Cxx_1_10,Cxx_1_11,Cxx_1_12,Cxx_1_13
0.0,0.0,1.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,-0.00023850542897822888,1.0,0.999339812374308,0.0004954003528844877,-4.9910089287639173e-05,-1.124445936913251e-08,4.148470430507334e-10,5.959129563754897e-14,-1.3910160754885402e-15,-1.4422455216814632e-19,2.5246676815958716e-21,2.5528808839052567e-25,-2.7918699360281466e-27,-3.5922244088779567e-31
0.02,-0.0009555785577811545,1.0,0.9973612080279387,0.001977892999438854,-0.00019861278379850115,-1.7929149720541496e-07,6.592597332814605e-09,4.033797333794454e-12,-8.767665491681091e-14,-3.867962319650968e-17,6.279902853569248e-19,1.9633393582201967e-22,-2.819525342761237e-24,-5.57364654264044e-28
0.03,-0.002151759788917399,1.0,0.9940709558697455,0.004438819186938833,-0.00044294186339497127,-9.028140946877183e-07,3.295929415220936e-08,4.590705011050747e-11,-9.841807515973908e-13,-1.006107803535719e-15,1.5823086871815537e-17,1.1675472516318082e-20,-1.5938466455194412e-22,-7.382587245429935e-26
0.04,-0.0038265325624316747,1.0,0.9894810386702347,0.007864138565868118,-0.0007775950086520097,-2.8353395940917485e-06,1.0227873902298123e-07,2.560534187049074e-10,-5.4160622860612966e-12,-1.0010506183400098e-14,1.5491165026937054e-16,2.0838584783359265e-19,-2.7841400204162923e-21,-2.3838136994838862e-24
0.05,-0.00598218162457614,1.0,0.9836069272801664,0.012233035771513707,-0.0011953424401833347,-6.8712444946990286e-06,2.4378839667377473e-07,9.67973367451681e-10,-2.0098435141570516e-11,-5.917265625982404e-14,8.991388091292197e-16,1.9315594977261665e-18,-2.540038024163886e-20,-3.478379307765389e-23
0.06,-0.008620275080707812,1.0,0.9764684881003727,0.0175199245481246,-0.0016870111424879056,-1.4124149927530386e-05,4.906570480954779e-07,2.8593636846855338e-09,-5.797344525189437e-11,-2.5170243722816365e-13,3.739404755632368e-15,1.1859501347176144e-17,-1.533123453859828e-19,-3.0916410566051617e-22
0.07,-0.011742372680090717,1.0,0.9680898984328545,0.0236938760068932,-0.0022415938031997737,-2.5900453443020158e-05,8.768314066091572e-07,7.11960081847918e-09,-1.4017586259358647e-10,-8.527795359871207e-13,1.2325636517102043e-14,5.4807035901352385e-17,-6.945878683843974e-19,-1.9542140141194983e-21
0.08,-0.015349985739432755,1.0,0.9584993361227023,0.03071899051015954,-0.0028463815242447013,-4.366861718407196e-05,1.4333619358059406e-06,1.5634255231531266e-08,-2.9710232310349944e-10,-2.4447518806677542e-12,3.418518803153712e-14,2.0566779742775587e-16,-2.546488064189531e-18,-9.62662228288767e-21
0.09,-0.01944450677626139,1.0,0.9477288993851833,0.038554511731091604,-0.003487102469408193,-6.90234292141132e-05,2.184307224938014e-06,3.1175018938514e-08,-5.678906371166909e-10,-6.165989299823448e-12,8.288663938227497e-14,6.580507175873258e-16,-7.9286858914257e-18,-3.919490179210415e-20
0.1,-0.024026984980846634,1.0,0.935814593517195,0.047155000818214894,-0.004148073855829557,-0.00010364596377753644,3.142324632369944e-06,5.7582154510549336e-08,-9.975747101523373e-10,-1.4050046867496397e-11,1.8024954005964452e-13,1.855942589476857e-15,-2.1663888913548756e-17,-1.372853265682638e-19
0.11,-0.029098270083302742,1.0,0.9227954539850596,0.05647110415444911,-0.004812405721757484,-0.00014926325481857768,4.304106587658633e-06,9.992917022047525e-08,-1.6311822608077653e-09,-2.947788608962149e-11,3.5782647506055906e-13,4.7249501684536594e-15,-5.315798667990763e-17,-4.256684203232265e-19
0.12,-0.034658738001717544,1.0,0.90871374236734,0.06644955256225696,-0.005462171448769948,-0.0002076023628322255,5.645749621478405e-06,1.646522383026277e-07,-2.5040975820382653e-09,-5.7746872156564906e-11,6.56439038325277e-13,1.1050004482034606e-14,-1.191121453613374e-16,-1.1932334936570288e-18
0.13,-0.04070800066733299,1.0,0.8936148674573837,0.07703345278263306,-0.00607860040394663,-0.0002803430593745073,7.118205190024788e-06,2.596319003315372e-07,-3.628078826157608e-09,-1.0675087133244806e-10,1.1220228460374544e-12,2.4055975549058517e-14,-2.467356329458957e-16,-3.072724468041581e-18
