t,C_1_0,C_1_1,C_1_2,C_1_3,C_1_4,C_1_5,C_1_6,C_1_7,C_1_8,C_1_9,C_1_10,C_1_11,C_1_12,C_1_13
0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.020005200840350658,0.0,0.999599454853331,0.019999447029855656,0.0002000087877121337,1.3331623250953895e-06,6.6379549240957515e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.040036448641269685,0.0,0.9983917649404916,0.03999218745215964,0.000800337712260938,1.0674232132974862e-05,1.0588467721023657e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.06011406287161515,0.0,0.9963593934488533,0.05996800471611205,0.0018013507506286868,3.605513511782686e-05,5.346405603339159e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.08025692716419675,0.0,0.9934741268525727,0.07991581630640637,0.003203798834163025,8.55548455375367e-05,1.6855425522233914e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.10048290209644986,0.0,0.9896979583651432,0.09982239232195372,0.005008439433321974,0.00016730637975726308,4.10615837353045e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0.12079080462206424,0.0,0.9849871544147404,0.1196668380030289,0.0072155520155719145,0.0002895062620330092,8.498715778084572e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,0.14117941417252558,0.0,0.9792922682672643,0.13942700213309264,0.00982527330140999,0.00046041084050590675,1.57198148728255e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16,0.16163884414665125,0.0,0.9725615735145423,0.15907473164143607,0.012837087910324903,0.0006883322458746378,2.6779997750689888e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18,0.18214627206402992,0.0,0.9647436565292776,0.1785766672657729,0.016249211316296527,0.000981568958912331,4.2842685056834686e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.20266986377989385,0.0,0.9557901504260724,0.19789552472981145,0.020058926611161428,0.0013484219823010604,6.522329128811289e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22,0.22316544610172928,0.0,0.9456576281369414,0.21698931422883425,0.02426187625371708,0.00179710690258626,9.5385568138137e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,0.2435786256868542,0.0,0.9343099271786638,0.23581391664904688,0.02885238074081497,0.0023357442162276914,0.00013493967687275334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.26,0.26384924109870794,0.0,0.9217179870113851,0.25432196827032344,0.03382297342332049,0.0029722692523615306,0.00018563463780279602,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28,0.28390618859835987,0.0,0.9078627519997904,0.27246468507119387,0.03916447245533851,0.0037143952494146813,0.0002493539157374422,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.30367069570607,0.0,0.8927350967065749,0.2901927226164869,0.0448659746294555,0.004569556238022009,0.00032810780269113937,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.32,0.32305729147722273,0.0,0.8763360084895698,0.30745725604388857,0.050914946456731745,0.0055448630050253045,0.00042402601581753785,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34,0.34197506921808835,0.0,0.8586763025837206,0.3242107892328227,0.05729730577928047,0.006647057195247369,0.0005393491832959173,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36,0.3603289351268611,0.0,0.8397759962309114,0.34040794746062625,0.06399755623794913,0.007882473817462514,0.0006764202363233196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38,0.37802087493730646,0.0,0.8196633930672708,0.35600611240226443,0.0709989338974186,0.009257008159540068,0.000837675546729889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.3949510524953058,0.0,0.7983739998077003,0.3709660170345411,0.07828359660357763,0.010776093961345138,0.0010256367864020161,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.42,0.41101878026237304,0.0,0.7759493524592195,0.38525218917835613,0.08583281469486105,0.012444687541652687,0.0012429032665663663,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.44,0.4261236121451481,0.0,0.752435732488891,0.3988330878606864,0.09362709715961738,0.014267245279929565,0.0014921433699557423,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.46,0.44016623031175817,0.0,0.7278829447684252,0.411681206572788,0.10164632813070552,0.016247707179490416,0.001776086560707895,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.48,0.4530493080309309,0.0,0.7023431775530341,0.423772996705562,0.10986985141692807,0.018389473916641832,0.002097514435413153,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.4646779696808456,0.0,0.6758700927150021,0.4350889607572176,0.11827662317638606,0.020695401832634665,0.002459254046731855,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.52,0.4749604597992329,0.0,0.6485180600065777,0.4456134325056102,0.1268452396908178,0.023167774264940696,0.0028641678225778144,0.0,0.0,0.0,0.0,0.0,0.0,0.0
