t,Czz_1_0,Czz_1_1,Czz_1_2,Czz_1_3,Czz_1_4,Czz_1_5,Czz_1_6,Czz_1_7,Czz_1_8,Czz_1_9,Czz_1_10,Czz_1_11,Czz_1_12,Czz_1_13
0.0,0.0,1.0,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,-0.00040020807098495553,0.9999993087091763,-0.999199082751285,-0.0003999778816133752,-4.00035157782511e-08,-1.7773221045944143e-12,-4.466912950640278e-17,-2.168404344971009e-19,-2.2128566340429145e-16,-1.9388284380750243e-12,-4.293086163799885e-09,-7.789317304227397e-10,5.0742969562528675e-09,-3.401793820592691e-13
0.04,-0.0016029172357127043,0.9999890785248661,-0.9967861455387473,-0.0015993750959869537,-6.405404687913514e-07,-1.139393596832905e-10,-1.1393230109346675e-14,1.734723475976807e-17,-2.500256945925372e-14,-6.766745106953631e-11,-8.266909065895306e-08,1.9137765802212242e-08,6.355274401311992e-08,4.627327817793847e-11
0.06,-0.003613700574254068,0.9999451733554777,-0.992732064844514,-0.00359616177153546,-3.2448649036022e-06,-1.2999777712630056e-09,-2.928013734249113e-13,-2.8015784137025435e-16,-6.436986360602859e-13,-1.0095746356963975e-09,-5.332090878187173e-07,3.580816909246401e-07,1.7597043611584234e-07,1.6717903623952868e-10
0.08,-0.006441174456166616,0.9998288667686337,-0.9869908820740709,-0.006386538584992012,-1.0264330769879648e-05,-7.319699839303251e-09,-2.933564849372239e-12,-4.5016074201598144e-15,-6.4201751553971675e-12,-5.758693051929886e-09,-1.7754563086010144e-06,1.3644569302005e-06,4.1577651191740395e-07,9.879836029152989e-10
0.1,-0.010096813753007718,0.9995885860275847,-0.9795021463085409,-0.009964513468277637,-2.508448825723486e-05,-2.7991944751698528e-08,-1.7549781072823123e-11,-4.220235272356376e-14,-4.0209922197442793e-11,-2.2136733432431832e-08,-4.23756470270889e-06,3.134259730509792e-06,1.123711048586773e-06,1.7709019216327615e-09
0.12,-0.01459041935452434,0.9991626211741532,-0.9701998912367517,-0.014320162402000746,-5.206428843591848e-05,-8.38166178442068e-08,-7.577959440507875e-11,-2.5976790163362296e-13,-1.725111269113011e-10,-6.698107456529212e-08,-8.846946475328521e-06,6.905310110237595e-06,2.0068490495239732e-06,1.941117305087614e-09
0.14,-0.019931629159174354,0.9984819942195282,-0.959013701794298,-0.01943991468533869,-9.653632984738675e-05,-2.1198935439697975e-07,-2.6131099367665556e-10,-1.1982845271596432e-12,-5.845720019159728e-10,-1.6981611695998655e-07,-1.6341753513192392e-05,1.3434326921149542e-05,3.0776616343486385e-06,1.666400351041375e-10
0.16,-0.026127120892835316,0.9974738254779251,-0.9458766109671731,-0.02530482721468661,-0.00016479179879116262,-4.738393409725594e-07,-7.643150556901901e-10,-4.5235135082144495e-12,-1.6731823773707966e-09,-3.7189651109353905e-07,-2.750035359048303e-05,2.311066805566614e-05,4.764334497857348e-06,-1.0755293183839498e-09
0.18,-0.0331772745912835,0.9960632777984753,-0.9307312577222027,-0.031889740560695115,-0.0002640393607722391,-9.635896469489813e-07,-1.9713181920177902e-09,-1.4504522583003165e-11,-4.211929638398004e-09,-7.408520222851323e-07,-4.3259141249099575e-05,3.720132763596756e-05,6.808515558252848e-06,-5.6260447967027005e-09
0.2,-0.04107509323893442,0.9941783382630218,-0.9135362036712109,-0.039162851891879735,-0.0004023663133350397,-1.8185364298595186e-06,-4.6038589468500035e-09,-4.093153593842658e-11,-9.569861764147092e-09,-1.3607429505263502e-06,-6.414453686588717e-05,5.572187382907323e-05,9.821909403892604e-06,-2.889999663191478e-08
0.22,-0.049802851731298586,0.9917498136122352,-0.8942703348479567,-0.04708473580957337,-0.0005886509830157344,-3.230300232387462e-06,-9.920922777739705e-09,-1.0424361374106184e-10,-2.0000676850817634e-08,-2.3473365855369854e-06,-9.112763519267264e-05,8.011862711698736e-05,1.3447873455765813e-05,-7.14431093590262e-08
0.24,-0.05933060757255956,0.9887151669908009,-0.8729377731229891,-0.05560882443677019,-0.000832484535265382,-5.4572742426844956e-06,-2.0002789299922163e-08,-2.4385821140171515e-10,-3.899658368444747e-08,-3.842132787493235e-06,-0.00012488725554768432,0.00011127762021291565,1.762447456754579e-05,-1.335121885687185e-07
0.26,-0.06961652188883453,0.9850177898351583,-0.8495676985002719,-0.06468065345430586,-0.0011440400860575628,-8.837668835540158e-06,-3.813343428527016e-08,-5.311853595868499e-10,-7.175865510133939e-08,-6.01467644330278e-06,-0.00016582803140705038,0.00014945186643240682,2.269962039654072e-05,-2.3659255721231176e-07
0.28,-0.0806028821409385,0.9806087478679099,-0.8242195283825102,-0.07423852496444361,-0.0015339396346614464,-1.3803224936659308e-05,-6.930222523626739e-08,-1.088951262495641e-09,-1.2568190432826754e-07,-9.0646679010431e-06,-0.00021434155110248987,0.00019514515295962487,2.8785198391834133e-05,-3.9757968578468805e-07
0.3,-0.09221613412341745,0.9754463257393287,-0.7969819994296998,-0.0842140777198557,-0.0020131000968749146,-2.0893088659240666e-05,-1.2084353898100808e-07,-2.118820230379015e-09,-2.1094489124906524e-07,-1.3221001628094253e-05,-0.00027068619605438715,0.00024875081893975526,3.6006163008722725e-05,-6.371578367414532e-07
0.32,-0.10436637524977363,0.9694954958732298,-0.7679723419651472,-0.09453323502682762,-0.0025925718954859234,-3.076766329787595e-05,-2.0323479033024228e-07,-3.939653742124349e-09,-3.411502449979231e-07,-1.8740485712209765e-05,-0.00033498010209168094,0.00031054415276386693,4.4500029048211154e-05,-9.793420167603095e-07
0.34,-0.11694747320012716,0.9627268817743841,-0.7373342357640941,-0.10511725036816652,-0.003283367795839376,-4.422203138568226e-05,-3.3107141261812245e-07,-7.039198474112496e-09,-5.340302040857114e-07,-2.590654892986599e-05,-0.0004072102850674886,0.00038069785523860145,5.4409895929391494e-05,-1.4513911283653425e-06
0.36,-0.12983768647786414,0.9551155166473662,-0.7052348739962435,-0.11588393867764471,-0.004096291811947428,-6.219870173002073e-05,-5.242372149993901e-07,-1.2142293059902443e-08,-8.122035468627331e-07,-3.5027351364902426e-05,-0.0004872392324027641,0.0004592939722538325,6.587789695228219e-05,-2.083684319365009e-06
0.38,-0.14290081613987177,0.9466395053910636,-0.6718613385398016,-0.12674896710531375,-0.005041770229663289,-8.579935955385642e-05,-8.092864250131004e-07,-2.029911977396992e-08,-1.2039790161788577e-06,-4.643357846623175e-05,-0.0005748139258821283,0.0005463422325514278,7.903459707286897e-05,-2.9097775734732156e-06
0.4,-0.15598774161403092,0.9372788061686957,-0.637416612324107,-0.13762723371204824,-0.0061296940575830405,-0.00011629548154384883,-1.2210536278201012e-06,-3.2997223398112396e-08,-1.7441822154351527e-06,-6.047540089632042e-05,-0.0006695691496058365,0.0006417938180995619,9.398662340281971e-05,-3.9666373163604884e-06
0.42,-0.16893831914607793,0.9270142269432924,-0.6021154632507866,-0.1484342159086547,-0.007369273605224935,-0.0001551375829630941,-1.8045050997339551e-06,-5.230132599232107e-08,-2.4749887749253574e-06,-7.751876071582231e-05,-0.0007710302177677819,0.0007455597301060518,0.00011079888496284829,-5.295290970763755e-06
0.44,-0.18158380498982563,0.9158266828666173,-0.5661802710920428,-0.1590871101789425,-0.008768896520445546,-0.00020396259176158615,-2.6168379146929155e-06,-8.102526383169106e-08,-3.446754966385246e-06,-9.794145489067096e-05,-0.0008786202696792755,0.0008575381808369892,0.00012947245378178152,-6.941785503089548e-06
0.46,-0.19374950759031817,0.9036969381119127,-0.5298371572328073,-0.16950591139648652,-0.010336000464775008,-0.00026459932399780506,-3.7298350531456137e-06,-1.229397846858049e-07,-4.718786311974643e-06,-0.0001221278385135638,-0.0009916589264533093,0.0009776315963630489,0.00014992276750588895,-8.958141283210708e-06
0.48,-0.20525774955888337,0.8906058390595388,-0.4933124969006676,-0.17961428901054594,-0.012076950193450675,-0.0003390714853263588,-5.2324722937258095e-06,-1.8301980098112125e-07,-6.360007991090821e-06,-0.00015046246665284535,-0.001109359896379336,0.0011057629040053946,0.00017195621991508703,-1.140317146874903e-05
0.5,-0.21593073468703794,0.8765351584216132,-0.4568300484669467,-0.18934052489426506,-0.013996943430965414,-0.0004295987566120818,-7.233786662175223e-06,-2.677330656619681e-07,-8.4494280758185e-06,-0.00018332118683572762,-0.0012308175572451896,0.0012418743062150711,0.0001952499379744288,-1.4342738091255303e-05
0.52,-0.22559378640925132,0.8614689208707883,-0.4206085544206187,-0.19861810340764363,-0.016099906164995237,-0.0005385943717668984,-9.865972443678928e-06,-3.8537212287970135e-07,-1.1076375854068843e-05,-0.0002210614054397042,-0.001355001354462343,0.001385934661165128,0.00021932909860997163,-1.784937596377434e-05
0.54,-0.2340787162436258,0.8453952634793535,-0.3848598735498367,-0.20738617577688745,-0.018388390644589858,-0.000668659061646204,-1.3287681377815996e-05,-5.464285789957835e-07,-1.4340403797663548e-05,-0.00026401050069690957,-0.0014807488246018352,0.0015379372362567811,0.00024354900580389471,-2.200060577595142e-05
0.56,-0.2412272228340686,0.8283087846869481,-0.3497876398303765,-0.21558995460485253,-0.02086347831956653,-0.0008225709423811955,-1.7687487767592547e-05,-7.640065300962284e-07,-1.8350753535512077e-05,-0.00031245230935739166,-0.0016067586886128193,0.0016978883135171305,0.0002670824960543938,-2.687571946879963e-05
0.58,-0.24689434436364127,0.8102132800192825,-0.3155863427956109,-0.22318102463909872,-0.023524683103924526,-0.0010032705751195636,-2.328745589080805e-05,-1.0542694814930087e-06,-2.3225304051965878e-05,-0.0003666121562627134,-0.0017315878706547772,0.0018657897047705402,0.00028891368607880663,-3.255087639758569e-05
0.6,-0.2509516026625372,0.791124773821821,-0.2824407849065259,-0.23011784503316574,-0.026369893673861666,-0.0012138426850603068,-3.0346792036672898e-05,-1.436911397922902e-06,-2.908886086444573e-05,-0.00042663977331253156,-0.0018536487619317255,0.0020416085721947676,0.00030784032484509893,-3.909265816626206e-05
0.62,-0.25329054563386594,0.7710746761667693,-0.2505256740835444,-0.23636589083126752,-0.02939527619868565,-0.0014574899793783347,-3.9165384127903824e-05,-1.935640845607267e-06,-3.607083224593799e-05,-0.0004925929920014394,-0.0019712213675892876,0.0022252565464856554,0.0003224805725127178,-4.655034221645593e-05
0.64,-0.25382605291270316,0.7501129381578594,-0.22000531112200178,-0.24189791549467698,-0.03259520197346044,-0.0017375014107626208,-5.00871778417733e-05,-2.5786625631463167e-06,-4.430217808443215e-05,-0.0005644211982679948,-0.002082470276145054,0.0024165600476703537,0.0003312913442819476,-5.494714330389616e-05
0.66,-0.2524995079558759,0.7283110258250262,-0.19103325756473533,-0.24669418511387475,-0.03596218237571669,-0.0020572134102321282,-6.350321874948328e-05,-3.3991388349585705e-06,-5.3911658499106174e-05,-0.0006419500351751428,-0.002185470910306353,0.002615230339123309,0.00033259639872290636,-6.427118087359851e-05
0.68,-0.2492815279443274,0.7057645181716365,-0.16375188623194026,-0.25074285406658986,-0.0394868511515899,-0.002419966373387261,-7.98542887424647e-05,-4.43561144147786e-06,-6.502138278619007e-05,-0.0007248676683310196,-0.0022782424994923778,0.0028208307873047317,0.00032462536158334165,-7.446710189729089e-05
0.7000000000000001,-0.24417428482528575,0.6825951852447034,-0.1382917672337266,-0.25404036043228523,-0.04315798577504926,-0.002829056219725845,-9.963298066262283e-05,-5.732362317378836e-06,-7.774172446073369e-05,-0.0008127135927770146,-0.002358788144651902,0.0030327481073223056,0.00030555946863436434,-8.542952971679618e-05
0.72,-0.23721366818935102,0.6589523446455448,-0.11477082360369306,-0.2565915198305952,-0.04696250771308774,-0.0032876764827222127,-0.00012338484443741304,-7.3396912672052395e-06,-9.216585111138098e-05,-0.0009048724392208829,-0.002425146501376929,0.0032501736165600065,0.00027358559415574524,-9.699870939727795e-05
0.74,-0.2284706254071186,0.6350133199130139,-0.09329326083232004,-0.2584097076999281,-0.05088554883718066,-0.0037988573827575367,-0.00015170862598967716,-9.314091518497492e-06,-0.00010836394608515487,-0.0010005719488087594,-0.002475446596543196,0.003472085867983976,0.0002269590355239992,-0.0001089594482701628
