t,mz_0,mz_1,mz_2,mz_3,mz_4,mz_5,mz_6,mz_7,mz_8,mz_9,mz_10,mz_11,mz_12,mz_13
0.0,-1.0000000000000002,0.0,0.0,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,1.0000000000000002,-1.0000000000000002,-1.0000000000000002
0.02,-0.9996001244011861,0.0008314390078200713,-0.001631000179364385,-0.9996003543993282,-0.9999999600297169,-0.9999999999982241,-0.9999999999999998,-0.9999999999999998,-0.9999999999964477,-0.9999999200385821,-0.9992003556428715,0.9984006989719785,-0.9992005031705677,-0.9999999201235088
0.04,-0.9984023625813399,0.003304765518759418,-0.006497148427917756,-0.9984058930536824,-0.9999993615693948,-0.9999999998864361,-0.9999999999999886,-0.9999999999999771,-0.9999999997727099,-0.9999987217497319,-0.9968062211666869,0.9936123399676924,-0.9968086702735397,-0.9999987270050464
0.06,-0.996412860406744,0.007404501639021028,-0.014564593239989867,-0.9964302702978951,-0.999996778985107,-0.9999999987095773,-0.9999999999997096,-0.9999999999994184,-0.9999999974150285,-0.9999935425508896,-0.9928326193851152,0.985664921713801,-0.9928451590303022,-0.9999936033330494
0.08,-0.9936419995706977,0.013081790067353917,-0.025753999577416527,-0.9936959299361532,-0.9999898682111645,-0.9999999927748187,-0.9999999999971027,-0.9999999999941965,-0.999999985508719,-0.9999796504639116,-0.987304256059697,0.97460770708177,-0.9873438248359159,-0.9999799902193308
0.1,-0.9901039119869949,0.020283342239762303,-0.039970461383499065,-0.9902335821278794,-0.9999754141940589,-0.9999999725645381,-0.9999999999827853,-0.9999999999654875,-0.999999944890079,-0.9999505030221545,-0.9802546502768344,0.960506926499892,-0.9803500348187022,-0.9999517935266412
0.12,-0.9858199167838442,0.028937498610743424,-0.05708569029051721,-0.9860825731190332,-0.999949399950429,-0.9999999185406139,-0.9999999999262672,-0.9999999998520241,-0.9999998360632478,-0.9998978379104306,-0.9717282881738034,0.9434515049864874,-0.9719238789114517,-0.9999016640755769
0.14,-0.9808158171766734,0.03896159365929223,-0.07694980483678243,-0.9812890921050603,-0.9999070838321296,-0.9999997959603548,-0.9999999997480915,-0.999999999493824,-0.9999995884566582,-0.9998117674296825,-0.9617768953910266,0.9235439909403991,-0.9621344179973821,-0.9998213221720245
0.16,-0.9751232128882974,0.050261063678307835,-0.09938905318031228,-0.9759061550600935,-0.999843094441477,-0.9999995488366096,-0.9999999992707587,-0.9999999985326865,-0.9999990876883397,-0.9996808951410165,-0.9504608224937889,0.9009034287093255,-0.9510607108723019,-0.9997019139819484
0.18,-0.9687814785891915,0.06274330403736116,-0.1242181868506201,-0.9699929978955912,-0.9997515492595725,-0.9999990932997196,-0.9999999981402072,-0.9999999962521027,-0.9999981612425966,-0.9994924880858089,-0.9378483232003199,0.8756642632473263,-0.9387908130788183,-0.9995344813901372
0.2,-0.9618367552660491,0.07629981478993396,-0.15122515946032264,-0.9636134361878309,-0.999626157778896,-0.9999983103811584,-0.9999999957086448,-0.9999999913371324,-0.9999965625247779,-0.99923259725849,-0.9240140416364332,0.8479729964983492,-0.925419452950408,-0.9993103507981412
0.22,-0.9543440983194906,0.09083053664800571,-0.18019316034556138,-0.9568358840097568,-0.99946036440745,-0.9999970386781666,-0.9999999908693873,-0.9999999815336041,-0.9999939540322895,-0.9988862696712291,-0.9090396998286081,0.8179897630651148,-0.9110482989864476,-0.9990215590311298
0.24,-0.9463668473136521,0.10623009464929942,-0.2108895090223251,-0.9497312315893928,-0.9992474580656487,-0.9999950667818395,-0.9999999818331374,-0.9999999631833523,-0.9999898894401821,-0.9984376951737566,-0.8930115874131443,0.7858835131148286,-0.895783102360813,-0.99866127558689
0.26,-0.9379754028580523,0.12240183889485372,-0.24308062490633559,-0.9423729976084212,-0.9989807214792297,-0.9999921261094494,-0.9999999658372447,-0.9999999306149434,-0.9999837955910217,-0.9978704171905489,-0.8760206609309799,0.7518301565091776,-0.8797311875352511,-0.9982241647425509
0.28,-0.9292493246021203,0.13925247621529094,-0.2765260154442245,-0.9348357572053989,-0.9986535560231924,-0.9999878839623337,-0.999999938777028,-0.9999998753649535,-0.9999749541819525,-0.997167533864858,-0.8581618431164438,0.7160132131866019,-0.8630022812621951,-0.9977067255971899
0.3,-0.9202762657637602,0.15669612075820943,-0.31098411663446984,-0.9271942939821969,-0.9982596119579275,-0.9999819372689702,-0.9999998947516662,-0.9999997852095508,-0.9999624838676531,-0.9963119010503032,-0.8395329969595587,0.6786210673759031,-0.8457063445780102,-0.9971075561100482
0.32,-0.9111514947911574,0.17465538676711403,-0.34621477020697994,-0.9195225799057533,-0.9977929085204885,-0.9999738070683745,-0.9999998255161683,-0.9999996429843945,-0.9999453229379353,-0.9952863335233995,-0.8202339776853569,0.6398452157546697,-0.8279523890832996,-0.9964275502984815
0.34,-0.9019770750387776,0.19306247233891888,-0.38198187198143935,-0.9118929202742483,-0.9972479498165528,-0.9999629340099885,-0.9999997198336092,-0.999999425175148,-0.9999222131102109,-0.9940738114952191,-0.8003658493361463,0.5998787272536149,-0.8098474125197561,-0.9956700170014278
0.36,-0.8928607833885712,0.21185958404715563,-0.41805562023858883,-0.9043751106125377,-0.9966198296684493,-0.9999486749759104,-0.9999995627224714,-0.9999991002618227,-0.9998916846959085,-0.9926576816454445,-0.78003005260026,0.5589146839694412,-0.7914954534192251,-0.9948407137874076
0.38,-0.8839147496928063,0.23099890607735873,-0.45421451211461816,-0.8970356785212699,-0.9959043259868966,-0.999930300994674,-0.9999993345962626,-0.9999986268044282,-0.9998520435455337,-0.9910218541916492,-0.7593276208303852,0.5171447210298257,-0.7729967859976555,-0.9939477938310034
0.4,-0.875253916618483,0.2504419969400186,-0.4902469575686506,-0.8899371309914106,-0.9950979780966875,-0.9999069964412832,-0.9999990102929353,-0.9999979512581438,-0.9998013598980078,-0.9891509857530396,-0.7383583435504742,0.4747575964646068,-0.7544472932203274,-0.9930016697151876
0.42,-0.866994331598307,0.2701587922994689,-0.5259526077359752,-0.8831372763716153,-0.9941981477824825,-0.9998778595888748,-0.9999985579938778,-0.9999970055113357,-0.9997374594398364,-0.9870306503569889,-0.7172199826941079,0.431937934127492,-0.7359380462615214,-0.9920148010920368
0.44,-0.8592511496392178,0.2901263813123218,-0.5611435598145653,-0.8766887395813728,-0.9932030716925228,-0.9998419047693793,-0.9999979380377201,-0.9999957041500477,-0.999657917190001,-0.9846475088379555,-0.6960076624301035,0.3888651485655194,-0.7175549696462434,-0.9910014040887137
0.46,-0.8521365610424729,0.3103273463426763,-0.5956451960560357,-0.8706384997080242,-0.9921118944091732,-0.9997980659338759,-0.9999971016309391,-0.9999939414479991,-0.9995600540550659,-0.981989459189088,-0.6748132285079621,0.34571241420848936,-0.6993786604975065,-0.9899770980730159
0.48,-0.845757598074383,0.3307478812335178,-0.6292968008009163,-0.8650275596576074,-0.9909246895171469,-0.9997452018002797,-0.9999959894650445,-0.9999915880965189,-0.9994409365927333,-0.9790457782360962,-0.6537247192619289,0.30264578107028417,-0.6814843038101739,-0.9889584969909726
0.5,-0.8402141284596574,0.3513756416975809,-0.6619518405015186,-0.8598905300258055,-0.9896424480324546,-0.9996821018093764,-0.9999945302350886,-0.9999884876649421,-0.9992973789309703,-0.9758072225099008,-0.6328256910107313,0.2598233184896713,-0.6639418250636653,-0.9879627759431406
0.52,-0.8355967240163241,0.37219763450243976,-0.6934781522392491,-0.855255468735959,-0.9882670646196248,-0.9996074937366761,-0.9999926390839021,-0.9999844528371865,-0.9991259485657313,-0.9722661347761171,-0.6121948309634815,0.21739454264432928,-0.6468160613462168,-0.9870072062263001
