t,W_1_0,W_1_1,W_1_2,W_1_3,W_1_4,W_1_5,W_1_6,W_1_7,W_1_8,W_1_9,W_1_10,W_1_11,W_1_12,W_1_13
0.0,0.0,,3.000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0030480721082502336,,2.9946258016757463,0.004839063337023528,0.0012291985101478692,0.0008317522683480044,0.0008314522364148959,0.000831439014368051,0.000831439007994034,0.0008314389432759124,0.0008307784453953365,0.0008301085076283971,0.0008307692006724966,0.0008314389417478201
0.04,0.012185406749056132,,2.9785669046663656,0.019251459078215544,0.004869528099186243,0.003309744407292501,0.0033049725316112812,0.0033047659383304484,0.0033047655290885836,0.0033047613621234825,0.0032942934976875195,0.0032836749379048925,0.0032941553695764072,0.003304761265536312
0.06,0.027394852397793143,,2.952017777146009,0.04299701377768945,0.010826702343641425,0.007429394610641411,0.007405510893626471,0.007404506363505377,0.007404501742049239,0.007404454834760673,0.007351963966606442,0.007298715610046303,0.00735134763689785,0.007404454107711072
0.08,0.04864472622837342,,2.91529694984703,0.07564640511415273,0.01892440874404688,0.013159158234985171,0.013084810001128336,0.013081816133951837,0.013081790533289417,0.013081529621217447,0.01291748246676395,0.012750977878999172,0.012915808864289799,0.013081527315620307
0.1,0.07588498948085964,,2.8688354878674684,0.11663634908213638,0.028937454753124398,0.02046822585702365,0.020290194110507524,0.020283439419920262,0.020283343475176956,0.02028236043303401,0.019887078118828103,0.019485424973590952,0.01988365155994208,0.020282362680463073
0.12,0.10903514716899934,,2.81318733983319,0.1652522340482634,0.040584399822863965,0.02931090676687019,0.028950424026869225,0.028937780706616206,0.02893750036608622,0.0289346093634453,0.02812823293732933,0.02730803192496605,0.028123039046699258,0.028934651073949744
0.14,0.1479890295302817,,2.748994215070624,0.22066578171326307,0.05354328154038771,0.0396321025212459,0.03898282813991657,0.038962281542151256,0.03896159249003751,0.0389544299251546,0.037488702348450725,0.035996180028447865,0.03748321257800083,0.0389546319197227
0.16,0.19261111136128006,,2.676984756287434,0.2819458054204569,0.06745939693881216,0.05136426942537604,0.05029216575127879,0.05026253786450707,0.050261047177819276,0.050245397845872536,0.04779867229237978,0.04530347526651361,0.047796558616597505,0.050246082633502345
0.18,0.2427094200450931,,2.597962575708906,0.34809314898946403,0.08196764436042539,0.06443896476017232,0.06278425193379515,0.0627461624960727,0.06274323988757154,0.06271220394935664,0.058886961661540366,0.05497927043150333,0.05889602889694693,0.06271410148773261
0.2,0.29804501833071545,,2.512783233775753,0.4180411158490436,0.09668616767936133,0.07876685309949441,0.07634790371956604,0.0763049296767458,0.0762996323093819,0.07624262739196702,0.07056624485393359,0.06475590445431219,0.07059951095376862,0.07624722358356008
0.22,0.3583210647392546,,2.4223501835365044,0.49070435970762827,0.11124857532748389,0.09425994013109738,0.09087911992537741,0.09083910190433622,0.09083009814626178,0.09073173259541362,0.08265969155042172,0.07437856778085561,0.08273755803587683,0.09074173577283817
0.24,0.42317578179974513,,2.327587341869325,0.5649848200504913,0.1253007558613881,0.1108160335826377,0.1062672446407443,0.10624365547207205,0.10622915382346616,0.1060679908481439,0.09498959296071381,0.08359575760614825,0.09514149927480359,0.10608801534038413
0.26,0.49218546867101026,,2.229427767749014,0.639804746565731,0.13852135195457885,0.12833126057981198,0.12240898384459746,0.12242229292930898,0.12239998333935345,0.12214722087732145,0.10739236823743523,0.09217484556905844,0.10765801546782783,0.12218470998634948
