t,C_1_0,C_1_1,C_1_2,C_1_3,C_1_4,C_1_5,C_1_6,C_1_7,C_1_8,C_1_9,C_1_10,C_1_11,C_1_12,C_1_13
0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.009996032169200964,0.0,0.9998999602096905,0.009998484140270422,4.998399343927733e-05,1.6645270133228614e-07,4.1588140344102973e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.019965845678291308,0.0,0.9995995011875104,0.0199862469754872,0.0001998422759340655,1.3317276864893792e-06,6.653471970875265e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,0.029881423918717297,0.0,0.9990976984722153,0.02995119808501917,0.00044918977716137617,4.4908427517450045e-06,3.366545278161491e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.03971519630939023,0.0,0.9983930426708637,0.039881327105837285,0.0007973515866847472,1.0629163947591745e-05,1.0625914670514349e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.049441457942977794,0.0,0.9974834186968076,0.0497658711423998,0.0012434604434804549,2.0719523188308187e-05,2.589261519956438e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.05903431481490833,0.0,0.996366168766962,0.059593677589778696,0.0017863775413551356,3.5717424562473255e-05,5.356237050476502e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07,0.0684684071956939,0.0,0.9950381689184964,0.06935357039641844,0.0024247149169185486,5.655661068945792e-05,9.894685191917173e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.07771945702219653,0.0,0.9934958344472161,0.07903476587575743,0.0031568626428500066,8.41458105636922e-05,1.68239508543778e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09,0.08676388372996259,0.0,0.9917352226032361,0.08862653552752806,0.003980977742075411,0.00011936461170951795,2.6847479859930007e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
