t,Cxx_1_0,Cxx_1_1,Cxx_1_2,Cxx_1_3,Cxx_1_4,Cxx_1_5,Cxx_1_6,Cxx_1_7,Cxx_1_8,Cxx_1_9,Cxx_1_10,Cxx_1_11,Cxx_1_12,Cxx_1_13
0.0,0.0,1.0,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,-0.00032804224687821277,1.0,-0.9994158865781935,-0.00035816790834941343,4.994109465117155e-05,7.521105371443792e-09,-4.154661941392329e-10,-3.40592643159689e-14,1.4054870641866042e-15,8.762443579027137e-20,-2.5474619587377782e-21,-2.2131864575531747e-25,-2.7365182880990815e-27,-6.350575867248427e-30
0.02,-0.0013114059477236698,1.0,-0.9976653272203867,-0.00142977345324603,0.00019916157006973805,1.2067744493064684e-07,-6.623563763638214e-09,-2.5130763289375598e-12,8.836325611528338e-14,2.0093466718890166e-17,-6.368941876797276e-19,-5.562193417332741e-23,-2.8705869199056875e-24,3.6599957523336787e-28
0.03,-0.002942923330841327,1.0,-0.9947542172371218,-0.0032093543494747653,0.0004457593267474167,6.082305076475117e-07,-3.3323717235565044e-08,-2.896271839685579e-11,9.992275975324199e-13,5.422316284685443e-16,-1.6135621925079452e-17,-3.443511865049174e-21,-1.624084668919665e-22,5.494416741985518e-26
0.04,-0.005210112539219938,1.0,-0.9906926922388616,-0.00568787662051523,0.0007865516614561129,1.912362907736659e-06,-1.0434859348169194e-07,-1.6224183078726257e-10,5.565905174560321e-12,5.47259151815303e-15,-1.6009401711199023e-16,-6.490438452982853e-20,-2.860854898833237e-21,1.638586978635689e-24
0.05,-0.008097934423918218,1.0,-0.9854942659200935,-0.008851693806290481,0.0012172019032684843,4.642410066790997e-06,-2.5167399122087205e-07,-6.155137030188662e-10,2.0987947521272217e-11,3.257749997613274e-14,-9.467218992453472e-16,-6.12990582167814e-19,-2.6472362439053347e-20,2.322893654124731e-23
0.06,-0.011585996121858792,1.0,-0.9791763252711313,-0.012684186726444849,0.0017321833887589582,9.562994889589885e-06,-5.14085557666085e-07,-1.825382755362979e-09,6.177442529170709e-11,1.3943431802906354e-13,-4.0315010238343515e-15,-3.803080058869162e-18,-1.6273258176120681e-19,2.0402001151699375e-22
0.07,-0.015649739962048288,1.0,-0.9717599832804777,-0.01716518046568765,0.0023248544996606864,1.7580978628208582e-05,-9.354881758907336e-07,-4.565661214192434e-09,1.5311696396970853e-10,4.754639638752355e-13,-1.3679190254478146e-14,-1.7714913619666985e-17,-7.540623188110391e-19,1.2801985666851986e-21
0.08,-0.020260744174463104,1.0,-0.9632696340447306,-0.022271330500281926,0.0029875450689220637,2.9730329701359443e-05,-1.5629350504321458e-06,-1.0078575266648039e-08,3.3440235510759355e-10,1.372870204519383e-12,-3.92837526758129e-14,-6.696394780265133e-17,-2.8397877873924895e-18,6.278652336087419e-21
0.09,-0.0253868363052642,1.0,-0.9537330633709129,-0.027976094540399198,0.0037116209188231305,4.715344720113646e-05,-2.4444022157085307e-06,-2.0217718790653593e-08,6.625431512393915e-10,3.4906471155008414e-12,-9.927534399103461e-14,-2.1587211190578447e-16,-9.125449186639118e-18,2.548648357492272e-20
0.1,-0.030992251933885672,1.0,-0.9431812786104746,-0.03424999483426053,0.004487569080639941,7.108110635288356e-05,-3.6263491852453976e-06,-3.759784529867961e-08,1.2147573096582028e-09,8.026498244926426e-12,-2.2672213507407158e-13,-6.137678359944738e-16,-2.5867638956261475e-17,8.906494203000616e-20
0.11,-0.03703795725166912,1.0,-0.9316481597660012,-0.04106096023782121,0.005305097885778664,0.00010281143212661272,-5.151126909003154e-06,-6.574650301925965e-08,2.0904107100399277e-09,1.7011682773147488e-11,-4.76869358271136e-13,-1.5763408571531163e-15,-6.623617397805129e-17,2.756254308139684e-19
0.12,-0.04348185961609545,1.0,-0.9191705499731707,-0.04837431732879646,0.006153227253804673,0.0001436856151836579,-7.054280673113441e-06,-1.09249206469007e-07,3.411544851251501e-09,3.3701798505595565e-11,-9.367644724822168e-13,-3.7218913297493244e-15,-1.559125700322925e-16,7.713314417071e-19
0.13,-0.05027934029078343,1.0,-0.9057876501813132,-0.05615325892004326,0.0070204151272601845,0.00019506525072146856,-9.361836524369979e-06,-1.7388623835251517e-07,5.321696113834368e-09,6.307686175622596e-11,-1.7369630158514208e-12,-8.187473481525961e-15,-3.4189543771420855e-16,1.9831917374307928e-18
0.14,-0.05738370787585282,1.0,-0.8915406576290489,-0.06435912542907947,0.00789467803037478,0.00025830853547480464,-1.2087628801228778e-05,-2.66753643080666e-07,7.98267959380594e-09,1.1246062566838063e-10,-3.06515926362778e-12,-1.6956443981951668e-14,-7.057135707560078e-16,4.742815625254541e-18
0.15,-0.06474624908117656,1.0,-0.8764730233396669,-0.0729513957243502,0.008763686387487373,0.00033474302040648426,-1.5230667755656213e-05,-3.9635647347109913e-07,1.1569009464748539e-08,1.9226102521385623e-10,-5.181389814784273e-12,-3.333376605253301e-14,-1.382470132615971e-15,1.0654163618079447e-17
0.16,-0.07231668118060072,1.0,-0.8606298667856284,-0.0818882401640931,0.009614883145537436,0.00042564286744677045,-1.8772628602635702e-05,-5.726796974699213e-07,1.6259603791526684e-08,3.16839137193553e-10,-8.43415612207036e-12,-6.261471220090897e-14,-2.587336880591041e-15,2.265935801023225e-17
0.17,-0.08004355329456762,1.0,-0.8440577687801198,-0.0911267164642728,0.010435600713113976,0.0005322042103148614,-2.2675554657098553e-05,-8.072236108266719e-07,2.2226642908112668e-08,5.055000259301392e-10,-1.327665885570081e-11,-1.1299622975661019e-13,-4.651314953239344e-15,4.5922963896961186e-17
0.18,-0.08787446851056138,1.0,-0.8268048452064187,-0.10062285567521434,0.01121316923796084,0.0006555190008351267,-2.6879784823545763e-05,-1.1129948665827356e-06,2.9621406290584272e-08,7.835903532530663e-10,-2.028202065987986e-11,-1.9678226711465658e-13,-8.068169551572602e-15,8.91664067584379e-17
0.19,-0.0957569711226263,1.0,-0.8089195669364694,-0.1103323933114349,0.011935058159244243,0.0007965589016591063,-3.1302251165379e-05,-1.5044791455593435e-06,3.855700830974805e-08,1.1837191980109055e-09,-3.015610821889871e-11,-3.319582118443566e-13,-1.3554699577307914e-14,1.6661058837196583e-16
0.2,-0.10363862765540377,1.0,-0.7904510452671012,-0.12021072921261373,0.01258897235622313,0.0009561510696174124,-3.583504845069282e-05,-1.9975494410204847e-06,4.908812387128964e-08,1.747044459673591e-09,-4.3746450810518135e-11,-5.441798994768398e-13,-2.2126389000560826e-14,3.0073180077628215e-16
0.21,-0.11146724520054689,1.0,-0.7714490413937568,-0.13021307824584924,0.01316295183048065,0.0011349564657969517,-4.034436168855116e-05,-2.609325402652766e-06,6.118771198388463e-08,2.52460712668931e-09,-6.204528091432294e-11,-8.692399798337584e-13,-3.5190409233940294e-14,5.260670529022225e-16
0.22,-0.11919148347273686,1.0,-0.7519631896440487,-0.14029504343332852,0.013645459775329908,0.0013334570989607542,-4.4669648886724404e-05,-3.3580070992109115e-06,7.472051711120541e-08,3.5787186726592615e-09,-8.618424608405227e-11,-1.3561015260454276e-12,-5.4658124027322956e-14,8.943210407495012e-16
0.23,-0.12676106933812858,1.0,-0.7320431400990985,-0.1504126010862044,0.014025483369789656,0.0015519367089596302,-4.862344044360447e-05,-4.262635630410059e-06,8.941446616873372e-08,4.984303944491985e-09,-1.1741914718369513e-10,-2.0705150792848173e-12,-8.307869949580925e-14,1.4810909935321137e-15
0.24,-0.1341271947322912,1.0,-0.7117382521407473,-0.16052237035997463,0.01429262031987964,0.0017904676473906203,-5.1991487971368585e-05,-5.342815976406481e-06,1.0482966427248627e-07,6.8301971835138865e-09,-1.5710172593038924e-10,-3.099296374814148e-12,-1.2379541193223655e-13,2.3945051644392473e-15
0.25,-0.14124320054577139,1.0,-0.6910965608862435,-0.17058216590838607,0.01443716050070448,0.0020489089498132973,-5.453330760108723e-05,-6.61844081322955e-06,1.2032535248448378e-07,9.220434510975703e-09,-2.066363123862938e-10,-4.5553964677774266e-12,-1.8112799518986634e-13,3.78605933559315e-15
0.26,-0.14806444217337358,1.0,-0.670165487104246,-0.18055075673728838,0.014450157298987288,0.0023268887587662426,-5.5983322888038e-05,-8.109293617030423e-06,1.350263078548118e-07,1.2275264301390667e-08,-2.674190547252013e-10,-6.5835999299352514e-12,-2.605790875733556e-13,5.864040225030465e-15
0.27,-0.15454867958995178,1.0,-0.648991464061445,-0.1903881575010189,0.014323475704489346,0.0026237996332624607,-5.605217958966872e-05,-9.834649340035495e-06,1.477876512335045e-07,1.613201389590434e-08,-3.4075571272272996e-10,-9.367033422862415e-12,-3.6906728689182147e-13,8.909688930259561e-15
0.28,-0.16065652157302315,1.0,-0.6276193984195342,-0.20005593964379176,0.014049825131536601,0.002938798747329935,-5.4428332394020336e-05,-1.181285715460528e-05,1.571588020516481e-07,2.0945754892406992e-08,-4.2775536222772507e-10,-1.313451787504776e-11,-5.15188423086778e-13,1.3296245933191223e-14
0.29,-0.16635144975968558,1.0,-0.6060930894888882,-0.20951708766388374,0.013622831563242543,0.003270798938237852,-5.0780653975442706e-05,-1.4060827210812262e-05,1.6135012666888316e-07,2.6889492324842484e-08,-5.292004996659791e-10,-1.8168472068776204e-11,-7.095008365277754e-13,1.9511106916942444e-14
0.3,-0.1716003236327968,1.0,-0.5844543336223469,-0.21873641984302813,0.013037049045120345,0.00361847889598262,-4.476071388297117e-05,-1.6593588609211704e-05,1.5819820819887467e-07,3.415423808881771e-08,-6.453869550249784e-10,-2.4813842869552423e-11,-9.648439103119566e-13,2.8180683920276255e-14
0.31,-0.17637350690576867,1.0,-0.5627427574181219,-0.22768066047140345,0.012287984063244519,0.003980288144334571,-3.6005672702339896e-05,-1.9423798343175304e-05,1.451338472944896e-07,4.2948638837912805e-08,-7.759351186453796e-10,-3.348771172182021e-11,-1.2966869634456826e-12,4.009791903363668e-14
0.32,-0.1806447546752874,1.0,-0.5409964961101036,-0.236318210951621,0.011372146418020961,0.004354441703104205,-2.4142117297023857e-05,-2.2561137757044077e-05,1.1915564340674279e-07,5.349780608893255e-08,-9.195720256108336e-10,-4.4689028240971526e-11,-1.7234951685676997e-12,5.625200672301985e-14
0.33,-0.18439164480300965,1.0,-0.5192514847089093,-0.24461945819965455,0.01028700094118001,0.004738933637079801,-8.78876723935891e-06,-2.6011806551434597e-05,7.680063691744239e-08,6.604195265347824e-08,-1.0738703926186754e-09,-5.900939076425266e-11,-2.2671311808595662e-12,7.785847791990542e-14
