t,Czz_1_0,Czz_1_1,Czz_1_2,Czz_1_3,Czz_1_4,Czz_1_5,Czz_1_6,Czz_1_7,Czz_1_8,Czz_1_9,Czz_1_10,Czz_1_11,Czz_1_12,Czz_1_13
0.0,0.0,1.0,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,-9.992065996766681e-05,0.9999998322654453,-0.999799939420037,-9.996968701320971e-05,-2.4983996857572306e-09,-2.7744083072600567e-14,1.6263032587282567e-19,1.6263032587282567e-19,3.7947076036992655e-19,-3.404394821604484e-17,-3.330332971201999e-14,1.2876743645971397e-09,-2.3076620301611638e-09,1.0200210030461045e-09
0.02,-0.00039863500023938365,0.9999973073411209,-0.999199182327355,-0.00039945007481671704,-3.9936936171514406e-08,-1.773441419758437e-12,6.505213034913027e-19,6.505213034913027e-19,4.4885969940899884e-17,1.3010426069826053e-17,1.2744813884801864e-12,1.0090193758869118e-08,-1.3611133382928145e-08,3.5196650869425555e-09
0.03,-0.0008928995107950746,0.9999863869262443,-0.9981962113321774,-0.0008970742916417991,-2.0177146120440095e-07,-2.0167677857590993e-11,-1.1063198968042087e-15,0.0,2.949029909160572e-17,8.773363979752702e-16,1.1280943193470172e-11,2.8823537289585088e-08,-1.9823364632090557e-08,-9.011454619838044e-09
0.04,-0.0015772968552635594,0.9999571390911461,-0.9967886860788409,-0.0015905202744840924,-6.35769567002703e-07,-1.1297905666562968e-10,-1.1248814379971606e-14,1.734723475976807e-18,8.239936510889834e-17,9.004082202057617e-15,3.95490489316086e-11,5.170912111517045e-08,2.2415422142561814e-08,-7.416410127691897e-08
0.05,-0.0024444578299754284,0.9998958364981542,-0.9949731900531698,-0.002476641991712881,-1.5461939301634336e-06,-4.2929865565199954e-10,-6.703318455869578e-14,6.938893903907228e-18,3.642919299551295e-17,5.0166468201773284e-14,1.1786808161440288e-10,8.831115307257609e-08,1.350520198450944e-07,-2.234810909888113e-07
0.06,-0.0034850504072221587,0.9997852090348228,-0.9927455596913048,-0.003551406515310579,-3.191144963577211e-06,-1.2757346273123416e-09,-2.8694754905522757e-13,3.8163916471489756e-17,1.6479873021779667e-16,2.033095913844818e-13,2.9994665605437287e-10,1.4208103093528435e-07,3.6494511980976474e-07,-5.073263007124296e-07
0.07,-0.004687922883428021,0.9996047004100909,-0.9901009771045979,-0.00480991797927721,-5.87924315674504e-06,-3.1986512119552835e-09,-9.793311994688025e-13,-2.3245294578089215e-16,2.42861286636753e-16,6.605722913111123e-13,6.714618167036335e-10,2.168828269512313e-07,7.664993056689939e-07,-9.840542551063647e-07
0.08,-0.006040314020182274,0.9993307792053464,-0.9870339976593089,-0.006246494658699239,-9.965783802128036e-06,-7.080521342850421e-09,-2.831693213245501e-12,-6.696032617270475e-16,1.2351231148954867e-15,1.8406040580565275e-12,1.373678521626731e-09,3.2091883616497396e-07,1.3929226285423757e-06,-1.715216985141016e-06
0.09,-0.007527971666190993,0.9989372900771469,-0.9835387920758225,-0.007854663890927684,-1.5848189068343177e-05,-1.4247923119103945e-08,-7.2118908067686505e-12,-2.338407245616736e-15,3.913536161803677e-15,4.554349952723413e-12,2.6091710181308514e-09,4.6113820797305527e-07,2.306989459709141e-06,-2.7707413970678996e-06
0.1,-0.009135348069110538,0.9983958597717043,-0.9796093248479127,-0.009627199315015107,-2.396093458049975e-05,-2.6588463757082348e-08,-1.6615368803041264e-11,-6.7584826624056404e-15,1.0880185641326534e-14,1.0228262681266642e-11,4.644663632868973e-09,6.422446279172322e-07,3.5809475599501983e-06,-4.227847090490511e-06
