t,W_1_0,W_1_1,W_1_2,W_1_3,W_1_4,W_1_5,W_1_6,W_1_7,W_1_8,W_1_9,W_1_10,W_1_11,W_1_12,W_1_13
0.0,0.0,,3.000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0009656769865608763,,2.998631798410503,0.0010258792623702806,0.0005094337823333507,0.00040956913463732986,0.0004095549233867308,0.00040955409252246106,0.0004095540924571537,0.0004095540924542858,0.00040955409037406,0.00040947347753775824,0.00040939260291165735,0.0004094732199085809
0.02,0.0038644540070935213,,2.9945312176052665,0.0041003726038803655,0.002039215457655485,0.0016411736732072084,0.0016409455672212313,0.0016409323251198567,0.0016409323202704747,0.0016409323200879298,0.0016409321901673553,0.001639630407986288,0.0016383225018716035,0.0016396245439111398
0.03,0.008679230434746563,,2.987711629406315,0.009207902230895336,0.004580906051834034,0.0036908063577841864,0.0036896565644446155,0.0036895899749366913,0.0036895899190097317,0.003689589916864016,0.0036895884359748666,0.003682987020614203,0.0036763531218889,0.0036829574994705623
0.04,0.015379358221367361,,2.9781960514624255,0.01632157582283194,0.008119287697155978,0.00655064894560355,0.006547033030687302,0.006546824657995325,0.006546824344643406,0.006546824332045606,0.006546816014608331,0.0065259829796015705,0.006505054730074607,0.006525904404365534
0.05,0.023932257721322257,,2.966015126561232,0.025407260464111382,0.012638893885850332,0.010215336602905498,0.010206555564411912,0.010206053447524607,0.010206052258471746,0.010206052207787596,0.010206020572235401,0.010155331412434392,0.010104448094433264,0.010155200551536061
0.06,0.03429085465981743,,2.9512082953252254,0.036419892797783834,0.018116876705224542,0.014674873231981946,0.014656776707736447,0.01465575218767788,0.01465574866045284,0.01465574849961923,0.014655654440645288,0.01455103460493046,0.014446116844125254,0.014550924909962713
0.07,0.046398602852157945,,2.9338234558478287,0.04930501403683916,0.02452585298090791,0.019917301181619627,0.01988401346325312,0.019882151619222715,0.019882142794095177,0.0198821423605511,0.01988190644971012,0.01968919529871324,0.019496167586473767,0.019689350942218665
0.08,0.06019006813569675,,2.9139159295852917,0.06399958475496029,0.03183416186763674,0.02592875555873813,0.02587242803508314,0.025869322325038975,0.025869302836545736,0.025869301799475795,0.025868779486008096,0.025542234319878804,0.025215615200532143,0.025543206101809497
0.09,0.07559125715262868,,2.891548733961428,0.08043207260433255,0.04000609153677189,0.03269352410290762,0.03260412073352796,0.032599272371986475,0.03259923326115981,0.03259923099772637,0.032598179829305754,0.03207913169381573,0.031560806805273574,0.03208196010173837
0.1,0.09251972301757357,,2.866792195667313,0.09852283616674032,0.0490018969271549,0.0401938539323668,0.040058972098531535,0.04005179461315266,0.04005172184562332,0.04005171725319585,0.04004975545971799,0.03926544284982266,0.03848365100208364,0.039271893709625375
0.11,0.1108851615059803,,2.839723144055913,0.11818485062942938,0.05877805093177953,0.04840996006587681,0.04821468845605449,0.048204517732302825,0.04820439041663645,0.048204381639248235,0.04820093764685258,0.047063535063034574,0.04593208588630626,0.04707639029360349
0.12,0.13059000941202184,,2.810425141459635,0.13932393429196388,0.06928761194363722,0.05732016298971231,0.057046982842495625,0.05703309285384284,0.057032881170281956,0.057032865213701524,0.05702711785893488,0.055432966599366224,0.05385069833990759,0.05545637181191163
0.13,0.15153069086105939,,2.7789870756396735,0.16183997320327773,0.08048080961435362,0.06690117581152472,0.06652990225578259,0.06651152649600701,0.06651118934875894,0.0665111615550582,0.06650197103751677,0.06433102156857778,0.062181507699659896,0.06437088985734803
0.14,0.1735988317053059,,2.7455023282203705,0.18562787185441704,0.09230568810653945,0.07712845840439017,0.07663622428086814,0.07661258278503319,0.07661206520539286,0.07661201855435668,0.07659784829715366,0.07371330531316334,0.07086479842730829,0.07377777436562026
0.15,0.19668120948007417,,2.7100694021756726,0.2105774552565821,0.1047081264613186,0.08797599127174055,0.08733728041961111,0.0873076122385292,0.08730684258925825,0.0873067667912082,0.0872855967105389,0.08353378552683773,0.07983941991103932,0.08363372993042113
0.16,0.22066042690103577,,2.672790559589907,0.23657448898724104,0.11763201345590468,0.09941616696501762,0.09860288822590076,0.09856648906711804,0.09856537608686985,0.09856525642972247,0.09853448839108395,0.09374494978927214,0.08904320313779755,0.09389454044537136
0.17,0.24541594304833989,,2.6337713550618176,0.2635013967127525,0.13101978599143274,0.11142004420721262,0.11040165038167146,0.11035791491845445,0.11035634467096277,0.11035616058241178,0.11031251690006533,0.10429831343508048,0.09841370804030822,0.10451561983480974
0.18,0.27082447608116283,,2.5931208323164907,0.2912374963539566,0.14481263504147673,0.1239572828501889,0.12270093809436163,0.12264940640594371,0.12264723921596934,0.12264696250207932,0.12258637879175749,0.11514462703329381,0.10788868425932169,0.11545225924472932
0.19,0.296762368615334,,2.550948760799873,0.31966116104965886,0.1589516332068706,0.13699695700808842,0.13546773334651946,0.13540814071359078,0.13540520811925377,0.13540480083803222,0.135322313871788,0.12623486492170571,0.11740721848129143,0.12666063731645366
0.2,0.32310568122106176,,2.5073663325412423,0.3486497431266905,0.1733778345000142,0.15050741193383707,0.14866853165350088,0.1486008610371289,0.1485969628803109,0.14859637481229324,0.1484860070895603,0.13752031788526453,0.1269100368357036,0.13809793971826628
0.21,0.3497304660936078,,2.462486206338787,0.3780798291675885,0.18803235961169257,0.1644561039805186,0.16226922357635098,0.16219375996748014,0.16218866171292498,0.1621878273943046,0.16204247024568755,0.14895266960104053,0.1363397890994082,0.14972245302601914
0.22,0.37651391823003766,,2.4164206874730225,0.40782848487820184,0.20285671848015754,0.17880972090840302,0.1762352392473094,0.17615262532639492,0.17614605565277544,0.17614489093805036,0.17595618749482916,0.1604842954075658,0.1456414875744187,0.16149385220669718
0.23,0.40333499931362193,,2.369282089901799,0.43777349084478234,0.2177932074760111,0.1935343357765361,0.19053174082833366,0.19044303255672235,0.1904346813601176,0.19043307948674415,0.1901913094660526,0.1720686039519771,0.15476299820234368,0.17337354228019716
0.24,0.4300752718133968,,2.3211820314369866,0.4677940424002873,0.23278523078812582,0.20859552663806355,0.20512376908879096,0.20503049045878832,0.20502000733744982,0.2050178344709504,0.20471180252369015,0.18366031344603106,0.1636554280017658,0.18532491342805255
0.25,0.4566209314306434,,2.2722290052253427,0.4977725449949719,0.24777831705938755,0.22395922861900183,0.21997710082952232,0.21988129698778994,0.2198682902000417,0.21986538042208692,0.21948230719557663,0.19521629539649293,0.1722739264202057,0.19731415353918436
0.26,0.4828621700467475,,2.2225300815022595,0.5275938619751351,0.26271981066139843,0.23959124115278432,0.23505779389549133,0.23496208120041442,0.23494611733381102,0.23494226708148916,0.23446768787984426,0.20669527942556662,0.1805775397080841,0.20930993418728489
0.27,0.508693834282288,,2.1721900375247882,0.5571459241810849,0.27755898569148824,0.2554572337451107,0.250332205318983,0.2502398179851336,0.25022042233609826,0.2502153842864582,0.24963305612462822,0.21805795193619862,0.18852934102907856,0.22128345051784
0.28,0.5340164146225077,,2.1213100917454613,0.5863205644482459,0.29224736258697637,0.27152299631414134,0.2657672448292475,0.2656820775810591,0.2656587352765142,0.2656522116715793,0.264944029219634,0.22926722830222826,0.19609665754438477,0.23320861893295022
0.29,0.5587360690936368,,2.0699889202847976,0.6150132775559763,0.306738784502367,0.28775434652217396,0.28133030563206307,0.2812569501315285,0.2812291081872822,0.28122074363312644,0.2803666678441974,0.240288266279212,0.20325113388200422,0.24506204130304501
0.3,0.5827660592222366,,2.018320539160585,0.6431245138288085,0.32099003806647464,0.30411775034987143,0.29698986960328544,0.29693364545707923,0.296900715624624,0.29689008933630945,0.29586808515926305,0.25108896360904803,0.20996905225252957,0.2568234203788096
0.31,0.6060272612430995,,1.9663939178049423,0.67056005912265,0.3349611751425441,0.3205806047342642,0.31271578618259427,0.3126827652021698,0.3126441277042844,0.31263074520867895,0.311416729633312,0.26164015718881845,0.21623141186799896,0.26847570414008665
0.32,0.6284475404598602,,1.9142946067891038,0.6972303015526748,0.3486151562595603,0.33711075824860326,0.32847881167959964,0.32847583328821894,0.32843084167698583,0.3284141260802369,0.32698193373387735,0.2719152618496923,0.22202362316071955,0.2800046564177532
0.33,0.6499625544598577,,1.8621030540514947,0.723050931113039,0.361917898459757,0.35367668218175774,0.3442507590802399,0.3442854393228027,0.34423342625566594,0.3442127090717989,0.34253407129161034,0.2818903483537171,0.2273353873276946,0.29139879048946626
0.34,0.6705159691507858,,1.8098947699938455,0.747942999055298,0.37483845334414945,0.3702476198934067,0.3600464002239662,0.3600853735802748,0.36002565763644667,0.3600001692262376,0.35804470796213733,0.2915442177189593,0.23216064508695344,0.3026493657609824
0.35000000000000003,0.6900592702149726,,1.7577411930853668,0.7718326017792903,0.3873488880644379,0.386793402661023,0.3758502013453424,0.3758504341443723,0.3757826210686731,0.37575118754695624,0.37348642898548684,0.3008582382517681,0.23649736173195746,0.31375012512583367
0.36,0.7085530425684876,,1.7057068971178637,0.7946521594248338,0.39942501002161857,0.40328541938070245,0.3916044996202776,0.39155733924389885,0.39148091942926055,0.39144236353168804,0.3888337542447462,0.3098168821599571,0.24034762485829625,0.32469776783581855
0.37,0.725966149192028,,1.6538514582398487,0.8163395639909514,0.4110460171603923,0.41969617770831713,0.4072882561401455,0.40718428284114555,0.4070987244437426,0.40705177175275264,0.4040627145605584,0.31840733232098595,0.24371725361539298,0.3354914895766195
0.38,0.7422754470744766,,1.6022300943026901,0.8368378486042134,0.422194269423832,0.4359990783551748,0.422881646353586,0.4227106891761332,0.4226155075573285,0.4225587174076855,0.41915062679155246,0.3266192419120868,0.24661546926738576,0.34613262980389625
0.39,0.7574661940640246,,1.5508921712826287,0.8560955190394091,0.43285524185882024,0.4521686272022718,0.43836622680347825,0.43811738450002874,0.4380121560161661,0.43794390874546935,0.43407627739676885,0.3344447449018231,0.24905458467396335,0.35662451267325573
0.4,0.7715315716742341,,1.4998825063472134,0.8740661285347606,0.4512543229153285,0.4681803548516569,0.4537248222982702,0.45338649554041943,0.45327087225728563,0.4531893566146873,0.44881983997214603,0.34187831190588186,0.25104979044557796,0.36697225879935735
0.41000000000000003,0.7844725906952024,,1.4492412394652168,0.8907082279975795,0.4705722830200229,0.4840108787036376,0.46894154497456186,0.4685014771775092,0.4683752023303785,0.4682784030746318,0.46336291785345296,0.34891666867720483,0.25261887180097237,0.377182598063076
0.42,0.7962983038008966,,1.3990022032683684,0.9059857935969766,0.48997724647713264,0.49963858904302755,0.4840024205651769,0.48344774365764087,0.48331066745977763,0.4831963526717878,0.47768916812946055,0.3555590099100352,0.25378202494353597,0.38726411196605276
0.43,0.8070247420650964,,1.34919547551182,0.9198672528216412,0.5094413318003578,0.5150429678567441,0.49889468198189646,0.49821197640431636,0.49806407264144925,0.49792978179800834,0.491783638867554,0.3618064874102893,0.2545614559689268,0.39722662420024035
0.44,0.8166747187464635,,1.299847057084968,0.9323253571348711,0.5289363357260687,0.5302045558347825,0.5136066935607358,0.5127820560347477,0.5126234391116472,0.5124664716751586,0.5056327147577254,0.3676620646521742,0.25498102394639754,0.4070809085168953
0.45,0.8252775939009549,,1.2509783564740817,0.9433370884709729,0.5484339793993085,0.5451050799521701,0.5281280356116621,0.5271471536033387,0.5269780958885778,0.5267955003298527,0.5192242158138379,0.37313045075623835,0.2550659257851739,0.4168385251728541
0.46,0.8328685415392469,,1.2026078979226038,0.9528832107774349,0.5679054757936387,0.5597271949877667,0.5424491984864356,0.5412974397954151,0.5411183891278641,0.5409069531013355,0.5325471296147312,0.37821785672689145,0.2548424756015009,0.42651153078090037
0.47000000000000003,0.839488371261558,,1.1547499393354563,0.9609483806969488,0.5873221695009013,0.5740549367483209,0.5565619843337714,0.5552244907728515,0.5550360877791166,0.5547923284594815,0.545591999771984,0.3829320609647971,0.2543378322678409,0.4361125576331738
0.48,0.8451828647648351,,1.1074149196097132,0.9675208400025699,0.6066555627626331,0.5880737665790108,0.570459503612765,0.5689212942909951,0.568724389412845,0.5684445443757181,0.5583509381390124,0.3872822623111673,0.253579755459534,0.445654723458148
0.49,0.8500019739238777,,1.060611473521679,0.9725919207262812,0.6258765973943359,0.6017700538184214,0.5841356053082153,0.5823816969066715,0.5821773670361822,0.5818573869749651,0.5708170998201442,0.3912787250371083,0.25259635856414425,0.4551511549898016
0.5,0.8539994910517026,,1.014345376274865,0.9761558964711174,0.6449559513051816,0.6151311406528691,0.5975849081017821,0.595600438627168,0.5953900033688941,0.5950255457047118,0.582984719285545,0.3949327043508322,0.2514157592362198,0.46461474547206755
0.51,0.8572323803760256,,0.9686203044057979,0.9782097815117807,0.6638639288241662,0.6281453298716881,0.6108027293456987,0.6085730943431651,0.608358131300229,0.6079445551024082,0.594849057362163,0.39825632119673776,0.25006592283368667,0.47405805715566135
0.52,0.8597601365544126,,0.9234390285921414,0.9787531644876089,0.6825700832392195,0.6408016563364675,0.6237847890996541,0.6212957932656139,0.6210781520220227,0.620610515106129,0.6064061419133905,0.401262373219109,0.24857449832848033,0.4834930410570193
0.53,0.8616442724109712,,0.8788014940621072,0.9777880938419591,0.7010441241022419,0.6530905184049685,0.6365278066459339,0.6337658133003949,0.6335476281069747,0.6330206833837531,0.6176533151806569,0.4039644230540366,0.24696859942865085,0.49293137044609003
0.54,0.8629475624528872,,0.8347068586438854,0.9753188346254759,0.7192552104225429,0.6650032414334461,0.6490289883476072,0.64598108765307,0.6457647881594151,0.6451729825230085,0.6285887671043947,0.40637651726732443,0.24527469457286785,0.5023840870310715
0.55,0.8637334881709877,,0.7911542989179018,0.9713517960852303,0.7371716434820876,0.6765318634514572,0.6612857420022454,0.6579399325058108,0.6577282522637726,0.6570657279505193,0.6392112813154452,0.4085130256780325,0.24351845650459866,0.5118613152714567
0.56,0.8640657110998913,,0.748142034601353,0.9658952952462223,0.7547611585014312,0.6876692008248565,0.6732957172949569,0.6696410888456854,0.6694370721292258,0.6686976693124455,0.6495202700929936,0.41038860582457004,0.2417245319581624,0.5213721130450839
0.5700000000000001,0.8640074569936264,,0.7056687077613423,0.9589596527076307,0.771990587437922,0.6984087632775994,0.6850566193388195,0.6810835528179593,0.6808905579488502,0.6800678199731288,0.6595156154946522,0.41201807285462083,0.23991653078686365,0.530924402770818
0.58,0.8636209801591621,,0.6637334213354708,0.9505571685553086,0.7888258914239107,0.7087447733065324,0.6965661614829479,0.6922665360754121,0.6920882355246787,0.6911754162101836,0.6691976289142073,0.4134163323610114,0.2381169163249274,0.5405248832821689
0.59,0.8629669489159979,,0.6223346029000583,0.9407017976591243,0.8052327423253202,0.7186725774720627,0.7078224482699702,0.7031898462596156,0.7030302237619243,0.7020202936944843,0.6785673765106448,0.4145983749077714,0.23634691130910707,0.5501793734497366
0.6,0.8621040281707455,,0.5814721732067833,0.9294094876578307,0.8211757508153179,0.7281882085559208,0.7188234068244076,0.7138533389475944,0.7137166814494803,0.7126023391266443,0.6876261772340663,0.41557908164341856,0.23462649985140296,0.5598924014390377
0.61,0.8610884363677687,,0.5719172314383363,0.9166981484744088,0.8366185379997114,0.7372883491849305,0.7295666967948824,0.7242568304527875,0.7241477159840398,0.7229214015332908,0.6963755198030531,0.4163731857846597,0.2329743218458867,0.5696670372771966
0.62,0.8599734715401665,,0.5910382802158038,0.9025875352553538,0.851523914894567,0.7459703986569264,0.7400497329839757,0.7344001209928145,0.7343234022728397,0.7329773129550075,0.7048170752867646,0.4169952503981921,0.23140761209523247,0.5795048793987121
0.63,0.8588091889783389,,0.6094912510988395,0.8870997538713419,0.8658535819159723,0.7542323925127696,0.750269465116447,0.7442827864149143,0.7442435674643922,0.7427696775497751,0.7129525083902961,0.4174595783919679,0.2299422386949983,0.5894059389477163
0.64,0.8576419537686748,,0.6272727682736655,0.8702588728643598,0.8795686726554884,0.762073296159791,0.7602226651583672,0.7539044561726179,0.7539080644646436,0.7522981444862762,0.720783705159278,0.41778021891960515,0.22859264959554962,0.599368901550658
0.65,0.856514160315949,,0.6443789315424208,0.8520909771362213,0.8926298000294667,0.7694930765219586,0.7699059255606817,0.7632730827382325,0.7633167639143766,0.7615624012914542,0.7283127512341131,0.4179709006535651,0.2273718980913687,0.609391225780341
0.66,0.8554641071914917,,0.660804560135633,0.8326248817275602,0.9049967000482703,0.776492496315357,0.7793153064287478,0.7724767832067753,0.7724691990638177,0.7705618246887649,0.7355416252603415,0.41804495306948647,0.22629166042111803,0.619468831649393
0.67,0.8545256589735354,,0.6765440593382583,0.8118918014063314,0.9166285733989008,0.7830731235361074,0.7884463598147868,0.7814302563273194,0.781364572119748,0.7792954890283292,0.7424722033240165,0.41801534346696,0.2253621882245172,0.6295960234005435
0.68,0.8537281133901965,,0.6915911261654566,0.7899256532689745,0.9274841888003462,0.7892374312969234,0.7972941413427947,0.790132646262422,0.7900017514409029,0.7877621661242674,0.7491062524664455,0.41789463697982987,0.22459235522216,0.6397655758357762
