t,C_1_0,C_1_1,C_1_2,C_1_3,C_1_4,C_1_5,C_1_6,C_1_7,C_1_8,C_1_9,C_1_10,C_1_11,C_1_12,C_1_13
0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.029986355720223894,0.0,0.9991003203645201,0.029978326978543194,0.00044968283441233065,4.496027094380778e-06,3.3838110569151934e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.059890884000447224,0.0,0.996405284674624,0.05982678180555941,0.0017955002534461848,3.5913986282406955e-05,5.392205931868594e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,0.08963138456549558,0.0,0.9919268109360939,0.089415757841842,0.004027547947719011,0.00012088588720117434,2.720577625498638e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.11912612251987402,0.0,0.9856846700498106,0.11861715564467916,0.0071292985256886056,0.0002854333421852237,8.564087434423938e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.14829242944697157,0.0,0.9777066239870809,0.14730385526971845,0.011077711488136341,0.0005547127408959716,2.080478843577589e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.17704764125959394,0.0,0.9680282092944372,0.1753509976099497,0.015843306224006176,0.0009526877137975699,4.2881302340316355e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07,0.20530848919924694,0.0,0.9566928492454306,0.20263609917861386,0.02139021953259052,0.0015018680450795375,7.887982113314446e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.23299180401957614,0.0,0.9437515191867499,0.22904009865444208,0.0276765734971078,0.0022230143809944215,0.0001334538686595209,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09,0.260014702395819,0.0,0.92926243390678,0.25444800383003485,0.03465438078418862,0.003134808896530188,0.0002117511830620457,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.286292940195417,0.0,0.9132917312459645,0.2787483425576586,0.04226963346259574,0.00425371007116967,0.00031932779033088857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11,0.311742911206842,0.0,0.8959123651577929,0.30183498094490757,0.05046342574616685,0.005593686133911806,0.0004619949983394996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0.3362833149162094,0.0,0.8772027874298036,0.3236086342503194,0.05917143222740325,0.0071656704259396705,0.0006457455819146805,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13,0.35982824699141147,0.0,0.8572513022606632,0.34397324452337963,0.06832320844991976,0.00897793238779214,0.0008767031556997717,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,0.3822991634472814,0.0,0.8361476597610987,0.3628434223581733,0.077845838898437,0.01103512692174825,0.001160769512526211,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.4036142200604845,0.0,0.8139901399589261,0.3801386412016391,0.08766194170664929,0.013339039720358771,0.0015036202532445332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16,0.423695449494572,0.0,0.7908804547140346,0.395787946989256,0.09768942381127256,0.015887298288031877,0.0019106716352097015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.4424623803451985,0.0,0.7669291002513551,0.4097268655791317,0.10784359240367462,0.018674723111311287,0.002386783953292259,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18,0.4598457354906797,0.0,0.7422414230393458,0.42190446817009436,0.11803874219902978,0.021691230031960308,0.002936009922443714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19,0.4757730687748178,0.0,0.7169317664466079,0.43227667054840324,0.12818657110257609,0.024923929751963444,0.003561634211674243,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.4901759994601596,0.0,0.6911175321776264,0.4408104098959345,0.13819632028504356,0.02835557954203062,0.004266148453646108,0.0,0.0,0.0,0.0,0.0,0.0,0.0
