t,Cxx_1_0,Cxx_1_1,Cxx_1_2,Cxx_1_3,Cxx_1_4,Cxx_1_5,Cxx_1_6,Cxx_1_7,Cxx_1_8,Cxx_1_9,Cxx_1_10,Cxx_1_11,Cxx_1_12,Cxx_1_13
0.0,0.0,1.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.00036865746520653745,1.0,0.9987454804509068,0.0009684745506738255,-0.0006115503220684818,-2.7707469792306503e-07,6.259621169076699e-08,1.9243883597103148e-11,-2.587514542931369e-12,-8.18861562331825e-16,4.924572808061728e-17,1.84385542892185e-20,8.300688836912486e-22,1.4192759941634135e-25
0.02,0.0014716224468616656,1.0,0.9949908406758199,0.0038596057048653214,-0.0024354764156147416,-4.47742511598256e-06,9.94709040731265e-07,1.2220249883330836e-09,-1.6269970841818796e-10,-1.7961054353158296e-13,1.3217811693521982e-14,1.5459921462183823e-17,5.838064696455081e-19,3.9445569852283736e-21
0.03,0.0033015910854842664,1.0,0.9887627928547076,0.008632208864173183,-0.00543955395570698,-2.2597055705895362e-05,4.992549387104632e-06,1.3630644704622661e-08,-1.838857926798241e-09,-3.804503927448337e-12,3.5855860219364e-13,6.319964924245061e-16,4.757937918230391e-17,1.547030037711839e-18
0.04,0.005847251486597498,1.0,0.9801054031850578,0.015218991872347943,-0.009570493591841263,-7.093400311795789e-05,1.5600839581348678e-05,7.601372703536955e-08,-1.0215472639822143e-08,-3.679607258528381e-11,3.5761539196366886e-12,1.0481245233807877e-14,6.5499812654651865e-16,3.690596294448388e-19
0.05,0.009092373224012282,1.0,0.969079927381489,0.023526708990569085,-0.014754927572877429,-0.00017160635111290048,3.753910655569303e-05,2.877781886053945e-07,-3.836995003176235e-08,-2.1359910590154165e-10,2.107607006571018e-11,8.583872467454029e-14,6.930575076926791e-15,1.928628826396369e-16
0.06,0.013016385994209284,1.0,0.955763909617007,0.03343798967384813,-0.02090054177526158,-0.00035186847124597754,7.646516620995285e-05,8.506554307921721e-07,-1.1247749529369386e-07,-9.043805440045953e-10,8.899901708965785e-11,4.864071422063418e-13,4.312329472917859e-14,5.52865659814869e-16
0.07,0.01759515505857058,1.0,0.9402504363472283,0.044813555914032854,-0.027897349588296576,-0.0006432166319944265,0.00013869130607391695,2.119366370209792e-06,-2.7745935024355593e-07,-3.0550947823108203e-09,2.9925154654400916e-10,2.1480072213482757e-12,1.7140368004263572e-13,-1.5128126915278363e-15
0.08,0.022800541547424644,1.0,0.9226473801160503,0.05749381809063379,-0.03561956890899977,-0.0010804148834118012,0.00023084022014114257,4.65536220545013e-06,-6.02737986128757e-07,-8.75357695418856e-09,8.496191437323347e-10,7.76254215930417e-12,6.294024730688887e-13,2.267695243138621e-14
0.09,0.028600500295316363,1.0,0.9030758108885518,0.07130129899387477,-0.043927779463535474,-0.0017004170380379513,0.0003594573487252372,9.280592076765324e-06,-1.1874291331066185e-06,-2.2123077783617785e-08,2.115780552528866e-09,2.3724452004864408e-11,2.195831846485938e-12,1.3221623509118585e-13
0.1,0.034961240618318554,1.0,0.881668567289802,0.08604469162346291,-0.05267053466586024,-0.0025409985381583257,0.0005306391840211235,1.7136671628063457e-05,-2.1629110501390385e-06,-5.046196760175665e-08,4.759182787529746e-09,6.395449929135928e-11,5.510302696392503e-12,4.539949047570778e-14
0.11,0.04184689718281548,1.0,0.8585702242047761,0.10152107385710184,-0.06168665710083748,-0.0036393972851572406,0.0007496239099146801,2.9733266403302038e-05,-3.6937675846796777e-06,-1.0589411092064845e-07,9.844700796005206e-09,1.5648815336076335e-10,1.1179259390308852e-11,6.930342226261608e-14
0.12,0.049216503091079285,1.0,0.8339354226579379,0.11751676081673962,-0.07080906999409955,-0.005031293183567083,0.001020283123374589,4.89638747541238e-05,-5.9796092772768e-06,-2.0801018089472692e-07,1.890497988960655e-08,3.499293640520406e-10,3.2490789936702523e-11,5.659856071113379e-12
0.13,0.05702928387590383,1.0,0.8079237045735411,0.13381442939755553,-0.07986626159529307,-0.006749270948071513,0.0013447885422338606,7.715158645872718e-05,-9.244116892609278e-06,-3.8540921566121755e-07,3.421233027840369e-08,7.192231173025213e-10,7.552917817819139e-11,1.2644082820580527e-11
0.14,0.06524767910017307,1.0,0.7807010504689467,0.1501975669232621,-0.08868318805838586,-0.008820923889434899,0.001723361678372063,0.00011708473408599123,-1.3719518649626754e-05,-6.77837269027878e-07,5.897060180841321e-08,1.3784662495390364e-09,1.0339243738460838e-10,9.00783036530381e-13
0.15,0.07382564247493717,1.0,0.7524432491334687,0.16644532695625214,-0.09708823056136412,-0.011268488948894423,0.0021535807257435915,0.00017188839015083544,-1.9657276722263842e-05,-1.1439648352785777e-06,9.665272985278289e-08,2.5145319133470334e-09,2.0440714457834615e-10,1.7909268317342372e-11
0.16,0.08272310220001582,1.0,0.723323244704717,0.18234630159400989,-0.10491176584724159,-0.014107025040795446,0.002630409352292095,0.0002451125174313294,-2.727523079257027e-05,-1.8581095400013175e-06,1.5199557993813755e-07,4.360513371344007e-09,3.436919204104899e-10,5.4783052510388204e-11
0.17,0.09189664515918683,1.0,0.6935168459782519,0.19769434173265585,-0.11199145396949586,-0.017343642203486127,0.003145740179989054,0.000340567233641653,-3.6758169106573284e-05,-2.9181978892430783e-06,2.300674924861486e-07,7.1944008877726346e-09,6.008388998854308e-10,1.192914202396422e-10
0.18,0.10130789519959726,1.0,0.663201454165631,0.21229693572848157,-0.11817144295044432,-0.020975528976127627,0.0036885766019657553,0.00046233683646058,-4.820234272129134e-05,-4.444043857405979e-06,3.3660600557546016e-07,1.1372062977304802e-08,8.184521647039819e-10,1.9969594086377803e-10
0.19,0.11091634903386469,1.0,0.6325491512441381,0.22597351296553175,-0.12330876872103125,-0.02499103715291019,0.0042443432105638175,0.0006144988630406164,-6.16133437702503e-05,-6.584192336804414e-06,4.7673096967268114e-07,1.718206755987076e-08,1.0558935615915171e-09,2.331072906617287e-10
0.2,0.1206806310723698,1.0,0.6017333525720728,0.23855838254775444,-0.12727424148227465,-0.029367605381393463,0.004795293776093018,0.0008010211240637966,-7.686826842285294e-05,-9.519504355269078e-06,6.533174331664794e-07,2.5259516661783156e-08,1.5819307343821091e-09,5.659991644463881e-10
0.21,0.13056525907221359,1.0,0.5709163651256179,0.24990704332106833,-0.12995196004578344,-0.034071840388792546,0.00532054593264644,0.0010256664540482761,-9.363590598013056e-05,-1.3450267945895647e-05,8.685334107369285e-07,3.5779409456411945e-08,2.5784694232887216e-09,1.0288847047255121e-09
0.22,0.14053931302283,1.0,0.5402623732161977,0.2598972543054108,-0.1312411768203152,-0.03905805709479572,0.0057965611076375165,0.0012917858482980817,-0.0001113482992396266,-1.860041156124863e-05,1.121245730108576e-06,4.904281047499781e-08,3.2403651156965778e-09,1.7200114884430353e-09
0.23,0.15057053582547794,1.0,0.5099214665535147,0.2684266573801266,-0.13106124232818236,-0.04427093258001996,0.006196597659847954,0.0016019074890185237,-0.00012919089208811887,-2.5214618814366122e-05,1.4047926133001384e-06,6.493922239316381e-08,3.8944094627045585e-09,2.5249967596641336e-09
0.24,0.16062718329430625,1.0,0.4800397774794012,0.27541559426572393,-0.1293516706278401,-0.049643860015485534,0.00649172702258146,0.0019575738284061776,-0.00014606110770623993,-3.355548419767854e-05,1.7041242811921772e-06,8.4189389236854e-08,4.858432993400189e-09,4.588353213848191e-09
0.25,0.17068674090893338,1.0,0.45074985646139215,0.2808119314330132,-0.12606814246098694,-0.05509952051699636,0.0066511957748814415,0.0023592341073352,-0.00016044885405287247,-4.386339065680357e-05,2.000331927034522e-06,1.0486517636261207e-07,5.686123602091141e-09,6.271762610352826e-09
0.26,0.18072510497002087,1.0,0.4221774822048328,0.28458620642391114,-0.12118948444160957,-0.06055158724954199,0.00664266027095577,0.0028056943043957795,-0.0001705221640953899,-5.6380194663904e-05,2.2600806215093972e-06,1.2719099483182124e-07,6.914006064920485e-09,8.821109390919504e-09
0.27,0.19072316695292318,1.0,0.3944395554426454,0.28673536245388415,-0.11471406778609555,-0.06590441420215407,0.006433328300736606,0.0032940851396379223,-0.00017401324364362677,-7.12997873132323e-05,2.4420724834165455e-06,1.4914262236470185e-07,7.226899885952149e-09,1.1700554973742282e-08
