t,Czz_1_0,Czz_1_1,Czz_1_2,Czz_1_3,Czz_1_4,Czz_1_5,Czz_1_6,Czz_1_7,Czz_1_8,Czz_1_9,Czz_1_10,Czz_1_11,Czz_1_12,Czz_1_13
0.0,0.0,1.0,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,-3.906210628197115e-05,0.9999999999029371,-0.9999218772060062,-3.906020953968063e-05,-3.81107842133073e-10,-1.6541943596154463e-15,-5.082197683525802e-21,-1.6940658945086007e-21,-1.6940658945086007e-21,-5.561110111903383e-17,-2.4006019950215986e-14,-7.881374618046004e-11,1.3548275099462687e-10,-5.664505420880609e-11
0.02,-0.00015625831286691022,0.999999998504387,-0.9996875085909456,-0.00015622549989166733,-6.100577085654205e-09,-1.0575700336084778e-13,-1.043544591017298e-18,0.0,0.0,3.0710026535651913e-17,-2.1953883752156428e-13,-1.3683629214802668e-11,-4.5360118861302893e-10,4.675043814597016e-10
0.03,-0.000351612352304619,0.9999999925263907,-0.9992969044149751,-0.0003514448706772806,-3.088722874501951e-08,-1.2045918055354418e-12,-2.6413875427178102e-17,1.3552527156068805e-20,5.55247037584139e-17,-1.3170345890267665e-16,-6.434051967423027e-13,7.87577326678791e-10,-4.133502881935227e-09,3.346569092183742e-09
0.04,-0.000625142003079621,0.9999999765553084,-0.9987501197097488,-0.0006246172243238652,-9.761138534798383e-08,-6.770601305083543e-12,-2.640574391088446e-16,-2.710505431213761e-20,5.5212995633824313e-17,-9.099437783127717e-16,-1.6656478442605288e-12,1.0583943523304832e-09,-9.923034562933034e-09,8.86630671315049e-09
0.05,-0.0009768659643902887,0.9999999431249755,-0.9980472423354908,-0.000975596534461785,-2.3826479643069306e-07,-2.583447992750114e-11,-1.574586815100698e-15,-1.0842021724855044e-19,5.318011656041399e-17,-2.895605847111349e-15,-4.886463114564879e-12,-1.5498272529972188e-09,-1.5180564970926434e-08,1.6735281695861876e-08
0.06,-0.0014068272323754204,0.9999998827966915,-0.9971883521027387,-0.0014042094449715238,-4.939394532670342e-07,-7.714609246561865e-11,-6.772414660322079e-15,-4.87890977618477e-19,-1.4203048459560108e-17,-8.408042057733711e-15,-1.3533591131445477e-11,-8.15988842749367e-09,-2.0604735844398023e-08,2.8778166340725185e-08
0.07,-0.0019150496799723493,0.9999997843431405,-0.9961735968394686,-0.001910222845594456,-9.147835548757393e-07,-1.9452705060912096e-10,-2.3250498748517145e-14,-1.5178830414797062e-18,4.5428071027142636e-17,-2.2205002593589374e-14,-3.504253186454101e-11,-2.279135840433733e-08,-2.1275427953832814e-08,4.410185105025973e-08
0.08,-0.0025015856803772365,0.9999996348087509,-0.9950031092371341,-0.002493379487815214,-1.559969972556854e-06,-4.333844699127079e-10,-6.767655012784868e-14,4.868067754459915e-17,-2.8080836267374565e-17,-5.5221886091638694e-14,-8.139064238115584e-11,-4.780219025810311e-08,-1.655678109370451e-08,6.444041729945001e-08
0.09,-0.003166445396199062,0.9999994186476873,-0.9936771337855752,-0.003153341098036143,-2.4974893711741854e-06,-8.783320258175936e-10,-1.7365817985004472e-13,-2.211772431870429e-17,-3.447762908503904e-17,-1.3936269672998325e-13,-1.9266625415296362e-10,-9.308000874501832e-08,9.401377151600776e-09,8.387143713307205e-08
0.1,-0.003909707121427128,0.9999991216845442,-0.9921958222017494,-0.0038897861515768605,-3.804557117144348e-06,-1.6522703848555545e-09,-4.033983433751609e-13,-6.288372600415926e-17,-1.0180658399638887e-16,-3.0544891702760646e-13,-3.734570161798012e-10,-1.5705884116358221e-07,4.822624446499963e-08,1.0920635943223629e-07
0.11,-0.004731461487210808,0.9999987265803407,-0.9905593482355124,-0.0047023468845988035,-5.567046061529749e-06,-2.9260922144482004e-09,-8.645885656716201e-13,-1.1015494072452725e-16,-3.473783760643556e-16,-6.336812585078233e-13,-6.683718984084458e-10,-2.4158516177602216e-07,9.699621336288142e-08,1.4525795422699536e-07
0.12,-0.00563172651054573,0.9999982156787952,-0.9887680430190207,-0.00559056166004677,-7.879557439023459e-06,-4.9300087040082125e-09,-1.7339330925930652e-12,-3.367531947739977e-16,-6.474855374083432e-16,-1.2456223118934018e-12,-1.1395322298615729e-09,-3.561934469467967e-07,1.696066391884861e-07,1.8772758615171782e-07
0.13,-0.006610570257731089,0.9999975704302052,-0.9868221877930378,-0.006553959034365598,-1.0845376111367306e-05,-7.965669574904605e-09,-3.2886816100224925e-12,-8.762521958027847e-16,-1.3895135042574225e-15,-2.3456896147688866e-12,-1.8704833365783963e-09,-5.062735305802913e-07,2.70022355656303e-07,2.381240054047471e-07
