t,mz_0,mz_1,mz_2,mz_3,mz_4,mz_5,mz_6,mz_7,mz_8,mz_9,mz_10,mz_11,mz_12,mz_13
0.0,-1.0000000000000002,0.0,0.0,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,1.0000000000000002,-1.0000000000000002
0.01,-0.9999609382785559,9.852049266955058e-06,-8.797397653702684e-05,-0.9999609401752797,-0.9999999996188959,-0.9999999999999983,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999,-0.9999999999999967,-0.9999999992378221,-0.9999218797427779,0.9998437586835227,-0.9999218797029256
0.02,-0.9998437477299014,3.86731554579654e-05,-0.00035115098439573094,-0.9998437805416076,-0.9999999938996589,-0.9999999999998943,-1.0,-1.0,-1.0,-0.9999999999997884,-0.9999999877993921,-0.9996875498767914,0.9993750837166677,-0.9996875460406955
0.03,-0.9996484180419697,8.645003944839454e-05,-0.0007894773741228417,-0.9996485855091193,-0.9999999691154413,-0.9999999999987956,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-0.9999999999975915,-0.9999999382290984,-0.9992971135235852,0.998594144044705,-0.9992970922944304
0.04,-0.9993749537018812,0.000153116594767844,-0.0014027820958014267,-0.9993754784002967,-0.9999999024035581,-0.9999999999932304,-0.9999999999999997,-0.9999999999999999,-0.9999999999999994,-0.9999999999864615,-0.9999998047943776,-0.9987507777790912,0.997501299184778,-0.9987507166248483
0.05,-0.9990233669477981,0.00023848485156344637,-0.0021907200625235035,-0.9990246360750588,-0.9999997617920122,-0.9999999999741715,-0.9999999999999982,-0.9999999999999998,-0.9999999999999966,-0.9999999999483438,-0.9999995235335177,-0.9980488419427298,0.9960970733264691,-0.9980487079018806
0.06,-0.9985936542296595,0.00034234968741671143,-0.0031529181841234767,-0.9985962711211712,-0.9999995062295889,-0.9999999999228802,-0.9999999999999932,-0.9999999999999999,-0.9999999999999865,-0.9999999998457573,-0.9999990123071896,-0.9971916584677362,0.9943820695209622,-0.9971913989002927
0.07,-0.9980858392346468,0.00046438869445153126,-0.00428880018466453,-0.9980906638285378,-0.9999990856410634,-0.9999999998055635,-0.9999999999999774,-1.0000000000000004,-0.999999999999954,-0.9999999996111065,-0.9999981709009136,-0.9961797033047443,0.9923571246682945,-0.9961792508515775
0.08,-0.9974999251412526,0.0006043105568401182,-0.00559781849889223,-0.9975081263777211,-0.9999984409721646,-0.9999999995668772,-0.9999999999999322,-0.9999999999999999,-0.9999999999998646,-0.9999999991336832,-0.9999968811008739,-0.9950134971583806,0.9900231360679462,-0.9950127586751435
0.09,-0.9968359670670017,0.000762464630456265,-0.007079932646651958,-0.9968490613812132,-0.9999975044134249,-0.9999999991223368,-0.9999999999998263,-0.9999999999999997,-0.9999999999996527,-0.9999999982444867,-0.9999950071540264,-0.9936937300396617,0.98738132795166,-0.9936925925138314
0.1,-0.9960939535661407,0.0009371848567777294,-0.008733178052805851,-0.9961138558838399,-0.9999961990051179,-0.9999999983492768,-0.9999999999995971,-1.0,-0.9999999999991942,-0.9999999966980947,-0.999992394881102,-0.9922210434982488,0.9844328008544669,-0.9922193657778275
