t,C_1_0,C_1_1,C_1_2,C_1_3,C_1_4,C_1_5,C_1_6,C_1_7,C_1_8,C_1_9,C_1_10,C_1_11,C_1_12,C_1_13
0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.01000157044063294,0.0,0.999899937131139,0.010000579370247524,5.000031299261613e-05,1.665376123857312e-07,4.159069760430386e-10,4.90027772548809e-25,1.5777218104420236e-30,1.925929944387236e-34,3.76158192263132e-37,0.0,3.587324068671532e-43,0.0
0.02,0.02000821106829196,0.0,0.9995992559804038,0.020001356027835464,0.0002000461141744934,1.3333741523709806e-06,6.663028790188564e-09,2.6632643152625593e-11,5.566202547239459e-27,2.465190328815662e-32,0.0,0.0,7.346839692639297e-40,7.174648137343064e-43
0.03,0.030022232633488834,0.0,0.9990965694389722,0.030000358442266215,0.0004501692814433346,4.50203429097756e-06,3.375881629813102e-08,2.024683815232571e-10,7.222684230458749e-25,1.3016204936146695e-29,0.0,6.018531076210112e-36,0.0,0.0
0.04,0.04004570378425485,0.0,0.9983897004823302,0.03999524363821122,0.0008003551493945079,1.0674052567561044e-05,1.0674516531929477e-07,8.538588083407906e-10,5.691026264912352e-12,7.446846945286351e-28,4.930380657631324e-32,0.0,3.76158192263132e-37,0.0
0.05,0.05008304277789093,0.0,0.997475454375155,0.04998588425748941,0.0012506873869736848,2.0853808073135205e-05,2.607327049928614e-07,2.6075517796311914e-09,2.1728942295866006e-11,1.692579958242203e-26,5.9164567891575885e-31,0.0,0.0,0.0
0.06,0.06013744571329093,0.0,0.9963498709321946,0.05997119348592543,0.001801245222138776,3.6048304747310406e-05,5.409523104865599e-07,6.4931933202409824e-09,6.494145537361228e-11,2.172459824106249e-25,1.2227344030925683e-29,6.162975822039155e-33,0.0,0.0
0.07,0.07021141812249597,0.0,0.9950082392519273,0.06994960149682825,0.002452100666618437,5.726727041575066e-05,1.0028090574559708e-06,1.4045858842534906e-08,1.6392156006465573e-10,1.8793317335006044e-24,1.4357268475022415e-28,0.0,1.925929944387236e-34,7.52316384526264e-37
0.08,0.08030711328527189,0.0,0.9934451417120606,0.07991933179532036,0.003203324141661636,8.552361610563348e-05,1.7119489937687347e-06,2.7409653050062718e-08,3.656495637585703e-10,4.180249502551815e-12,1.2180012376612422e-27,9.860761315262648e-32,7.703719777548943e-34,0.0
0.09,0.09042613538411215,0.0,0.9916545543424876,0.0898782723845258,0.004054970887507642,0.0001218333198763461,2.744324023112536e-06,4.9442410779936614e-08,7.4216729579492e-10,9.546954886682704e-12,8.01482679704548e-27,7.888609052210118e-31,1.5407439555097887e-33,0.0
0.1,0.10056935240256766,0.0,0.9896299908919765,0.09982383724706496,0.005007058456113242,0.0001672145459540322,4.186235345686863e-06,8.382101846511832e-08,1.3983234588198125e-09,1.9989730840734092e-11,4.319171228266084e-26,5.127595883936577e-30,6.162975822039155e-33,0.0
0.11,0.11073748992736579,0.0,0.987364418722691,0.10975346830992523,0.0060596047124187764,0.00022268937694734666,6.134454501154258e-06,1.3514955494858043e-07,2.4806435829731746e-09,3.901579656282665e-11,1.982123464894523e-25,2.9187853493177437e-29,6.162975822039155e-33,0.0
0.12,0.12093052516735334,0.0,0.9848504959622969,0.11966421415738752,0.007212590036302637,0.00028928245439324333,8.696274591350257e-06,2.0906770892159014e-07,4.187314873335373e-09,7.186052703428804e-11,7.963834828131994e-25,1.404172411293401e-28,2.465190328815662e-32,0.0
0.13,0.1311475626881269,0.0,0.9820806617645079,0.12955264816413364,0.008465934497374792,0.0003680194725462097,1.1989531568083447e-05,3.1235937344846427e-07,6.779287167579453e-09,1.2606585671818584e-10,2.0501068038248244e-12,5.963788443470849e-28,9.860761315262648e-32,0.0
0.14,0.14138715165019827,0.0,0.9790472026616068,0.13941504508370386,0.009819506672603203,0.00045992711816164155,1.6142668629534124e-05,4.5306339052397693e-07,1.059254644006461e-08,2.1217863377191535e-10,3.71648515126781e-12,2.265608519794746e-27,4.930380657631324e-31,0.0
