t,C_1_0,C_1_1,C_1_2,C_1_3,C_1_4,C_1_5,C_1_6,C_1_7,C_1_8,C_1_9,C_1_10,C_1_11,C_1_12,C_1_13
0.0,0.0,0.0,0.9999999843497811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0012497294021513046,0.0,0.9985057231451675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.009320643908494852,0.0,0.9951097811944485,0.003959349843844395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.028173944997992646,0.0,0.9919516925410512,0.033766651974434944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.05777268417796666,0.0,0.990013533201933,0.07379830192507761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.09441615979832935,0.0,0.9868831709525535,0.07721278231342199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0.11095932465509385,0.0,0.979022073456068,0.08577904190869694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,0.11801505825885374,0.0,0.9704496122200905,0.11215520673979035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16,0.13397426356432984,0.0,0.9631017268068792,0.14639501130369575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18,0.15952759535727098,0.0,0.9556131587118176,0.15895500570735677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.19205202178638175,0.0,0.9453371718162636,0.16812741385919197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22,0.2206257399508134,0.0,0.9334986883054359,0.18925355889803064,0.012384687375042338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,0.22977179770681083,0.0,0.9218397495070205,0.21661639691126972,0.009059427355413614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.26,0.2431097591055005,0.0,0.9079980825956105,0.23580999593579952,0.006361773552589139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28,0.2632928618552479,0.0,0.8899574929595162,0.24798612832857667,0.018090903043919502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.28911694585701575,0.0,0.8719303278013973,0.26340089043384973,0.03114510211082833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.32,0.31666684201869993,0.0,0.8573446484985928,0.2832426548075893,0.02920126820847747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34,0.3345478964027512,0.0,0.8442425299063822,0.3044244477674356,0.03321692800059965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36,0.34577767869468456,0.0,0.8206072186890628,0.32120376504225323,0.04643508418030308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38,0.35933373952661996,0.0,0.7916877047400082,0.33159035009505167,0.05443714323724657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.37646955002108556,0.0,0.7675934492521632,0.3433436506369639,0.05637411342519252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.42,0.3965382823814483,0.0,0.7501475696936317,0.36205859843532984,0.06524643570088731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.44,0.41612644660796955,0.0,0.7334881378201562,0.38320454441431334,0.0773532903357472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.46,0.42747337318273865,0.0,0.7007108534651967,0.3914409877024277,0.0827973947163531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.48,0.4337092884901762,0.0,0.6661595411247926,0.3953474165522552,0.08878148971012759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.44090863050971335,0.0,0.6384628372289989,0.408141546567111,0.10033695704771238,0.007548979057628749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.52,0.45111691690239886,0.0,0.6165983140029886,0.4289007964144635,0.1098243495466776,0.003235690496179936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.54,0.4637635195777741,0.0,0.5914163296860291,0.4395087233895385,0.11508224583034965,0.004204985893308168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.56,0.47337296082725044,0.0,0.5564187061311383,0.43810675348266254,0.12431342322940242,0.013223049696569986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.58,0.47241912974770384,0.0,0.5220595510809668,0.4440239745378839,0.13618774213430532,0.01605851408525054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.46903241741864626,0.0,0.49245154581573225,0.4589378465045546,0.1430687483448839,0.014184755499127264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.62,0.4679761684012644,0.0,0.46413146981340486,0.47094837285310714,0.1496503953345623,0.019394069262002402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.64,0.46983747899526057,0.0,0.43216241262526583,0.4692356879379669,0.16098130162105165,0.027016832134671827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.66,0.4717611743015454,0.0,0.39900763970465564,0.4702848867737005,0.17130539495934938,0.02750386392774136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.68,0.4641546031743786,0.0,0.368211517379791,0.47809446762545715,0.17659877319504294,0.029290228380824852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
