t,Cxx_1_0,Cxx_1_1,Cxx_1_2,Cxx_1_3,Cxx_1_4,Cxx_1_5,Cxx_1_6,Cxx_1_7,Cxx_1_8,Cxx_1_9,Cxx_1_10,Cxx_1_11,Cxx_1_12,Cxx_1_13
0.0,2.025314186719462e-46,1.0,-1.0000000000000002,3.325346941708306e-46,3.2021859438672578e-46,2.257951627085887e-46,1.8337304123000536e-46,9.305497614656988e-47,1.5189856400395966e-46,5.063285466798655e-47,1.0810798699380913e-46,1.0810798699380913e-46,-6.842277657836021e-48,-4.1053665947016125e-48
0.02,-4.864448385207541e-05,0.9999983354231599,-0.9985036791872948,-8.236576762789445e-05,-1.8912565566871382e-05,-1.0556594340735805e-05,-7.068289210604298e-06,-5.163230412585798e-06,-3.97282937038973e-06,-3.161492937463423e-06,-2.570521490862128e-06,-2.1121142744098906e-06,-1.7238314684851243e-06,-7.702013100538939e-07
0.04,-0.0006689789259684206,0.9999780985034002,-0.9949839813637655,-0.001013969063415221,-0.00016603999194943209,-8.25078342417936e-05,-5.167278392571254e-05,-3.640692759574425e-05,-2.7725161566898894e-05,-2.2372707666866616e-05,-1.890743086701164e-05,-1.6598953881400563e-05,-1.5015623257229847e-05,-7.1905741173975204e-06
0.06,-0.0026579775973253807,0.9999126669761711,-0.9908524135398263,-0.0034087205414238125,-0.00024798346272292444,-8.624552063074033e-05,-4.274566227214539e-05,-2.629059163821411e-05,-1.944632001711459e-05,-1.696549633128236e-05,-1.7025025831143153e-05,-1.915275015266886e-05,-2.391594898666291e-05,-1.36049196133841e-05
0.08,-0.006115051099084053,0.9997711101062471,-0.9858608316506993,-0.0065498537787574175,2.0630264140498317e-05,5.80531588775194e-05,4.322163045051598e-05,3.1881943851902114e-05,2.462282113691386e-05,1.9764856605694603e-05,1.5705452649627388e-05,1.0489623169865347e-05,-3.592606325052844e-07,-4.116793512972533e-06
0.1,-0.010364318429852668,0.9994877320398737,-0.9785696165512938,-0.009886322883396373,0.00012780423758454104,9.976650469641773e-06,-1.9494951910184466e-05,-2.2563942585578783e-05,-1.83350559786917e-05,-1.1483995307141892e-05,-2.854910185368098e-06,7.6834646679097e-06,1.8052711765415008e-05,1.125019164314317e-05
0.12,-0.014867446559642908,0.9989538660640616,-0.9684156067379326,-0.014097504019099955,-0.00032529577733134835,-0.0002041211856492614,-0.00012724797289599687,-8.581597415516923e-05,-6.492652983840913e-05,-5.470744529437188e-05,-4.890003350421779e-05,-4.126300921409448e-05,-2.0009534031611986e-05,-2.036011694128703e-06
0.14,-0.019890145072437818,0.9980666346475275,-0.956173894170474,-0.019623875614794152,-0.0005319489488281801,-7.302335651864639e-05,1.024026815758805e-05,2.4893525458945243e-05,2.169771288675071e-05,1.2322443943987849e-05,-2.411596340540223e-06,-2.4227853768751806e-05,-4.734965548906095e-05,-2.917965884025736e-05
0.16,-0.026081411453705156,0.9967770705757619,-0.9424834293968309,-0.02584594039876959,-0.00010368826185443158,0.00013233893652762896,6.41299347412666e-05,2.9069766771354366e-05,1.8997821883214028e-05,2.1431347557429592e-05,2.795603298334781e-05,2.7544404078989893e-05,-4.742240415904486e-06,-1.738465326426436e-05
0.18,-0.033627504486951815,0.9950521012099156,-0.9270263953850411,-0.03240087029422696,-9.224007352164054e-05,-0.00012826890409368963,-0.00014985537273916327,-0.00012189194235273648,-9.502090797765261e-05,-7.330013954799652e-05,-4.9278302172217625e-05,-1.4340714861865722e-05,1.9537071748010337e-05,1.5550440437286928e-05
0.2,-0.0421041788972447,0.9927959986486402,-0.9092858847742552,-0.039675245874915235,-0.00082450238505892,-0.0002954009032241217,-0.00011612731223177575,-4.7072772045686495e-05,-3.0058779451697104e-05,-3.615675530428686e-05,-5.3242236000450305e-05,-6.460675991196152e-05,-2.665142150604094e-05,5.809149392882462e-06
0.22,-0.05108222057067738,0.9898509965027813,-0.8892056000705324,-0.04778571279274718,-0.0011439155665229211,3.2451191683186e-05,9.752524337675039e-05,7.377207794510843e-05,5.629792069164474e-05,4.726926949791266e-05,3.258283278612106e-05,-7.431429134008294e-06,-5.429012155172552e-05,-3.721031034702171e-05
0.24,-0.06059254964633677,0.9860850633894707,-0.8668309959869384,-0.056466514330197476,-0.0008406009532809094,7.02039222096329e-05,-6.383637869027126e-05,-8.991565493163267e-05,-7.499945845328149e-05,-4.577503007542616e-05,-5.959710525665907e-06,2.7962264426709127e-05,-1.4805107405105322e-05,-3.631731835389285e-05
0.26,-0.07090592491158942,0.9814657047614324,-0.8420684264917362,-0.06573231380979686,-0.001097514937667382,-0.0003222441221667205,-0.0002340980419465455,-0.00014235065838197336,-0.00010341476246669701,-9.473793027617305e-05,-8.894985199986438e-05,-4.823225016936661e-05,6.6691188996548245e-06,1.2053059872202398e-05
0.28,-0.08207350750551395,0.9760399182701448,-0.815177626213003,-0.0755183376370902,-0.0020593141674560556,-0.0002634045012638586,7.014849811637358e-06,5.497804759319047e-05,4.878196517851818e-05,2.675831800241779e-05,-1.5762633290727912e-05,-6.846864090992444e-05,-2.9454231300518607e-05,1.6219995681104882e-05
0.3,-0.09387083090421577,0.9698289763930584,-0.7868359244247437,-0.08537869420174254,-0.0026585320646825283,7.829096417952264e-05,5.62172277224493e-05,-9.813749575732222e-06,-1.6830010118901173e-05,6.9306452504247495e-06,3.3418534153506485e-05,9.48330023586852e-06,-5.0758256266769664e-05,-4.0813822450913584e-05
0.32,-0.1060823614869752,0.962734008153422,-0.7572433618149723,-0.0953860856078467,-0.0028052804902942985,-0.00012931482251010706,-0.00023540173565841926,-0.00019642466062794184,-0.00015107176237347253,-0.00011888382416580523,-7.08014221945108e-05,2.500973840774412e-06,-3.3449664542245516e-05,-5.804926644731312e-05
0.34,-0.11861531167019856,0.9545667405146321,-0.7257117078729253,-0.10614276303881956,-0.0034245734366506186,-0.00044789293033734023,-0.00017042052471830105,-4.035021150192164e-05,-1.6591035808699583e-05,-3.977579982999968e-05,-8.226326232316228e-05,-7.672842535408342e-05,-2.4587334462145005e-05,-1.860762671529459e-06
0.36,-0.1313304247462816,0.9452173598607706,-0.6917715071624653,-0.11732638660637804,-0.004647489432790947,-0.00021267487772025362,7.876947511961663e-05,5.823795612242e-05,3.983945738392225e-05,4.200929887368532e-05,2.237697191001531e-05,-5.349110733338103e-05,-2.9075964774277763e-05,2.3450892488147135e-05
