t,mx_0,mx_1,mx_2,mx_3,mx_4,mx_5,mx_6,mx_7,mx_8,mx_9,mx_10,mx_11,mx_12,mx_13
0.0,-1.0000000000000002,7.498798913309685e-33,7.498798913309211e-33,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002
0.02,-0.9992414637446904,0.0012901848085187235,-0.001406807138993468,-0.998615320428601,-0.9987299918877335,-0.9987722051563414,-0.9987960786740268,-0.9988079436549989,-0.9988098629062827,-0.9988023018826705,-0.998784559393448,-0.9987543180417416,-0.9987050089253873,-0.9993369008810802
0.04,-0.9973807578936426,0.004679903481886668,-0.0062263892734455255,-0.9963276806819283,-0.9976329730487283,-0.9979937185474282,-0.9981805734999172,-0.998269249971325,-0.9982834094138865,-0.9982276966092112,-0.9980926129681624,-0.9978482416457192,-0.997409444329549,-0.9985597657023688
0.06,-0.9951692017708015,0.009345213953081785,-0.015146760199277617,-0.9951443221208953,-0.998993336604429,-0.9994791157155485,-0.9996658509508739,-0.9997400014996933,-0.9997512289135445,-0.999707378162502,-0.9995859348270607,-0.9993134467067364,-0.9986531208788447,-0.9990826616916254
0.08,-0.992812496352767,0.015129107500211743,-0.027596282920998343,-0.9934397904854373,-0.9998569607257933,-0.99970805456428,-0.9995562004586674,-0.9994754387575823,-0.9994622801140584,-0.9995142199186121,-0.999633403334083,-0.9998101919796641,-0.9999079499566751,-0.9999441844639352
0.1,-0.9897458640131114,0.02263333736164984,-0.0425741541163335,-0.9891909914022801,-0.9984665317791892,-0.9981863175128174,-0.9981544413543195,-0.9981729602998419,-0.9981772710719301,-0.9981589576149537,-0.9981506404816789,-0.9982563543279548,-0.9987557343065707,-0.9995682019649018
0.12,-0.985328951584378,0.0323439938155203,-0.06024403422977577,-0.9838372614351885,-0.997823847550095,-0.9985110807929448,-0.9989403229337145,-0.9991433028242535,-0.9991751749189851,-0.9990490535587411,-0.9987344802043481,-0.9981883266417786,-0.9975828854580171,-0.9986391818973738
0.14,-0.9796425393199937,0.0439700506307693,-0.08146024477485843,-0.9794861332268249,-0.9990928533732754,-0.9998564987482973,-0.9999340293805928,-0.9999008408000448,-0.9998925914704956,-0.9999261622256166,-0.9999361826164908,-0.9996966691312716,-0.9986140152771714,-0.9988498027783481
0.16,-0.9734205999677719,0.056770850127843386,-0.10596095495919038,-0.975092459133806,-0.9993955004466353,-0.9990727017070149,-0.9986968010279493,-0.9985436331410972,-0.9985211895579977,-0.9986087376497674,-0.9988675037945884,-0.9993686661712772,-0.9996778417138105,-0.9998068722236445
0.18,-0.9672149254808172,0.07034130216369601,-0.1324042232893206,-0.9687538837519157,-0.9981374117501431,-0.998079304023542,-0.9983267063487988,-0.9985356122838557,-0.9985722400382968,-0.9984261826526015,-0.9981553736888837,-0.998030902623677,-0.9988128522856198,-0.9997581880162341
