t,mz_0,mz_1,mz_2,mz_3,mz_4,mz_5,mz_6,mz_7,mz_8,mz_9,mz_10,mz_11,mz_12,mz_13
0.0,1.1096809235389138e-16,5.545694112263355e-17,5.545694112263355e-17,2.7701365507004638e-17,1.3823577699190182e-17,6.884683795282953e-18,3.415236843329339e-18,1.6805133673525319e-18,8.131516293641283e-19,3.7947076036992655e-19,1.6263032587282567e-19,5.421010862427522e-20,0.0,0.0
0.02,-1.0999231039865442e-16,-2.2101461286117008e-16,-2.2101461286117008e-16,-8.223673478302551e-17,-1.3774788601428334e-16,-1.1693120430256165e-16,-9.958396954279358e-17,-1.1172703387463123e-16,-1.0912494866066602e-16,-1.1085967213664283e-16,-1.1237755517812253e-16,-1.0131869301877039e-16,-9.329559694237766e-17,-9.10187723801581e-17
0.04,-7.361732751176575e-17,7.590499409571017e-16,9.81094545882133e-16,-2.4015078120553923e-16,-1.2912847874302358e-16,-1.568840543586525e-16,-1.2912847874302358e-16,-1.2218958483911635e-16,-8.57603918436034e-17,-9.096456227153382e-17,-1.1568437180420332e-16,-1.2826111700503517e-16,-1.2522535092207576e-16,-1.1985855016827252e-16
0.06,2.8370860348514437e-16,6.23451756800314e-14,5.945859581600599e-14,1.6437318086509611e-15,-3.269140600586917e-16,-8.405277342193873e-17,-4.5888856950448975e-17,-2.520770051028798e-18,-2.520770051028798e-18,-2.3337451762750483e-17,-1.5964876989849053e-17,-3.3962633053108426e-17,-5.976664475826343e-17,-7.838781707070197e-17
0.08,7.392415672657915e-15,-6.576311760778109e-13,-6.363704051562391e-13,-2.1806449874983702e-14,1.4874169604328635e-15,8.57603918436034e-17,1.0657707355532509e-16,1.100465205072787e-16,1.091791587692903e-16,8.749511531958021e-17,9.269928574751063e-17,8.207410445715269e-17,5.128276275856436e-17,3.220080452281948e-17
0.1,-3.951426046176071e-13,-1.4849375255896607e-12,-3.692914572230033e-14,-4.405784819003916e-13,-1.5723885951959837e-14,2.9802007216195303e-16,1.176088306603651e-16,1.210782776123187e-16,1.2281300108829551e-16,1.0112895763858543e-16,1.186930328328506e-16,1.3452238455113896e-16,1.2118669782956726e-16,1.2750217548429532e-16
0.12,2.2034478733799767e-12,-1.6566149114386614e-11,-2.0552793462361857e-11,3.248950045629806e-13,1.7076829316939324e-13,6.30262985898411e-15,9.053088140253962e-18,2.6400322900022033e-17,-1.3552527156068805e-18,2.7267684638010437e-17,3.4206578541917665e-17,5.3396956994911093e-17,1.0722759485881639e-16,1.3788341128584403e-16
0.14,1.4711544834991944e-11,-6.638175390773736e-11,-9.591041120484388e-11,3.657248467828569e-12,1.182145012304861e-12,4.120350436710718e-14,-3.639395642490717e-16,-1.5403802365587804e-16,-1.176088306603651e-16,-1.0503208545953324e-16,-9.57079467761579e-17,-8.1938579185592e-17,3.876022766635678e-18,5.0415401020575956e-17
0.16,-7.903148852039278e-11,9.37632597730392e-10,8.651724209827235e-10,8.092775177748722e-11,-7.1450889096384e-12,-7.117558766759485e-13,-1.490531331173328e-14,1.7463786493310263e-16,-1.4541861638461828e-16,-1.2980610510082702e-16,-1.1484411512052706e-16,-1.3045662640431832e-16,-9.576215688478218e-17,-6.036295595313046e-17
0.18,-3.466241234740663e-10,6.102304045781841e-09,4.545274040853491e-09,8.455932013894541e-10,-2.3360513149535064e-11,-6.106939579681933e-12,-2.0849291802564618e-13,4.973479310679818e-15,7.043248363008958e-16,1.52059354691092e-17,-3.7486290113686316e-17,-6.274820073259857e-17,-1.1787988120348647e-16,-1.2552350651950928e-16
0.2,4.523090798170398e-09,1.6979567259590295e-08,-6.233015096678701e-09,6.225462153165023e-09,6.13538657812801e-10,-1.017634544339674e-11,-2.9055226107022047e-12,-1.3637225029783373e-13,-2.935585802221752e-15,3.391384395534658e-16,1.560166926206641e-16,1.117812439832555e-16,-6.391371806802049e-17,-1.17391990225868e-16
0.22,8.981033580611139e-08,-3.140541219591903e-07,-3.975380898090414e-07,-2.354771069902953e-08,8.67597476398804e-09,7.466891747514833e-10,3.0261304123343005e-12,-1.5787190754982736e-12,-5.73249537031903e-14,-3.301761533451575e-15,-8.019165843517473e-16,9.380110620529902e-16,6.902302080585843e-17,1.0146641556477154e-15
0.24,-2.9990136843468986e-08,-6.805368230307167e-07,-8.436260853517943e-08,-1.848078951373149e-07,-1.5901545466609403e-08,8.350770865279446e-10,1.2658806907437162e-10,2.8397744767684474e-12,-2.4079344204328e-13,-1.5729984589180068e-14,2.3649159887340065e-15,-3.1687434794147595e-15,5.931127984581952e-16,-1.5624708558231726e-15
0.26,-1.3155391862944591e-07,3.594672552023723e-07,4.693473380959598e-07,4.6031310073368654e-08,-1.3093519139739922e-08,-1.51074387998466e-09,-6.506537658917261e-12,6.02881010088388e-12,4.0684019738182475e-13,1.062805442611503e-14,-2.5629997256471082e-15,4.642011601496687e-16,-1.3796472644878044e-16,6.136855346811076e-16
0.28,-1.1564643627630183e-07,6.040605771816135e-07,3.9157942845021083e-07,1.346457229166201e-07,-7.702383332649967e-10,-1.988603672437852e-09,-1.225615842267904e-10,1.3117058708742718e-12,3.7196626529768795e-13,2.7765468960452844e-14,3.75863077640981e-15,-1.7658942884357653e-16,-2.271403551357132e-16,-1.8010359913514518e-15
0.3,1.4878621728124674e-07,-9.916168151700847e-07,-4.0413474129293004e-07,-2.517249730703134e-07,-1.4705862995525792e-08,2.8656333388307146e-09,3.087121952657316e-10,3.098531549611608e-12,-7.119147665043263e-13,1.6276612219492947e-14,7.23067981357739e-15,-2.1520057871121656e-15,4.951009220655056e-16,9.100386460028642e-16
0.32,-6.54933622061169e-08,-1.3392143541384382e-07,2.391549850374133e-07,-4.333792834359173e-08,-2.2440796742064558e-08,-1.2786718146438024e-09,1.2000370624510107e-10,1.4226531031783646e-11,1.5074101905945825e-13,-7.381850122487044e-14,-7.434428506841728e-15,-1.108325670823307e-15,1.9531902137326362e-16,-7.803138560649736e-16
0.34,-1.5222237300501417e-07,8.665309712156189e-08,4.803847321670863e-07,2.7589664504593775e-08,-3.065166630907489e-08,-3.68653725234746e-09,5.202804180049533e-11,2.7946277440077903e-11,1.6119772481898095e-12,4.270562581950438e-14,-6.153728243120382e-15,-3.571212878368535e-15,-4.97337089046257e-16,-2.176129285449968e-16
0.36,-1.8631733570925214e-07,8.603671229517103e-07,2.596361437406155e-07,2.3974432184262727e-07,2.663358421631755e-08,-2.912401740129758e-09,-5.499785091320902e-10,-1.5461400606001097e-11,1.3583819399171082e-12,2.528684726887942e-14,-3.5414379762066517e-15,5.202544124671693e-15,3.810970636286548e-17,-1.7812899592850595e-15
0.38,3.0422631130597438e-09,3.456514818583531e-07,-2.1045295225456087e-07,7.037150798690803e-08,3.700362298322021e-08,2.467188864422069e-09,-2.815045959194979e-10,-3.7071507566184894e-11,-1.397343883397656e-13,2.0823379370642214e-13,5.191674997892526e-15,-3.141069218962067e-15,-3.86057288567776e-16,3.3080363535248347e-16
0.4,1.8973018162640645e-07,-3.18975143654172e-07,-4.839044743190922e-07,-1.4562303450069245e-07,1.8793008932065504e-08,6.834191322273721e-09,3.2360954371659766e-10,-4.0151914738472023e-11,-4.793539222784811e-12,-1.4081006597266993e-13,2.4964229359929202e-14,8.135893759912693e-15,2.2062158957364408e-16,4.61490654718455e-16
0.42,2.0334843034907832e-07,-7.415823445552396e-07,-1.6098932905739619e-07,-2.1145401272537959e-07,-3.770152545929176e-08,2.0473025059107586e-09,8.159595043903678e-10,4.0833435157455744e-11,-2.3815207618460565e-12,-2.410226965926521e-13,-2.2659066463426303e-14,-9.81425227544741e-15,1.1235587113467282e-15,1.8594473833941083e-15
0.44,3.660612938115413e-08,-3.95735340909988e-07,2.665599117580446e-07,-3.186948164747474e-08,-5.0146823572140976e-08,-6.205875879196766e-09,2.8539236594890983e-10,8.647134219872277e-11,2.6080560915119413e-12,-3.673106063013451e-13,6.185766417317329e-15,7.414167478743405e-15,-9.245940601684821e-16,-1.2675272073256472e-15
0.46,-1.8016769633885904e-07,3.6951495555695186e-07,3.988508472033944e-07,2.007027271387049e-07,-1.5954971307210975e-09,-8.645440863682958e-09,-8.741827023953054e-10,3.5634445440528746e-11,9.700943566785976e-12,3.2239007741619724e-13,-7.564894620015056e-14,-1.0823956206156005e-14,1.3057995440143855e-15,1.4986113478637764e-15
0.48,-2.3337005213365286e-07,7.617796634710067e-07,8.701877086602033e-08,1.9992075096429923e-07,5.699593042311996e-08,4.1895055817814473e-10,-1.2012977384628356e-09,-1.0575207732893468e-10,3.091055094718055e-12,8.254609154415352e-13,8.37484514246492e-14,9.858501276611975e-15,-3.3749993902029707e-15,-2.8419649446276285e-15
0.5,-7.106242154154797e-08,3.712735523632026e-07,-2.8290032854917614e-07,-3.6910329220720805e-08,5.0049030811503015e-08,1.093516906479396e-08,9.538583405120996e-11,-1.44629860767808e-10,-1.0060136914052248e-11,3.8561281988716556e-13,-1.2076656948772913e-14,-8.591055384449264e-15,3.4624538479410827e-15,7.39222593727773e-16
0.52,1.5330404099292688e-07,-3.835474179058858e-07,-3.193157834224499e-07,-2.3200774744794057e-07,-1.9145560022884762e-08,9.229512393823906e-09,1.6415039899185177e-09,4.107011497382629e-12,-1.666524871660885e-11,-7.955998056544122e-13,1.587574472924902e-13,1.5003352293180283e-14,-4.489952246805595e-15,-3.2051726724102725e-16
0.54,2.987222341559474e-07,-8.433542480907328e-07,-4.839902221510093e-07,-4.3340505950900643e-07,-6.419312354710694e-08,1.3130523837141935e-08,3.525114867190945e-09,1.0711947873317217e-10,-3.2905626492921516e-11,-3.331767506201469e-12,-9.055443569473687e-14,4.378542342066416e-14,8.783934950934436e-15,-2.5349459944340458e-15
0.56,5.9519169739839653e-08,-1.9371543601726256e-07,1.3660148309152368e-07,5.017028902165447e-08,-2.166789100799412e-08,-8.06248594154165e-09,-4.490857153109564e-10,1.0127027203475115e-10,1.2746780979908459e-11,-7.270957924285226e-15,-5.451449838420053e-15,1.7704750426145166e-15,-3.869490448546453e-15,7.519619692544777e-16
0.58,1.3303617759600084e-07,-3.9939252725093143e-07,1.8016479427188526e-07,5.854330597479963e-08,-4.0169373160116144e-08,-1.3574572534503886e-08,-6.479784095360028e-10,1.9525964796863332e-10,2.1753118512220226e-11,-9.320512027108374e-13,-2.0416719530291783e-13,3.267568507436813e-14,1.4872001199983664e-15,-1.146543797403421e-15
0.6,-1.4376243974805717e-07,5.050792209017666e-07,1.3348827234877544e-07,1.9349992428824877e-07,6.026701614470528e-08,-3.487847027524877e-10,-2.200675785942992e-09,-2.2296035181415715e-10,1.4328716788384807e-11,3.457648419967138e-12,1.1752683787107088e-13,-4.7493286430347337e-14,-5.4006007565304825e-15,2.2809445304750042e-15
