t,W_1_0,W_1_1,W_1_2,W_1_3,W_1_4,W_1_5,W_1_6,W_1_7,W_1_8,W_1_9,W_1_10,W_1_11,W_1_12,W_1_13
0.0,2.783689077856534e-17,,3.000000000000001,1.3959102970750885e-17,7.020209066843657e-18,3.550762114890042e-18,1.816038638913235e-18,9.486769009248314e-19,5.149960319306296e-19,2.981555974335287e-19,1.8973538018497827e-19,8.131516293642783e-20,1.4997597826618992e-32,1.4997597826618913e-32
0.02,0.021564424505001987,,2.9925369549490988,0.02333635697157818,0.0014284177072799598,0.0013013380527367884,0.0012957303698082282,0.0012938103914523424,0.0012926221412677167,0.0012918010495709506,0.0012911871870038992,0.0012906897628543557,0.001290237862175604,0.0012900994894190154
0.04,0.061897930162259265,,2.9722244477568323,0.05767951415750738,0.006048811791588158,0.004762340184775483,0.004723585664097629,0.004708243396859238,0.004699596043256685,0.004693981993775301,0.004689884525923122,0.0046864324143837,0.004682795554642363,0.004680353898499986
0.06,0.0774027359423402,,2.942260847056347,0.054114708620871387,0.012112530545034125,0.009520358909799662,0.009387040332407535,0.009369160087427345,0.00936234639510489,0.009359445714117376,0.009358369483523216,0.009357950716464555,0.009356543028650254,0.009350246149940407
0.08,0.05700703865079799,,2.9026484290059242,0.0832761676622899,0.019839806892849053,0.01526915466180159,0.015088212214664706,0.01508991036916646,0.015096373156084742,0.015101995359541867,0.015107856155717856,0.015115746274839957,0.015128074126347247,0.015132379854665614
0.1,0.08113374683813446,,2.8510323315975423,0.12682950120577485,0.02930149218495451,0.02296949960442746,0.022618606212961582,0.02261491073331237,0.022610488792430522,0.022603156709832272,0.02259433535742542,0.02258618940745749,0.02258712276819935,0.022612314139532755
0.12,0.11670704270322785,,2.786958419281901,0.17886265484154817,0.04119462552401976,0.03311506640844247,0.03245814589805383,0.03240329531891042,0.032382344102077056,0.032367964339256865,0.03235196432733588,0.03232666011849643,0.03228582425492378,0.03230201553871575
0.14,0.15882776067956922,,2.713136340641832,0.23948318461610862,0.054770384553855585,0.044997797175901945,0.04397219334470482,0.043941545780176235,0.043943802972021516,0.043954487706641406,0.04396966108391861,0.04398094210767968,0.04395645854190169,0.0439486560819282
0.16,0.2065937390412628,,2.6323258230794866,0.30600276875764615,0.0685604566867983,0.058054014696831774,0.05666471955487598,0.056659936776554766,0.05666804765196402,0.05667046616458547,0.05667860746929933,0.05670746517254431,0.05675730321952141,0.05677727077347488
0.18,0.25945897164855297,,2.54484984424397,0.3756817165837457,0.08243021925996075,0.0724342112111128,0.07043047638865076,0.07036108762565133,0.07033595018237337,0.07030392852512751,0.07026083507131022,0.07021713530534616,0.07023825966851382,0.07030874244590994
0.2,0.3176271924845733,,2.450009935392443,0.4482189821630165,0.0965782598013905,0.08794095437503792,0.08505686449333984,0.08491360682645455,0.08489634879185735,0.08489534623691425,0.08488537967376843,0.08482919771075469,0.08472410734991416,0.08476786882703918
0.22,0.38143211842435604,,2.3485886120755683,0.5238416373683422,0.11018081312470952,0.10438637183699176,0.10072980428176977,0.10059112572209447,0.10059839919570024,0.10062303275176666,0.10067073927481165,0.1007257667610564,0.10065236073934095,0.10064466179622011
0.24,0.450471761149122,,2.2426512563140735,0.6010269937316012,0.1271378438959616,0.12238769024348815,0.11804010026442713,0.11785014062764783,0.11783287585129568,0.11779761810514311,0.11776662759864372,0.11780237001915282,0.11789715826256192,0.11795051636767573
0.26,0.5235434364176332,,2.133762584397097,0.6774019048905344,0.1413964976432539,0.14195471954022126,0.1365697039871965,0.1362061434080353,0.1361710701603822,0.13613295551173377,0.13605389670385146,0.1359328312183737,0.1359795008226366,0.13611339966573355
0.28,0.5994439908987151,,2.0227884744959126,0.7513303798693112,0.1660540582648394,0.16177718175454026,0.1552176568010058,0.15469105247923606,0.15468946348988902,0.15472701150673862,0.15477403143476656,0.15472127036647151,0.15455437044999892,0.15461916100025982
0.3,0.6777385265789605,,1.910771597139115,0.8220746180648638,0.19594581072515802,0.1813216132855193,0.17407348507152476,0.17345424086590486,0.1734404867327631,0.17343570172124043,0.1734856639338487,0.17361379604702737,0.1734916513860906,0.17348540149403313
0.32,0.7585615630134784,,1.7986810649062432,0.8893648838822161,0.2280585062494192,0.20153337745312602,0.1938735947994397,0.19303294020763478,0.19298177288894097,0.1929010482587562,0.19278330203315033,0.19276598877551948,0.1928652700993196,0.19297525620757186
