t,mz_0,mz_1,mz_2,mz_3,mz_4,mz_5,mz_6,mz_7,mz_8,mz_9,mz_10,mz_11,mz_12,mz_13
0.0,-1.0000000000000002,0.0,0.0,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002
0.01,-0.9998999922374948,0.00023648458985386627,-0.0004364827953057845,-0.9999000120565215,-0.9999999975005599,-0.9999999999999724,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.02,-0.9996000481392479,0.0009417697839348271,-0.001741439472867605,-0.9996003221543909,-0.9999999600192045,-0.9999999999982238,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999
0.03,-0.9991005669704788,0.00211403506317949,-0.003911793196280475,-0.99910187714152,-0.9999997977751273,-0.9999999999797745,-0.999999999999999,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002
0.04,-0.9984023378190213,0.003753135654953123,-0.006945074523936599,-0.9984063615987423,-0.9999993618267745,-0.9999999998864909,-0.999999999999989,-1.0000000000000004,-1.0000000000000004,-1.0000000000000004,-1.0000000000000004,-1.0000000000000004,-1.0000000000000004,-1.0000000000000004
0.05,-0.997506280930965,0.0058515600545483,-0.010830887754651618,-0.9975159469204548,-0.9999984448808968,-0.9999999995676488,-0.9999999999999328,-1.0000000000000004,-1.0000000000000004,-1.0000000000000004,-1.0000000000000004,-1.0000000000000004,-1.0000000000000004,-1.0000000000000004
0.06,-0.9964136247847494,0.008403252829587782,-0.015559420070974194,-0.9964334267101879,-0.9999967825526189,-0.9999999987113489,-0.9999999999997101,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002
0.07,-0.9951259265624877,0.011401099710943273,-0.021118912113873956,-0.9951622092961323,-0.9999940549820152,-0.9999999967574287,-0.9999999999990057,-0.9999999999999998,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.08,-0.9936450567118359,0.014837135718407213,-0.02749591641826483,-0.9937062810621827,-0.9999898887363653,-0.9999999927926476,-0.9999999999971122,-0.9999999999999994,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002
0.09,-0.9919732328906287,0.018702294431410638,-0.03467501545805013,-0.9920702015780422,-0.9999838590829343,-0.9999999854291505,-0.9999999999926069,-0.9999999999999974,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999
0.1,-0.9901130705532527,0.022986443521432653,-0.04263879782524104,-0.9902591097918044,-0.9999754927007029,-0.9999999726675707,-0.9999999999828696,-0.9999999999999934,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002
0.11,-0.9880674843498978,0.027678665681493592,-0.05136835091181967,-0.9882786085665352,-0.9999642701448035,-0.9999999517450733,-0.999999999963382,-0.9999999999999822,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.12,-0.9858397949003659,0.03276697850811472,-0.06084283929814516,-0.9861347963644158,-0.9999496290477126,-0.9999999189707434,-0.9999999999267741,-0.9999999999999576,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.13,-0.9834337838996099,0.038238490600829185,-0.0710396053203145,-0.9838342643248654,-0.9999309676447063,-0.9999998695498817,-0.9999999998615454,-0.9999999999999061,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.14,-0.9808536445081931,0.04408001000022707,-0.081934883661429,-0.9813840365253935,-0.9999076481572428,-0.9999997973977507,-0.9999999997504162,-0.9999999999998038,-1.0000000000000004,-1.0000000000000004,-1.0000000000000004,-1.0000000000000004,-1.0000000000000004,-1.0000000000000004
0.15,-0.9781040700189115,0.05027766248043739,-0.09350332093357906,-0.9787915761005955,-0.9998790009128827,-0.9999996949466167,-0.9999999995682435,-0.9999999999996093,-0.9999999999999999,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002
0.16,-0.9751902665321569,0.05681708933624196,-0.10571818820764013,-0.9760647538593011,-0.9998443285114581,-0.9999995529469833,-0.9999999992794458,-0.9999999999992576,-0.9999999999999997,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002
0.17,-0.9721178291701873,0.06368371504716738,-0.11855192004228335,-0.9732116982877514,-0.999802908456318,-0.9999993602571342,-0.9999999988348507,-0.9999999999986435,-0.9999999999999989,-1.0,-1.0,-1.0,-1.0,-1.0
0.18,-0.9688929305143877,0.0708624128708389,-0.1319755155235755,-0.9702408666309473,-0.9997539983979556,-0.9999991036384345,-0.999999998167935,-0.9999999999976071,-0.9999999999999981,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002
0.19,-0.9655223235892338,0.0783378515647426,-0.14595890536545927,-0.9671610171664136,-0.999696840708588,-0.9999987675487663,-0.9999999971903788,-0.999999999995907,-0.9999999999999958,-1.0,-1.0,-1.0,-1.0,-1.0
0.2,-0.9620132711356038,0.08609491963638095,-0.16047150744970812,-0.963981144940323,-0.9996306663974486,-0.9999983339332432,-0.9999999957868697,-0.9999999999931932,-0.9999999999999927,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002
