t,W_1_0,W_1_1,W_1_2,W_1_3,W_1_4,W_1_5,W_1_6,W_1_7,W_1_8,W_1_9,W_1_10,W_1_11,W_1_12,W_1_13
0.0,0.0,,3.000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0008135032103156181,,2.998479626543164,0.0013272732391014625,0.00033630726786941934,0.00023650707880033272,0.00023648541954795254,0.00023648458997304887,0.0002364845898566483,0.00023648458985386656,0.00023648458985386627,0.00023648458985386627,0.00023648458985386627,0.00023648458985386627
0.02,0.0032528787602491708,,2.9939227463669447,0.005297233628421653,0.001339035332327196,0.0009421283687054519,0.0009417829691295371,0.0009417697920024217,0.0009417697841101804,0.0009417697839349045,0.0009417697839348284,0.0009417697839348271,0.0009417697839348271,0.0009417697839348271
0.03,0.007316987670535622,,2.98634415360639,0.011889796295537195,0.0030001210148423493,0.0021158407115944213,0.0021141009817689316,0.0021140351549935902,0.0021140350651478517,0.0021140350631815024,0.0021140350631795217,0.00211403506317949,0.00211403506317949,0.00211403506317949
0.04,0.013003862960795483,,2.975770138471486,0.02107505118794735,0.005308963845482882,0.0037588064476506908,0.003753340212442521,0.003753136167059961,0.0037531356657852476,0.0037531356549731438,0.0037531356549534325,0.0037531356549531233,0.003753135654953123,0.003753135654953123
0.05,0.020309642372735866,,2.9622345268602297,0.03280168467712126,0.008243800054018478,0.005865302975889084,0.005852047631409235,0.005851561990495042,0.0058515600947451705,0.005851560054666646,0.005851560054550098,0.005851560054548304,0.0058515600545483,0.0058515600545483
0.06,0.029230178206254363,,2.945780808959359,0.04700967521564935,0.01178049256194503,0.008431502418094254,0.008404234143974164,0.008403258548315194,0.008403252945534673,0.008403252830091187,0.00840325282959526,0.008403252829587806,0.008403252829587782,0.008403252829587782
0.07,0.03975991850863705,,2.9264619844627786,0.06362664242859747,0.0158902323353275,0.011452903860400694,0.011402853374750782,0.011401113950145104,0.011401099991294997,0.011401099712648832,0.011401099710967923,0.011401099710943382,0.011401099710943274,0.011401099710943273
0.08,0.051892050485436936,,2.9043398915455474,0.08256883567654377,0.02054001003053133,0.014924480160127913,0.014840002445166749,0.014837166986918416,0.014837136312611859,0.014837135723296717,0.014837135718475584,0.014837135718407625,0.014837135718407219,0.014837135718407213
0.09,0.06561807509330464,,2.8794850777437273,0.10374111631555166,0.025692640287292515,0.018840355860688378,0.01870666305325356,0.018702356781450914,0.018702295567191912,0.018702294443742617,0.01870229443157641,0.018702294431411953,0.018702294431410655,0.018702294431410638
0.1,0.08092734292987355,,2.851976832730582,0.12703733536605846,0.031307098532389215,0.023193762781417365,0.022992728187828184,0.022986558685748542,0.022986445516582073,0.022986443549532748,0.022986443521793153,0.022986443521436365,0.022986443521432694,0.022986443521432653
