t,C_1_0,C_1_1,C_1_2,C_1_3,C_1_4,C_1_5,C_1_6,C_1_7,C_1_8,C_1_9,C_1_10,C_1_11,C_1_12,C_1_13,C_1_14
0.0,0.0,0.0,0.9999999843497811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0007048711284211403,0.0,0.9996327184963608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.005242158018306884,0.0,0.9988531628873906,0.00407788491209227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,0.01572764772954462,0.0,0.9982191330013427,0.02144272252192591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.031786514006518336,0.0,0.9977946471805411,0.03433246587474317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.04885062090931854,0.0,0.9965680828980489,0.03575809679165181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.050109486596674996,0.0,0.994617606202393,0.04627117941959685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07,0.0551495846100568,0.0,0.9928064300431286,0.06318180868343627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.06568128004663865,0.0,0.9910255823589165,0.07069768389747974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09,0.08102562398497595,0.0,0.9887601740107369,0.0764749792800135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.09573225110421996,0.0,0.9861673373733288,0.0883779089886329,0.0003718688386031505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11,0.09713327847216603,0.0,0.9832611527526713,0.1012924345037139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0.10169558080854443,0.0,0.9792645144503143,0.1099505773458268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13,0.11092179948717683,0.0,0.9747849006571413,0.11830033183487357,0.0028030585785229346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,0.12419377098577256,0.0,0.9710340110014108,0.1280091102915838,3.614029548687286e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.13645161565920205,0.0,0.9679719118906077,0.13950436368035982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16,0.13685845323222062,0.0,0.9619187872640971,0.15135221478060762,0.005399619216223138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.1393743474153202,0.0,0.9544770871968872,0.158305523829351,0.0064012571495433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18,0.14584836855447147,0.0,0.9484532348430819,0.1656085540828217,0.005035673699424845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19,0.15592869779900823,0.0,0.9440955506026674,0.1789587081349412,0.009401672266869695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.16498113691727476,0.0,0.9380522011560661,0.19218785076859723,0.01264788344939396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.21,0.16254590007087788,0.0,0.9283076433400106,0.19497284885889452,0.0119937963311441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22,0.16156562051364914,0.0,0.9199283975910391,0.20252163315497293,0.014992005681123563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.23,0.1642152563117839,0.0,0.9132815518861491,0.21830365023754458,0.01882078602209259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,0.17020291070319216,0.0,0.9064038814793367,0.22804058700189833,0.01962507426920097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.1745444901997035,0.0,0.8971502095568376,0.2292528583049563,0.021992862676660827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.26,0.16773419824630212,0.0,0.8879813972684194,0.23853596809069605,0.0254078162782768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.27,0.1624390936875623,0.0,0.8796918047554447,0.254396971064761,0.027354676061725786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28,0.16062682333873593,0.0,0.8713452841377239,0.25864036785381583,0.029962580860173633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.29,0.1617859329362456,0.0,0.8630262520114462,0.261709664550257,0.032809036899459416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.16013545160640755,0.0,0.8555877065485694,0.2718970603933927,0.03501326107939886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.31,0.1485959630260364,0.0,0.8479275924702844,0.28340690943050395,0.03828379871691929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.32,0.1388840273389621,0.0,0.8389992784019726,0.28654060076125926,0.04101069586151152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33,0.13249876425628487,0.0,0.8312941796403353,0.2915269871617221,0.04278024477034578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34,0.1286899411144019,0.0,0.826232108664254,0.30011022854356617,0.04644683707950828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.35000000000000003,0.1212126064331097,0.0,0.8225013304809187,0.3074342477509241,0.0496441955695627,0.0004891992706915946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36,0.10576648172119636,0.0,0.8148778498566492,0.3120916727043287,0.05072444620801848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.37,0.09235549257288742,0.0,0.8085034791285944,0.316877756219617,0.05419691760022978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38,0.08214876928825016,0.0,0.8054824379222205,0.322151530389216,0.058289096825561056,0.002267450199300151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.39,0.0743003936019013,0.0,0.8051670556370598,0.32858137265020876,0.058745250151453994,0.00020673435886880932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.06308021846629583,0.0,0.8024667609840707,0.33415731512414615,0.06141058933555981,0.0013457874316471171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.41000000000000003,0.04557604001933125,0.0,0.7989547145123774,0.3360603857058308,0.06652890491945654,0.003857239646859941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.42,0.030231291205407622,0.0,0.7982271414735144,0.33953828818518667,0.06677807139545953,0.0025235146788278313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.43,0.018519619088145967,0.0,0.7997704653311302,0.34692246720725867,0.06801747419005397,0.0030536509205223803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.44,0.010885663497511513,0.0,0.8014400125905025,0.35029001656287323,0.07371374367508673,0.005327550046534309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.008501653656600636,0.0,0.8028109310176444,0.34944834265726865,0.07481347640277665,0.004729911958346231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.46,0.012592145979880722,0.0,0.8051349675258144,0.3535476878138353,0.07415633520482576,0.004927331204236522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.47000000000000003,0.021932474899287253,0.0,0.8078897166541136,0.36130550741466755,0.07931473743962687,0.006751425693807206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.48,0.03523361908507682,0.0,0.8110915438698313,0.3593411521446111,0.08265971804055058,0.006738382730102322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.49,0.05162153684452779,0.0,0.815999913290305,0.358569692071205,0.08008348922918668,0.006888879936840885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.06592255969406266,0.0,0.8223984141815412,0.3642501678789982,0.08350350190121389,0.00817029754425983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.51,0.07262114675353382,0.0,0.8261690450467217,0.36819702461009757,0.08956850683508392,0.008490669628642181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.52,0.08049692206051379,0.0,0.8290216346365595,0.36346958090593257,0.08596158621472473,0.00887445427771941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.53,0.09173632588983789,0.0,0.8343667084344791,0.3642161113730898,0.08682260118192446,0.00964169146946568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.54,0.10593501445964155,0.0,0.8425197819812495,0.37011355515885613,0.09404625027705388,0.009985506370801785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.55,0.11682547199635311,0.0,0.8488563491411713,0.3683102239331881,0.09183190417752184,0.010794205842129001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.56,0.11919666748077352,0.0,0.8507789690745586,0.3643395385197613,0.0897844907892564,0.011195929054938903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5700000000000001,0.1232969224260834,0.0,0.8548420510997193,0.3660593550289305,0.09582226931874184,0.011271964343524237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.58,0.13113433876218947,0.0,0.8615842345376585,0.36871076325508073,0.09741469029914526,0.012554645387253703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.59,0.1418763275586156,0.0,0.8684459565292507,0.3649469101934877,0.09282612138735934,0.01284170856046542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.1474869141632797,0.0,0.8716142569218528,0.36240027755959614,0.09628926092465277,0.012444126108037976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.61,0.1452840094287939,0.0,0.8746405976899297,0.3628747523589318,0.10157369923009439,0.014088832281132103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.62,0.14550962561052666,0.0,0.8790620291845996,0.36217106561942985,0.0961438044042072,0.014562142732018755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.63,0.14966401552151545,0.0,0.8836836518013449,0.35957132103164224,0.0965264336991106,0.013604154300544256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.64,0.15639887698681423,0.0,0.8876010418394018,0.35699454738999176,0.10275000050961129,0.015390056941290546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.15674855129670937,0.0,0.8914056149552579,0.35459729713885185,0.09947972532317549,0.016306817705795226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.66,0.15077824361465256,0.0,0.8945264127055207,0.3536530283396106,0.09713753849195968,0.01481486891637315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.67,0.1474899511022767,0.0,0.8963592708533956,0.3525593151842525,0.10186100078577896,0.016486028782674474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.68,0.1480535230426295,0.0,0.8988127516790013,0.3474017122309664,0.10209881433682026,0.01797490181512541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6900000000000001,0.15088235919128082,0.0,0.9032039050534284,0.3435155401594225,0.0982207679022947,0.016104788730332116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7000000000000001,0.14749628945381732,0.0,0.9075238365398872,0.34459069879249676,0.1006077738734556,0.017457426759586336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.71,0.13856552529775903,0.0,0.9076184353728787,0.34294841964042716,0.10320639353019505,0.019497211345716584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.72,0.13214906342416557,0.0,0.9080034027927789,0.3348907526400248,0.09951232889833526,0.017463731633795266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.73,0.12957867993548677,0.0,0.9112227251350911,0.3319315870921053,0.09970934351198395,0.018387785886279016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.74,0.12947435582240097,0.0,0.9163488584077301,0.3347245590239091,0.10271588444569743,0.02084199657964455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
