t,mx_0,mx_1,mx_2,mx_3,mx_4,mx_5,mx_6,mx_7,mx_8,mx_9,mx_10,mx_11,mx_12,mx_13,mx_14
0.0,-1.0000000000000002,7.498798913308838e-33,7.498798913309387e-33,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002
0.01,-0.999812813834134,0.0007649531503783582,-0.0007989922374690156,-0.999666938916983,-0.9997021870220211,-0.9997137690788375,-0.9997179990477523,-0.9997160536071855,-0.9997054035589289,-0.9996486830033834,0.9996000613575295,-0.99964144481276,-0.9996845305408486,-0.999679962101278,-0.9998368221134336
0.02,-0.9993747395268494,0.002925157989493996,-0.0033598181058886933,-0.9991991983061487,-0.9995663388734928,-0.9996489008733657,-0.9996762723219719,-0.9996640235944233,-0.9995907931472662,-0.9989673026086494,0.9984010694326002,-0.9989080579988687,-0.9994296371194524,-0.9993880291046517,-0.9996656105075108
0.03,-0.9988827373496427,0.006273475729279029,-0.007814892992852387,-0.9989670012182666,-0.9999244569785571,-0.9999819545310136,-0.9999924300320217,-0.9999887287588022,-0.9999469140603929,-0.9981573866206499,0.9964050160023458,-0.9980894324660161,-0.9997924420555477,-0.9997267576746509,-0.9998199247588968
0.04,-0.9983341491505406,0.010810768014813598,-0.013937885799133616,-0.9983520203537841,-0.9998647998142287,-0.9997908000013929,-0.9997655679467382,-0.9997765007341386,-0.9998447061183593,-0.9967571273333435,0.9936145160819838,-0.996802034354509,-0.9999759443130315,-0.9999835942230528,-0.9999983105328027
0.05,-0.9975415367045182,0.01670776595342548,-0.021553064078061512,-0.9971874465332515,-0.9995663965897058,-0.9996110237055855,-0.9996444632152167,-0.99962750255139,-0.9995645611107423,-0.9947811625963723,0.9900340151792882,-0.994821344124643,-0.9995778169543992,-0.9996365521956407,-0.9998527544705287
0.06,-0.9964132066419114,0.024013859170735383,-0.03082065973253069,-0.9961073817396509,-0.9997716855346354,-0.9999345336602473,-0.9999723766875773,-0.9999583814417067,-0.9998189210504893,-0.992688085127541,0.9856702270880591,-0.9925711343804721,-0.9994673941374622,-0.9994194662893203,-0.9996670266689484
0.07,-0.9951011314775886,0.032547111995769054,-0.0417909202910707,-0.9951056863728569,-0.9999206146268423,-0.9998627773091017,-0.9998147896723061,-0.9998374494854825,-0.9999206860428244,-0.9902595075801106,0.9805295584437768,-0.9902178636953686,-0.9998757311774277,-0.9997634426846908,-0.9998026249988723
0.08,-0.9938059503691603,0.04209973987453631,-0.05415057698637747,-0.9936359899092576,-0.9996642922218043,-0.999606232326885,-0.9996245108931366,-0.9996101351894707,-0.9996186295465506,-0.9871470803167486,0.9746181471381777,-0.9873244261869175,-0.9998949662636644,-0.999939261577099,-0.9999944431814162
0.09,-0.9925188410683701,0.052652335016906894,-0.0677099838686174,-0.9918582497739277,-0.9996670565920641,-0.999869477682009,-0.9999410730972599,-0.9999125188137276,-0.9996773168131019,-0.9837376083669533,0.9679466439425471,-0.9838053017163365,-0.9994694975134844,-0.9996104909858003,-0.9998683438380477
