t,mz_0,mz_1,mz_2,mz_3,mz_4,mz_5,mz_6,mz_7,mz_8,mz_9,mz_10,mz_11,mz_12,mz_13,mz_14
0.0,1.109138822452671e-16,5.5402731014009277e-17,5.5402731014009277e-17,2.7647155398380363e-17,1.3769367590565906e-17,6.830473686658678e-18,3.3610267347050637e-18,1.6263032587282567e-18,7.589415207398531e-19,3.2526065174565133e-19,1.0842021724855044e-19,0.0,0.0,0.0,0.0
0.01,1.1405806854547507e-16,-5.2475385148298415e-17,-5.2475385148298415e-17,3.0357660829594124e-18,3.0357660829594124e-18,-1.3574211199518516e-16,-1.3227266504323154e-16,-1.3574211199518516e-16,-1.235990476633475e-16,-9.80118763926896e-17,4.2717565595928875e-17,-1.0538445116559103e-16,-1.0142711323601894e-16,-1.0595365730614592e-16,-9.870305527764911e-17
0.02,-4.1183419521861886e-16,-1.633079522306291e-15,-1.300012614918744e-15,-1.6203401467795864e-16,-2.325613659981407e-17,-9.264507563888635e-17,-1.6897290858186587e-16,-6.315477654728063e-17,-8.657354347296753e-17,-2.292545493720599e-16,-3.557104697599067e-15,-2.242672193786266e-16,-1.0728180496744066e-16,-1.1064283170214573e-16,-1.1655173354219173e-16
0.03,-1.5340783114312084e-15,-2.6958185575347293e-14,-3.578445862111729e-14,6.308565865878468e-16,2.1452295235341312e-16,2.075840584495059e-16,-1.792999342747903e-17,5.839783951550048e-17,1.1737843769871192e-16,-6.829755402719406e-15,-3.071934389807171e-13,-6.1758730724933986e-15,8.214186709293303e-17,-1.2752928053860746e-17,-5.21772295508649e-17
0.04,1.1555264124024633e-14,-2.941196548464364e-14,-7.848382317307556e-14,5.7543488203581905e-15,4.738505594847897e-16,2.1711148504022226e-16,1.7027395118884847e-16,1.0782390605368342e-16,1.8278022324846877e-15,1.5897710665263576e-14,-1.8921738633402574e-12,2.323407308560399e-14,1.7967940503516022e-15,1.0020738579197275e-16,4.7718448116518264e-17
0.05,6.380827940674627e-14,-4.169182902559465e-13,-8.274232536110981e-13,3.795396072078794e-14,1.642728921641412e-15,8.841668716619289e-17,-1.566672139241554e-17,2.896446103795025e-16,1.5055610837894084e-14,-1.007666714826494e-13,-1.2578132166461004e-11,-2.2793670163140378e-14,1.606565358178158e-14,2.7489946083369965e-16,1.1006007303443477e-16
0.06,1.5018747964029577e-14,-1.361019424332005e-12,-1.1014492811746435e-12,-6.107316258621709e-14,1.064632323272141e-15,-1.7835125737386548e-17,-1.1497964039208775e-16,2.389039487071809e-16,-1.149563300453793e-14,-8.419589352971768e-13,6.419782782630945e-13,-8.416652249286505e-13,-3.673873271575756e-15,5.562228195393759e-16,1.5039239385089553e-16
0.07,-8.143438451780477e-14,-2.388084982584207e-13,4.714566817455232e-13,-7.674369223876348e-14,-2.955494464614017e-15,6.986327748953469e-17,-7.932294144447072e-17,-6.170872189972809e-16,-3.4750373694054926e-14,6.243187119624877e-14,1.4268623432854392e-11,-1.112864818743689e-13,-3.525252193024159e-14,-2.1051140431521675e-16,7.186227524505484e-17
0.08,-8.45737393420816e-14,1.1977338540999742e-12,1.2981812822529352e-12,4.064554004782825e-14,-3.3678639846553005e-15,-1.031144028669495e-16,-4.4133804683738065e-17,-1.2011943631602684e-15,6.702205793390065e-15,1.1543449505188423e-12,2.8271086575828823e-12,1.0960180178254224e-12,-1.2050615767842526e-14,-1.3228147418588299e-15,-8.647189951929701e-17
0.09,2.515670235059969e-14,1.0234414905179248e-12,1.9407713554731726e-13,1.185680920849988e-13,2.938364070288746e-15,-5.923809619917675e-17,1.246425922543648e-16,6.58070061117233e-16,6.030393469736578e-14,2.8375800244662824e-13,-1.3528312408565661e-11,5.51142261711636e-13,5.139824384246122e-14,-8.125417656421052e-16,-2.7347644548231242e-16
