t,Cxx_1_0,Cxx_1_1,Cxx_1_2,Cxx_1_3,Cxx_1_4,Cxx_1_5,Cxx_1_6,Cxx_1_7,Cxx_1_8,Cxx_1_9,Cxx_1_10,Cxx_1_11,Cxx_1_12,Cxx_1_13
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,-0.001198054931670224,1.0,-8.025018172884431e-07,9.746284213020769e-08,2.3838926235379477e-08,4.738240923241437e-09,2.427412818942821e-10,5.079456639104053e-11,-8.250813470038556e-13,-2.172690345526015e-13,9.723206122611458e-16,3.362814436384787e-16,-3.8296517836377657e-19,-1.8909732384341172e-19
0.04,-0.00477389723484227,1.0,-1.6759759243136365e-05,1.7715725664312475e-07,5.308287218905097e-08,1.4787763289242353e-08,2.570567556771373e-09,5.268510084016008e-10,-1.6114527541349172e-11,-4.3121223422414156e-12,-3.560041653402418e-14,-1.0392345206174892e-14,2.314402324442895e-15,1.1496266754774097e-15
0.06,-0.010670496198756648,1.0,-8.615978615608951e-05,1.7489458135866127e-07,5.384084748092594e-08,2.8276750068866626e-08,3.1616789424663743e-09,7.497316139521301e-10,4.4831168810168736e-11,-9.699639581572393e-13,-1.0492678864465382e-11,-2.9525265154844016e-12,8.15463637460686e-13,3.9347667101048767e-13
0.08,-0.018793423537489324,1.0,-0.00027106790644119126,1.9121858977529747e-07,6.675292891342641e-08,1.4975666257839004e-07,7.971953184937812e-09,2.5067853498308394e-09,6.578028621356762e-10,1.7781106280868641e-10,5.278687025368587e-12,4.0863007064639254e-12,2.760181203637765e-12,8.851140925520795e-13
0.1,-0.029012830928858868,1.0,-0.0006556215490879947,2.3802869613600697e-07,9.383558030111122e-08,7.641397717561856e-07,2.2042191354083275e-08,5.850267412194538e-09,1.7881089248511518e-09,4.970141320427209e-10,1.3533417087184007e-11,-8.90559642189523e-12,-1.5973078322628622e-11,-1.2213976116047117e-11
0.12,-0.04116546501216809,1.0,-0.0013430564871367077,2.695601704023683e-07,1.009011436483615e-07,3.017219491481485e-06,6.00030221009595e-08,6.687280832314464e-09,1.2656083177661418e-09,-6.54701397857525e-11,-3.8647754869397713e-10,-1.9851139658016116e-10,-7.746679252604591e-11,-3.6891655641131763e-11
0.14,-0.055057299182859655,1.0,-0.0024520995489821385,1.9735992107139137e-07,2.2977711195936346e-08,9.655059268430575e-06,1.9592593008083787e-07,5.619819776679638e-09,-4.266456385987164e-10,-6.793554192730527e-10,-4.373172673232253e-10,-6.101726855273714e-11,1.0350707157647851e-10,1.1882528768695775e-10
0.16,-0.07046617736193543,1.0,-0.004112500038114517,6.85030527139211e-08,-1.543993132552804e-07,2.6242655985441077e-05,6.767686014643585e-07,2.3969161006088158e-08,3.7025214357806087e-09,1.9537238884481652e-09,1.162155985414647e-09,8.754321547213133e-10,5.485107937811363e-10,4.1358192278441733e-10
0.18,-0.08714551765892097,1.0,-0.006460646255617564,-1.678234340967088e-07,-5.741264368320516e-07,6.245555383409124e-05,2.0321064462238715e-06,8.361803305539803e-08,6.906324748820658e-09,-3.2414802321475384e-10,-2.6973936159759337e-09,-2.8180512777920077e-09,-2.1701420117708607e-09,-1.938946604662183e-09
