t,mz_0,mz_1,mz_2,mz_3,mz_4,mz_5,mz_6,mz_7,mz_8,mz_9,mz_10,mz_11,mz_12,mz_13
0.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.02,-0.9982007782813338,0.9964045548149051,-0.9964043165894086,-0.9964052745197238,-0.9964062321850589,-0.9964062321866269,-0.9964062321882091,-0.996406232188209,-0.9964062321882092,-0.9964062321881949,-0.9964062321873273,-0.9964062324773574,-0.9964055143414183,-0.9982007794791828
0.04,-0.9928124502517861,0.9856727730646525,-0.9856690031136063,-0.9856841823277493,-0.9856993468848141,-0.9856993468947857,-0.9856993469051574,-0.9856993469051517,-0.9856993469051496,-0.9856993469047587,-0.9856993468934759,-0.9856993651325393,-0.9856879823290138,-0.9928124611470112
0.06,-0.9838630117726936,0.9679675441646085,-0.9679488345561609,-0.9680244735083554,-0.9680999540634125,-0.9680999543041716,-0.9680999545449329,-0.9680999545446598,-0.9680999545445043,-0.9680999545451605,-0.9680999543169341,-0.9681001587193145,-0.9680434187394034,-0.9838630398057572
0.08,-0.9713988300035937,0.9435573457477933,-0.9434999232284831,-0.9437338165495546,-0.9439668660921643,-0.9439668682927064,-0.9439668704820292,-0.9439668704815414,-0.9439668704813127,-0.9439668704953939,-0.9439668683684771,-0.9439679925785659,-0.9437924761313272,-0.9713989263080499
0.1,-0.9554845543159936,0.9128123565421165,-0.9126773630748923,-0.9132324653937596,-0.9137845641842548,-0.9137845744310338,-0.9137845846497978,-0.9137845846444885,-0.913784584641689,-0.9137845847033337,-0.9137845734787309,-0.9137887438911536,-0.9133719221104515,-0.9554847610585739
0.12,-0.9362026313494343,0.8761984361816096,-0.875931245880361,-0.877042893742651,-0.8781463145550726,-0.8781463522477292,-0.8781463898429189,-0.878146389829881,-0.8781463898210417,-0.8781463900798208,-0.8781463455800772,-0.8781583815628164,-0.8773228009836097,-0.9362029624923115
0.14,-0.9136526736231475,0.834269463930483,-0.8338012882348733,-0.8357769963933366,-0.8377340311618022,-0.8377341503421452,-0.837734268888712,-0.8377342689280463,-0.8377342689442403,-0.8377342700413507,-0.8377341258124814,-0.8377632831685885,-0.8362759411462953,-0.9136531542510499
0.16,-0.8879508732567412,0.7876583560379903,-0.7869101405389964,-0.7901214139448695,-0.7932960481339875,-0.7932963724339637,-0.7932966946638531,-0.7932966947713813,-0.79329669482821,-0.7932966986556135,-0.793296301455694,-0.7933583327914876,-0.7909354552773733,-0.887951574882225
0.18,-0.8592296095565908,0.7370671081313043,-0.7359554092083928,-0.7408214999339465,-0.7456238928741562,-0.7456246634496718,-0.7456254301238799,-0.7456254298752241,-0.7456254297164423,-0.7456254408741259,-0.7456244826266576,-0.7457438027751634,-0.7420608245959079,-0.8592304995528361
0.2,-0.8276362987636342,0.6832546798518392,-0.6816991541922244,-0.688663524945337,-0.6955284679183792,-0.6955301315661544,-0.6955317839364793,-0.6955317837587096,-0.6955317834055035,-0.6955318133051007,-0.6955297282144958,-0.6957414257937911,-0.6904474498843182,-0.8276371984279796
0.22,-0.7933317468199519,0.6270227642927351,-0.6249550821316505,-0.634456123247791,-0.6438173032351051,-0.6438206198171808,-0.6438239078370864,-0.6438239078558208,-0.6438239072237438,-0.6438239796731593,-0.6438198110477842,-0.6441711956049065,-0.6369068325820288,-0.7933328039677295
