t,W_1_0,W_1_1,W_1_2,W_1_3,W_1_4,W_1_5,W_1_6,W_1_7,W_1_8,W_1_9,W_1_10,W_1_11,W_1_12,W_1_13
0.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.02,1.0005944941136344,,0.9964061580961294,0.996405514513497,0.9928237532396399,0.9928237206271293,0.9928237074878022,0.9928237071864413,0.992823707112569,0.992823707111637,0.9928237071104061,0.9928237073997593,0.9928229917457945,0.9946118026478408
0.04,1.0023221093850463,,0.985706062400109,0.9856880305386433,0.9715771253500964,0.971577316338242,0.9715770063873724,0.9715770020640856,0.9715770012401242,0.971577001218631,0.9715770011989643,0.9715770191914214,0.9715657986790379,0.97858820714061
0.06,1.0050124480279068,,0.9681371024853624,0.9680440170258242,0.9370897912463126,0.9370926097734755,0.9370893483335021,0.9370893202624155,0.9370893194531575,0.9370893193785397,0.9370893191386124,0.937089517024703,0.9370345929937249,0.9523474805156397
0.08,1.008387080403008,,0.944084126217542,0.9437958057180258,0.8906890975393408,0.8907048696961374,0.890687100570787,0.8906868491252106,0.8906868463678357,0.8906868454196877,0.8906868430011203,0.8906879039063159,0.8905222924114763,0.9165705744998336
0.1,1.0120699000340043,,0.9140660264424677,0.9133843366848822,0.834122125575443,0.8341808026233098,0.8341152986484559,0.8341138202751526,0.8341138090589946,0.8341138067157373,0.8341137955480049,0.8341176027488155,0.8337371220880029,0.8721782636649644
0.12,1.0155996984949585,,0.8787167456389071,0.8773586996845655,0.7694545989051925,0.7696242453577511,0.7694366417125689,0.76943050071159,0.769430409521144,0.7694304074024487,0.7694303677619124,0.7694409143367384,0.7687087827361146,0.8202995199679185
0.14,1.018445885129894,,0.8387633568551248,0.8363629071056182,0.6989550471559648,0.6993667405457886,0.6989166278724172,0.6988964531003675,0.6988960184829845,0.6988960209112797,0.6988958982642142,0.6989202233441122,0.697679395250388,0.7622328718236787
0.16,1.0200258014361516,,0.7950020897373063,0.7911201917449611,0.6249736315209359,0.6258506179746098,0.6249040749825768,0.6248482884139874,0.6248466601870128,0.6248466502056076,0.6248463328898298,0.6248951921545733,0.6229868303573459,0.6994024149546807
0.18,1.0197251822692066,,0.7482754184716529,0.7424154710359274,0.5498231257035952,0.5515119589457586,0.5497159406967457,0.5495809545272277,0.5495758588225892,0.5495757464203215,0.5495750388315509,0.5496629877717678,0.5469484266869951,0.633310398068034
0.2,1.0169214484820515,,0.6994508962353196,0.6910758749305019,0.47567068490989395,0.47866860439848025,0.47553265281393126,0.4752392917577615,0.4752254945565882,0.4752251097938513,0.47522366563617957,0.47536830280225717,0.47175120641968127,0.5654868200446914
0.22,1.011003046935222,,0.649398736876378,0.6379469677261826,0.4044443487865689,0.4094200888086245,0.40431048541221204,0.4037267953113439,0.4036931720046849,0.403692017354749,0.40368935231986425,0.40390966346238005,0.3993547904948111,0.4974375234714262
0.24,1.0013929271583808,,0.5989785435841716,0.5838740999300492,0.33776775847696267,0.34556829696614083,0.33771935715191537,0.3366411719661896,0.33656619237434704,0.3365631207964276,0.3365585952417177,0.3368724117359194,0.3314181792774701,0.4305984741121965
0.26,0.9875681783490314,,0.5490238748627312,0.529677511037034,0.2769120337558387,0.28855232824553645,0.2770982012423063,0.27522980420389226,0.27507525351778,0.275067602058175,0.2750604006124447,0.2754813010067059,0.26924372277336195,0.36628775597291263
0.28,0.9690806100079694,,0.5003365161788885,0.47613310864307407,0.222778496795641,0.23941077509194578,0.2234381916528047,0.2203761811954899,0.22007806640756178,0.22006065493803645,0.22004978450755058,0.22058392528812495,0.2137511741583618,0.30566808113115473
0.3,0.9455745363755917,,0.45368005703785114,0.42395103264225453,0.17589999078456472,0.19876053794793977,0.17738102528699382,0.17260537016433525,0.17206301267407537,0.1720260153344775,0.17201029469157036,0.17265380212286843,0.16547190882709023,0.24971095878850744
0.32,0.9167997257165728,,0.4097791626140357,0.37376005126403145,0.13646751935497117,0.16680286385185172,0.1392388706930353,0.13211497654145887,0.1311783259847489,0.1311045476520027,0.13108236087469405,0.13181969847850733,0.12457070607947343,0.19917445466626416
0.34,0.8826230214527391,,0.36931883430567625,0.3260922800067174,0.10436822453435107,0.1433439354898297,0.10902198808813779,0.09881747254489066,0.09727397546374096,0.09713460869193609,0.0971036691809867,0.09790760923110547,0.09088318790004134,0.15458513520261324
0.36,0.8430366317988052,,0.33294649574532964,0.28137447915000247,0.07923799746660512,0.1278354520593484,0.08647673711463622,0.07239507570249783,0.06995782040995317,0.0697071135361552,0.06966343111051186,0.07049679422126705,0.06397074892809154,0.11623224277376448
0.38,0.7981582849269231,,0.3012695400451382,0.2399201633013349,0.0605162301570052,0.11942645940253,0.07112478649080735,0.05235667558436152,0.048656091686944444,0.04822468964674969,0.04816153423299062,0.048980690545283194,0.04318320701718443,0.08416955315591092
0.4,0.7482329415949454,,0.2748571019982943,0.2019333877693404,0.047508490370060746,0.11702987042630036,0.06230708054703061,0.038097465503779855,0.03267930766015255,0.031966556755495666,0.03187234935571152,0.032631800555010936,0.027729096633404504,0.058230035092706044
0.42,0.6936258184255613,,0.25423340476515266,0.16751092932109748,0.03943930342097658,0.11939009536115358,0.05922133085638035,0.02894836778810718,0.021280763053343175,0.02014659486074895,0.020002482659773384,0.020660172385894064,0.016741190969013598,0.0380449720385374
0.44,0.6348147939974655,,0.2398714679228534,0.13665292453462807,0.03550478872175387,0.1251579729333877,0.06096131150264034,0.024219640335418707,0.013711309209577693,0.0119686009444205,0.011744339513749922,0.012266785908714628,0.009339221681456348,0.023073095347460076
0.46,0.5723760307744028,,0.2321798296332825,0.10927768636218611,0.0349150238444615,0.13296136800283842,0.0665508330359685,0.023232015350678165,0.009263755061745524,0.006672294002694977,0.006322185490644728,0.006687928410938857,0.004682194047698401,0.012634926146362566
0.48,0.5069689370368712,,0.23148762608092982,0.08523862231378541,0.03692826137801753,0.14147267905884522,0.07497718230401527,0.025336241808306133,0.007305467704670058,0.0035692841223281414,0.0030268078567459674,0.00322809686152878,0.0020095210009417512,0.005951425066684864
0.5,0.4393170570299883,,0.2380247111015877,0.06434482561302975,0.04087629549404625,0.14946708067892464,0.08522211239249289,0.029921569041497433,0.007299039447951362,0.002068677470855883,0.0012411353588267938,0.0012827255671480997,0.0006691589505358293,0.002185002573245406
0.52,0.37018868381107195,,0.25190212050540556,0.046384653261713704,0.046182766184416794,0.15587354325428507,0.09629511175009951,0.03641757607922034,0.008812942626835076,0.001694048739337508,0.00045749440388023413,0.0003510550558021331,0.00013406047511022606,0.0004817923724803777
0.54,0.3003761795388933,,0.2730893611998072,0.031146075090818712,0.052370239352368765,0.1600450904306559,0.10743584636422775,0.044285504204820414,0.011517086641045624,0.0020872549901819987,0.0002825004564881208,3.858528388947501e-05,4.755972583671115e-06,1.0648986682410875e-05
0.56,0.34446709894496685,,0.3013939924408128,0.018436820444609755,0.05906378371355066,0.1607630322271371,0.11727436568432138,0.05301012966339784,0.015171629109989163,0.0030059064611248406,0.00043619954192065,5.329623433872941e-05,4.039560528010339e-06,7.145835878854075e-07
0.58,0.3959276329431591,,0.33644427313919084,0.020268937109811,0.06607021774198696,0.15779797623428937,0.1256019576156365,0.062089685646408446,0.01960713540560482,0.004312263401423613,0.0007442969401577006,0.00019555614128524527,5.1992629687287826e-05,0.00022992705908241067
