t,C_1_0,C_1_1,C_1_2,C_1_3,C_1_4,C_1_5,C_1_6,C_1_7,C_1_8,C_1_9,C_1_10,C_1_11,C_1_12,C_1_13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.03996182766525197,0.0,0.03997264288286676,0.000399729388939033,2.663981427014542e-06,1.331095602227788e-08,5.3211495911062103e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.07967095854040027,0.0,0.07976173668883947,0.001595291234848451,2.1270493328536592e-05,2.1269309899872048e-07,1.7007657909273284e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.11888028363640503,0.0,0.11918762736389364,0.003575849390993308,7.152718619357825e-05,1.073118196684693e-06,1.2869402705766885e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.1573500129612199,0.0,0.1580770342666833,0.006323851853963343,0.00016869302489750643,3.375479118996398e-06,5.39557725142298e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.19485500687451524,0.0,0.1962730327225388,0.009816379104816274,0.0003274305761548247,8.193122007677669e-06,1.6364299205537716e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0.23116797472221656,0.0,0.23361248005022622,0.014022455894550003,0.0005614749929356533,1.6868291580050586e-05,4.0412262276576864e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,0.26609384827815713,0.0,0.2699555723824987,0.018906981128674102,0.0008835794477240588,3.098713261342248e-05,8.656403909105462e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16,0.29945118698401657,0.0,0.30517508293618595,0.02442999022824253,0.0013053460763761417,5.235140446106926e-05,1.6703327063343508e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18,0.3310798234764942,0.0,0.3391601078649872,0.030547717740841692,0.0018371218037234395,8.294626207898264e-05,2.9751882644985137e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.36084192013796945,0.0,0.37181753668297596,0.037213517850224254,0.0024879350040516827,0.00012490767049944205,4.9742006737731056e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22,0.38862288519511234,0.0,0.40307244877049003,0.044378693335470586,0.003265454834080688,0.00018048888176829117,7.899672363702739e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,0.4143320799502836,0.0,0.43286840669755455,0.05199336054604304,0.004175984917607439,0.00025202757313083553,1.2022733586834061e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.26,0.437902572313348,0.0,0.4611679691817709,0.06000745372768929,0.005224509646604387,0.00034191651924175153,1.765328603677346e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28,0.4592905550384053,0.0,0.4879519924867423,0.06837149942652197,0.00641475080477106,0.00045257581199310056,2.5139341068435208e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.47847461447585,0.0,0.5132186729574103,0.07703732222632834,0.007749246310326201,0.0005864280511156397,3.486589832987886e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.32,0.49545415784351327,0.0,0.536982837246957,0.08595883298937661,0.009229474317030254,0.0007458799424209201,4.725372839332987e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34,0.510247432279134,0.0,0.5592745667420721,0.09509262366661106,0.010855983635245321,0.0009333078309543599,6.275805089664539e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36,0.5228897964147644,0.0,0.5801372256730878,0.10439832174267268,0.012628512212156641,0.0011510452478977996,8.186705099630776e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38,0.5334314169322047,0.0,0.5996257818351983,0.11383897371108502,0.01454613256645626,0.0014013770851167555,0.0001051007253610208,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.5419343386691375,0.0,0.6178051862631424,0.12338138899824089,0.01660741476970762,0.0016865405569545108,0.00013301028349660743,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.42,0.5484703902814924,0.0,0.6347478651932373,0.1329960640858679,0.018810528062514886,0.0020087229191747633,0.00016617729234680436,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.44,0.5531188456831315,0.0,0.6505315718475493,0.14265711118011304,0.0211533485488329,0.0023700634385294917,0.00020521326786214014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.46,0.5559632791218366,0.0,0.6652378696828846,0.15234233213115245,0.023633605809882694,0.0027726651907365113,0.0002507604728646125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.48,0.5570896740287828,0.0,0.6789497111190061,0.16203279131314674,0.0262489271901031,0.0032185962897045765,0.0003034918942252292,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.5565846537683931,0.0,0.6917493526905218,0.17171237272584916,0.02899686733993057,0.0037098908371755186,0.00036411132046815854,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.52,0.554532927430192,0.0,0.7037171638809452,0.1813676112334096,0.03187499455445034,0.004248561430591888,0.0004333549887416928,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.54,0.5510158902675957,0.0,0.7149298795595296,0.19098713369551437,0.03488087599315157,0.004836597811492484,0.0005119919262752816,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.56,0.5461107842434753,0.0,0.7254589891417407,0.20056101790647085,0.038012021091648314,0.00547595836514299,0.0006008234767180291,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.58,0.539889349934117,0.0,0.735369932641565,0.210080431427792,0.041265877665334,0.006168570682500465,0.0007006840166410056,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.5324168423183175,0.0,0.744721417701491,0.21953722910287557,0.04463980208647101,0.00691632785856381,0.0008124412624110544,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.62,0.5237522810122719,0.0,0.7535643955974031,0.2289232589931939,0.04813092606291052,0.007721063729240194,0.0009369936357512306,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.64,0.5139482978407217,0.0,0.7619417429206614,0.23822995856547338,0.05173607915703705,0.008584535755029599,0.0010752683295773557,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.66,0.5030505396100076,0.0,0.7698885295645961,0.24744823732306573,0.0554517812247094,0.009508420746873778,0.0012282210588370854,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.68,0.4910987102121715,0.0,0.7774316136855376,0.2565678953071547,0.05927407487811819,0.01049427502918416,0.0013968302709989249,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7000000000000001,0.4781273108587448,0.0,0.7845897491703128,0.26557728974106903,0.06319840846015644,0.01154350016005791,0.0015820913855635892,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.72,0.46416538116920725,0.0,0.7913744452111046,0.27446348992510783,0.06721966837075533,0.012657339633706119,0.0017850153721728967,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.74,0.4492378205542409,0.0,0.7977901123477952,0.28321193745645795,0.07133203476390604,0.013836833131007257,0.0020066200477109573,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.76,0.43336660524602133,0.0,0.8038344544179381,0.2918062432624374,0.07552886305131569,0.015082771143190359,0.002247920290618514,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.78,0.4165709449927409,0.0,0.8094994782107712,0.30022846892794397,0.07980273388272989,0.016395687899245365,0.0025099238735725106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.39886831254426025,0.0,0.814772110640988,0.3084591396328265,0.08414540291275237,0.01777582800472927,0.002793622091893671,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8200000000000001,0.3802759040563542,0.0,0.8196346815085146,0.3164771451325152,0.08854769666157464,0.01922309493972738,0.003099975953725676,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.84,0.36081123969091106,0.0,0.8240658221996389,0.32426001998005527,0.09299955331550311,0.020737034663273455,0.003429907511734244,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.86,0.3404926698346885,0.0,0.8280413869344265,0.33178432198627317,0.09749011219712933,0.02231683266375884,0.003784292926199879,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.88,0.3193410438701161,0.0,0.8315349026206572,0.3390255874501761,0.10200762521608982,0.023961259329240675,0.0041639446186287135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.2973807235981869,0.0,0.8345183132568558,0.34595858662208845,0.10653949282349297,0.02566864733918379,0.004569598092884391,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.92,0.2746399859092324,0.0,0.836962959059487,0.3525579360713436,0.11107247586831047,0.027436923035963956,0.0050019087681794075,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9400000000000001,0.2511531404570737,0.0,0.8388400071525817,0.35879813514838965,0.11559265035687491,0.029263560425654266,0.005461432283849457,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.96,0.22696268342670803,0.0,0.8401210448223546,0.3646537866154942,0.12008544557295987,0.03114555787071976,0.005948607930961285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.98,0.20212154379395797,0.0,0.8407789369367044,0.37010027438199156,0.12453592636541749,0.0330794963934759,0.006463758898871145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.17669887283972166,0.0,0.8407882684605684,0.37511393505358104,0.12892883494660437,0.03506152223413867,0.007007075793097918,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02,0.15079093615437256,0.0,0.8401257997503586,0.3796722454935833,0.1332486436119523,0.03708733221480199,0.007578599762519702,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.04,0.12454452241895347,0.0,0.8387710839690798,0.38375437209793223,0.13747981979146753,0.039152236351188426,0.008178222946174655,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.06,0.09821943175354139,0.0,0.8367069232881071,0.387341548793274,0.141607018072858,0.04125120064722113,0.008805684874028614,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.08,0.07238546230973696,0.0,0.833919651632726,0.3904171648192489,0.14561512035939286,0.04337883799286833,0.009460556944935056,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1,0.04870156441935794,0.0,0.8303995024444653,0.3929671208585823,0.14948944754061907,0.045529466508696735,0.0101422435457038,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.12,0.03335138871502993,0.0,0.8261409675759549,0.3949803309825808,0.15321608513910887,0.04769722029099104,0.010849997795035132,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1400000000000001,0.03890831645843452,0.0,0.8211428985147041,0.3964486942049675,0.15678190319278268,0.049876048371955,0.011582911365653639,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.16,0.06009577615882249,0.0,0.8154086173094989,0.39736723230577736,0.1601746952255015,0.052059765187807354,0.012339918783438196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.18,0.08614492244825289,0.0,0.8089460641018303,0.3977345611238893,0.1633835610207207,0.05424221150348031,0.013119833591658326,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2,0.11374239484055709,0.0,0.8017677088744692,0.397552771209122,0.16639891994027606,0.056417271557205835,0.013921350070370457,0.0,0.0,0.0,0.0,0.0,0.0,0.0
