t,Cxx_1_0,Cxx_1_1,Cxx_1_2,Cxx_1_3,Cxx_1_4,Cxx_1_5,Cxx_1_6,Cxx_1_7,Cxx_1_8,Cxx_1_9,Cxx_1_10,Cxx_1_11,Cxx_1_12,Cxx_1_13
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,-0.002225891846519653,1.0,0.0012450708735323502,-0.0003991334624166202,-1.9210258691528863e-07,1.3263596149496682e-08,4.85414778492721e-12,-1.766973039831833e-13,-4.598770861167465e-17,1.2711568259408775e-18,2.065892846685058e-22,-5.7277974709303876e-24,2.5232988885157585e-28,1.9173229580459428e-28
0.04,-0.008865015601721704,1.0,0.004964878831942033,-0.0015858375722740533,-3.047176067026195e-06,2.096712876626614e-07,3.1291398020953985e-10,-1.1132333134706308e-11,-1.2357306984540476e-14,3.189070319575234e-16,2.2759864883167124e-19,-5.7151488442058015e-21,7.731779381359245e-25,7.586843405348561e-25
0.06,-0.01979860809215426,1.0,0.011117367215813441,-0.0035282750483093205,-1.5293353488636522e-05,1.0389613339218674e-06,3.5274924771312877e-09,-1.2347769038169613e-10,-3.1430345020620653e-13,7.97847411172273e-15,1.3121776873483985e-17,-3.2385107010667826e-19,1.0595837195568338e-22,9.593957823821943e-23
0.08,-0.034839535765746034,1.0,0.019628113478491544,-0.006174663479068386,-4.778387934423534e-05,3.1853721017444775e-06,1.953282004921048e-08,-6.678622785066568e-10,-3.0952382325695773e-12,7.701111868763298e-14,2.3071586788645377e-16,-5.61659528667119e-18,3.32745222105661e-21,2.925921830239133e-21
0.1,-0.05374941937558316,1.0,0.03038636216545109,-0.009455940716741563,-0.00011496716243687883,7.4765360955063475e-06,7.314708259125226e-08,-2.424033776790254e-09,-1.8118926292246576e-11,4.389138908978693e-13,2.120361843459794e-15,-5.0748065295219116e-17,4.6796591433918486e-20,4.0693675124556413e-20
0.12,-0.07618058845813433,1.0,0.043280450461265156,-0.013284207370076073,-0.0002341670289213072,1.4760389339966348e-05,2.1345173428472413e-07,-6.799153936641769e-09,-7.612236322695887e-11,1.7852325108039351e-12,1.2903860148606206e-14,-3.0295588104331864e-16,4.2437754986544775e-19,3.4423290518052974e-19
0.14,-0.10175105841725461,1.0,0.05816964707202873,-0.01755838210671758,-0.00042484429605888397,2.576312082497532e-05,5.237717575987227e-07,-1.587661188776571e-08,-2.541128270644382e-10,5.725077547782246e-12,5.899114554502859e-14,-1.3552376840654281e-15,2.6133537505449724e-18,2.0554188185897347e-18
0.16,-0.13002605447615773,1.0,0.07489472057097858,-0.0221655847369902,-0.0007076002813282042,4.09383809191846e-05,1.130895442089385e-06,-3.2233002008635126e-08,-7.160941746648859e-10,1.5355751182638192e-11,2.1862329310647867e-13,-4.89657515488316e-15,1.2392245526768937e-17,9.484902448598218e-18
0.18,-0.16053017087993707,1.0,0.09328282642784592,-0.026984209073531294,-0.0011032201996027428,6.031353953138855e-05,2.21220316771465e-06,-5.842467690480777e-08,-1.7712248668331423e-09,3.5747253338496314e-11,6.897472976717027e-13,-1.4996205953361048e-14,4.8244802161149476e-17,3.5848448931902864e-17
0.2,-0.19275717313599197,1.0,0.1131512959256602,-0.03188699172112511,-0.001631683931388593,8.334629788474465e-05,3.9994535337663474e-06,-9.606730452147499e-08,-3.948947280691586e-09,7.397023964677836e-11,1.9153575426432748e-12,-4.0227193650234287e-14,1.6081020881742533e-16,1.1543452043362492e-16
