t,Czz_1_0,Czz_1_1,Czz_1_2,Czz_1_3,Czz_1_4,Czz_1_5,Czz_1_6,Czz_1_7,Czz_1_8,Czz_1_9,Czz_1_10,Czz_1_11,Czz_1_12,Czz_1_13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,-0.0015969476967199192,0.0031949196665005397,-0.001597812179098268,-1.5978358613999433e-07,-7.097100684916313e-12,-4.440892098500626e-16,-4.440892098500626e-16,-4.440892098500626e-16,-4.440892098500626e-16,-3.3306690738754696e-16,1.1457501614131615e-13,2.0524404398258866e-10,-4.161068156705028e-10,2.1074697542644572e-10
0.04,-0.006347461764721896,0.012711941899074097,-0.006361934727691643,-2.5449541811717324e-06,-4.5243353508084283e-10,-4.4853010194856324e-14,2.220446049250313e-16,2.220446049250313e-16,3.3306690738754696e-16,8.881784197001252e-16,2.67663669006879e-12,2.5389519375806913e-09,-5.737638364422537e-09,3.1960094570848696e-09
0.06,-0.014132522140449577,0.028351004498735954,-0.0142056905416027,-1.2786699394196077e-05,-5.116139067951053e-09,-1.1516343434436749e-12,-4.440892098500626e-16,-4.440892098500626e-16,-2.220446049250313e-16,1.099120794378905e-14,2.2003399102743515e-11,1.2716881880869835e-08,-3.448537944095165e-08,2.1746481837503495e-08
0.08,-0.02475902724788681,0.049787396310743914,-0.024988349489340256,-3.999110477892476e-05,-2.845734059508942e-08,-1.1393552767913206e-11,-2.886579864025407e-15,2.220446049250313e-16,5.551115123125783e-16,5.684341886080802e-14,7.170875004902655e-11,2.6690960885922266e-08,-1.0103490322155295e-07,7.427217729727431e-08
0.1,-0.03796847497028755,0.07658804817779497,-0.03852310461822228,-9.636131130852377e-05,-1.0721082188691611e-07,-6.712730371560838e-11,-2.7422508708241367e-14,-1.1102230246251565e-16,-2.220446049250313e-16,-1.7064127888488656e-13,-1.4460188602072321e-10,-4.686199017722714e-08,-3.7686887832677485e-08,8.469365098129344e-08
0.12,-0.053438633443115724,0.10821037185472904,-0.0545747935507046,-0.00019662932179786985,-3.1525440746804634e-07,-2.845403912488109e-10,-1.6442402994698568e-13,-1.1102230246251565e-16,-5.551115123125783e-15,-4.093392291792952e-12,-1.6959108561920289e-09,-2.433777670507453e-07,8.737248557988408e-08,1.5770528982717025e-07
0.14,-0.07080594016554165,0.14404021467435124,-0.07287601872299676,-0.000357474111115863,-7.807137298865285e-07,-9.602099115824103e-10,-7.566169912820442e-13,-6.661338147750939e-16,-4.141131881851834e-14,-2.370625917791358e-11,-6.951676678745855e-09,-6.935796823537288e-07,3.7586252366050843e-07,3.2469258315348526e-07
0.16,-0.08967102276692573,0.18340140119381187,-0.09313184683156273,-0.0005968249193802899,-1.703932408947395e-06,-2.7407087710429323e-09,-2.823075107016848e-12,-2.4424906541753444e-15,-2.2115642650533118e-13,-9.560252589579932e-11,-2.1117579462881508e-08,-1.5764304065468693e-06,9.136421553757046e-07,6.840016547604577e-07
0.18,-0.1096138684323329,0.22558002423329238,-0.11502960958854014,-0.0009331642939633955,-3.375029225982651e-06,-6.88023626960188e-09,-8.983480626056917e-12,-9.43689570931383e-15,-9.173772852477668e-13,-3.1248015286422515e-10,-5.402339064985995e-08,-3.146156736355543e-06,1.828186277363919e-06,1.3723072509463918e-06
0.2,-0.13020692555324342,0.26984631668142545,-0.1382483369612162,-0.0013848486834143747,-6.189855872196226e-06,-1.560245577181263e-08,-2.5196511543867928e-11,-3.5638159090467525e-14,-3.212763388660278e-12,-8.824130315332468e-10,-1.2281059436070052e-07,-5.746716678634023e-06,3.311955014684287e-06,2.558457889767496e-06
0.22,-0.15102780543808847,0.31547547081735705,-0.16246749530007254,-0.0019694741537955585,-1.0663283689815728e-05,-3.2577842978831484e-08,-6.378131356399308e-11,-1.1324274851176597e-13,-9.852119120523639e-12,-2.228754514277398e-09,-2.552252560406032e-07,-9.814351008552435e-06,5.626447892703723e-06,4.445367004834999e-06
0.24,-0.17167116626277845,0.3617672033344884,-0.1873752137477731,-0.0027033205996586096,-1.7439053423662365e-05,-6.352229797723652e-08,-1.4831591510500175e-10,-3.275157922644212e-13,-2.7154500870096854e-11,-5.14566955711615e-09,-4.934340878115506e-07,-1.5874077171296186e-05,9.106477444897898e-06,7.266206725420332e-06
0.26,-0.19175880721166938,0.408063273321404,-0.2126761383003576,-0.0036009146332961484,-2.7295936392723874e-05,-1.1691796719670577e-07,-3.211101384792414e-10,-8.703038290036602e-13,-6.850897626975438e-11,-1.1030160784741838e-08,-8.98681710492788e-07,-2.4544981774843322e-05,1.419935197977118e-05,1.1255410431565416e-05
0.28,-0.2109480272275307,0.45376158889742435,-0.23809750946368602,-0.004674696795939792,-4.11499040300356e-05,-2.048506932972316e-07,-6.540947783406637e-10,-2.153055511655566e-12,-1.6037937644597378e-10,-2.220515604722806e-08,-1.5560650014068145e-06,-3.6527432926147796e-05,2.1467885662818098e-05,1.663797850282034e-05
0.3,-0.2289382612794133,0.4983273967916597,-0.26339393095396735,-0.005934806846404461,-6.0052490145512394e-05,-3.439544548067275e-07,-1.2640521962481444e-09,-4.999556324492005e-12,-3.520118641020531e-10,-4.234565764704712e-08,-2.579090951693175e-06,-5.2580996714457484e-05,3.158548349657675e-05,2.3617303610889984e-05
0.32,-0.24547524442958124,0.5413013081254835,-0.28835130530712016,-0.007389013353507279,-8.518624105369188e-05,-5.564542019387275e-07,-2.3332318299651433e-09,-1.09916520329989e-11,-7.304108429195821e-10,-7.70281903816894e-08,-4.114462207716052e-06,-7.35114066762188e-05,4.536259750309579e-05,3.2341034184923956e-05
0.34,-0.2603530116466002,0.5823035479162963,-0.31278905327365336,-0.00904274984696296,-0.00011785770389638461,-8.712950769762529e-07,-4.1364865976945e-09,-2.302225077244202e-11,-1.442509445226392e-09,-1.3440912383089199e-07,-6.346390198141982e-06,-0.00010015059645840374,6.375245897738413e-05,4.288038871380628e-05
0.36,-0.27341448994714523,0.6210350936827393,-0.3365605591671864,-0.010899223828296445,-0.0001594882949526033,-1.3253428686743618e-06,-7.076100483338621e-09,-4.6177062174024286e-11,-2.726491366011885e-09,-2.2601509175323997e-07,-9.499333925355735e-06,-0.00013332135117583022,8.782584163324891e-05,5.522360503984469e-05
0.38,-0.28455004557924785,0.6572761177791931,-0.3595528660352519,-0.01295962511721016,-0.00021160461965263888,-1.96465367385823e-06,-1.1725674431417588e-08,-8.909195603479247e-11,-4.954746612995109e-09,-3.676530422325186e-07,-1.3840053872060665e-05,-0.00017381191982701605,0.00011877027350293279,6.925434859195168e-05
0.4,-0.2936940548923971,0.690881723410101,-0.3816855599689791,-0.015223414314662453,-0.0002758294457172461,-2.84581702347797e-06,-1.8884566133081648e-08,-1.659602455461595e-10,-8.691234398838787e-09,-5.804447140711488e-07,-1.967927164125971e-05,-0.00022236084875371098,0.00015789556710721353,8.473376843820546e-05
0.42,-0.300821297556885,0.7217756099620252,-0.40290779529696363,-0.017688578140390043,-0.00035387182544410756,-4.037347457575002e-06,-2.9644318777499734e-08,-2.994502423803169e-10,-1.4765079492384814e-08,-8.919027842946292e-07,-2.7370301944995568e-05,-0.00027962174148637997,0.00020658696522607434,0.00010131189495110604
0.44,-0.30594233174215146,0.7499424452183419,-0.4231950198126221,-0.020351908568096433,-0.00044751823416572245,-5.621138282951854e-06,-4.54688419138094e-08,-5.248104173460888e-10,-2.4362914463615937e-08,-1.3370476048546465e-06,-3.730641200316853e-05,-0.00034613897638308133,0.000266278639528883,0.0001185284300064815
0.46,-0.30909743412548585,0.7754191662782037,-0.4425460008965184,-0.023209341385895865,-0.0005586271393026032,-7.694021824045105e-06,-6.829071708125412e-08,-8.955534092081052e-10,-3.914325302778465e-08,-1.9595951268880363e-06,-4.9918549646255084e-05,-0.00042234432789883813,0.00033845090018796986,0.00013581119283179177
