t,mz_0,mz_1,mz_2,mz_3,mz_4,mz_5,mz_6,mz_7,mz_8,mz_9,mz_10,mz_11,mz_12,mz_13
0.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
0.02,-0.9992008873658467,0.9984012621854499,-0.9992004547788609,-0.9999999200442926,-0.9999999999964484,-0.9999999999999996,-0.9999999999999996,-0.9999999999999996,-0.9999999999999994,-0.9999999999964484,-0.9999999200442926,-0.999200454778861,0.9984012621854502,-0.9992008873658469
0.04,-0.9968161184263205,0.9936237004525033,-0.9968088588000598,-0.9999987234530868,-0.9999999997730599,-0.9999999999999777,-1.0000000000000002,-1.0000000000000002,-0.9999999999999777,-0.9999999997730598,-0.9999987234530869,-0.9968088588000599,0.9936237004525035,-0.9968161184263203
0.06,-0.992882932230273,0.9857225753229273,-0.9928460849878322,-0.9999935606818628,-0.9999999974235376,-0.9999999999994198,-0.9999999999999996,-0.9999999999999994,-0.9999999999994197,-0.9999999974235377,-0.9999935606818628,-0.9928460849878322,0.9857225753229272,-0.9928829322302729
0.08,-0.9874624409899806,0.9747884917710385,-0.9873463160265179,-0.999979749170635,-0.9999999855896768,-0.9999999999942306,-0.9999999999999987,-0.9999999999999988,-0.9999999999942307,-0.9999999855896768,-0.9999797491706349,-0.9873463160265179,0.9747884917710384,-0.9874624409899805
0.1,-0.9806376473426138,0.9609432614999728,-0.9803548091499827,-0.9999508597147095,-0.9999999453269128,-0.9999999999657678,-0.999999999999986,-0.9999999999999862,-0.9999999999657678,-0.9999999453269128,-0.9999508597147093,-0.9803548091499829,0.9609432614999728,-0.9806376473426138
0.12,-0.9725158846967733,0.9443461378886827,-0.9719315442414146,-0.9998988712359561,-0.9999998378609644,-0.9999999998536574,-0.9999999999999153,-0.9999999999999152,-0.9999999998536573,-0.9999998378609645,-0.9998988712359562,-0.9719315442414146,0.9443461378886826,-0.9725158846967734
0.14,-0.9632211505815701,0.9251809473425449,-0.9621458861705481,-0.9998143166170383,-0.999999594472545,-0.9999999995012365,-0.9999999999996068,-0.9999999999996069,-0.9999999995012365,-0.9999995944725449,-0.9998143166170382,-0.9621458861705481,0.9251809473425449,-0.96322115058157
0.16,-0.9528954247815077,0.9036584525174255,-0.9510774389657957,-0.9996864852943599,-0.9999991049169525,-0.9999999985602939,-0.999999999998516,-0.999999999998516,-0.9999999985602941,-0.9999991049169525,-0.9996864852943599,-0.9510774389657957,0.9036584525174255,-0.9528954247815075
0.18,-0.941695102827795,0.8800113497942555,-0.9388144068379544,-0.9995036390104427,-0.9999982047825265,-0.9999999963403222,-0.9999999999952175,-0.9999999999952175,-0.9999999963403222,-0.9999982047825264,-0.9995036390104429,-0.9388144068379543,0.8800113497942555,-0.9416951028277949
0.2,-0.9297882954034021,0.8544903061583405,-0.9254521112878696,-0.9992532456606454,-0.999996662233363,-0.9999999915866608,-0.9999999999863979,-0.9999999999863978,-0.9999999915866606,-0.999996662233363,-0.9992532456606456,-0.9254521112878695,0.8544903061583407,-0.9297882954034024
0.22,-0.9173519134397113,0.8273599755745035,-0.9110916855618475,-0.998922229784979,-0.9999941646507352,-0.9999999821721809,-0.999999999965049,-0.999999999965049,-0.9999999821721809,-0.9999941646507352,-0.998922229784979,-0.9110916855618474,0.8273599755745035,-0.9173519134397115
0.24,-0.9045685314548252,0.7988947344084273,-0.8958387001953219,-0.998497232468387,-0.9999903056843238,-0.9999999646881516,-0.9999999999174182,-0.9999999999174181,-0.9999999646881514,-0.9999903056843239,-0.998497232468387,-0.8958387001953219,0.798894734408427,-0.9045685314548251
0.26,-0.8916233759433034,0.7693742435762949,-0.879801495318202,-0.997964865462256,-0.9999845731130695,-0.9999999339212894,-0.9999999998181718,-0.9999999998181717,-0.9999999339212894,-0.9999845731130694,-0.9979648654622562,-0.8798014953182017,0.7693742435762947,-0.8916233759433034
0.28,-0.8787013272692737,0.7390794349070847,-0.8630899171800009,-0.9973119705160624,-0.9999763381112995,-0.9999998822073957,-0.9999999996230521,-0.9999999996230516,-0.9999998822073956,-0.9999763381112995,-0.9973119705160625,-0.863089917180001,0.7390794349070845,-0.8787013272692737
0.3,-0.8659838423642999,0.7082885028068296,-0.8458141405733313,-0.9965258755551805,-0.9999648464003312,-0.9999997986555191,-0.9999999992581632,-0.9999999992581633,-0.999999798655519,-0.9999648464003311,-0.9965258755551805,-0.8458141405733313,0.7082885028068296,-0.8659838423642997
0.32,-0.8536462179422138,0.6772729817987105,-0.8280832586965706,-0.9955946268534156,-0.9999492114629053,-0.9999996682387287,-0.9999999986048748,-0.9999999986048747,-0.9999996682387287,-0.999949211462905,-0.9955946268534154,-0.8280832586965704,0.6772729817987101,-0.8536462179422141
0.34,-0.8418551313958902,0.6462944004737343,-0.8100041807931522,-0.9945072097406387,-0.9999284103111432,-0.999999470753767,-0.9999999974791423,-0.9999999974791421,-0.9999994707537672,-0.9999284103111434,-0.9945072097406387,-0.8100041807931521,0.6462944004737343,-0.84185513139589
0.36,-0.8307661070814522,0.615601255941913,-0.7916809250244313,-0.9932537661825832,-0.9999012823898433,-0.9999991796596256,-0.9999999956039779,-0.9999999956039781,-0.9999991796596256,-0.9999012823898435,-0.9932537661825832,-0.7916809250244313,0.6156012559419125,-0.8307661070814517
0.38,-0.8205214229209035,0.5854262397781695,-0.7732137534915781,-0.9918257785874517,-0.9998665314006137,-0.9999987608040216,-0.9999999925735984,-0.9999999925735985,-0.9999987608040217,-0.9998665314006135,-0.9918257785874518,-0.773213753491578,0.5854262397781695,-0.8205214229209036
0.4,-0.8112486739625593,0.5559840614531131,-0.7546982842404384,-0.9902162144897253,-0.9998227299028621,-0.9999981710498296,-0.9999999878076944,-0.9999999878076942,-0.9999981710498298,-0.9998227299028621,-0.9902162144897253,-0.7546982842404382,0.5559840614531129,-0.8112486739625591
0.42,-0.803059086645526,0.5274698001193763,-0.7362253608775271,-0.9884196871591122,-0.9997683281034959,-0.9999973568393863,-0.9999999804943251,-0.999999980494325,-0.9999973568393861,-0.999768328103496,-0.9884196871591121,-0.7362253608775271,0.5274698001193756,-0.8030590866455258
0.44,-0.7960462707297835,0.5000575514694865,-0.7178808110408486,-0.9864325815045167,-0.999701665956929,-0.999996252717564,-0.9999999695198445,-0.9999999695198444,-0.9999962527175639,-0.9997016659569289,-0.9864325815045167,-0.717880811040848,0.5000575514694854,-0.7960462707297833
0.46,-0.7902859641886504,0.4738996029981417,-0.6997448130141897,-0.9842531056126993,-0.9996209869802715,-0.9999947798183328,-0.9999999533839976,-0.9999999533839974,-0.9999947798183326,-0.9996209869802715,-0.9842531056126995,-0.6997448130141888,0.4738996029981408,-0.7902859641886504
0.48,-0.7858353425312512,0.44912617510318603,-0.6818922149904589,-0.9818813859942872,-0.9995244570874355,-0.9999928444005983,-0.9999999300991523,-0.9999999300991521,-0.9999928444005981,-0.9995244570874353,-0.9818813859942873,-0.6818922149904584,0.4491261751031854,-0.7858353425312512
0.5,-0.7827326384279886,0.42584541219749905,-0.6643928157115603,-0.9793195377469638,-0.9994101867775061,-0.9999903364611337,-0.9999998970723464,-0.9999998970723464,-0.9999903364611338,-0.9994101867775061,-0.9793195377469637,-0.6643928157115594,0.42584541219749805,-0.7827326384279888
0.52,-0.7809978520075465,0.4041437531333729,-0.6473110353229743,-0.9765716333937144,-0.9992762530463324,-0.9999871283946831,-0.9999998509681218,-0.999999850968122,-0.9999871283946831,-0.9992762530463322,-0.9765716333937144,-0.6473110353229734,0.4041437531333718,-0.7809978520075462
0.54,-0.7806330964909394,0.3840867614780064,-0.6307063574331924,-0.9736437201246715,-0.9991207260371129,-0.9999830738397892,-0.9999997875522999,-0.9999997875522999,-0.999983073839789,-0.9991207260371129,-0.9736437201246713,-0.630706357433191,0.3840867614780048,-0.7806330964909394
0.56,-0.781622943672162,0.3657201141406415,-0.6146339228518849,-0.9705438400845443,-0.998941699255572,-0.9999780067599537,-0.999999701516527,-0.9999997015165272,-0.9999780067599535,-0.998941699255572,-0.9705438400845443,-0.6146339228518832,0.36572011414063976,-0.781622943672162
0.58,-0.7839356208084366,0.34907078639854144,-0.5991445652090468,-0.967281955284487,-0.9987373181275492,-0.9999717406872836,-0.9999995862817392,-0.9999995862817392,-0.9999717406872838,-0.9987373181275492,-0.9672819552844871,-0.5991445652090454,0.34907078639853956,-0.7839356208084359
0.6,-0.7875243577585913,0.3341484826896994,-0.5842849575776583,-0.9638698561316563,-0.9985058092282406,-0.9999640682125136,-0.9999994337810414,-0.9999994337810414,-0.9999640682125135,-0.9985058092282406,-0.9638698561316563,-0.5842849575776571,0.33414848268969727,-0.7875243577585909
0.62,-0.7923281114598304,0.32094715632556814,-0.5700983824277948,-0.9603211515351598,-0.9982455157296884,-0.9999547609469258,-0.9999992342261664,-0.9999992342261667,-0.9999547609469261,-0.9982455157296886,-0.9603211515351598,-0.5700983824277932,0.32094715632556614,-0.7923281114598302
0.64,-0.7982729311739811,0.3094465527502275,-0.5566249731557277,-0.9566511727963275,-0.9979549299951859,-0.9999435697734732,-0.999998975855528,-0.9999989758555281,-0.9999435697734732,-0.9979549299951859,-0.9566511727963275,-0.5566249731557266,0.30944655275022553,-0.7982729311739807
0.66,-0.8052739300131566,0.2996137392154526,-0.5439014536890645,-0.9528767663750306,-0.9976327192322099,-0.9999302252448679,-0.9999986446611235,-0.9999986446611235,-0.9999302252448676,-0.9976327192322096,-0.9528767663750306,-0.5439014536890632,0.2996137392154507,-0.8052739300131564
0.68,-0.8132361720566444,0.2914047053109537,-0.5319618540269244,-0.9490162544919615,-0.9972777618598508,-0.9999144387662199,-0.9999982241093529,-0.9999982241093529,-0.9999144387662201,-0.9972777618598507,-0.9490162544919613,-0.5319618540269233,0.2914047053109519,-0.8132361720566441
0.7000000000000001,-0.8220559666529453,0.28476588327692015,-0.5208378064971196,-0.9450893303945307,-0.9968891806758295,-0.9998959042038453,-0.9999976948526534,-0.9999976948526536,-0.9998959042038453,-0.9968891806758295,-0.9450893303945307,-0.5208378064971182,0.28476588327691815,-0.8220559666529446
0.72,-0.8316229827900117,0.27963541296111144,-0.5105579792276551,-0.9411167574084308,-0.9964663597639282,-0.9998742993516413,-0.9999970344194454,-0.9999970344194452,-0.9998742993516413,-0.9964663597639282,-0.941116757408431,-0.5105579792276537,0.27963541296110955,-0.8316229827900113
0.74,-0.8418212182833725,0.27594449101931867,-0.5011485146959026,-0.9371202773625779,-0.9960089753002181,-0.9998492884616278,-0.9999962169156199,-0.9999962169156196,-0.9998492884616279,-0.9960089753002181,-0.9371202773625776,-0.5011485146959016,0.2759444910193169,-0.8418212182833719
0.76,-0.8525301039631858,0.2736186346693957,-0.4926332722520132,-0.9331224958098095,-0.9955170245526616,-0.9998205253575315,-0.9999952127341942,-0.9999952127341943,-0.9998205253575312,-0.9955170245526616,-0.9331224958098097,-0.492633272252012,0.2736186346693936,-0.8525301039631852
0.78,-0.8636263047863645,0.2725785800079458,-0.4850332420651475,-0.9291465554327258,-0.9949908333472163,-0.9997876561291558,-0.9999939882473382,-0.9999939882473382,-0.9997876561291559,-0.994990833347216,-0.9291465554327258,-0.48503324206514614,0.27257858000794377,-0.8636263047863638
0.8,-0.8749848364361503,0.27274117418575894,-0.4783665019667681,-0.9252159368878747,-0.9944310706935333,-0.9997503226797445,-0.9999925055216875,-0.9999925055216876,-0.9997503226797446,-0.9944310706935331,-0.9252159368878747,-0.47836650196676656,0.27274117418575683,-0.8749848364361499
0.8200000000000001,-0.8864798949723119,0.2740203425941108,-0.4726484407242866,-0.9213543475823646,-0.9938387699599541,-0.9997081672801423,-0.9999907220750505,-0.9999907220750502,-0.9997081672801426,-0.9938387699599543,-0.9213543475823646,-0.47264844072428513,0.2740203425941086,-0.8864798949723113
0.84,-0.8979861794268361,0.27632774127180376,-0.46789136697628037,-0.9175854384617673,-0.9932153291459122,-0.9996608366290055,-0.9999885906320026,-0.9999885906320031,-0.999660836629006,-0.9932153291459119,-0.9175854384617673,-0.4678913669762787,0.27632774127180176,-0.897986179426835
0.86,-0.9093801375318264,0.27957314046567633,-0.4641039965903206,-0.9139324637679742,-0.9925624981096224,-0.9996079855829145,-0.9999860588830174,-0.9999860588830174,-0.9996079855829145,-0.9925624981096224,-0.9139324637679744,-0.46410399659031937,0.2795731404656744,-0.9093801375318262
0.88,-0.9205405363413484,0.28366521863048394,-0.4612917390578169,-0.9104182002621838,-0.9918823906913932,-0.9995492829274355,-0.9999830693503088,-0.9999830693503088,-0.9995492829274354,-0.9918823906913933,-0.9104182002621835,-0.4612917390578158,0.28366521863048194,-0.9205405363413478
0.9,-0.9313494284980014,0.2885121470029771,-0.45945653288497756,-0.9070647318414099,-0.99117747788121,-0.9994844166190996,-0.9999795592782804,-0.9999795592782804,-0.9994844166190995,-0.9911774778812098,-0.9070647318414095,-0.45945653288497645,0.2885121470029751,-0.9313494284980007
0.92,-0.9416933590141372,0.2940216354417313,-0.45859615388273467,-0.9038930201895792,-0.9904505450473617,-0.9994130968396027,-0.9999754604683173,-0.9999754604683175,-0.9994130968396024,-0.9904505450473617,-0.903893020189579,-0.45859615388273334,0.29402163544172927,-0.9416933590141368
0.9400000000000001,-0.9514638461762752,0.3001016710128421,-0.45870452663299904,-0.9009228455552929,-0.9897046910658662,-0.9993350622744619,-0.9999706993079438,-0.9999706993079438,-0.9993350622744619,-0.9897046910658661,-0.9009228455552931,-0.4587045266329978,0.30010167101283997,-0.9514638461762748
0.96,-0.9605581355589314,0.30666121172140115,-0.4597718006237673,-0.8981726775204775,-0.9889433150654462,-0.9992500860861575,-0.9999651968666206,-0.9999651968666208,-0.9992500860861575,-0.9889433150654463,-0.8981726775204771,-0.45977180062376627,0.3066612117213993,-0.9605581355589309
0.98,-0.9688802503389043,0.31361019920388084,-0.46178379279308784,-0.895659258118767,-0.9881700512878706,-0.9991579778135495,-0.9999588688517025,-0.9999588688517025,-0.9991579778135495,-0.9881700512878707,-0.895659258118767,-0.46178379279308684,0.31361019920387906,-0.968880250338904
1.0,-0.9763415265083907,0.3208602670287368,-0.4647222459444206,-0.8933975318720365,-0.9873887481175366,-0.9990585887702669,-0.9999516258160873,-0.9999516258160871,-0.9990585887702667,-0.9873887481175366,-0.8933975318720363,-0.46472224594442013,0.3208602670287357,-0.9763415265083905
1.02,-0.9828612640411422,0.3283256315696896,-0.46856511952626584,-0.8914006079038398,-0.9866034486803074,-0.998951817915425,-0.9999433735027067,-0.9999433735027065,-0.9989518179154249,-0.9866034486803072,-0.8914006079038398,-0.46856511952626484,0.328325631569688,-0.9828612640411422
1.04,-0.9883675667356973,0.3359234285463347,-0.47328642071308735,-0.889679490602799,-0.9858183242029623,-0.9988376132652445,-0.9999340130265439,-0.9999340130265438,-0.9988376132652445,-0.9858183242029624,-0.8896794906027992,-0.47328642071308635,0.33592342854633306,-0.9883675667356969
1.06,-0.9927979769218418,0.34357424768805667,-0.47885630044868754,-0.8882429359142019,-0.9850376194057584,-0.9987159738295006,-0.9999234411680644,-0.9999234411680645,-0.9987159738295007,-0.9850376194057584,-0.8882429359142018,-0.4788563004486871,0.34357424768805583,-0.9927979769218418
1.08,-0.9961000350361436,0.3512032990763569,-0.48524157825858943,-0.8870975434531608,-0.9842656361518164,-0.9985869551565313,-0.9999115510201187,-0.9999115510201187,-0.9985869551565311,-0.9842656361518162,-0.8870975434531608,-0.4852415782585892,0.3512032990763559,-0.9961000350361432
