t,W_1_0,W_1_1,W_1_2,W_1_3,W_1_4,W_1_5,W_1_6,W_1_7,W_1_8,W_1_9,W_1_10,W_1_11,W_1_12,W_1_13
0.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.02,1.0036521585126421,,1.0016909491536532,0.99919960906599,0.9984016463941748,0.9984012887126422,0.9984012621951582,0.9984012621858033,0.9984012621854499,0.9984012621819043,0.9984011823574561,0.9976029950222464,0.996805079917393,0.9976034269121361
0.04,1.0145376132296264,,1.006744599316328,0.9967966521439648,0.9936297950315778,0.9936241197951012,0.9936237010783312,0.9936237004747679,0.9936237004525055,0.9936237002270099,0.9936224320425591,0.9904529043858004,0.9872880523632878,0.9904601170654517
0.06,1.0324368592769624,,1.0151112247667216,0.9927855647376826,0.9857531646063665,0.9857246532461749,0.9857225823779122,0.9857225755698825,0.9857225753229841,0.9857225727832553,0.9857162279196664,0.97867078707661,0.9716489610158845,0.9787070992057223
0.08,1.0570051223125503,,1.026698402701504,0.9871580695585405,0.9748840739400504,0.9747948625210117,0.9747885308366802,0.9747884931067616,0.9747884917716046,0.9747884777241185,0.9747687514239164,0.9624537995642197,0.9502125026543528,0.962566949260994
0.1,1.0878044529085253,,1.0413611766808921,0.9799042832187463,0.9611732504979337,0.960958214606396,0.960943407794152,0.9609432663480272,0.9609432615033158,0.9609432089632866,0.9608960406185606,0.9420653945937582,0.9234119141353172,0.9423370544934204
0.12,1.1241914301081777,,1.058975494569798,0.9710156813928784,0.9448146340855607,0.9443756588137049,0.9443465647922357,0.9443461514869107,0.9443461379027348,0.9443459847809745,0.9442506390268651,0.9178400434743308,0.8917897155177564,0.9183914620435036
0.14,1.165461913595484,,1.0793743553160542,0.9604833949389416,0.9260310414621176,0.9252324740829583,0.9251819948864528,0.9251809790954056,0.9251809473893655,0.9251805721914262,0.9250091635661852,0.890159736028685,0.8559601611881724,0.8911535319028498
0.16,1.2108151366882334,,1.102370454693587,0.948303136697046,0.9050745481631294,0.90374033071897,0.9036607143097917,0.9036585169820909,0.9036584526488326,0.9036576437943781,0.903375163421702,0.8594507431504834,0.8165995124483435,0.8610913209673371
0.18,1.2593765887263353,,1.1277625958119937,0.934476128930876,0.882219585410935,0.8801319805329967,0.8800157742053658,0.8800114666394102,0.8800113501170648,0.8800097703664781,0.8795746005146203,0.8261704795245278,0.7744218039529851,0.8287010062268773
0.2,1.310216357026922,,1.155340786721791,0.919011043939945,0.8577570117877543,0.854657007167449,0.8544983050789816,0.8544904982813623,0.8544903068703309,0.8544874550994584,0.8538523346287056,0.7907956046260134,0.7301569952735897,0.7944925267438053
0.22,1.3623665427330987,,1.1848924931348415,0.9019255281337372,0.831988234820756,0.8275775908525791,0.8273735318335577,0.8273602644639634,0.8273599770091407,0.8273551501450365,0.8264685268705727,0.7538106090637852,0.6845301556305367,0.7589758113296995
0.24,1.41484053736605,,1.2162080274929503,0.8832472158879932,0.8052191916689212,0.7991640433472474,0.7989164972768961,0.7988951318168636,0.7988947370808166,0.7988869952852492,0.7976946747964814,0.7156966945429276,0.6382419031429588,0.7226477704840998
0.26,1.4666535570421675,,1.2490845741708647,0.8630145791997336,0.7777543623888462,0.7696902372113731,0.769407600887252,0.7693747386432817,0.7693742482138608,0.7693623862811474,0.7678093622094269,0.6769211549403669,0.5919509260305816,0.6859808050108938
0.28,1.5168402821500648,,1.2833308511258668,0.8412771092868471,0.7498914500258528,0.7394295286674574,0.7391285498287361,0.7390799760153013,0.7390794424353655,0.7390619701040831,0.7370943237542329,0.6379285356979381,0.546259878988252,0.6494134424317852
0.3,1.5644724748851977,,1.3187708364877364,0.8180947198883851,0.7219163374966875,0.7086507599086403,0.70835830361559,0.7082889736842632,0.708288514242592,0.7082636474841526,0.705830399674875,0.5991330122790917,0.5017041886918658,0.6133427818595197
0.32,1.608675945565115,,1.355246138987682,0.7935369040237343,0.6940984320365666,0.6776144277557434,0.677369094263935,0.6772731717056589,0.6772729979784725,0.6772386622953962,0.6742934563772093,0.5609119292064179,0.45874405447207717,0.5781191783927576
0.34,1.6486446603169709,,1.3926177907349087,0.7676814590398616,0.6666868572341644,0.6465695011215413,0.646423013721775,0.6462948290633395,0.6462944215155395,0.6462482673752395,0.6427507878365889,0.5236013170107646,0.4177602045427916,0.5440433770425752
0.36,1.6836533757461956,,1.430767200844242,0.7406123398023431,0.639907197092381,0.6157506206088236,0.6157689140823885,0.6156028155385911,0.6156012803011655,0.6155407126180236,0.611457766199674,0.4874930931123092,0.3790527321590963,0.5113654353083456
0.38,1.713068517423458,,1.4695958815620216,0.7124174181272651,0.6139587334969309,0.585479344621635,0.5856395542536733,0.5854296561235761,0.585426262714794,0.5853484766766764,0.5806546776338078,0.45283343218604627,0.342842652494669,0.4802855169295236
0.4,1.736355625953401,,1.5090244128049597,0.683186497874808,0.5890124937032838,0.5563281179535791,0.5562493417318055,0.5559903226158739,0.5559840726792786,0.5558860950840186,0.550564114272801,0.41982257811126916,0.30927617215762426,0.4509565988298376
0.42,1.7530854355110579,,1.5489903957931457,0.6530085827005353,0.5652098821656325,0.5282108442221066,0.5277926006551787,0.5274802043522209,0.5274697803435955,0.5273485170445084,0.5213889086903414,0.38861626570757835,0.27843097700423863,0.4234881040221289
0.44,1.7629378854519815,,1.5894455337436955,0.6219693943774324,0.5426617181422685,0.5013174123086701,0.5004421363978675,0.5000737532466593,0.5000574674984707,0.4999097492780822,0.4933103730784529,0.3593278596117881,0.25032383342289516,0.3979504205675901
0.46,1.7657018398026236,,1.6303526708930507,0.5901498755157877,0.5214479713271754,0.475815318138532,0.4743483345178256,0.47392365428129934,0.4738994010098218,0.4737220242144431,0.4664870821373159,0.33203113342427676,0.2249192846247499,0.37438039349133545
0.48,1.7612746140636466,,1.6716816069367557,0.557624344735111,0.5016179473666137,0.45184891831246954,0.4496388292545601,0.44916055845190694,0.4491257716573911,0.4489155307950897,0.44105431135718,0.30676417811401135,0.20213889573745997,0.3527867158507344
0.5,1.7496598579501215,,1.7134045322672544,0.524459195945154,0.4831907466204245,0.42953889863544165,0.4264184305736458,0.4258930617867729,0.425844682519751,0.42559839170376973,0.4171237928470715,0.28353349708027137,0.18187038492262148,0.3331552052579965
0.52,1.7309609958565328,,1.7554923574946761,0.4907129347992081,0.46615630574945793,0.408982084685614,0.40476944633636824,0.40420805932949766,0.4041425162057127,0.40385701578816013,0.3947838981479125,0.26231805449480816,0.16397646456026765,0.31545417310764673
0.54,1.7053751957691563,,1.7979101344320343,0.4564364574470919,0.4504767906280677,0.3902516822349336,0.3847524774435042,0.38417155407323983,0.38408476148798265,0.3837569094157734,0.3741003946270484,0.24307380610263765,0.148303121413248,0.2996390975646481
0.56,1.6731870198262446,,1.840612386048658,0.4216738500343306,0.43608817382183784,0.37339764209757303,0.3664073899333971,0.3658296188935451,0.3657169978958793,0.36534364584007395,0.3551174516103026,0.22573808711401286,0.13468692658543427,0.28565653662482243
0.58,1.6347588083822495,,1.8835398055772354,0.3864643468750986,0.4229022957737005,0.3584471961040301,0.34975451224239357,0.3492095494517453,0.34906607643006565,0.3486440301125737,0.3378588950639283,0.21023357784649196,0.1229613422296885,0.2734476054575669
0.6,1.5905205286552075,,1.9266163462712147,0.389712263501711,0.4108093464699097,0.34540562106212375,0.3347961098377134,0.33432125724996437,0.33414154593707535,0.33366751125117644,0.32232978327124073,0.19647211230273745,0.11296199815094485,0.2629507498756159
0.62,1.5409620163846667,,1.969745724359151,0.40639862333853183,0.3996804582621968,0.33425707461462917,0.32151798081734245,0.3211587456644905,0.32093716851256276,0.32040768775525114,0.3085181665167699,0.18435834137063387,0.10453083669964328,0.2541035228953876
0.64,1.4866230656583785,,2.012809588414227,0.42705957654236815,0.38937074828205753,0.32496547413282406,0.3098911214557756,0.30970160455002727,0.30943245886281595,0.3088438392151765,0.29639689701384125,0.17379280799103747,0.09751918855058245,0.246843874553142
0.66,1.4280817339810903,,2.055667419766802,0.45154596086488463,0.37972284945740226,0.31747542545000096,0.2998734321129725,0.2999164877017166,0.29959448867704325,0.29894244709508067,0.2859254389886533,0.1646744764738315,0.09178986153330763,0.24111097055080588
0.68,1.3659472409846691,,2.0981551820781212,0.47967190439369345,0.37057052427335846,0.31171325781417286,0.2914115406150107,0.2917586572439482,0.2913854752418315,0.29065879482250195,0.27705182760486435,0.15690322796875542,0.08721839858170273,0.2368451980225633
0.7000000000000001,1.3008517583489008,,2.1400855787495296,0.5112143929925483,0.361742665213998,0.30758809542289667,0.285093685968508,0.2851734468776264,0.28474758274263107,0.28393849243698743,0.2697145422156356,0.15038180796611184,0.08369357304143762,0.23398787686359138
0.72,1.2334398107083218,,2.181250764975132,0.5459130849458185,0.3530676599197505,0.3049928877396254,0.28038071134519776,0.2800974730982073,0.2796191803846845,0.27871874832665366,0.2638440840382516,0.14501706820005525,0.08111717333505221,0.23248074826457246
0.74,1.1643627492282447,,2.221423564782813,0.5834703692543326,0.34437780619868336,0.30380565733101644,0.27720168383009863,0.2764599335684336,0.2759317033799766,0.27492973517479413,0.259364683390654,0.14072125939183552,0.07940338531671091,0.23226503845110877
0.76,1.0942731234107201,,2.2603597940299505,0.6235519161593859,0.33551391619183096,0.30389090286484527,0.2754888898832554,0.27418382812174585,0.2736109067769303,0.27249587593594754,0.25619589313364466,0.13741294758585357,0.07847781074758003,0.23328047184264514
0.78,1.0238171289813518,,2.297802764341226,0.665788096644587,0.3263299204907163,0.3051009982767214,0.2751680543972072,0.2731868291557777,0.2725777506592973,0.27133676578210625,0.2542537486086027,0.13501728107102748,0.07827609154540126,0.23546424026160506
0.8,0.9536303808987162,,2.3334869416104613,0.7097759001668826,0.31669733312164666,0.3072778551690905,0.27615870537027093,0.27338216154090184,0.27274927618357214,0.27136809531430867,0.2534520177215972,0.13346620850197558,0.07874241631897386,0.23874989236035535
0.8200000000000001,0.8843349818825682,,2.3671415644869973,0.7550816384759753,0.3065095926421386,0.3102549596020621,0.2783745995917296,0.2746795773844647,0.27403955352173487,0.27250265448575395,0.2537031943297956,0.1326986269680463,0.07982803468460234,0.24306640005608496
0.84,0.8165352227071354,,2.3984957245519416,0.8012448389787474,0.29568595550068216,0.3138595124178347,0.2817238437659811,0.2769860436909096,0.2763603117935906,0.27465102142393577,0.254919385202362,0.132660048137812,0.08148964506324621,0.24833734444645825
0.86,0.7508142527326997,,2.4272835236895216,0.8477829949913729,0.2898465703198251,0.317914672953569,0.2861087836080612,0.2802061918372928,0.27962129737906555,0.27772198360384814,0.25701284301285654,0.1333019666503277,0.08368771905760035,0.254480117241312
0.88,0.6877331045585662,,2.453247930183768,0.8941968041652633,0.31160954801332624,0.3222424218678914,0.2914263556456617,0.28424320610919224,0.28373104056998094,0.2816233752858051,0.2598968015162146,0.13458153865181963,0.08638516771107982,0.2614055788129611
0.9,0.6278283805669902,,2.476145511438013,0.9399765488558155,0.3356249639549751,0.3266665512416501,0.297568322085397,0.2889995388130603,0.2885974112068623,0.28626270206405563,0.2634860510011215,0.13646093929460212,0.0895460634764839,0.2690179714855193
0.92,0.5716097065118513,,2.4957515304182647,0.9846094464847778,0.36165376495558854,0.3310154274170884,0.3044211026901548,0.29437712473327166,0.2941276352422964,0.29154722059838917,0.26769689743961955,0.13890623281822345,0.09313423537185668,0.2772147384872382
0.9400000000000001,0.5195592495448599,,2.5118632634594977,1.0275868183681407,0.38942177108367126,0.3351254384703878,0.3118664199477154,0.30027831699791196,0.30022900477065945,0.29738471531827787,0.2724477970958509,0.14188680579056126,0.09711243890720636,0.28588705949527393
0.96,0.47212999278815926,,2.5243036038489692,1.068411937709875,0.4186217348804392,0.33884448356381025,0.319782069781328,0.30670176885392375,0.3068095452830602,0.3036842234955898,0.2776598688103543,0.14537468302804057,0.10144173391972147,0.2949207510301091
0.98,0.4297435572545959,,2.5329247977405647,1.1066085214973338,0.44891600666934994,0.3420348303233037,0.32804223338628485,0.313935942071067,0.31377800614152346,0.3103560665832961,0.2832566464705433,0.14934331365666068,0.10608067484591029,0.3041969207938092
1.0,0.3927890548407439,,2.537610674163882,1.1417283936455225,0.47994068099864196,0.3445763909882812,0.33651864913734797,0.3215313166474405,0.32104455182109776,0.3173125774799451,0.2891645120308911,0.15376693888288553,0.11098512041070834,0.3135933699814446
1.02,0.36162092422697767,,2.538278641369957,1.1733590454737188,0.5113108823663391,0.34636990750682195,0.34508216489667054,0.3294046060910502,0.32852164267622047,0.32446900168263776,0.295313258492882,0.15862010439211138,0.11610840713720103,0.3229864596195106
1.04,0.3585552172706294,,2.5348814076897774,1.2011311091328865,0.5426266789734588,0.347339253880737,0.3536039701555412,0.3374739760440459,0.3361243707588864,0.33175665037587054,0.3016360445900668,0.16387682547227622,0.12140140103189434,0.3322527199070518
1.06,0.3836786100699751,,2.5274077711314415,1.2247247434807285,0.5734797963013867,0.3474334277858616,0.36195719808858073,0.34565931040868003,0.3437710040114398,0.33909079397143377,0.3080695377092425,0.16951000633895597,0.1268128640401748,0.34127073649020406
1.08,0.4043974307006961,,2.5158828558146373,1.2438749377969744,0.6034612579750162,0.3586038735739819,0.3700192843308211,0.35388313373191826,0.35138417282770085,0.34639753908988336,0.31455468332281483,0.1754914266936856,0.13229045474918413,0.34992374702444407
1.1,0.4204658428026978,,2.5003679314837375,1.2583761003231895,0.632169243203432,0.3756517061449683,0.3776740415511636,0.36207113092053994,0.3588916282857072,0.35361017730113714,0.3210370177820941,0.18179154961638944,0.13778163645384603,0.35810191674429076
1.12,0.43167471288518205,,2.4809594968472335,1.2680854580022074,0.6592169071228127,0.39326631425977765,0.3848134533478408,0.3701523282714862,0.3662266221237575,0.36066784381272987,0.32746659873719963,0.18837921525295695,0.14323444656944484,0.36570420487393074
1.1400000000000001,0.43785706061740515,,2.4577880322810692,1.2729247688493934,0.6842404451132359,0.41127328031400007,0.3913404205684806,0.37806031139005386,0.37332928006891153,0.36751676487697366,0.3337989663608716,0.19522221782187854,0.14859908883443007,0.3726411020931923
1.16,0.4388925971450302,,2.4310163162102407,1.2728809722000185,0.7069067294682727,0.4294866436905782,0.39717116377373174,0.3857341628929098,0.3801476362125654,0.3741111412679598,0.3399957831483368,0.20228783382576224,0.1538293999915692,0.3788369243759453
1.18,0.4347094186705079,,2.4008369387943205,1.2680056497381806,0.7269201566966592,0.4477116109012723,0.40223681438792436,0.39311869908450287,0.3866378894263118,0.3804132254740557,0.34602471677118346,0.2095429819686514,0.15888377578000035,0.3842311317840513
1.2,0.42528933306029504,,2.367469958983002,1.2584128454436394,0.7440288744521453,0.4657486831751857,0.4064857975250532,0.40016575929149656,0.3927656544680046,0.3863943984643942,0.3518604009495742,0.21695528532177866,0.16372684298030618,0.3887803746058655
1.22,0.4161852050581799,,2.331160196206813,1.244275799442929,0.7580299822265417,0.48339802635687146,0.4098858244324923,0.40683534987070796,0.39850699396536676,0.3920360195151349,0.3574852388585103,0.22449418898577708,0.16833096927713037,0.3924600312039316
1.24,0.45947445125296765,,2.29217370476243,1.22582265657437,0.768773438347647,0.5004635076413405,0.4124248370155568,0.41309601853515565,0.40384858717992395,0.39732939840545817,0.3628893872808441,0.23213162915269545,0.1726770452539124,0.3952645672490088
1.26,0.5091022324185732,,2.250794643002881,1.2033311134316143,0.776164722968492,0.5167573295605092,0.41411221609652793,0.4189258400215913,0.4088213676183939,0.40227634320872474,0.36807139624355556,0.2398432485572031,0.17675560547837535,0.3972081261047838
1.28,0.5647220706169929,,2.2073220319060987,1.177122259185912,0.7801661523872259,0.5321046854335697,0.41497971047407295,0.4243134648193547,0.41380402838415764,0.40688973199248646,0.37303894753939326,0.2476097877833806,0.18056786734806232,0.3983247675249802
1.3,0.6259197829205669,,2.1620658952435186,1.1475537855210716,0.7807967462705248,0.5463478113005645,0.4237793436480115,0.4292585257334852,0.41849295313474344,0.4111933767430205,0.37780893382911157,0.2554180664127316,0.18412609384903203,0.3986676867367701
1.32,0.6922146066741643,,2.115343574388038,1.1150128528545311,0.778130766948218,0.559349696005141,0.4328639741725665,0.43377195896918114,0.4229232976277634,0.41522178001907434,0.38240747343592024,0.2632620077324038,0.18745373915241473,0.3983080814814685
1.34,0.7630603083017609,,2.067476494428464,1.079908717594892,0.7722949601587191,0.5709975366405069,0.44204670898489207,0.4378766673283741,0.42714083241757583,0.41902027765077887,0.38687037519347645,0.27114406586931844,0.1905857763559683,0.3973340845912342
1.36,0.8378485057771795,,2.0187864561483613,1.0426652467852557,0.7634645935800125,0.5812052681930047,0.4513238184423365,0.4416075652999032,0.43120137669107883,0.42264455506365994,0.3912429953258824,0.2790750815556148,0.19356843494306566,0.39584890448759696
1.3800000000000001,0.9159132943591339,,1.9695918568476438,1.003713643088187,0.751858600489057,0.5899153005077937,0.4606934472198811,0.44501115919821754,0.43516977136741064,0.4261596922422591,0.39557960778040213,0.28707564523631013,0.1964585116278236,0.3939685339157512
1.4000000000000001,0.9965356330443457,,1.9202048219670358,0.9634856380288097,0.7377338431393451,0.597099623934874,0.47015625045467246,0.4481454704106344,0.4391192887882184,0.42963966974663065,0.3999432742727445,0.2951763845886347,0.19932300452118087,0.3918197844892606
1.42,1.0789499217810694,,1.8709280295710133,0.9224070124818478,0.7213787247756571,0.6027598908442184,0.47971562866471673,0.45107941168482574,0.4431305412211559,0.43316636854824714,0.4044051918601117,0.3034181059698565,0.20223835819301553,0.3895378938325264
1.44,1.1623519167241603,,1.8220513707974308,0.8808916568067426,0.7031065871741395,0.606926759876461,0.4893776257773522,0.45389166213392645,0.4472899197135725,0.43682807133692636,0.40904347169644145,0.31185136238420474,0.2052894063568262,0.3872640230584314
1.46,1.2459065388776513,,1.7738496850476884,0.839336640686038,0.6832488994446141,0.6096584345587003,0.4991509713398256,0.45666969062584145,0.45168829187851506,0.4407182476015954,0.4139422054107335,0.3205360675309724,0.20856860878253555,0.3851431442282009
1.48,1.3287575752425198,,1.7265804122482304,0.798117879318955,0.6621484188837553,0.611038359088264,0.5090467197444901,0.4595083769008346,0.4564193618969917,0.44493399744404666,0.4191901508364777,0.3295406794095971,0.21217512532645108,0.3833218599428865
1.5,1.4100382164752974,,1.6804811938353283,0.7575864715179476,0.6401527500168259,0.6111725246382085,0.5190776409625087,0.4625083201120371,0.46157775798241024,0.44957418679541133,0.42489402232213047,0.3389409121468923,0.21621382281507268,0.38194648735132736
1.52,1.4888815067740238,,1.635768355332936,0.7180661679529527,0.6176083919025266,0.6101862753169653,0.5292574627879636,0.46577412649057137,0.46725716542026435,0.45473763571511766,0.43114194013957063,0.3488182567772787,0.22079443459458933,0.38116152133947484
1.54,1.5644322390060716,,1.592635652706244,0.6798515740194938,0.5948551944082902,0.6082205516254335,0.5395997219864399,0.46998479001875726,0.47354828418920347,0.46052114199837335,0.43802051015626237,0.35925818335873444,0.22603063542542148,0.3811081339171838
1.56,1.6358591779762521,,1.5512530724789924,0.6432069499479667,0.5722215710587569,0.6054281717043521,0.5501164909602149,0.47909573615538326,0.4805366895942097,0.46701737174014873,0.4456195032053894,0.3703480149770542,0.23203908560778824,0.38192301195146755
1.58,1.7023663678657006,,1.5117662341545741,0.6083658551201024,0.5500206191834648,0.6019703210645476,0.5608171649239959,0.4892603659340561,0.4883008186541646,0.4743128471734607,0.45402374512594734,0.3821746510319327,0.2389385540807699,0.38373765817879946
1.6,1.7632057549894462,,1.4742963424102933,0.5755315523278122,0.5285468039772062,0.5980126576061294,0.5717067583215457,0.5005418595961598,0.49690976986816543,0.48248577991286523,0.46331083742316664,0.3948219818447214,0.2468486679562146,0.38667735099594636
1.62,1.8176895930668475,,1.4389402237202786,0.5795917593042057,0.5415865261269578,0.5937218420350003,0.5827842965101272,0.5129879591132631,0.5064211686227751,0.4916039303138521,0.47354882810541515,0.40836814372144137,0.2558884519294565,0.39086023144603177
1.6400000000000001,1.8652005408045484,,1.405770749060236,0.6225926406095365,0.5809894678447624,0.5892629095408766,0.5940418229812103,0.526629049047899,0.5168794911746173,0.5017228564942883,0.4847941815950383,0.4228829369594195,0.2661749946624091,0.39639692324586817
1.6600000000000001,1.9052030035112666,,1.3748378910069805,0.665445875979479,0.6210270922161288,0.5847963791193214,0.6054628572114543,0.5414759149747936,0.5283141030750387,0.5129793888813066,0.49708952722069577,0.43842487225932636,0.2778210280462309,0.4033892034173214
