t,Cxx_1_0,Cxx_1_1,Cxx_1_2,Cxx_1_3,Cxx_1_4,Cxx_1_5,Cxx_1_6,Cxx_1_7,Cxx_1_8,Cxx_1_9,Cxx_1_10,Cxx_1_11,Cxx_1_12,Cxx_1_13
0.0,2.220446049250313e-16,-4.440892098500626e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16
0.02,-0.0015926657706593073,0.0031901977128772074,-0.0015962532020019626,-2.9950635305198148e-09,-8.710403620604268e-09,-2.9126989709027384e-09,-1.1771408292560182e-09,-5.693436833098531e-10,-3.0641200687853143e-10,-1.7502155280624265e-10,-1.0184875165464291e-10,-5.6662452507794114e-11,-2.1570412123139704e-11,-2.2082335959794364e-12
0.04,-0.006283244165416368,0.012643805639575678,-0.006340173810403749,-1.8064316831267746e-07,-5.182631320765907e-07,-1.6636527644386945e-07,-6.665889695778304e-08,-3.259155889612231e-08,-1.80526436022177e-08,-1.0866465727232821e-08,-6.921780926205656e-09,-4.56432347473168e-09,-2.965548251410155e-09,-1.1393032073314657e-09
0.06,-0.013815613512236702,0.028017424922314182,-0.014099378109838079,-1.8315911403110618e-06,-5.200738938615501e-06,-1.5402449748957991e-06,-5.971994869735653e-07,-2.887166732357116e-07,-1.5990014090583315e-07,-9.725922334169468e-08,-6.347290126829108e-08,-4.392534225239331e-08,-3.198356546274539e-08,-1.373159519424405e-08
0.08,-0.023784088594863695,0.04876547803605824,-0.02466206422320749,-8.706034905880955e-06,-2.4414087357427228e-05,-6.3741473360634515e-06,-2.3425542396982024e-06,-1.1089559665000692e-06,-6.088522890301817e-07,-3.7129457186590997e-07,-2.464816145630877e-07,-1.78013151108658e-07,-1.4496546529851884e-07,-6.856779688479975e-08
0.1,-0.035659770876919406,0.0741747536499523,-0.037752576768134594,-2.6727202806942074e-05,-7.367709425032398e-05,-1.5942914379896145e-05,-5.414237237433284e-06,-2.4942365561830826e-06,-1.3527763242926483e-06,-8.290972657309936e-07,-5.65647514494394e-07,-4.359165095557671e-07,-4.187269266875404e-07,-2.2323663817491735e-07
0.12,-0.04882761933036184,0.10341274853315596,-0.05305585631179521,-6.117337118483057e-05,-0.00016422265289173232,-2.6692066684597116e-05,-8.031546659847955e-06,-3.569881330212077e-06,-1.8951453256699224e-06,-1.1712179349698815e-06,-8.364967922780409e-07,-7.134352200122152e-07,-8.845058772077863e-07,-5.455815630384109e-07
0.14,-0.0626240834769346,0.13557894577843432,-0.07024949855904772,-0.00011349007297090097,-0.000290163397214549,-2.9162270639537802e-05,-7.079045390545602e-06,-3.0020976105049613e-06,-1.5211915123103381e-06,-9.681499482105949e-07,-7.707890129493578e-07,-7.914011912468766e-07,-1.4668841235021546e-06,-1.06181876469158e-06
0.16,-0.07637612781258007,0.1697571200194573,-0.08903740271725735,-0.00018277520555520788,-0.00042191520992795883,-1.3548247935868396e-05,-1.3144379926721683e-06,-5.627832295740376e-07,-2.0190802063613233e-07,-2.1981367770429472e-07,-3.336968085188019e-07,-5.468592341184575e-07,-2.017837938850242e-06,-1.7169695820662412e-06
0.18,-0.08943626901993784,0.20506300958155688,-0.10917935090454522,-0.00027681336505869236,-0.0005137899846240357,2.0001182144402385e-05,5.1211920865101845e-06,1.4612322231100094e-06,6.29115184391793e-07,1.6861812546231647e-07,-8.146503083228396e-08,-2.3081700417648676e-07,-2.4319638629588525e-06,-2.3586093638172656e-06
