t,Czz_1_0,Czz_1_1,Czz_1_2,Czz_1_3,Czz_1_4,Czz_1_5,Czz_1_6,Czz_1_7,Czz_1_8,Czz_1_9,Czz_1_10,Czz_1_11,Czz_1_12,Czz_1_13
0.0,2.7891100887189595e-17,1.0,1.4013313079375145e-17,7.074419175467916e-18,3.604972223514302e-18,1.870248747537495e-18,1.0028870095490916e-18,5.692061405548898e-19,3.5236570605778894e-19,1.3552527156068805e-19,0.0,0.0,0.0,0.0
0.02,-0.003953279564225675,1.0,0.0010334926131330595,-3.6929802651498595e-06,-2.7445917292313144e-08,6.726164274883277e-09,3.299246295542131e-11,-6.368551248425031e-13,-2.893057972006008e-15,3.9302328752599536e-18,1.4365678785432938e-18,-6.315477654728063e-18,4.30970363562988e-18,3.754050022231059e-18
0.04,-0.015623162165674189,1.0,0.004103468132630994,-5.7943477506767157e-05,-1.6971058220955872e-06,4.324256523556867e-07,7.720819241333423e-09,-1.0766403435826574e-10,-4.037773574153657e-12,-7.821346380883915e-14,-2.0359961546562166e-16,3.3881317890171975e-19,8.605854744103691e-18,4.336808689942018e-18
0.06,-0.03445703970036836,1.0,0.009134433896914181,-0.00028369463441438856,-1.7762767512218762e-05,4.876291808856496e-06,1.8031951160089443e-07,-1.3512457569964803e-10,-1.5417305550703003e-10,-7.700487925262067e-12,-1.401254329583268e-13,1.0128616695359582e-15,1.7867651802561113e-16,-2.4367443826611715e-17
0.08,-0.05958792137198418,1.0,0.016043622886543492,-0.0008581060061754889,-8.862518232601073e-05,2.599501472153287e-05,1.5627440253753095e-06,2.8091775245450788e-08,-1.1711223010780168e-09,-1.5949760907634988e-10,-7.000579315460248e-12,-1.2285230341704811e-13,6.9083736127517614e-15,5.038829596626382e-16
0.1,-0.08989286457877736,1.0,0.02477709854439394,-0.0019888050262212523,-0.0002904355519967514,8.807837042339335e-05,7.604986467383206e-06,3.230021896090797e-07,2.2028444688195013e-09,-1.1996418173892878e-09,-1.0564591028708846e-10,-4.9331541184926414e-12,-2.31988094099439e-14,1.9914029193018878e-14
0.12,-0.12406359664029626,1.0,0.03532106612241949,-0.003890423711493547,-0.0007211911232594586,0.00021375419649353623,2.4760259226355198e-05,1.8148258181015578e-06,6.974239042528696e-08,-3.1145631694366738e-09,-6.883570857416088e-10,-6.081941786133249e-11,-2.6223307921825756e-12,2.318134562345059e-13
0.14,-0.1606525516605569,1.0,0.047682963171340485,-0.006762384693600512,-0.0014650473290860752,0.00038975635828629234,5.849000943750857e-05,6.535363818271995e-06,4.365205699202534e-07,8.576562374182427e-09,-1.9504239410209805e-09,-3.467325136453621e-10,-3.140427768365001e-11,8.625140803398407e-13
0.16,-0.19814391772083403,1.0,0.06185030671784531,-0.010764158516220214,-0.0025520556945134243,0.0005322261231285369,0.00010310917363336075,1.661401728643681e-05,1.5647925316920072e-06,9.521793399203831e-08,5.5781103989864e-10,-9.478198834242304e-10,-1.7061948021416216e-10,-3.668184788037376e-12
0.18,-0.2350120486173884,1.0,0.07775208476142492,-0.015984166384209155,-0.003939421688027007,0.0004944027694213343,0.0001322384197367,3.0698790598975335e-05,3.7484967611072574e-06,3.7049479191155605e-07,2.3711027198784827e-08,-4.4310768120318315e-10,-4.782546969805653e-10,-4.9210399766090075e-11
0.2,-0.2697977863558991,1.0,0.09524396088004283,-0.022405207781166024,-0.005534132439142055,0.00014461735881347453,0.00010467535115366483,3.9806305827094204e-05,6.159291906367235e-06,8.820934282527198e-07,9.069854487608496e-08,5.6305186359704995e-09,-5.148136110119661e-10,-2.2258673680261576e-10
0.22,-0.3011699381721727,1.0,0.1141281685101456,-0.02987457986768,-0.0072548431679729,-0.0005167293756670367,-5.098026106891725e-06,2.888712306398558e-05,6.24583269672767e-06,1.375795777495975e-06,1.920625666567311e-07,2.1628309462975526e-08,1.0268473532137456e-09,-5.689173463113793e-10
0.24,-0.3279678068011346,1.0,0.13419838557476269,-0.03809008113047779,-0.009104548880240737,-0.0012920107947734945,-0.000166788147148085,-1.0936678588067077e-05,1.0126609771966648e-06,1.2012297154050274e-06,2.4254111583149325e-07,4.3022952100397636e-08,5.209262405198858e-09,-8.700944405346401e-10
0.26,-0.3492337781378793,1.0,0.15529106397413378,-0.046608396509937526,-0.011210555215526682,-0.0018583124817182946,-0.00028419440884621457,-6.56207098232749e-05,-9.686359628550452e-06,-3.018397240121091e-07,1.044319937779732e-07,5.1370246798948483e-08,1.0620494429513854e-08,-6.30276106181266e-10
0.28,-0.36421829180000426,1.0,0.17731791302071545,-0.05487728766727461,-0.013795989741606693,-0.001970907920554325,-0.00024771835785239476,-9.546589968303545e-05,-2.0474683083099383e-05,-2.9687452795860406e-06,-3.0301682103485396e-07,1.9818045258947637e-08,1.2767838994073334e-08,5.440995047497092e-10
0.3,-0.3723999531949823,1.0,0.20026561258583175,-0.06228714657479768,-0.017075505156482474,-0.0016754783787568121,-3.194727402319954e-05,-6.0751814189861285e-05,-2.211781485394718e-05,-5.211096467838425e-06,-8.770311050458379e-07,-7.088598977560894e-08,5.6440100954256505e-09,2.7497394963478614e-09
0.32,-0.3734962457231081,1.0,0.22416080691204196,-0.06823576088180822,-0.02110726894963232,-0.0013612988502797897,0.00023753840332810553,3.6561927364679146e-05,-8.541166093835115e-06,-4.674892384452327e-06,-1.2830471855582233e-06,-1.990255671557967e-07,-1.5355313734379992e-08,5.940201633606744e-09
0.34,-0.36748926596265574,1.0,0.24901327805745255,-0.07219747518320539,-0.025667320499381727,-0.0015714200343272906,0.00032945187731934665,0.00013425793673700867,1.4940341244880398e-05,-4.2261001429768475e-07,-1.096663250123901e-06,-2.72709314924376e-07,-4.710308655341439e-08,9.346229993127436e-09
0.36,-0.3546315713462541,1.0,0.27475795484705173,-0.07378265457483535,-0.030223449907754864,-0.0026577424220667377,6.872961426844074e-05,0.00014613533679173804,3.0146838547439628e-05,5.002503624416005e-06,-2.1397255682388604e-07,-1.8547416018481542e-07,-7.386490063658125e-08,1.0681506830184824e-08
0.38,-0.3354584835275036,1.0,0.30121727610769566,-0.07276967604627409,-0.034057962409252206,-0.0045052811864782095,-0.0004920950269054315,3.630636468203773e-05,1.7290968912330094e-05,6.446050765650878e-06,7.084000374970998e-07,3.252225831756807e-08,-7.858579695371856e-08,8.024962109030387e-09
0.4,-0.31075869116297544,1.0,0.3280998509101862,-0.06909689003689881,-0.03652449940520893,-0.00653245078757529,-0.0010444396036713452,-0.00013314168504924664,-2.5282663951099672e-05,6.592048702939828e-07,4.119786171127675e-07,1.452716470753371e-07,-6.755382564793753e-08,3.5637735292372383e-09
0.42,-0.2815561440019644,1.0,0.3550396865227695,-0.0628165580213509,-0.03734628460751876,-0.007994016076084147,-0.001203172071045083,-0.00023655990624506338,-6.990959861025385e-05,-9.227144176107398e-06,-1.8812940528765081e-06,-1.1055823569094644e-07,-8.071143146685109e-08,3.392308011752887e-09
0.44,-0.2490625674450477,1.0,0.3816671483118455,-0.05403440756563389,-0.036817368455701896,-0.008400376666152912,-0.0007893729294064987,-0.0001844795149982027,-7.429416488459989e-05,-1.4505688633577039e-05,-5.222397309223172e-06,-7.200399062404417e-07,-1.7146772228011844e-07,1.2003757735183965e-08
0.46,-0.21463462708569425,1.0,0.4076914382832681,-0.04286965329159598,-0.03578469353503499,-0.0077878755832728325,-2.05135309082436e-06,-2.878365157667662e-06,-1.8072205964510366e-05,-7.81335372566981e-06,-6.957477978117191e-06,-1.2631296784832748e-06,-3.6484829155954005e-07,2.6770890786755085e-08
0.48,-0.17971903073137044,1.0,0.43296579699149723,-0.02946297621226566,-0.03537273532481468,-0.00668854336765686,0.0006751789314392118,0.00018420760888664752,6.993154879164675e-05,9.376861451470433e-06,-4.654479895629853e-06,-1.1391129118117402e-06,-6.112931452348776e-07,3.528823812047371e-08
0.5,-0.14578851287975006,1.0,0.45750998361784545,-0.014034559526992734,-0.03653178740486646,-0.005853742250012751,0.0007883153256759465,0.00025755597497686657,0.0001260944504029182,2.5888036966258268e-05,1.2737418342129815e-06,-4.468793482751347e-08,-7.720487009338009e-07,1.7642535090451487e-08
0.52,-0.11427793581936677,0.9999999999999999,0.48147786670698267,0.003040805847117634,-0.03959126945745274,-0.0059205787744793775,0.00022496465791680092,0.00019891336736948617,0.00010467084179635719,2.8799604662648937e-05,6.797552795423663e-06,1.6267644483523585e-06,-6.894983247795459e-07,-3.921146579382784e-08
0.54,-0.08650659519244933,0.9999999999999998,0.5050700158400964,0.02118881057720097,-0.04402991070658259,-0.007189083277633758,-0.0007073499976640807,9.445712242610663e-05,2.354019288278809e-05,1.4822523028120168e-05,7.064486631151728e-06,2.8847807881035613e-06,-3.389626457774186e-07,-1.1924945799262465e-07
0.56,-0.06361849668389619,0.9999999999999866,0.5284235453551426,0.03966389441394881,-0.04860473213813643,-0.009555887820214725,-0.0014914355397570914,4.757807328386334e-05,-4.483303717982788e-05,-4.75543535367584e-06,1.088530633616187e-06,2.8590998795963632e-06,7.831809265229191e-08,-1.7544305855572073e-07
0.58,-0.046525823840129384,0.9999999999998243,0.5515142441670803,0.0576550216387436,-0.05182808608097861,-0.012553866905982336,-0.0017357331945633896,8.708127266205891e-05,-3.702342163796572e-05,-1.219329225129568e-05,-6.422146803296772e-06,1.6098972200292268e-06,2.8728723647584453e-07,-1.6644109870520044e-07
0.6,-0.03587320372834371,0.9999999999999923,0.574116337925634,0.07443678572268494,-0.05260954678029375,-0.015454663405948435,-0.0013929574311803213,0.0001564895296378539,4.077530839267951e-05,-1.004255784685423e-07,-9.074825790756456e-06,2.3789133045877703e-07,2.664867177426231e-07,-1.0296329846653791e-07
0.62,-0.032022577220061146,0.9999999999993426,0.59584281868103,0.08950861691352044,-0.05077525536422629,-0.017458850649647584,-0.0007387104270349068,0.00018832825599485656,0.00011849310152122596,1.8450880440759952e-05,-5.3060843845634065e-06,7.603187931163322e-08,3.4148981299746693e-07,-5.321741607091776e-08
0.64,-0.0350517276801377,0.9999999999994114,0.6162611541323232,0.10267176736501958,-0.04720598828794234,-0.01801123098636096,-0.0001806649793161915,0.00018528801825718448,0.00013421716520081985,2.0042255954142137e-05,-5.212602745129543e-07,1.4845334875195005e-06,8.113503460381981e-07,-9.312618790906398e-08
0.66,-0.04476662690170682,0.9999999999997871,0.6350496422932795,0.11402353252758601,-0.043497919012631114,-0.017173491722468702,-6.106600513946119e-05,0.0002242354049404457,9.957390456305214e-05,-3.5829675364249185e-06,-2.109950676577476e-06,3.083680173051357e-06,1.4955440763355175e-06,-2.3756690991143674e-07
0.68,-0.060726686475030815,0.9999999999999932,0.6521349921156732,0.12387800868778631,-0.041276458173971194,-0.015834409195589018,-0.0005482901662733768,0.0003708248474822419,8.638298071609879e-05,-2.9150202762446827e-05,-1.1636900293284535e-05,2.464250339127954e-06,1.7528447218644728e-06,-4.0705947787859917e-07
0.7000000000000001,-0.08227015824415042,0.9999999999991642,0.6677505364990208,0.13264455094712682,-0.04147108134266256,-0.015501387105685655,-0.0015964900672338286,0.0005793632391841792,0.00014574218511184762,-1.7249889842116655e-05,-2.1316719827330613e-05,-1.1900771390967752e-06,1.0019783173479477e-06,-4.6906062098840726e-07
0.72,-0.10854516053297265,0.9999999999999959,0.6823805994049262,0.14070244802386703,-0.043892209889816715,-0.017606188819250322,-0.00292955544948205,0.0006831929733280203,0.00024678998269804633,4.687760316564855e-05,-1.9237620268182783e-05,-4.711713413919214e-06,-6.656203774701035e-07,-3.47841996388889e-07
0.74,-0.13854494058074152,0.9999999999999102,0.6965995861182811,0.14831162423978433,-0.0473128989980349,-0.022607452331143005,-0.004087375102451591,0.000518559361999748,0.000303680515955648,0.0001256001016506593,-1.1236779411023888e-06,-2.665143395010196e-06,-2.2381457847255187e-06,-1.2810149180137334e-07
0.76,-0.17114734170037052,0.9999999999999887,0.7108559027024294,0.15559271701376765,-0.05001456752549,-0.029443917048478183,-0.004619615546907593,9.959814107574217e-05,0.00026529645610766974,0.00015139116218170696,2.1747389544273625e-05,6.682864241292443e-06,-2.28189630112542e-06,-4.015759660201239e-08
0.78,-0.2051608948787491,0.9999999999999309,0.7252826327754568,0.16260019026947098,-0.05053054683257632,-0.035824375244450264,-0.004404904523848761,-0.00032234797993920976,0.0001753203374665779,9.108427446157057e-05,2.9625102979403344e-05,1.7377305608541132e-05,-1.7183502642344042e-07,-2.8068784437055793e-07
0.8,-0.23937324844899893,0.9999999999999988,0.7396088685417685,0.1694787246159208,-0.04823195143072144,-0.03936899344710226,-0.003878549088147931,-0.0004189039702652908,0.00013809066712661697,-8.359067450450968e-06,1.3790594315478522e-05,1.989285840435628e-05,2.8085941522317546e-06,-7.837804072635751e-07
0.8200000000000001,-0.27259553912687745,0.9999999999999997,0.7532117315682462,0.17664693108084384,-0.04348969647545465,-0.03900083892594774,-0.0038949950865629288,-7.308133853191229e-05,0.0002167872465458179,-4.964493164770858e-05,-1.066306404199433e-05,1.0866881961975217e-05,3.8134779606134006e-06,-1.1786369015046527e-06
0.84,-0.30369979099512345,0.9999999999996873,0.7652972018628861,0.18491069633863394,-0.03736466435516957,-0.03568321168848702,-0.0051790361158887115,0.0004543856015650226,0.0003588458254749998,2.3857711259791846e-05,-1.5646030933734685e-05,-1.4960812240954638e-06,6.727532897675995e-07,-1.0721195492525032e-06
0.86,-0.3316492927173679,0.9999999999998417,0.7751476389904873,0.19540580109837816,-0.0310125119506368,-0.031920508178073896,-0.007699267437916059,0.0006748241488890302,0.0004279323968425027,0.00016191772316547317,1.1750097397144866e-05,-3.4687823727518253e-06,-5.4141027590065975e-06,-4.7051074293623027e-07
0.88,-0.35552318795439675,0.9999999999995131,0.782345740675312,0.20933007857906097,-0.025122592604123653,-0.03025092708507715,-0.010483551524178868,0.00026316961622339973,0.00032929377316370275,0.00024031898703189136,5.056033162337779e-05,1.0700270750785855e-05,-9.508293812076862e-06,8.817516660914229e-08
0.9,-0.3745456500329926,0.9999999999999992,0.7868914771165672,0.22753685638381843,-0.019671282102320838,-0.03169653606219501,-0.012149646132497045,-0.000634719840398723,0.00011872257699551814,0.00017327237348550452,5.9354076850729036e-05,3.072812541306055e-05,-6.575746857091002e-06,-6.09237541054379e-08
0.92,-0.38811814697200825,0.9999999999999256,0.789163461678534,0.2501596451133002,-0.014080282828091975,-0.0352209746344991,-0.01187534256939767,-0.0014766817957339977,-2.172264606916268e-05,2.3503570151172145e-06,1.5720869117193316e-05,3.758112692141657e-05,3.039311625930658e-06,-1.0522327053649403e-06
0.9400000000000001,-0.3958522401608706,0.9999999999995726,0.7897336194565865,0.27645955230430486,-0.00763658538185289,-0.03855971216292832,-0.010117291520246518,-0.0017507360810465793,5.5423223348720664e-05,-0.00012835688921585464,-5.383799343569818e-05,2.1465655358810113e-05,1.1942591071080957e-05,-2.23365497959318e-06
0.96,-0.3975928160226507,0.9999999999997075,0.7890986688219315,0.3049984005660794,0.000101826258365923,-0.03981394256654894,-0.008482218676677058,-0.0013908035072786764,0.0003065771790905962,-9.874251893820158e-05,-8.901374839519495e-05,-6.7020598763417756e-06,1.1412857248362045e-05,-2.693038617146215e-06
0.98,-0.3934200180172292,0.999999999999972,0.7874282853519297,0.33408115518602066,0.009141441244472309,-0.038666189406848565,-0.008739688949625556,-0.0008167636189170883,0.0005100332465292388,7.221404127080207e-05,-5.1178547235854806e-05,-2.325657184375556e-05,3.9647683172288963e-07,-2.1607312425817206e-06
1.0,-0.3836290554064728,0.9999999999999988,0.7844323382743464,0.36227376275276696,0.01917333067858062,-0.03639049571579073,-0.011616274147607254,-0.0005783938848471518,0.00046403136878779056,0.00023731807064023464,3.176001424566928e-05,-1.3254913790570086e-05,-1.1682086350272311e-05,-1.3706149775729276e-06
1.02,-0.36869328541429747,0.9999999999999994,0.7794134566911476,0.38876240832989406,0.029839198097582904,-0.03474471207018006,-0.016221232882818338,-0.0009375234130624016,0.0001942625157607107,0.00025876616012891247,8.241791391895265e-05,1.4293770614552434e-05,-1.2852227764676006e-05,-1.393741467925841e-06
1.04,-0.3492234747140217,0.999999999999948,0.7715067152282641,0.4134019818936252,0.040943591027610436,-0.03463537130192473,-0.020540694885271663,-0.0017463725966686925,-4.0734083644926976e-05,0.00014337504273802485,4.688497982612394e-05,3.229512957760711e-05,-5.439643788947066e-07,-2.492466233109116e-06
1.06,-0.3259372677327845,0.9999999999994756,0.7600312187626388,0.436461138793092,0.05248993037016411,-0.03553217784711574,-0.02269348632767446,-0.0026712147614425166,1.8969257563525288e-05,3.624577476424809e-05,-4.4282534808530686e-05,1.946194443705042e-05,1.4436999225747233e-05,-3.6267044637887767e-06
1.08,-0.29964135133143166,0.9999999999993237,0.7448222723678096,0.4582166427407466,0.06455393197645362,-0.03596470787774027,-0.022110329805707724,-0.0034914785844942695,0.0003666920498025168,7.073257410310997e-05,-9.463630875906343e-05,-1.717617434477188e-05,1.6976562205996087e-05,-3.254707618465472e-06
1.1,-0.2712240063025203,0.9999999999998476,0.7264077508394494,0.4786042812589608,0.0771083893673671,-0.034613593648923836,-0.01985782749657042,-0.004184787483593793,0.0006906156873672114,0.00022453741239680772,-3.489278201176297e-05,-4.3502689931499983e-05,2.283063216876966e-06,-8.705441550307379e-07
1.12,-0.2416475165208749,0.9999999999995723,0.7059444555676707,0.4970821072498159,0.08993169846692234,-0.0311493311037994,-0.017921846647684214,-0.004779363230312665,0.0006380218936476875,0.0003358264075346712,9.653304034601976e-05,-2.8504945197826983e-05,-1.7814712243281256e-05,2.157232200812204e-06
1.1400000000000001,-0.21192924291876006,0.999999999999946,0.6849245043735233,0.5127432163437006,0.1026722577611696,-0.026282838137138602,-0.017959118703606898,-0.005211992669274327,0.0001588422204533126,0.00027369612564549626,0.0001768019385184938,2.1081357525573658e-05,-2.434856494213365e-05,3.4774006242527623e-06
1.16,-0.18311253491862717,0.9999999999998297,0.6647582421217705,0.5246041959237028,0.1150396122224155,-0.021144615875194075,-0.020338791455391907,-0.0053973307515569925,-0.00040740808140319164,9.112985478769549e-05,0.00011919152800528869,5.964599281940685e-05,-9.12046626651727e-06,1.8271110301069572e-06
1.18,-0.15622882227459936,0.9999999999996163,0.6463882786072869,0.5319486872500231,0.1270081362809234,-0.016559663658441675,-0.024038810592843497,-0.0054383366035756706,-0.0006181277864014341,-8.928169566008465e-06,-2.767649985752287e-05,4.545828800215118e-05,1.5664173537493767e-05,-1.5892475513209873e-06
1.2,-0.13225835081680276,0.9999999999982322,0.6300798186294253,0.5346163330408891,0.13889766236603288,-0.012721042472413905,-0.02736331747296107,-0.005700254036929072,-0.0003385736695079287,0.00012149564628695176,-0.00011650363606381164,-1.180497528879147e-05,2.6646933182337087e-05,-3.899978778430621e-06
1.22,-0.11209248668083559,0.9999999999988957,0.6154631532328462,0.5331588243464636,0.15126005693301933,-0.009326084401618369,-0.028951493887165083,-0.006574215360081178,0.00011544505471945571,0.0004044790322711055,-4.994595323831999e-05,-5.3390432778765836e-05,1.1219656201763099e-05,-3.090879295574987e-06
1.24,-0.09650008956849358,0.9999999999994408,0.6018095324871843,0.5288052962091285,0.1646121917816524,-0.005863504020041436,-0.028459383307788605,-0.008086429490583942,0.00025179911140916925,0.0005905650826336882,0.00011198132154136925,-3.103448257766213e-05,-1.7460593379237638e-05,2.204629104529504e-09
