t,mz_0,mz_1,mz_2,mz_3,mz_4,mz_5,mz_6,mz_7,mz_8,mz_9,mz_10,mz_11,mz_12,mz_13
0.0,1.109138822452671e-16,5.5402731014009277e-17,2.7647155398380363e-17,1.3769367590565906e-17,6.830473686658678e-18,3.3610267347050637e-18,1.6263032587282567e-18,7.589415207398531e-19,3.2526065174565133e-19,1.0842021724855044e-19,0.0,0.0,0.0,0.0
0.02,7.283128093671376e-17,7.283128093671376e-17,-9.370217275705972e-17,-3.8191021525801894e-17,-3.8191021525801894e-17,-3.496552006265752e-18,5.177065373618284e-18,3.4423418976414766e-18,-2.1955093992831465e-18,1.7076184216646695e-18,-4.9060148304969076e-18,3.821812658011403e-18,3.06287113727155e-18,-1.0706496453294356e-18
0.04,-2.8202809011779184e-17,1.1057506906636538e-16,5.5063917835107556e-17,5.5063917835107556e-17,2.7308342219478643e-17,1.3430554411664186e-17,-1.0855574252011113e-17,3.889575293791747e-18,-4.3503612170980865e-18,-4.784042086092288e-18,1.0706496453294356e-18,3.4558944247975454e-18,3.97089045672816e-18,-2.5478751053409354e-18
0.06,-1.2565903179106996e-16,-3.4770363671610127e-16,-1.2565903179106996e-16,-2.8514517136368767e-17,4.087442190270352e-17,-1.463672932855431e-17,-1.1167282376600696e-17,2.0057740190981832e-17,-9.432558900623889e-18,-7.26415455565288e-18,-1.8431436932253575e-18,-2.6020852139652106e-18,5.637851296924623e-18,-1.1194387430912833e-17
0.08,-1.5878140816050212e-16,-9.914486766293695e-16,2.575522260739316e-16,-6.163689350580093e-17,2.856872724499304e-17,2.856872724499304e-17,4.2825985813177425e-18,-4.391018798566293e-18,-3.957337929572091e-18,1.6805133673525319e-18,-2.8731357570865868e-18,-4.4994390158148434e-18,2.656295322589486e-18,-1.2630955309456127e-17
0.1,-5.051568972153087e-16,3.491645991435255e-15,1.193435541363419e-16,2.2199039481640703e-17,7.771019071289853e-17,-5.412879346133881e-17,4.851804721872632e-18,3.174001859951314e-17,9.18861341181465e-18,9.486769009248164e-19,3.984442983884229e-18,-1.1085967213664283e-17,-4.960224939121183e-18,-1.2468324983583301e-17
0.12,-3.729655473350135e-17,-2.091209150290041e-15,-6.756747938929664e-16,-5.117434254131581e-17,-1.0668549377257364e-16,-8.239936510889834e-17,-9.540979117872439e-18,6.071532165918825e-18,3.469446951953614e-18,1.734723475976807e-17,4.119968255444917e-18,-1.0299920638612292e-17,-8.836247705756861e-18,-1.2874900798265365e-17
0.14,-2.688211524042028e-15,-1.6334996506481292e-15,-3.5902677315499676e-15,7.3468249713049e-17,1.0122382532867791e-16,1.7957098481791167e-17,2.6630715861675203e-17,-9.798477133837746e-18,-1.1248597539537109e-18,8.416119363918728e-18,-9.0801931945661e-19,-1.2183721913305856e-17,-9.690056916589196e-18,-1.4338573731120796e-17
0.16,1.189098732673477e-16,2.021394661898268e-14,9.932105051596585e-16,-3.668127000061583e-16,-2.1415703412019926e-16,4.4181238528784306e-18,2.17653586126465e-17,-4.0684686522518554e-17,1.872959252968709e-17,5.068645156369733e-18,1.599198204416119e-18,-1.3254371558635292e-17,-2.1412992906588713e-18,-8.863352760068999e-18
0.18,1.499133120159285e-14,-8.570589713190885e-14,-5.219078207802097e-17,2.1821330549801066e-15,2.878150192134332e-16,2.4137050864958542e-17,3.107594476886577e-17,-1.315950386854281e-17,1.7198156961051314e-17,8.524539581167279e-18,-1.5585406229479126e-18,-3.2390539903004445e-18,-2.8053731213062427e-18,-4.025100565352435e-18
