t,Cxx_1_0,Cxx_1_1,Cxx_1_2,Cxx_1_3,Cxx_1_4,Cxx_1_5,Cxx_1_6,Cxx_1_7,Cxx_1_8,Cxx_1_9,Cxx_1_10,Cxx_1_11,Cxx_1_12,Cxx_1_13,Cxx_1_14
0.0,2.353743514295591e-46,1.0,-1.0000000000000002,2.1621597398761826e-46,4.515903254171774e-47,1.984260520772446e-46,2.901125726922473e-46,3.557984382074731e-46,3.2021859438672578e-46,3.311662386392634e-46,-1.3684555315672042e-48,3.1885013885515857e-46,2.5453272887149998e-46,2.2168979611388708e-46,2.299005293032903e-46
0.01,-2.233218945000951e-08,0.9999999999769906,-0.9996000725468144,-2.2813475190135904e-08,-1.393276574362308e-09,-8.781271394820011e-10,-6.42273294254135e-10,-5.044868872439357e-10,-4.129839346773617e-10,-2.2004003802444472e-10,5.38172609885126e-11,-1.4714550419004003e-10,-2.3958105813348213e-10,-2.170104570980389e-10,-1.0322944195719603e-10
0.02,-3.65783083630686e-07,0.9999999996417541,-0.9984010357404777,-3.7261080907708696e-07,-2.192772014764327e-08,-1.3569523347273184e-08,-9.758363370134069e-09,-7.533024171413078e-09,-6.05374310502473e-09,-2.8665690146093795e-09,1.0555960228505632e-10,-1.6813610398198257e-09,-3.248730953243022e-09,-2.8823141706021895e-09,-1.3553771775676648e-09
0.03,-1.8525906354835642e-06,0.9999999982720027,-0.9964051720867211,-1.8846278342231657e-06,-1.0935728420886627e-07,-6.697772456059736e-08,-4.776489236487459e-08,-3.656132671657155e-08,-2.9125372482580495e-08,-1.3565215389026869e-08,1.3886774738615772e-10,-7.621421261597898e-09,-1.505945457071445e-08,-1.3229833119869823e-08,-6.19089703229181e-09
0.04,-5.84047418266618e-06,0.9999999949068606,-0.9936162767233746,-5.931804547410689e-06,-3.386876754087596e-07,-2.0470945634165616e-07,-1.4444608767298953e-07,-1.0937171048885431e-07,-8.615026250209266e-08,-3.9878491332891826e-08,2.486799017577257e-10,-2.1396931030435063e-08,-4.238711441455006e-08,-3.673248900938641e-08,-1.707301847181299e-08
0.05,-1.4203414858876865e-05,0.9999999886698131,-0.9900396516579956,-1.4396228528244142e-05,-8.052827853094816e-07,-4.782379079170719e-07,-3.3259223031900783e-07,-2.48032974256587e-07,-1.9223342790288954e-07,-8.837940137541855e-08,4.4871646724892536e-10,-4.422625059989464e-08,-8.758473464892604e-08,-7.41781651798475e-08,-3.4066474804779934e-08
0.06,-2.930662384042766e-05,0.9999999791458911,-0.9856820778029203,-2.963118398739627e-05,-1.6156904060049126e-06,-9.37754962441502e-07,-6.394980476803866e-07,-4.668646056919107e-07,-3.5341630047038886e-07,-1.6094109061035944e-07,8.17904274256348e-10,-7.18249221623511e-08,-1.4194414849156363e-07,-1.1513137324005353e-07,-5.1588741731842594e-08
0.07,-5.3973322565531136e-05,0.9999999667371683,-0.9805517973938865,-5.441207551081466e-05,-2.876187791567606e-06,-1.6208316163202421e-06,-1.0764356555772884e-06,-7.624918083549634e-07,-5.572184533954435e-07,-2.5005679569329014e-07,1.5622447809135118e-09,-9.02421804701843e-08,-1.7740632880658825e-07,-1.2982671431934173e-07,-5.434125055167084e-08
0.08,-9.144561276842658e-05,0.9999999529093658,-0.9746584870188028,-9.187884296125266e-05,-4.679486971433068e-06,-2.5392585472388185e-06,-1.6264476115556098e-06,-1.1023189896010137e-06,-7.616804431024725e-07,-3.333721895030519e-07,3.0796679865020653e-09,-7.099079590573276e-08,-1.369576764273636e-07,-5.975850401790297e-08,-1.2520909758198485e-08
0.09,-0.0001453408273596338,0.9999999402307799,-0.9680132110435892,-0.00014547159895600794,-7.090056963588104e-06,-3.6645203323460145e-06,-2.230889825719114e-06,-1.4118345166371806e-06,-8.833107395407591e-07,-3.6774857965746785e-07,6.3040570076123344e-09,3.422469240166792e-08,7.591990687641015e-08,1.9268424073914242e-07,1.235501614279828e-07
