t,mx_0,mx_1,mx_2,mx_3,mx_4,mx_5,mx_6,mx_7,mx_8,mx_9,mx_10,mx_11,mx_12,mx_13,mx_14
0.0,-1.0000000000000002,7.498798913308838e-33,7.498798913309387e-33,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002
0.01,-0.9998000159086883,4.796805815872979e-06,-4.839157428180041e-06,-0.9996000788674708,-0.9996000851889087,-0.9996000863473931,-0.9996000868319334,-0.9996000867147558,-0.9996000858384675,-0.9996000744668634,0.9996000637872383,-0.9996000736072043,-0.9996000833651465,-0.9996000826572142,-0.9998000209901667
0.02,-0.9992001915994303,1.892738394895648e-05,-1.962179376535589e-05,-0.9984011491866253,-0.9984012618451621,-0.998401281209675,-0.9984012892943191,-0.998401287339594,-0.9984012726916716,-0.9984010683448282,0.9984008752297776,-0.9984010535921233,-0.9984012313137212,-0.998401219451411,-0.9992002842646828
0.03,-0.9982009349569155,4.156918678772229e-05,-4.508964941410313e-05,-0.996405752819452,-0.9964063288484273,-0.996406427232745,-0.9964064682727297,-0.9964064583477051,-0.9964063838423038,-0.9964053382730401,0.9964043496085383,-0.9964052631684295,-0.9964061737454946,-0.9964061136592129,-0.9982014099834061
0.04,-0.9968029239837113,7.13662338545976e-05,-8.247953031830992e-05,-0.9936181150454559,-0.993619936860237,-0.9936202476191023,-0.993620377126309,-0.9936203457956526,-0.9936201101022024,-0.9936168032397568,0.9936136760119867,-0.9936165661032985,-0.9936194471088761,-0.9936192581364814,-0.9968044279041255
0.05,-0.9950071086600587,0.00010644335067128992,-0.00013351532019219804,-0.9900441356979716,-0.990048575420851,-0.9900493326152859,-0.9900496478175375,-0.9900495715283087,-0.9900489961609416,-0.9900409388454728,0.9900333199463568,-0.990040361674215,-0.990047382622601,-0.9900469246332033,-0.9950107763432791
0.06,-0.9928147026231867,0.0001444095181357424,-0.00020038360356381744,-0.985691358297153,-0.9857005375169653,-0.9857021033664911,-0.9857027543065432,-0.9857025966676223,-0.9857014041147223,-0.9856847498812018,0.9856690046453319,-0.9856835581166273,-0.9856980722194207,-0.9856971313312842,-0.9928222911935953
0.07,-0.990227182051439,0.00018238100700001934,-0.0002857184287440218,-0.9805689467780466,-0.9805858889000238,-0.9805887801651436,-0.9805899801733995,-0.9805896893649061,-0.9805874814767311,-0.9805567529239202,0.9805277083022103,-0.980554556456923,-0.9805813398472233,-0.9805796160670301,-0.990241199643828
0.08,-0.9872462813066899,0.00021700376529289065,-0.0003925787248332595,-0.9746876523325184,-0.9747164268810053,-0.9747213400380265,-0.9747233754753535,-0.9747228818064967,-0.9747191184058065,-0.9746669493734327,0.9746176530169866,-0.9746632249568435,-0.9747087025385355,-0.9747057997429471,-0.9872701104604386
0.09,-0.9838739797082748,0.0002444774429905913,-0.000524422960234853,-0.9680597611455467,-0.9681056201224012,-0.9681134552632547,-0.9681166944649235,-0.968115908089601,-0.9681098857364734,-0.9680267791342304,0.9679482736026968,-0.968020854300833,-0.9680933126524525,-0.9680887312507972,-0.9839119961404028
0.1,-0.9801124960731326,0.0002605858018722287,-0.0006850805995696696,-0.9606990510956797,-0.960768554840604,-0.9607804379741898,-0.9607853392549244,-0.9607841480719923,-0.9607749792154631,-0.9606490853965262,0.9605302029908176,-0.9606401241924669,-0.9607499070739587,-0.9607430395806349,-0.9801701804457168
0.11,-0.975964293143414,0.00026073203195718696,-0.0008787183443811246,-0.9526207607396862,-0.9527218904923007,-0.9527391938629006,-0.9527463124413135,-0.952744580210683,-0.9527311730872686,-0.9525480940113158,0.9523752786044972,-0.9525350848613794,-0.952694766510705,-0.952684896102403,-0.976048332993163
0.12,-0.9714320587092651,0.0002399699466663071,-0.0011098046644889756,-0.9438415167807569,-0.9439837759373637,-0.9440081366364649,-0.944018130497459,-0.9440156951495747,-0.9439967339108771,-0.9437393495631592,0.9434964988039986,-0.9437210951683379,-0.9439456349802133,-0.9439319376622605,-0.971550443895237
0.13,-0.9665186906218468,0.00019304134464944096,-0.001383075014244422,-0.9343792642313692,-0.9345737690514192,-0.9346071057992502,-0.9346207404552168,-0.934617412598551,-0.9345913378230969,-0.9342396529648312,0.9339079811005199,-0.934214762211499,-0.9345216429436802,-0.9345031932792432,-0.9666808025488114
0.14,-0.961227318079394,0.00011442166766300062,-0.0017034827691002953,-0.9242532545704204,-0.9245127983218214,-0.9245573250710509,-0.9245754768240039,-0.9245710385375417,-0.9245360296378207,-0.9240670726940833,0.923625022361444,-0.9240339559951344,-0.9244432744687515,-0.9244190545013748,-0.9614439981264377
0.15,-0.955561278811287,-1.6388479750447423e-06,-0.0020761641237685637,-0.9134839558332862,-0.9138230665013515,-0.9138813042976912,-0.9139049624282294,-0.9138991662278544,-0.9138531241856465,-0.9132408576537088,0.912664026477515,-0.9131977239901479,-0.9137322743172102,-0.9137011860667688,-0.9558448940037311
0.16,-0.9495240877007625,-0.0001610764007795118,-0.0025064004616915394,-0.9020929467504059,-0.9025279378886372,-0.9026027248417863,-0.9026329927123121,-0.9026255607093395,-0.9025660914460243,-0.9017813344489927,0.9010424156366034,-0.9017261901491329,-0.9024115388470373,-0.9023724200563672,-0.9498885938692719
0.17,-0.9431194299657457,-0.00036997055015093074,-0.0029995691989879386,-0.890102854713983,-0.8906518517097473,-0.8907463504559316,-0.8907844451790737,-0.8907750684169572,-0.8906994667978074,-0.8897098668356516,0.8887786289178863,-0.8896405176259474,-0.8905050343297705,-0.8904566790255801,-0.9435804185907399
0.18,-0.9363511485218231,-0.0006344979417377733,-0.0035611034208773845,-0.8775372775138379,-0.8782202336126146,-0.8783379366065893,-0.8783851875567503,-0.8783735255140127,-0.8782787603108079,-0.8770487836099972,0.8758920708775204,-0.8769628386468132,-0.8780377125576175,-0.8779788948636883,-0.936925887506078
0.19,-0.9292233094293935,-0.0009608670279579769,-0.0041964259879070836,-0.8644208303715636,-0.8652594996726258,-0.8654042288770152,-0.8654620743094442,-0.8654477547829402,-0.8653304594702473,-0.8638214635467555,0.8624032792165537,-0.8637163442326586,-0.8650355237575131,-0.8649650215229375,-0.9299307461352863
0.2,-0.9217401226194147,-0.0013552883436319149,-0.004910924261640192,-0.8507789559798165,-0.8517968787245438,-0.8519727854623309,-0.8520427685617507,-0.8520253875320372,-0.8518818490122639,-0.850052129601789,0.8483336953163325,-0.8499250782976214,-0.8515252397638086,-0.8514418632886072,-0.9226009030129992
0.21,-0.913905896544748,-0.0018239380126379838,-0.005709916906721364,-0.8366377887391685,-0.8378602788956547,-0.83807184222944,-0.8381556063512352,-0.8381347280078898,-0.8379608760612136,-0.8357657063802573,0.8337055189043793,-0.8356137957923707,-0.8375343233769975,-0.8374369464622502,-0.9149423896415365
0.22,-0.9057250959943842,-0.0023728946177509216,-0.006598581829193817,-0.8220242002108762,-0.8234782662567123,-0.8237302863284678,-0.8238295681937555,-0.8238047249884677,-0.823596125416889,-0.8209879304925227,0.8185419221718999,-0.8208080797711095,-0.8230909162154648,-0.822978511183497,-0.9069613665800023
0.23,-0.8972022888443645,-0.003008104550065003,-0.007581932533921333,-0.8069656481817515,-0.8086799288018278,-0.8089775197041691,-0.8090941421892974,-0.8090648348933182,-0.8088166825374554,-0.8057451802298123,0.802866855502738,-0.8055341704692588,-0.8082237039761229,-0.8080953787709907,-0.8986640858601452
0.24,-0.8883421593370306,-0.003735332384713266,-0.00866477794690892,-0.7914901273696474,-0.7934948264743401,-0.7938434046276343,-0.7939792686858541,-0.7939449669128332,-0.7936520859881446,-0.7900644192216725,0.7867050085120937,-0.7898189095673408,-0.792961872444491,-0.7928169015972876,-0.8900568998718636
0.25,-0.8791494973181335,-0.004560121500396752,-0.009851674275917398,-0.7756261009846239,-0.777952888222918,-0.7783581596660751,-0.7785152351065363,-0.7784753776008607,-0.7781322200750882,-0.773973161537138,0.7700818196198185,-0.7736897087687054,-0.777335008082045,-0.7771728718344975,-0.8811462281894007
0.26,-0.8696291531091821,-0.005487762918280464,-0.011146896637552242,-0.7594023719003316,-0.7620842786791004,-0.7625522251812807,-0.7627325408811483,-0.7626865358488863,-0.7622871804520591,-0.7574993439241701,0.7530233488195256,-0.7571744227808246,-0.7613729670304427,-0.7611933925142196,-0.8719385133376168
0.27,-0.8597861628657311,-0.006523214625650346,-0.012554366874437645,-0.7428482218217564,-0.7459194766538567,-0.7464563342320701,-0.7466619667887446,-0.7466091920761794,-0.7461473544190794,-0.740671521165397,0.7355565862473502,-0.7403015503215942,-0.7451059654870827,-0.74490896085709,-0.8624402895827348
0.28,-0.8496256577244042,-0.007671091053021095,-0.014077648148840731,-0.7259932043016025,-0.7294891004422998,-0.730101339400454,-0.7303344020803569,-0.7302742053832194,-0.7297432458430454,-0.7235186227029694,0.7177091475202598,-0.7230999879443083,-0.728564402749212,-0.7283502936825945,-0.8526581239788129
0.29,-0.8391527539702978,-0.008935660516696194,-0.015719949188241683,-0.7088669150265586,-0.7128237179692133,-0.7135180219784211,-0.7137806539452632,-0.7137123537699532,-0.7131052891121128,-0.7060696754532845,0.6995089252049165,-0.7055987492363661,-0.7117786711111074,-0.7115481311574514,-0.8425985439818535
0.3,-0.8283726569417322,-0.010320779030944336,-0.01748404977104248,-0.6914991115952368,-0.6959538742933181,-0.6967371175167517,-0.6970314716647846,-0.6969543569188721,-0.6962638697632569,-0.6883540214301364,0.6809844465625627,-0.6878271904305271,-0.694779189873262,-0.6945332822944212,-0.8322680663214066
0.31,-0.8172905836526874,-0.011829883588048401,-0.019372301309804937,-0.6739195404386028,-0.6789099421042599,-0.6797891676920612,-0.6801173989485704,-0.6800307284965001,-0.6792491751528188,-0.6704011186728561,0.6621646204339896,-0.6698148089816135,-0.6775962534623431,-0.6773364742799471,-0.8216731452764058
0.32,-0.8059118548617421,-0.01346593534760254,-0.021386591351352183,-0.6561580216044757,-0.6617222024142453,-0.6627045905534285,-0.6630688437347808,-0.6629718467623863,-0.6620912878161604,-0.6522406166769446,0.6430788432917689,-0.6515913191037316,-0.6602601249718808,-0.659988418336613,-0.8108202498123692
