t,mz_0,mz_1,mz_2,mz_3,mz_4,mz_5,mz_6,mz_7,mz_8,mz_9,mz_10,mz_11,mz_12,mz_13,mz_14
0.0,1.109138822452671e-16,5.5402731014009277e-17,5.5402731014009277e-17,2.7647155398380363e-17,1.3769367590565906e-17,6.830473686658678e-18,3.3610267347050637e-18,1.6263032587282567e-18,7.589415207398531e-19,3.2526065174565133e-19,1.0842021724855044e-19,0.0,0.0,0.0,0.0
0.01,-9.324138683375338e-17,-3.7730235602495554e-17,-3.7730235602495554e-17,-3.7730235602495554e-17,-9.974659986866641e-18,3.903127820947816e-18,1.0842021724855044e-17,7.37257477290143e-18,8.239936510889834e-18,-6.071532165918825e-18,0.0,-3.469446951953614e-18,3.2526065174565133e-19,-1.3010426069826053e-18,-2.087089182034596e-18
0.02,-3.4558944247975454e-17,-3.4558944247975454e-17,-3.4558944247975454e-17,2.0952206983282373e-17,7.074419175467916e-18,-6.80336863234654e-18,1.4013313079375145e-17,1.870248747537495e-18,-1.599198204416119e-18,-7.237049501340742e-18,-2.4665599424045226e-18,-5.285485590866834e-18,-3.9302328752599536e-18,-3.4423418976414766e-18,-3.7269449679189215e-18
0.03,-1.020505294851981e-17,1.0081724951399584e-16,1.0081724951399584e-16,1.7550522667109103e-17,1.7550522667109103e-17,3.672734859294646e-18,-3.266159044612582e-18,-3.266159044612582e-18,-4.133520782600986e-18,-1.0638733817514012e-17,-5.21772295508649e-18,-1.2197274440461925e-19,-5.651403824080692e-18,-4.784042086092288e-18,-5.068645156369733e-18
0.04,5.312590645178972e-18,5.312590645178972e-18,5.312590645178972e-18,-2.2442984970449942e-17,-3.63207727782644e-17,-1.6263032587282567e-18,-8.565197162635485e-18,-1.6263032587282567e-18,1.0842021724855044e-19,-3.3610267347050637e-18,-2.0599841277224584e-18,-5.7462715141731735e-18,-7.968885967768458e-18,-7.94178091345632e-18,-5.136407792150077e-18
0.05,2.5831116759467143e-17,8.134226799072497e-17,8.134226799072497e-17,-1.9244588561617704e-18,-1.9244588561617704e-18,-2.9680034471790684e-17,-1.9244588561617704e-18,-2.2741140567883456e-17,-4.526544070126981e-18,-1.1031757105040008e-17,-2.358139725155972e-18,-6.152847328855238e-18,-1.1844908734404136e-17,-8.754932542820448e-18,-7.223496974184673e-18
0.06,-1.2518469334060756e-16,-6.967354210934973e-17,-6.967354210934973e-17,-1.4162390878091902e-17,-2.846030702774449e-19,6.6542908336297835e-18,-7.223496974184673e-18,-1.589711435406871e-17,-6.35613523619627e-18,-9.391901319155682e-18,-6.776263578034403e-20,-7.006656539687572e-18,-1.2644507836612195e-17,-9.202165938970719e-18,-9.486769009248164e-18
0.07,2.017971293538645e-17,-3.5331438295871376e-17,-3.5331438295871376e-17,-3.5331438295871376e-17,-6.308701391150029e-17,-2.839254439196415e-17,9.771372079525609e-18,-9.31058615621927e-18,-1.6249480060126498e-17,-6.274820073259857e-18,-2.0328790734103208e-19,-1.0611628763201875e-17,-1.2454772456427232e-17,-1.020505294851981e-17,-1.1966881478808755e-17
0.08,-1.0137290312739466e-17,-1.2115959277525512e-16,-1.2115959277525512e-16,-1.0137290312739466e-17,3.74049749507499e-18,1.7618285302889447e-17,3.74049749507499e-18,-1.360673726469308e-17,-4.933119884809045e-18,-1.2739375526704677e-17,1.3552527156068805e-18,-1.2088854223213374e-17,-1.5395670849294163e-17,-1.3254371558635292e-17,-1.439278383974507e-17
0.09,4.4967285103836296e-17,-6.605501735867936e-17,-6.605501735867936e-17,-1.054386612742153e-17,3.333921680392926e-18,-1.054386612742153e-17,-2.0952206983282373e-17,-3.482999479109683e-17,-1.2278589603398338e-17,-2.4421653935235987e-17,-3.3881317890172014e-18,-1.4013313079375145e-17,-1.56396163381034e-17,-1.509751525186065e-17,-1.5856456772600502e-17
0.1,4.8382521947165635e-18,1.7137170588849004e-16,1.7137170588849004e-16,6.034940342597439e-17,4.8382521947165635e-18,4.8382521947165635e-18,-2.985621732481958e-17,-1.4243706041028315e-17,-1.07742590890747e-17,-1.771315299298193e-17,-5.136407792150077e-18,-1.2834243216797159e-17,-1.8743145056843158e-17,-1.725236706967559e-17,-1.8458541986565713e-17
0.11,-8.879615792656281e-17,-1.4430730915782064e-16,-1.4430730915782064e-16,-6.10405823109339e-17,-5.5294310796760726e-18,2.916503843986007e-17,-2.0599841277224584e-18,-5.5294310796760726e-18,-2.2876665839444144e-17,-2.3310346708438345e-17,1.0842021724855044e-19,-1.5612511283791264e-17,-2.054563116860031e-17,-1.6967763999398144e-17,-2.0477868532819965e-17
0.12,7.314298906130334e-17,1.7631837830045516e-17,1.7631837830045516e-17,4.538741344567443e-17,4.538741344567443e-17,3.754050022231059e-18,-1.3593184737537012e-17,-3.787931340121231e-17,-1.792999342747903e-17,-1.3593184737537012e-17,1.5856456772600502e-18,-2.1941541465675396e-17,-2.6169929938368863e-17,-1.7604732775733378e-17,-2.1575623232461538e-17
0.13,-8.798300629719868e-17,-3.247185506594086e-17,-8.798300629719868e-17,-3.247185506594086e-17,-4.6349642873755315e-17,-4.716279450311944e-18,-4.716279450311944e-18,-4.6349642873755315e-17,-2.0328790734103208e-17,-1.7293024651143796e-17,-3.848917712323541e-18,-2.2280354644577116e-17,-2.6183482465524932e-17,-2.108773225484306e-17,-2.087089182034596e-17
0.14,1.4033641870109248e-16,2.9314116238576826e-17,2.9314116238576826e-17,-5.3952610608309914e-17,-6.783039841612437e-17,-3.313592889658823e-17,-1.9258141088773773e-17,-2.2727588040727387e-17,-2.6197034992681e-17,-2.6197034992681e-17,-1.4772254600114998e-18,-2.4679151951201295e-17,-2.6197034992681e-17,-2.2727588040727387e-17,-2.5112832820195496e-17
0.15,2.1358782797964437e-17,2.1358782797964437e-17,2.1358782797964437e-17,-3.415236843329339e-17,-6.19079440489223e-17,-2.721347452938616e-17,-4.8030156241107846e-17,-2.200930410145574e-17,-1.940721888749053e-17,-2.5478751053409354e-17,-2.710505431213761e-18,-2.7647155398380363e-17,-2.916503843986007e-17,-2.4557179206796675e-17,-2.756584023544395e-17
0.16,1.1190321672766013e-16,-5.4630236966113355e-17,-5.4630236966113355e-17,-5.4630236966113355e-17,8.809142651444724e-19,-1.2996873542669984e-17,-4.07524491582989e-17,-2.3405214398530827e-17,-3.381355525439167e-17,-3.337987438539747e-17,-1.2874900798265365e-18,-2.5465198526253285e-17,-2.95851667816982e-17,-2.5953089503871762e-17,-2.962582436316641e-17
0.17,-6.253136029810147e-17,-6.253136029810147e-17,-6.253136029810147e-17,-3.4775784682472555e-17,-7.020209066843641e-18,-3.4775784682472555e-17,-3.130633773051894e-17,-2.610216730258852e-17,-3.4775784682472555e-17,-2.9571614254542133e-17,3.821812658011403e-18,-2.631900773708562e-17,-3.347474207548995e-17,-2.5831116759467143e-17,-2.879912020664621e-17
0.18,-6.65564608634539e-17,-1.1045309632196076e-17,-1.1045309632196076e-17,9.997699283031958e-17,-1.1045309632196076e-17,-3.186199134391776e-17,-3.186199134391776e-17,-4.2270332199778604e-17,-2.665782091598734e-17,-2.665782091598734e-17,-4.323256162785949e-18,-2.9151485912704e-17,-3.598195959936268e-17,-2.87178050437098e-17,-3.072357906280798e-17
0.19,-6.404924333958117e-17,-1.7507154580209683e-16,-1.7507154580209683e-16,-8.538092108323347e-18,-7.792703114739563e-17,-2.2415879916137804e-17,-5.017145553176672e-17,-3.108949729602184e-17,-3.108949729602184e-17,-3.846207206892327e-17,-1.1655173354219173e-18,-2.6752688606079822e-17,-3.651050815844936e-17,-3.0926866970149014e-17,-3.130633773051894e-17
0.2,2.417770844642675e-17,1.352000109089424e-16,1.352000109089424e-16,2.417770844642675e-17,-3.133344278483108e-17,-2.439454888092385e-17,-7.047314121155779e-18,-2.7863995832877464e-17,-4.0007060164715114e-17,-3.3068166260807885e-17,2.0599841277224584e-18,-3.2851325826310784e-17,-3.69712940817557e-17,-3.0357660829594124e-17,-3.309527131512002e-17
0.21,1.6146480853740375e-16,-5.068645156369733e-18,-5.068645156369733e-18,-5.068645156369733e-18,-3.2824220771998647e-17,-3.2824220771998647e-17,-4.6702008579813103e-17,-4.323256162785949e-17,-4.323256162785949e-17,-3.585998685495806e-17,-2.9002408113987244e-18,-3.40168431617327e-17,-4.2473620107119636e-17,-3.347474207548995e-17,-3.309527131512002e-17
0.22,-3.661892837569791e-17,7.440337408681774e-17,7.440337408681774e-17,-9.213007960695574e-17,3.277001066337437e-17,-5.049671618351237e-17,-1.927169361592984e-17,-4.7027269231558755e-17,-4.0088375327651526e-17,-5.3966163135465983e-17,-5.3939058081153846e-18,-3.31494814237443e-17,-4.290730097611384e-17,-3.558893631183668e-17,-3.5453411040275995e-17
0.23,6.475397475169675e-17,6.475397475169675e-17,6.475397475169675e-17,9.250955036732567e-17,-1.8512752095189988e-17,-6.014611551863336e-17,-4.62683277108189e-17,-6.014611551863336e-17,-6.188083899461017e-17,-6.188083899461017e-17,-5.068645156369733e-18,-3.2065279251258794e-17,-4.756937031780151e-17,-3.7161029461940664e-17,-3.599551212651875e-17
