t,W_1_0,W_1_1,W_1_2,W_1_3,W_1_4,W_1_5,W_1_6,W_1_7,W_1_8,W_1_9,W_1_10,W_1_11,W_1_12,W_1_13,W_1_14
0.0,2.7891100887189614e-17,,3.000000000000001,1.401331307937516e-17,7.074419175467932e-18,3.604972223514317e-18,1.87024874753751e-18,1.0028870095491066e-18,5.6920614055490485e-19,3.523657060578039e-19,1.3552527156069554e-19,1.4997597826617446e-32,1.499759782661758e-32,1.4997597826617334e-32,1.4997597826617594e-32
0.01,0.00024229878449144842,,2.9991999126634616,0.0002531026487772531,4.8496829408391164e-06,4.801455754210498e-06,4.796167767221743e-06,4.795395971796301e-06,4.795301664052247e-06,4.795107491814423e-06,4.794941217180302e-06,4.7950345921318084e-06,4.795127074494004e-06,4.7951045004970515e-06,4.795949784841206e-06
0.02,0.0009687683585872103,,2.9968011433831663,0.0010115496767997651,1.9378278569866833e-05,1.9008791070997196e-05,1.8911891539847507e-05,1.8904667069550836e-05,1.89031803831076e-05,1.8899986967570988e-05,1.889722227675131e-05,1.889880143749704e-05,1.8900372171165128e-05,1.8900005529835963e-05,1.8913602799366043e-05
0.03,0.0021761496533712365,,2.9928082620458585,0.002270811178664372,4.384955741879878e-05,4.202140617524063e-05,4.147776715815764e-05,4.1456511257542965e-05,4.1448973940376346e-05,4.143332552274597e-05,4.141985766911586e-05,4.142737792519904e-05,4.143485380859058e-05,4.143302168825883e-05,4.150061176040926e-05
0.04,0.0038593491712887945,,2.9872288669758293,0.004023685356986165,7.842468255603827e-05,7.285098287033594e-05,7.106862838959472e-05,7.102088690362021e-05,7.099725731773514e-05,7.095057057444379e-05,7.091071583765553e-05,7.093206915686634e-05,7.095326494211287e-05,7.094759682762214e-05,7.115525092758525e-05
0.05,0.006011627400291554,,2.9800735732369565,0.006260505660744972,0.000123543920087388,0.00011010806491974246,0.00010573934765638243,0.00010563401035942477,0.0001055769187097453,0.00010547166544936803,0.00010538291716114511,0.0001054274396662011,0.00010547154547141793,0.00010545809014506435,0.00010594634746288295
0.06,0.008624175477820156,,2.9713559563207856,0.008968756612898726,0.00017967342154474853,0.00015205317879233025,0.00014302542290089146,0.00014281504753429824,0.00014269912344416102,0.00014250321656247134,0.00014234081039950344,0.0001424139126077689,0.0001424861277878023,0.00014245917913706808,0.0001434245774076369
0.07,0.011686351473941668,,2.961092516292052,0.012133345137308344,0.0002473693618504436,0.0001966043982105835,0.00018000627613943502,0.0001796083449271597,0.000179399277756797,0.00017908502836325158,0.00017883120985759805,0.00017892477044426065,0.00017901681882548013,0.00017896892454023706,0.0001806555284163133
0.08,0.015185746961578473,,2.9493026226926364,0.01573671368626789,0.0003272685399062628,0.00024136217482387766,0.00021336637431461412,0.0002126277684029996,0.00021228155244863885,0.00021183981757466632,0.00021149880192581824,0.0002115765831095874,0.00021165241714561167,0.00021157458720995212,0.00021425385228895062
0.09,0.019108233122797594,,2.936008419611918,0.01975894091087802,0.0004200599437352026,0.00028364338520446076,0.00023938504610183253,0.00023810325042603994,0.00023756717230769033,0.0002370284934714789,0.00023664783792402502,0.00023662505062859433,0.00023660106215475201,0.0002364831739410421,0.00024042073903906883
0.1,0.02343809514017093,,2.9212347539021377,0.024177935599503986,0.0005264934023978217,0.00032050795248952257,0.0002540481427003866,0.0002519385782026703,0.0002511520986970645,0.0002506143723973666,0.0002503134125364016,0.0002500298462667685,0.00024974923770669787,0.0002495806346448483,0.0002549891095598622
0.11,0.028158169439326176,,2.9050091341917827,0.028969639519485176,0.000647387665444796,0.0003487893294767161,0.00025309415323237496,0.0002497768446442736,0.0002486713379170256,0.0002483334441682106,0.00024833966991398386,0.00024752611512852924,0.000246727242281563,0.0002464974643721902,0.0002534747281165149
0.12,0.03324983873801135,,2.8873615997745943,0.03410809591146707,0.0007835602147290337,0.00036514943764825466,0.00023208656862826475,0.00022706331978738798,0.0002255594394054529,0.00022576384841132982,0.0002264572145686948,0.00022469419305655127,0.00022297232421029033,0.0002226719608815168,0.0002311244003951086
0.13,0.038693209046830115,,2.8683245949647915,0.03956570336881657,0.0009358444198383582,0.0003661038363901595,0.0001864758555360935,0.00017910116187043332,0.00017711888863828983,0.00017840054859430334,0.00018036622949862022,0.00017703489511137035,0.00017379774505790817,0.0001734193135868287,0.00018297055488423325
0.14,0.04446710794939637,,2.8479329889698524,0.04531328858561047,0.0011050019515165784,0.00034811008402132744,0.00011169682375275101,0.00010113947233766133,9.859263128403074e-05,0.00010173834427698903,0.00010583020052097242,0.00010005478875873816,9.447109480978743e-05,9.400995367216014e-05,0.00010389508602766616
0.15,0.05054936857998406,,2.8262239041993733,0.051320477106430146,0.0012917936689358913,0.0003075673676568941,1.662268342736747e-05,1.1983066054083063e-05,1.4842900956462853e-05,8.660681737848277e-06,1.2430976391934393e-06,1.0658295843357553e-05,1.971523076544723e-05,2.0260277239391366e-05,1.1312665811914557e-05
0.16,0.05691699269224647,,2.8032365120596987,0.057555945548505724,0.0017217401863181905,0.0005332032337545527,0.00017218261109979842,0.00016439086690647032,0.000167734378809733,0.000157065539915995,0.0001447159192171654,0.0001593637339881575,0.00017337727574647617,0.00017400364635764275,0.0001679004792226636
0.17,0.06354607372109954,,2.779011944450567,0.06398742673060764,0.00231243348712347,0.000821480296745306,0.0003731328023180797,0.00036088360159280194,0.0003646579556652766,0.0003475418267673355,0.00032814222161165157,0.0003500902709694905,0.00037096819429781227,0.0003716689449484791,0.0003710923657041622
0.18,0.07041206677389539,,2.7535931534373317,0.07058206891324764,0.003015240777615344,0.0011724052566825292,0.0006241721767383926,0.00060582534273949,0.0006099272805507762,0.0005838562149363184,0.000554684447706474,0.0005865625058576387,0.0006167088452931605,0.0006174739852742998,0.0006260276475363507
0.19,0.07748981865478763,,2.7270250845538815,0.07730653945877475,0.0038383938799261574,0.0015908554424181411,0.0009297920009650773,0.000903318377335981,0.0009075491578110083,0.0008693875491259889,0.000827014444466079,0.0008721159147618958,0.0009145038862409173,0.0009153206923074405,0.0009376810454525565
0.2,0.0847538446464491,,2.6993542703908067,0.08412740194766563,0.004789413517808037,0.002081223284953666,0.001294190964650857,0.0012571382763026124,0.0012611950089359363,0.0012070904110442582,0.001147269212739803,0.0012096516516561782,0.0012678996492634705,0.0012687546267463722,0.001310822118129082
0.21,0.09217854997388705,,2.6706285542325228,0.0910114293784455,0.005875078907543631,0.0026473101794556564,0.0017212061207981238,0.0016706811261012716,0.0016741616975661363,0.0015994525913879377,0.0015170055098479034,0.001601591691518639,0.0016800370654741006,0.0016809191439644698,0.0017499686088386982
0.22,0.09973792348333654,,2.640897287715618,0.09792534930227036,0.00710096762790304,0.003292412485607502,0.0022143216184097743,0.0021469270264498526,0.002149280132967823,0.0020484105179468743,0.00193710377686673,0.0020498004168680553,0.0021535799581178174,0.002154482567283699,0.0022593107190523884
0.23,0.10740596533392871,,2.6102110050173204,0.10483636421087447,0.00847157702176266,0.004019173022900231,0.0027765809966084336,0.002688387529245431,0.002688897158581798,0.0025553277983020313,0.002407728956501657,0.002555546724956077,0.002690675850207715,0.0026916059826370023,0.002842672160869703
0.24,0.11515701777135731,,2.5786213398360247,0.11171256265092921,0.009990378796227176,0.004829487394241954,0.003410540481018689,0.003297084632977288,0.0032948256501109194,0.003120954874883535,0.002928336164976703,0.00311950043534488,0.0032929345264640524,0.003293916351206267,0.003503462218838654
0.25,0.1229655691622093,,2.5461809427726667,0.11852278312002384,0.011659557122827367,0.005724528740600595,0.004118237720889205,0.003974502865134249,0.003968326463255878,0.003745410272053523,0.0034976043026992754,0.0037416811036780338,0.003961386690968866,0.003962465838901087,0.004244629437339413
0.26,0.13080639061329946,,2.5129432299997703,0.12523681434949221,0.013479989238218982,0.006704706755113838,0.004901154566494076,0.004721566746105248,0.004710098266306189,0.0044281729561828015,0.004113425301362834,0.004421451912208931,0.00469646880050764,0.0046977206576078005,0.005068630096103203
0.27,0.13865457353474,,2.478962778663755,0.13182546804347378,0.01545102720552065,0.007769738111980014,0.005760243986956515,0.005538643637243631,0.005520189971470222,0.005168022606753406,0.004772877367722261,0.0051574691091531965,0.00549796921576071,0.005499522167445763,0.00597736096635187
0.28,0.14648581246643694,,2.44429486092386,0.13826093587601745,0.017570688384594243,0.008918548096675243,0.006695871428533321,0.006425527019088978,0.0063980425578033665,0.005963080795068224,0.005472256325974375,0.005947725662130191,0.006365053589596761,0.006367088138611977,0.006972147654058205
0.29,0.1542766849628541,,2.408994917786054,0.14451712596184835,0.01983586803865807,0.010149218176923196,0.007707812108435057,0.007381478702572443,0.007342508559795522,0.00681083956228456,0.00620716531867099,0.006789619438299577,0.00729631876417492,0.007299081715648236,0.008053766302908482
0.3,0.16200427670351036,,2.3731189606845424,0.15056929483180848,0.022241931131041198,0.011459113361616386,0.008795237317607668,0.008405162642595,0.008351851859624391,0.007708173232547501,0.0069724107710794885,0.007679884094493939,0.00828972481521177,0.00829354924394219,0.009222371754088514
0.31,0.16964642346578987,,2.3367231841756158,0.15639433059412533,0.02478290130050596,0.012844843286843856,0.009956695425852858,0.009494660283410342,0.009423793771338366,0.008651389160624762,0.007762062697640995,0.008614638909388643,0.009342658228223475,0.009347968042700164,0.010477503321451353
0.32,0.1771820176263492,,2.2998641630791097,0.16197107588802542,0.02745157860483679,0.01430234743500796,0.01119023012556412,0.01064759902607345,0.010555428592706605,0.009636195967236633,0.008569610003555831,0.009589479814079902,0.010451945471674674,0.010459281418605733,0.011818081924846171
0.33,0.1845909075547093,,2.262598699762197,0.16728025523032064,0.030239559246220175,0.015826885569963284,0.012493318537415934,0.011861104349405257,0.011743317263673331,0.010657791659794155,0.009387946668130408,0.010599476708004379,0.01161387974169807,0.011623917049872914,0.01324239627001409
0.34,0.19185387584291352,,2.224983442522883,0.17230445146933443,0.03313730438685186,0.017413090419211488,0.01386289805228059,0.01313184732628483,0.012983531452320049,0.011710910665379055,0.010209449068668585,0.011639205171747826,0.012824248823840402,0.01283782090200047,0.014748112935495142
0.35000000000000003,0.198952652203295,,2.1870752890126623,0.1770281094014065,0.036134060306042534,0.019055061799029414,0.015295380775489573,0.014456016484680333,0.01427169700287908,0.012789912519416871,0.011025968544774577,0.012702897566404959,0.014078408907616347,0.014096511472860512,0.01633226893301074
0.36,0.20587008629314119,,2.1489311252590064,0.18143772035568378,0.039218115188517186,0.020746369646350182,0.016786675930980714,0.015829376625293424,0.01560305316454798,0.013888848753857711,0.01182895274317023,0.013784390426936147,0.015371330607282331,0.015395131352189674,0.01799129406447269
0.37,0.21259029023434922,,2.110607450808844,0.18552191476349994,0.04237696090854605,0.022480243720206773,0.018332417931701973,0.01724751567563854,0.016972367692654325,0.015001415377970312,0.012609724059701042,0.014877346764970186,0.016697656971081103,0.01672854118455895,0.019721085627090823
0.38,0.219098487723626,,2.0721605779406507,0.18927133044820094,0.04559735418192694,0.024249496071508777,0.0199277934507237,0.018705673391263212,0.018374143755727972,0.01612115407359928,0.013359340851761704,0.01597516834985159,0.018051737587442093,0.018091318712775268,0.021516961770523268
0.39,0.22538101444078018,,2.0336463379009677,0.19267858708764957,0.04886548189508771,0.026046581583609042,0.02156758840102913,0.020198816380424436,0.019802672785071886,0.01724150143139814,0.01406870950611894,0.017071118933068886,0.01942763437585838,0.019477762795057006,0.023373651896811527
0.4,0.2314254730005848,,1.9951202263953731,0.19573835204490547,0.05216696824568455,0.027863831113228054,0.0232463949636635,0.021721773785377443,0.021252011316989585,0.018355849353107873,0.014728797741748173,0.018158498405874593,0.02081934809445889,0.02088212935092355,0.025285467127909123
0.41000000000000003,0.2372207522775447,,1.9566373980165621,0.19844736860403,0.0554871445565054,0.0296933936300674,0.024958547245929517,0.02326921268117647,0.022716112970391066,0.019457668896025668,0.015330656102253122,0.019230702991477847,0.022220826019261376,0.022298623357029878,0.027246272554338338
0.42,0.24275682388730513,,1.9182524265175145,0.20080418250825954,0.05881107057780868,0.03152739043269868,0.026698242014220143,0.024835781976970377,0.024189984772244648,0.020540467866594175,0.01586554114848025,0.02028114371645731,0.023625884354188255,0.02372134598806748,0.029249447336146983
0.43,0.2480249268725159,,1.880019272646447,0.20280927911783353,0.06212375892237012,0.033357945079496444,0.028459557814779497,0.02641609977679901,0.025669300534189882,0.021597974364960037,0.016325008480539614,0.021303478796008645,0.02502842078329386,0.02514448195192711,0.03128802021005746
0.44,0.2530175975105044,,1.8419912731706654,0.20446507227080507,0.06541036945723189,0.035177224501788784,0.030236494154142823,0.028004799932582394,0.027146255479859535,0.022624216744078014,0.01670101148152746,0.022291685314719492,0.026422468713006533,0.026562348808242087,0.033354702946239385
