t,C_1_0,C_1_1,C_1_2,C_1_3,C_1_4,C_1_5,C_1_6,C_1_7,C_1_8,C_1_9,C_1_10,C_1_11,C_1_12,C_1_13,C_1_14
0.0,0.0,0.0,0.9999999843497811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.009276005527702564,0.0,0.9998832518106777,0.009302382733228157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.017551611303766285,0.0,0.9994578644854045,0.01892625280686141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,0.023767360617627617,0.0,0.9986007724091639,0.028469399155917192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.02688260995423369,0.0,0.9973504706482766,0.03695858042534017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.02570945226456982,0.0,0.9960163403520871,0.04465229437492577,0.0003493425134661658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.020020850281068404,0.0,0.9950777360587053,0.05155398372461316,0.0007872169725354529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07,0.01142911665647619,0.0,0.9948998609458891,0.05674543601560499,0.0014724688519534412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.0014009401806331652,0.0,0.9954648463434068,0.06019048301060074,0.001275909375761624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09,0.008281686434531227,0.0,0.9963905771120429,0.06246063099889354,0.002117963756279098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.01685615842642232,0.0,0.9971521575296887,0.0625882465249911,0.0021205990807197897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11,0.0226672106175156,0.0,0.9975813452420508,0.06078201739649799,0.0020428408507891824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0.025409702350935363,0.0,0.9978100068949664,0.05804367234553411,0.0024295480972788054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13,0.024869689338895554,0.0,0.9980750446492745,0.05392319095405343,0.0022228972049986914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,0.020853780126507536,0.0,0.9984453262479859,0.04838374480642867,0.002153550202974132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.013046621036692999,0.0,0.9987240153555969,0.04213851797117603,0.0018267492181646189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16,0.0033870122535377997,0.0,0.9986137234118493,0.03494971404639746,0.0021844174304630325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
