t,mx_0,mx_1,mx_2,mx_3,mx_4,mx_5,mx_6,mx_7,mx_8,mx_9,mx_10,mx_11,mx_12,mx_13,mx_14
0.0,-1.0000000000000002,7.498798913308838e-33,7.498798913309387e-33,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002
0.01,-0.9999041898762608,0.004600590069209176,-0.0047948188754463545,-0.9999003302698238,-0.999998503522061,-0.999998072013353,-0.9999979990139861,-0.9999980041602098,-0.9999982169456695,-0.9997994656313723,0.9996010555191273,-0.9998005525156453,-0.9999994916826328,-0.9999997549707702,-0.9999999955705916
0.02,-0.9996681924692339,0.017433489323301014,-0.01814763799304663,-0.9996149160191898,-0.9999986003636184,-0.9999995262724581,-0.9999999061688944,-0.99999985017674,-0.9999989337184155,-0.9992033050041755,0.9984171263395176,-0.9992123011216064,-0.9999983456487003,-0.9999992180098923,-0.9999999823977386
0.03,-0.999420231508611,0.03562959478272644,-0.037028444456494634,-0.9991785206976151,-0.9999988897556944,-0.999998761620869,-0.9999981740565261,-0.9999982804418044,-0.9999988088922825,-0.9982211879886334,0.9964863826454522,-0.9982647757196618,-0.9999973428585267,-0.9999988201576258,-0.999999960738532
0.04,-0.999298203654845,0.05510516629249369,-0.05716657666731834,-0.9986389165549904,-0.9999981004119234,-0.9999989568030714,-0.9999996682693253,-0.9999994844452811,-0.9999976275819783,-0.9968662813232795,0.9938706437983076,-0.997004977634475,-0.9999969162960665,-0.9999988683096239,-0.9999999308529265
0.05,-0.9993729736408826,0.07145500601202263,-0.07402946301055069,-0.9980518821224609,-0.9999980087724336,-0.9999990101277144,-0.9999984455929082,-0.9999986823652087,-0.9999956012937329,-0.9951619868142176,0.990652765880337,-0.9954946899716107,-0.9999966988946057,-0.9999992919335703,-0.9999998929890601
0.06,-0.9996045114009524,0.08092417880994777,-0.08384700740601268,-0.997472739513888,-0.9999971140777307,-0.9999989731863733,-0.9999993938924889,-0.9999990932556829,-0.9999929689722226,-0.9931357482054017,0.9869331367104256,-0.9938074499234042,-0.9999958094395991,-0.9999997060629566,-0.999999847561057
0.07,-0.9998612148274624,0.0812696152847692,-0.0844577495021614,-0.9969514578551847,-0.9999955199794267,-0.9999989450416537,-0.9999986944252802,-0.9999990073584804,-0.9999877948832474,-0.9908170015619869,0.9828254437129778,-0.9920252210901971,-0.9999936494455971,-0.9999997361579004,-0.9999997954360282
0.08,-0.9999959387619691,0.07231778723467958,-0.0757897080307573,-0.9965348820715294,-0.9999935059756222,-0.9999988801776835,-0.9999991957035076,-0.9999988377654558,-0.9999791805575828,-0.9882434104499861,0.9784519584529249,-0.9902345878374839,-0.9999905171022249,-0.9999993279851598,-0.9999997380192407
0.09,-0.9999331321367974,0.056059762697585926,-0.05986824379643305,-0.9962640836559901,-0.9999929677033536,-0.9999991789822027,-0.9999988270051677,-0.9999991257259921,-0.9999696912474609,-0.9854554841553885,0.9739385842476962,-0.9885224281231546,-0.9999875002580406,-0.9999987832069845,-0.9999996770790476
