t,mz_0,mz_1,mz_2,mz_3,mz_4,mz_5,mz_6,mz_7,mz_8,mz_9,mz_10,mz_11,mz_12,mz_13,mz_14
0.0,1.109138822452671e-16,5.5402731014009277e-17,5.5402731014009277e-17,2.7647155398380363e-17,1.3769367590565906e-17,6.830473686658678e-18,3.3610267347050637e-18,1.6263032587282567e-18,7.589415207398531e-19,3.2526065174565133e-19,1.0842021724855044e-19,0.0,0.0,0.0,0.0
0.01,2.1927988938519327e-16,-5.827586677109586e-17,-1.6929816923361152e-16,-1.415425936179826e-16,6.662422349923425e-17,-6.521476067500309e-17,1.111307226797642e-17,4.580754178751256e-17,1.6750923564901044e-17,-5.3505377212159644e-17,2.148346604780027e-16,-6.78168458889683e-17,-8.370040771588094e-17,-9.050377634822748e-17,-8.836247705756861e-17
0.02,9.218428971558001e-17,-1.576158908250802e-16,-2.6863819328759586e-16,-7.434916397819347e-17,-8.822695178600792e-17,-1.1899118843028411e-17,-8.649222831003112e-17,-9.690056916589196e-17,-5.353248226647178e-17,1.2471035489014515e-16,1.865098787218189e-16,8.795590124288655e-17,9.760530057800754e-17,1.4119022791192481e-16,1.9434323941802667e-17
0.03,1.1914026622900087e-16,-1.0290433869603044e-16,-2.139266411585461e-16,-1.3065991431165935e-16,-8.902655088821598e-17,6.362911499774304e-17,1.1393609580107045e-16,1.009256697312444e-16,3.153673069217211e-17,-1.5429552167184335e-16,1.1241821275959074e-16,-6.148781570708417e-17,-1.0274170837015761e-16,-9.234692004145284e-17,9.247566904943549e-17
0.04,-2.4873969529069784e-16,2.508606657906226e-16,-1.9322854405944e-16,-2.669509036566653e-17,-2.3225643413712915e-17,-1.6200352149185748e-16,-1.88891735369498e-16,-5.835379380224326e-17,-5.857063423674036e-17,1.6781077937823297e-16,2.2744528699672473e-17,1.6567964448294115e-18,6.191133218071132e-17,-2.784705517393238e-17,-6.142344120309284e-17
0.05,1.237159382100686e-16,9.596036259443969e-17,1.4453261992179028e-16,2.6571423555367402e-17,6.473534002685716e-17,1.3932844949385986e-16,4.6520743529100683e-17,8.294993652461363e-17,8.60941228248216e-17,-1.0234021475315908e-16,-9.965681437625745e-17,6.679532415457962e-17,2.0486338862292508e-17,1.2124937826766408e-16,-6.318526973338179e-17
0.06,-7.06776996683197e-17,-2.92722304593351e-16,4.922400682861542e-16,1.0973354183326824e-16,1.227439679030943e-16,-7.653239139974143e-17,-4.2271602749199486e-17,-1.1480472808847973e-16,-1.0770320385869968e-16,8.287243300993986e-17,-1.8443761261636125e-16,-6.844492081935737e-17,-8.061509020550715e-17,-1.692308301143048e-16,7.596127943505521e-17
0.07,1.5625375596677689e-16,-6.579084895825442e-17,3.8292559600354e-17,-1.7854787489674688e-16,-1.4399665982441513e-17,1.2687187709241972e-16,1.3084859090066025e-17,7.277018868539304e-17,1.276375948767376e-16,-3.4758949902645876e-17,-2.7144706041980953e-16,7.342240405477886e-17,1.134548752079116e-16,8.297502987567604e-17,6.14321232908022e-17
0.08,1.3721764338930215e-16,-1.40338112766987e-16,-1.8544092314238397e-16,-2.2360483961387373e-16,1.8752462419262955e-16,3.573632004465893e-17,3.053214961672851e-17,2.803848462001185e-17,-1.4922857058136813e-16,-4.3139388003661516e-17,-2.4162970073144524e-16,9.918755812347857e-18,-1.1968406138113813e-16,5.203662208162069e-17,-1.035370723076294e-16
0.09,1.0143050136780796e-16,-3.1490313286662575e-16,1.0143050136780796e-16,-5.122516451815107e-17,8.408326660803989e-17,-6.122354142754083e-18,-7.117448449188435e-17,-2.6071674116487364e-17,1.6648263171693822e-16,5.784557403389068e-17,-2.2583592439694156e-16,-6.109140428776916e-17,9.290596178664068e-17,-1.5023992792038976e-16,-2.2459925629395028e-17
