t,Cxx_1_0,Cxx_1_1,Cxx_1_2,Cxx_1_3,Cxx_1_4,Cxx_1_5,Cxx_1_6,Cxx_1_7,Cxx_1_8,Cxx_1_9,Cxx_1_10,Cxx_1_11,Cxx_1_12,Cxx_1_13,Cxx_1_14
0.0,2.353743514295591e-46,1.0,-1.0000000000000002,2.1621597398761826e-46,4.515903254171774e-47,1.984260520772446e-46,2.901125726922473e-46,3.557984382074731e-46,3.2021859438672578e-46,3.311662386392634e-46,-1.3684555315672042e-48,3.1885013885515857e-46,2.5453272887149998e-46,2.2168979611388708e-46,2.299005293032903e-46
0.01,-1.3629088516063106e-05,0.9999994148466778,-0.9996320480624258,-2.479546452646567e-05,-6.2084543299152205e-06,-3.4434495278108093e-06,-2.28876140394177e-06,-1.6546395320245818e-06,-1.2424493817797663e-06,-5.363725374258037e-07,3.947715312199035e-10,-2.9491534647642544e-07,-5.547701807671933e-07,-4.7456787293095274e-07,-2.1539787381193772e-07
0.02,-0.00018338252838847723,0.9999914434507365,-0.9988105551467817,-0.0002867967392030462,-4.6121118777808865e-05,-2.220300925888201e-05,-1.395659031592231e-05,-1.0249735692987802e-05,-8.564946886000131e-06,-4.065572488307339e-06,1.904686922765686e-08,-2.547056805313804e-06,-4.715882872066875e-06,-4.1744666355995365e-06,-2.0092096749200865e-06
0.03,-0.0007025072080143763,0.9999606435022741,-0.9978623647241356,-0.0008838623080861235,-3.893614121106698e-05,-8.724797376495445e-06,-3.369474377006021e-06,-2.9380009486683e-06,-5.25987813322637e-06,-3.7026903137241107e-06,1.05086241432642e-07,-3.5519051358873233e-06,-6.310466464987119e-06,-6.242923651992617e-06,-3.4939386273444978e-06
0.04,-0.0015421622179075875,0.9998831272949299,-0.9965757278379265,-0.0015943969971067163,3.741137229368481e-05,1.9259181046234197e-05,1.1061859891777284e-05,8.429252851127958e-06,7.536381160034786e-06,3.1877762158259715e-06,3.267880693807318e-07,1.102953489033609e-06,2.325894655876362e-06,9.53730141702025e-07,-3.07065393312031e-07
0.05,-0.002496928966937293,0.9997208505568456,-0.9945910537316608,-0.002428988084931267,-1.481568883858475e-05,-2.874766605792667e-05,-2.2074560840166374e-05,-1.5378224653861405e-05,-6.816569602701578e-06,-1.6557497705231572e-06,8.561532274346806e-07,2.5665703921873284e-06,4.050173357358217e-06,4.505451776382063e-06,2.926701091247874e-06
0.06,-0.00348048188039499,0.9994233345677281,-0.9919536772262053,-0.003575864505086856,-0.00010465564593070686,-3.232192330355349e-05,-1.3373688449475063e-05,-1.1433582417782334e-05,-1.6453515971053684e-05,-1.2033790330608085e-05,1.8016204344391273e-06,-4.968787333220481e-06,-1.011988657298804e-05,-6.8158382679969765e-06,-1.8654525328690164e-06
0.07,-0.004628368037907192,0.9989406855007349,-0.988867281067012,-0.0049415158488177804,-3.6239687075528826e-07,3.5461048552641594e-05,2.389373484071311e-05,1.7540232062365768e-05,8.21147117209542e-06,-3.136301730870261e-06,3.260790543385683e-06,-5.98015737807156e-06,-1.0281896170555305e-05,-1.1150304652908505e-05,-7.137825554087707e-06
0.08,-0.006076593668577192,0.9982276119024964,-0.9852753947509693,-0.00642713305526782,4.3956061977386274e-05,-1.947440411857737e-05,-2.5135027173189828e-05,-1.5765585019270056e-05,2.4424050649105022e-06,1.2885821543406895e-06,5.4918716300284e-06,4.173260888709618e-06,8.099574166482715e-06,2.9345143007647456e-06,-1.3150806485451305e-06
0.09,-0.007759509926831519,0.9972277316172674,-0.9810166825339628,-0.008147079865249547,-0.00011362440162670379,-6.21584959498156e-05,-2.8625162913263613e-05,-2.3716890233484167e-05,-2.3125320059970422e-05,-1.946286194765695e-05,8.85390819337084e-06,3.708000339296136e-06,4.071403324132361e-06,6.386280406195377e-06,5.617423202528005e-06
0.1,-0.009501939980824076,0.9958639439182259,-0.9760470035772308,-0.010087331076021402,-0.00011025080686651034,3.616380671006558e-05,3.3521357301086185e-05,2.2919126732662276e-05,-1.5731039168520589e-06,-2.429522158083064e-05,1.340810052852942e-05,-8.920030073758523e-06,-1.8394377320887778e-05,-1.0276801294756277e-05,-1.3894696207078505e-06
0.11,-0.011240564375360904,0.9940578457662695,-0.9702996103253646,-0.012182303352606227,2.184605016777863e-05,3.270567569130245e-06,-2.199292081715709e-05,-1.0594568113711511e-05,1.0086889100910379e-05,-9.598186831771827e-06,1.9232844596747678e-05,-6.493723059386447e-06,-9.65887874808391e-06,-1.3175003574616984e-05,-1.0627785563099845e-05
0.12,-0.013063600397856243,0.9917577938790227,-0.9636810561078271,-0.014530200695199294,-7.49506175519582e-05,-8.723481031076841e-05,-4.722614069402331e-05,-3.7253661220371104e-05,-1.955900968879376e-05,-2.738250130825126e-05,2.6918937908820828e-05,7.624694656260811e-06,1.4605780651502642e-05,4.129307155126272e-06,-3.0311813990074876e-06
