t,W_1_0,W_1_1,W_1_2,W_1_3,W_1_4,W_1_5,W_1_6,W_1_7,W_1_8,W_1_9,W_1_10,W_1_11,W_1_12,W_1_13,W_1_14
0.0,2.7891100887189614e-17,,3.000000000000001,1.401331307937516e-17,7.074419175467932e-18,3.604972223514317e-18,1.87024874753751e-18,1.0028870095491066e-18,5.6920614055490485e-19,3.523657060578039e-19,1.3552527156069554e-19,1.4997597826617446e-32,1.499759782661758e-32,1.4997597826617334e-32,1.4997597826617594e-32
0.01,0.004923571777932851,,2.9902808594794297,0.0036187222832068607,0.0009577636656006236,0.0008686522976366282,0.0008680240912156827,0.0008679199163944505,0.00086790216929821,0.0008675580850743312,0.0008672034113900831,0.0008675269626882646,0.0008678366140634267,0.0008678297266817676,0.0008676938424614386
0.02,0.012141816902705573,,2.9612771785208922,0.014365619227576308,0.003801112289004832,0.0034553400998897886,0.003452595744149755,0.003452251879362743,0.0034520894313500665,0.0034488453073387437,0.0034456243531205237,0.0034486232267691374,0.0034516125194208563,0.0034515026538444768,0.003451271361525991
0.03,0.021400218087441893,,2.9133843396475405,0.03192466957326019,0.008454644691288423,0.0077218473821670085,0.007714016885083137,0.007713444172611697,0.007712907514630853,0.007698574899850505,0.007684388477985203,0.0076979881903368515,0.007711700104395066,0.007711493519792581,0.007711622845140616
0.04,0.037773642239431054,,2.8471482948615003,0.05579856516882735,0.014822882829537497,0.013641457519098793,0.013623405392119389,0.01362283771309753,0.013621889632713876,0.01357870777266874,0.013535650634095297,0.013577953758096641,0.013620656892716096,0.01362076846622968,0.01362143046417839
0.05,0.05850753008427153,,2.7632899021581805,0.08529709503786281,0.02277373902995118,0.02117837100237354,0.02114188376534829,0.021141611327326563,0.02114071449788862,0.021037359268779223,0.020933453689735433,0.021036947326280184,0.02114119763398248,0.021141901870951628,0.021142524113280565
0.06,0.08334286572911584,,2.662777163476082,0.11953263294800531,0.03211974571952051,0.03025444570728516,0.030187467287015646,0.030187784382292717,0.030187764916382257,0.02997585271530468,0.02976166627282085,0.029975777784402257,0.030190809464444177,0.030191402112103912,0.030191301401747257
0.07,0.11194242355778157,,2.5468003422274905,0.15748157932541065,0.04265233221819846,0.04077079404871309,0.04065830556004368,0.04065899209564965,0.04066031019099099,0.04027170291153382,0.03987829632560658,0.040270869251975365,0.04066389662556079,0.040663427456517624,0.04066288904218661
0.08,0.14392214653059743,,2.416677605637938,0.19805426272425883,0.054179041086295954,0.05264165148420045,0.05246777375051715,0.05246828490212606,0.05247017211022283,0.051814924637921034,0.051152550860315435,0.0518121664580294,0.05247043707442631,0.05246974567763493,0.052470009733793184
0.09,0.1788557907897646,,2.2738248980919282,0.24010040255731885,0.0665049853699541,0.0657747456890687,0.06552693933635464,0.06552599339606889,0.06552622108462393,0.06449136722968225,0.06344839493532349,0.06448772049734351,0.06552141444367351,0.06552328869770414,0.0655251288230291
