t,C_1_0,C_1_1,C_1_2,C_1_3,C_1_4,C_1_5,C_1_6,C_1_7,C_1_8,C_1_9,C_1_10,C_1_11,C_1_12,C_1_13
0.0,0.0,0.0,0.9999999843497811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.003723371463938916,0.0,0.9986777795315367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.02467586018159596,0.0,0.9969236108164715,0.02049598379030424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.058860172305829815,0.0,0.9959614590830104,0.05472040541027517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.06388122594499607,0.0,0.990434018366669,0.05582045899187147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.08607519372504062,0.0,0.9868867921305798,0.0841627719163706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0.11874641657624341,0.0,0.983981837269528,0.1094497076479219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,0.1242685528697293,0.0,0.9747701740108767,0.11441847206992345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16,0.14759572699117698,0.0,0.9699104715058563,0.1467363003193536,0.00284971913466902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18,0.17800376612057278,0.0,0.9640508270757975,0.16304962688356642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.18475397400935598,0.0,0.9518551497961306,0.17220088869662106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22,0.20911222283780143,0.0,0.9460124602467597,0.20668799328203646,0.017553832820820188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,0.23734200607345537,0.0,0.9364330193232245,0.21514671344812644,0.008224919428062576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.26,0.24511898912608998,0.0,0.9219319968826416,0.2280296693263092,0.012696673725476977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28,0.270233711168029,0.0,0.9151466998449999,0.26143166791061234,0.03093707225097862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.296006898795728,0.0,0.9014179232912083,0.26476278506903694,0.02163559936342425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.32,0.30488278167884775,0.0,0.8853479876549079,0.2805431737284212,0.03222056714139709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34,0.3304662274348289,0.0,0.8774068890133204,0.30940431292081466,0.04456124263020349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36,0.3537074331263347,0.0,0.8595948475672854,0.3108750072217216,0.03914115160857078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38,0.3634321401570982,0.0,0.8426455750023241,0.328330437545544,0.05409454059611685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.38905017183709606,0.0,0.8330396169653258,0.3508570245295246,0.06051628481872171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.42,0.4095856835248643,0.0,0.811759367545158,0.3522881781582965,0.05995364422872331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.44,0.41989800529081084,0.0,0.7945901260884362,0.36999742942393893,0.07682862382427322,0.0034909548117787862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.46,0.4450793098609679,0.0,0.7827736313246793,0.38612400613263587,0.07909076683930147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.48,0.462802835659991,0.0,0.7590225339971399,0.38779967313810393,0.08303924292368886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.47330596390099333,0.0,0.742223083661798,0.4043714751286391,0.09916579559069491,0.007450655498696635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.52,0.49751904876922315,0.0,0.7278399355919305,0.4147324733267161,0.09975669134411659,0.0007648734014814446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.54,0.5122974471691593,0.0,0.7027823227808555,0.41634174424761017,0.10717675054749518,0.00822723051229201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.56,0.5225414467881973,0.0,0.6868476895176369,0.43057944134909465,0.12069228653825638,0.011762502070593102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.58,0.5452271643123414,0.0,0.6698744598472323,0.43600714923764394,0.12162695599198356,0.008365493538040234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.5569589096019483,0.0,0.6446737503673445,0.4370372932048136,0.13107344780446165,0.017490557936973485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.62,0.5664850092025212,0.0,0.6300192182362879,0.4481729939607928,0.14151930617002453,0.017543098114758827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.64,0.58712255419388,0.0,0.6108184241417485,0.44942062919942344,0.1436398304780965,0.01769383555499569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.66,0.5957126391693741,0.0,0.586560826484193,0.4494001549203719,0.15358216878262698,0.02641228224254348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.68,0.6040544836306876,0.0,0.5734569924895069,0.4570124671481821,0.16141405952035398,0.024998436977431072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7000000000000001,0.6221506433673935,0.0,0.5527038126352141,0.4546420333582563,0.16463788909841764,0.02805553165179751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.72,0.6275185531003843,0.0,0.5303444817978438,0.4532662592248014,0.1738232795440341,0.03503328799360969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.74,0.6342931031256189,0.0,0.5189732229380378,0.4572839485916215,0.17983206763180043,0.033864528312858966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.76,0.6494782309962326,0.0,0.49760243114516023,0.4517302474833233,0.18354087641324984,0.03877994850198517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.78,0.6515757895318393,0.0,0.47791655325324706,0.4489303273018755,0.19124326985108175,0.04373994437234296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.6564686249788959,0.0,0.4683272208275966,0.4494121272068014,0.1960170014032436,0.043622156601827465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8200000000000001,0.6684578907769317,0.0,0.4473562540869596,0.44106927915686545,0.19944028404933023,0.049329773416116614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.84,0.6672595182168295,0.0,0.43088236395457946,0.43699145097444597,0.20547319195608274,0.05263698582267128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.86,0.6700882197873324,0.0,0.4230434469701907,0.43408272029799705,0.20924548792123562,0.05367797747195946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.88,0.6787426690924009,0.0,0.4034447051189464,0.423445599960345,0.211708995737477,0.059376483255473685,0.0026632012858137694,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.6743161850708473,0.0,0.3904288013216646,0.4183924568526333,0.21622084380021958,0.061548533865253864,0.00298237458818019,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.92,0.6750228993817148,0.0,0.38421728914286807,0.4122527006753817,0.21890404725486556,0.06350070692595126,0.0033410676241626435,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9400000000000001,0.6803111436852546,0.0,0.3667261205318586,0.3999369217767715,0.22001473351392709,0.06871227184332405,0.006316401618900992,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.96,0.6727878471885221,0.0,0.3570756423101076,0.3942657701522347,0.2232880563538382,0.07009059534119368,0.0065341998893157106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.98,0.6714589611225641,0.0,0.3522796102564532,0.3851019068111427,0.22461581704247668,0.07267301365882013,0.007255778541411805,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.6734768937036,0.0,0.33730391990197833,0.37186886174564016,0.2242935644163616,0.07710849679566123,0.01005495365809724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02,0.6631388573419613,0.0,0.33060604932618876,0.3659047293201311,0.22657352079595822,0.07789902453319388,0.01001578499729624,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.04,0.6599985990362109,0.0,0.32694275149420027,0.35403752523845966,0.22626338540414825,0.08091525160883142,0.011077885593960522,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.06,0.6589544975528231,0.0,0.31455054243590597,0.34070624610407224,0.2247078641839107,0.0843193083874959,0.01361443907126612,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.08,0.6461781493053755,0.0,0.3101403271655287,0.3346703290159726,0.22617196731658537,0.08471151995439832,0.01324145858836102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1,0.641581412779178,0.0,0.307291758797382,0.32057397006139954,0.22402394960062538,0.08798955944604174,0.014734881639038784,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.12,0.6377897603104297,0.0,0.2972682111485032,0.3079511509414503,0.22162392889170912,0.0901217827008544,0.01671228972461443,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1400000000000001,0.6231033606818597,0.0,0.29437458357074675,0.30191630006064907,0.2223259686493063,0.09040216100070754,0.0161651830144394,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.16,0.6175137128475743,0.0,0.2920704032369895,0.28627712487436574,0.21832934792688988,0.09370374886953242,0.01802982542637952,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.18,0.6113893261940381,0.0,0.284084546005626,0.2750610460827897,0.21556987062871966,0.09445830837398735,0.01920375137954723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2,0.5954119309353797,0.0,0.2819905064279845,0.26898594897020106,0.2154996061806825,0.09496099478170975,0.01879175253735842,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.22,0.5893879207046976,0.0,0.28007546502369923,0.25264484204061083,0.2098484773749255,0.09790506912495751,0.020768981437194155,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.24,0.5814212943026034,0.0,0.27375663099318237,0.2433650860649257,0.20723556606895327,0.09745668413770181,0.021135694385028898,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.26,0.5648703183681245,0.0,0.2719126686522704,0.23711715139166187,0.20627219687869655,0.09843143645978382,0.021083567596726006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.28,0.5590093858962434,0.0,0.2703705819380199,0.22102118795643977,0.199399607038891,0.10058315930948378,0.02284139824246259,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3,0.5497517389741109,0.0,0.26544746392647034,0.21399432983700542,0.19737195142718486,0.0993903805480761,0.022642332527479807,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.32,0.5333874705743463,0.0,0.2635553161380368,0.20748268831251065,0.19540432653094694,0.1009236211892868,0.023006950320507796,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.34,0.528310152957636,0.0,0.2625227749403165,0.1925404767735855,0.18790246796387763,0.10194700555864075,0.024311351242663582,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.36,0.518328891516093,0.0,0.25879999815460547,0.1878702652607357,0.18678966337197955,0.10063373985110216,0.023865894236092554,0.0,0.0,0.0,0.0,0.0,0.0,0.0
