t,Cxx_1_0,Cxx_1_1,Cxx_1_2,Cxx_1_3,Cxx_1_4,Cxx_1_5,Cxx_1_6,Cxx_1_7,Cxx_1_8,Cxx_1_9,Cxx_1_10,Cxx_1_11,Cxx_1_12,Cxx_1_13
0.0,3.2158704991829298e-46,1.0,-1.0000000000000002,4.036943818123252e-46,4.844332581747903e-46,4.1190511500172846e-46,2.6958573971873922e-46,1.984260520772446e-46,2.0526832973508063e-46,1.313717310304516e-46,1.2726636443574999e-46,-1.3684555315672042e-48,5.336976573112096e-47,2.7369110631344083e-47
0.02,-0.00013592478435753026,0.9999999099856183,-0.9986628973854221,-0.00014854664685204068,-5.684570482265318e-06,-3.619160483947536e-06,-2.6515226976958346e-06,-2.0783227121314615e-06,-1.6967975695312849e-06,-1.4224415540148696e-06,-6.541167233109729e-07,1.2992840429850577e-10,-4.338961373130516e-07,-4.353971280573999e-07
0.04,-0.0013875856624997115,0.9999998753671391,-0.9962794202878805,-0.0014459935347313766,-2.5262702177084018e-05,-1.4898794558742916e-05,-1.0572387450409843e-05,-8.209079948557285e-06,-6.790866231303871e-06,-5.933148348177884e-06,-2.8367033853422515e-06,8.195755852246581e-09,-2.111765351049254e-06,-2.131543370595152e-06
0.06,-0.0036636870744362216,0.9999999416693934,-0.9926655416112304,-0.0036261246553585887,7.65802093483095e-06,7.82455414336322e-06,6.178304841162208e-06,5.002348617976166e-06,4.0573922239327135e-06,3.15310754938738e-06,1.17343464858764e-06,3.0674305435664457e-08,4.81562751952823e-07,3.6981559380227526e-07
0.08,-0.006228645860643426,0.9999995191940869,-0.9864334832398102,-0.006153064552157273,-1.3419814595955334e-05,-4.705067816791492e-06,-4.135182965255739e-06,-3.1569974927234384e-06,-1.9533985984212642e-06,-4.0418977095889406e-07,-3.0083317041856936e-07,2.199908169155801e-07,1.9852129067820775e-06,1.6812235486908566e-06
0.1,-0.009983619015467968,0.9999993712644899,-0.9793275926895267,-0.00996252729910037,-7.184346951513688e-05,-2.7802037179983e-05,-1.95023931807472e-05,-1.551000014375181e-05,-1.3607883441332466e-05,-1.2952114924626992e-05,-7.696578873077689e-06,6.146452178519297e-07,-4.653694043261309e-06,-5.345589730681522e-06
0.12,-0.0146628888107334,0.9999993937747366,-0.9708251613526776,-0.014324028762415085,-1.8236269151968867e-05,2.146610544524611e-05,1.6231443058795396e-05,1.2928699443774216e-05,1.0585288113806705e-05,8.400576122126989e-06,8.119633141234327e-07,1.160638048517174e-06,1.6453993407442719e-06,1.929339006976477e-07
0.14,-0.01966856384883663,0.9999984866215611,-0.9598538456846649,-0.019151775211993922,-0.0001240096586979701,-2.5589895716923716e-05,-2.0454163277793458e-05,-1.5990758583022367e-05,-1.1739517292848507e-05,-6.920417636958973e-06,-7.15064692526665e-06,2.367350608539244e-06,5.112976999368168e-06,2.5337752415943195e-06
0.16,-0.02591441767787793,0.999998542636419,-0.948165255294986,-0.025218561566669906,-0.00021397289770586363,-2.537952593254238e-05,-1.4993644240290926e-05,-1.1847984872359607e-05,-1.194450763961053e-05,-1.4239756415036385e-05,-1.608444680259815e-05,4.101789225720211e-06,-3.421338195945837e-06,-7.66927853883899e-06
0.18,-0.03297576988030364,0.9999988192332961,-0.934962516583817,-0.03152376095243794,-0.00020766393682040084,2.750887721749643e-05,1.9619035042351416e-05,1.5755385166825193e-05,1.4281013660230385e-05,1.3298420036353268e-05,-7.0937328453251226e-06,6.076348645969558e-06,7.540970178944234e-06,6.976796604219338e-07
