t,mx_0,mx_1,mx_2,mx_3,mx_4,mx_5,mx_6,mx_7,mx_8,mx_9,mx_10,mx_11,mx_12,mx_13
0.0,-1.0000000000000002,7.498798913309866e-33,7.498798913308953e-33,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,1.0000000000000002,-1.0000000000000002,-1.0000000000000002
0.02,-0.999326554492972,0.00030002396861169005,-0.0005805459095283913,-0.9988177251089801,-0.9989710306044564,-0.9989834584750868,-0.998988777046471,-0.9989882181872178,-0.9989815852110431,-0.9989668829606694,-0.9986789601677263,0.9984008185449498,-0.9986548151736784,-0.9994541431791789
0.04,-0.9981141768649691,0.0003530337957220689,-0.0031696290951862723,-0.9977622587923566,-0.9992285371446945,-0.99928445555829,-0.9993074274688178,-0.9993050588064678,-0.9992763415640044,-0.9992093001509593,-0.9963884311203441,0.9936119060371345,-0.9962651406443767,-0.9994564818918754
0.06,-0.9963314518640664,0.00024151730082427718,-0.007537929375634041,-0.9963104215095225,-0.9999227148489941,-0.9999020391609168,-0.9998911001940107,-0.9998922943691564,-0.9999058588184213,-0.9999274808776659,-0.992803712808084,0.9856504063095454,-0.9928277194368677,-0.9999897569839333
0.08,-0.9932067374659398,0.000693401696736003,-0.013074314711478324,-0.9926438544377347,-0.9987935145022104,-0.9988065206041059,-0.9988105554106023,-0.998809983976217,-0.9988051683867447,-0.998784138102327,-0.9866916402388656,0.9745440926094787,-0.9867457635014604,-0.9994287431184624
0.1,-0.9895723181064511,0.0007929284394844996,-0.02071727501771073,-0.9895168250639347,-0.9994886770453751,-0.9996105000344924,-0.9996495620579073,-0.9996456434022273,-0.9995966284127689,-0.9994321753494566,-0.9799119390382418,0.9603483073350705,-0.9796924385555459,-0.9994125919960564
0.12,-0.9853371471039246,0.0007786046900760754,-0.02981029426730195,-0.9854631860654606,-0.9996888220217138,-0.9996582452640164,-0.9996224854759882,-0.9996263281655133,-0.9996707915624061,-0.9996673280466358,-0.9715518709766634,0.9431097426204106,-0.9716626471681383,-0.9998942376764495
0.14,-0.9797656300985136,0.0012301944719707299,-0.04008075731396855,-0.9795939004139382,-0.9986720458193495,-0.9988092568417226,-0.9988351558756363,-0.9988320363447076,-0.9988001575429127,-0.998569996159588,-0.9609751693243874,0.9228850667836039,-0.9611042875865137,-0.9992557751934477
0.16,-0.9737148708281276,0.0012072131465018891,-0.05240910773619449,-0.9745061827002601,-0.9995836340655038,-0.9998478189695971,-0.9998839995224118,-0.999880822097217,-0.9998344526181627,-0.9993919375801176,-0.949972881514401,0.8997857328939819,-0.9497187668686722,-0.9991453297383321
0.18,-0.9670328579206539,0.0010866308958920054,-0.06579657567915108,-0.9680561825113099,-0.9992247673524723,-0.9993435676492481,-0.9992882339077104,-0.999293934707044,-0.9993626278327431,-0.9990238976050059,-0.9371982960258842,0.873875009751593,-0.9374913259875539,-0.9994786066032672
0.2,-0.9590308623217698,0.0012754592827229918,-0.08036811871457034,-0.9603818409089112,-0.998470492922219,-0.9989801007187589,-0.999043589934932,-0.9990365815883967,-0.9989568424852882,-0.9980570330482368,-0.9226827844675991,0.8452375243936029,-0.9229321819327437,-0.9986627982487519
0.22,-0.950581451471968,0.0008626898968732899,-0.09679955779938974,-0.953534100197217,-0.9993082500911028,-0.9999302078002638,-0.9999399569853358,-0.9999403417886906,-0.9999243487265432,-0.9987336087071753,-0.9079005692582607,0.8140440012919299,-0.907749975874257,-0.9983447519073515
0.24,-0.9414738214859558,0.00033440057786288265,-0.11387466043840991,-0.9450638616362957,-0.9984315537050783,-0.9990699016734412,-0.999020991561773,-0.9990257536742019,-0.9990845361655935,-0.99771087551698,-0.8912947433163978,0.7803573057185007,-0.8919174768527127,-0.9984009582052842
0.26,-0.9310694051629023,-7.991345266907907e-05,-0.1321203962270106,-0.9360394520393686,-0.9979565486832176,-0.999243671386614,-0.9993442432227884,-0.9993342933698259,-0.999202797555629,-0.9968261218843735,-0.873515360996462,0.7442945019517321,-0.8740082601256531,-0.9972679675086846
0.28,-0.9202538012762517,-0.0012175094176748102,-0.15189318202185137,-0.9277156049864597,-0.9984230995403891,-0.9998332248539417,-0.9998071183281958,-0.9998125516649122,-0.9998338264275846,-0.99700030268876,-0.8555506460961935,0.706079980969079,-0.8557273933574553,-0.9965923116841061
0.3,-0.9087592396421739,-0.0025208830493896398,-0.1719113604393119,-0.9177374157718275,-0.9971412132323475,-0.9989093163439763,-0.9989062879916246,-0.99890670179439,-0.9988993024460364,-0.9953182227515811,-0.8358810878993603,0.6657608292488781,-0.8370303466887042,-0.9962078838747044
