t,mz_0,mz_1,mz_2,mz_3,mz_4,mz_5,mz_6,mz_7,mz_8,mz_9,mz_10,mz_11,mz_12,mz_13
0.0,1.1096809235389138e-16,5.545694112263355e-17,5.545694112263355e-17,2.7701365507004638e-17,1.3823577699190182e-17,6.884683795282953e-18,3.415236843329339e-18,1.6805133673525319e-18,8.131516293641283e-19,3.7947076036992655e-19,1.6263032587282567e-19,5.421010862427522e-20,0.0,0.0
0.02,1.3192029933717375e-16,2.0897996874658098e-17,2.0897996874658098e-17,-6.236872997222864e-17,-2.0735366548785272e-17,-1.1094098729957924e-16,-1.005326464437184e-16,-1.0573681687164882e-16,-1.1787988120348647e-16,-1.278545411903531e-16,-1.2958926466632992e-16,-1.032702569292443e-17,-9.684635905726768e-17,-1.0755285551056204e-16
0.04,-5.053737376498058e-16,3.824496058388305e-15,3.4359179997695e-15,-1.4455125464662988e-16,-2.5557355710914553e-16,-2.763902388208672e-16,-1.0291789122318651e-16,-4.5672016515951874e-17,-5.17435486818707e-17,-8.340225211844743e-17,-7.447655773346051e-16,-3.943487246818589e-15,-7.35875119520224e-16,-8.801011135151082e-17
0.06,-1.49497927058595e-16,-8.108475642223251e-14,-7.96414664902198e-14,-2.425455127540166e-15,2.390801315602098e-16,3.0913314442992945e-17,6.560778396252909e-17,7.948557177034354e-17,7.254667786643632e-17,6.853377457552434e-16,1.957213959045273e-14,-1.47504499391736e-13,1.9996442110654933e-14,6.049577071925993e-16
0.08,-1.8198143729789007e-14,4.192043305366322e-14,6.151586943829723e-14,-1.6976898402701335e-14,-5.178420626333891e-16,-3.211948935988307e-17,2.3391661871374758e-17,1.3788341128584403e-16,2.1681332944278875e-16,2.7208866670153098e-15,-1.8944074824459034e-14,-9.013108456194102e-13,-1.3747764862279133e-14,2.8907811474437883e-15
0.1,8.906639531805483e-15,1.578985694365015e-13,1.4885025178580646e-13,1.2015264000755921e-14,-5.857673287396059e-16,-2.371692252312041e-17,-2.7186369475074024e-17,-2.1982199047143602e-17,-1.7645390357201585e-17,-2.7723862702083713e-15,-3.673198355723384e-14,4.0722723045234777e-13,-4.036189243071531e-14,-2.447694824603275e-15
0.12,1.8617052344183094e-14,-6.986772271844188e-14,-8.801986917106319e-14,1.611905053877649e-14,9.783840404509192e-16,-1.3183898417423734e-16,-1.4224732503009818e-16,-1.5439038936193583e-16,-2.7929047963226594e-16,-2.1046532572288612e-15,5.1254573502079737e-14,4.1772585824412234e-13,4.5726280834684774e-14,-2.8083004671719536e-15
0.14,-8.689853307417006e-15,-1.653423220820266e-13,-1.5318537996238113e-13,-1.551772490886172e-14,1.1911316117468873e-15,6.703079931391631e-17,-8.562486657204271e-17,-9.603320742790356e-17,-1.298603152094513e-16,4.853132869533927e-15,5.349781490200656e-14,-3.765677819480423e-13,6.018040341233821e-14,3.8780014356004644e-15
0.16,-2.8206739244654444e-14,5.095216241111922e-14,7.521053549917889e-14,-2.271113527275992e-14,-1.4919977146116148e-15,9.007009547923328e-17,7.966175462337244e-17,8.486592505130286e-17,4.560967489103396e-16,3.9164364026150755e-15,-6.671109519830465e-14,-4.1984419955377883e-13,-5.667398516630284e-14,5.487580875818132e-15
0.18,5.306220957415619e-15,1.697302509044013e-13,1.5540837388673678e-13,1.8129296891836177e-14,-1.840839763608826e-15,-7.14218181124826e-17,1.2980610510082702e-16,1.3847972248071105e-16,2.703187066549484e-16,-7.718516581087242e-15,-6.966549190821902e-14,3.628048653604027e-13,-8.034683487111172e-14,-5.5227090262066625e-15
0.2,3.344571256232165e-14,-3.34174690957284e-14,-6.569720353670483e-14,2.8005619741658383e-14,2.664779204589185e-15,2.439454888092385e-19,-7.261444050221666e-17,-5.70019292184254e-17,-7.560954900370787e-16,-6.308945336638838e-15,8.16098761919487e-14,4.214946805209535e-13,6.56265677651674e-14,-9.216938193570834e-15
0.22,-3.5045208922335203e-15,-1.7381273286973253e-13,-1.55827119870805e-13,-2.1601156193623572e-14,2.8098725603220576e-15,2.4248181587638307e-16,-6.282951589553498e-17,-1.7905598878598106e-16,-4.609485536322122e-16,1.130047661349054e-14,8.574049673373829e-14,-3.4804575671162907e-13,1.0108141537332194e-13,7.108788384335707e-15
0.24,-4.012052192206572e-14,1.4613473191954496e-14,5.352679020506623e-14,-3.476369582824934e-14,-3.732962289976216e-15,1.2506272059620294e-16,3.63207727782644e-18,-8.136937304503711e-17,1.1450801244705655e-15,9.212411649500707e-15,-9.596777582679406e-14,-4.2146196472039876e-13,-7.257047610412237e-14,1.3984744352130152e-14
0.26,4.2668776498167027e-16,1.7595294795821892e-13,1.5649628945166305e-13,2.2464614803791028e-14,-4.472171331176833e-15,-4.892462303340839e-16,1.630097966331956e-16,1.890306487728477e-16,7.233254793737043e-16,-1.5581340471332306e-14,-1.0160757868762915e-13,3.326402196225653e-13,-1.2208756141468546e-13,-8.310057286395334e-15
0.28,4.830284664001511e-14,3.8384145037775874e-15,-4.245788562309144e-14,4.0475774316407753e-14,4.9625153162105584e-15,-3.457385202784713e-16,-5.732718987017105e-18,9.574860435762611e-17,-1.808977772264908e-15,-1.2664009923189778e-14,1.0966652119834969e-13,4.1971061229360146e-13,7.746116302640577e-14,-1.9832930870516963e-14
0.3,5.540923622704419e-15,-1.7420418406410842e-13,-1.548863034356307e-13,-2.4185297861634147e-14,5.402145744626274e-15,8.01659086335782e-16,-8.651933336434325e-17,-2.5652223401007035e-16,-1.0952610346448566e-15,2.0476459069995734e-14,1.1716474145051503e-13,-3.167743845011728e-13,1.4308362437584488e-13,8.927591738788765e-15
0.32,-5.680227338836219e-14,-2.0720025088044602e-14,3.001716713732505e-14,-4.631066580565446e-14,-5.7458920434128036e-15,3.880901676411863e-16,-4.9060148304969076e-17,-1.5661300381553112e-16,2.70047656111827e-15,1.666413318099358e-14,-1.2266538696251161e-13,-4.1608833349290886e-13,-8.033477312194282e-14,2.6638142646556728e-14
0.34,-1.8091417578434965e-14,1.707020077590729e-13,1.5249435015522034e-13,2.542932498687117e-14,-7.578993314015514e-15,-9.454107418802038e-16,2.950385161876179e-17,2.810387556353988e-16,1.5378459139805956e-15,-2.6028211161897852e-14,-1.3231818798194878e-13,3.004375312984711e-13,-1.6385703286835723e-13,-8.741081860066946e-15
0.36,5.613451327032837e-14,3.64835657344631e-14,-1.8389207257635265e-14,5.222097710852469e-14,7.201433459974593e-15,-7.227833782874615e-16,6.82505267579625e-17,1.9835478745622304e-16,-3.848755081997668e-15,-2.1164331138329162e-14,1.3498268258346768e-13,4.106853203865446e-13,8.130947087500728e-14,-3.423259939405732e-14
0.38,2.6342805974771677e-14,-1.6675273358315867e-13,-1.499883659113188e-13,-2.708667708531398e-14,8.773526610078575e-15,1.2517656182431391e-15,5.1336972867188635e-17,-4.0489530131471163e-16,-2.1300777981736463e-15,3.214372127843812e-14,1.4694620303554173e-13,-2.837327269834822e-13,1.841646410025155e-13,7.489424662041055e-15
0.4,-6.169174058320154e-14,-5.2282600449503336e-14,8.529865724339614e-15,-5.672349254800396e-14,-8.338585356058859e-15,1.0150436264080853e-15,3.3190139005212504e-17,-2.339572762952158e-16,5.309351591188671e-15,2.6079629449927977e-14,-1.4656286980493233e-13,-4.0360042510758504e-13,-8.044502293035743e-14,4.248298490338448e-14
0.42,-3.610610074811227e-14,1.597927519469966e-13,1.4397207384608812e-13,2.7398656260446685e-14,-1.1264860572124391e-14,-1.7932703932910243e-15,-3.7730235602495554e-17,6.058521739848999e-16,2.9069628648681345e-15,-3.8716859579457363e-14,-1.609450420159142e-13,2.6693762218005235e-13,-2.0380832438382512e-13,-5.0734156459286694e-15
0.44,6.377846384700292e-14,6.705362176964713e-14,2.2721082827692474e-15,6.283477427607154e-14,9.72448033556561e-15,-1.5720389399953572e-15,-1.7038237140609702e-16,1.8697066464512524e-16,-7.104939466623383e-15,-3.136808304424199e-14,1.574233907293554e-13,3.9482810467242335e-13,7.780196842679943e-14,-5.1130920244307765e-14
0.46,4.5841599288255763e-14,-1.5363772266126924e-13,-1.3806684474090142e-13,-2.7821698395623373e-14,1.322879793989179e-14,2.1612621631597606e-15,-5.2244992186645245e-17,-9.144025597471184e-16,-3.871238724549586e-15,4.5831624628268897e-14,1.7427358655567465e-13,-2.501410401511625e-13,2.2267963568998322e-13,1.4767917791425056e-15
0.48,-6.106039610563607e-14,-7.86574310459448e-14,-1.309876144182931e-14,-6.680580025807126e-14,-1.0836682029155553e-14,2.1043551016314277e-15,2.5513987624015133e-16,-2.7915495436070525e-16,9.19330258621065e-15,3.695755181921945e-14,-1.6757241753061203e-13,-3.8442206774617904e-13,-7.350150761468999e-14,5.999660403904761e-14
0.5,-5.816408552711261e-14,1.457283729452974e-13,1.3160078495694227e-13,2.6379397798093063e-14,-1.5142943322887792e-14,-2.597423144623523e-15,9.833713704443525e-17,1.368154721459458e-15,4.995895190595956e-15,-5.342655571421995e-14,-1.868953125941375e-13,2.334131152248453e-13,-2.406103202963472e-13,3.451503405998979e-15
0.52,6.183410988097604e-14,9.111624215546454e-14,2.1144436028464053e-14,7.021629371689597e-14,1.2082240589961213e-14,-2.503314396051781e-15,-3.3837949803272593e-16,3.737244888557534e-16,-1.1556836217174737e-14,-4.2709434079635233e-14,1.7701844764322905e-13,3.724965214751963e-13,6.766256391982362e-14,-6.897537012037769e-14
0.54,6.920928673909144e-14,-1.346276605820873e-13,-1.247466756629234e-13,-2.6228260015248583e-14,1.7459016003751326e-14,3.0885667287594565e-15,-2.594495798757812e-16,-1.9733563741408666e-15,-6.280674764991279e-15,6.152532910225217e-14,1.9875236439287347e-13,-2.1688542888725904e-13,2.5743757169419124e-13,-9.731012653654836e-15
0.56,-5.788257243302675e-14,-1.0134780384710163e-13,-3.068210832971041e-14,-7.470245125609787e-14,-1.391080176396664e-14,3.020099361566997e-15,4.47504446693392e-16,-5.230733381156316e-16,1.4258505400682742e-14,4.869081483491189e-14,-1.8573711362337986e-13,-3.592024139069394e-13,-6.03228404727485e-14,7.787588390990863e-14
0.58,-8.18634304225116e-14,1.2449927427968938e-13,1.1706078001470083e-13,2.5939225268591104e-14,-2.0121152465545078e-14,-3.5788293986302455e-15,4.526679595398542e-16,2.702604307881773e-15,7.702077365646931e-15,-7.005950453022741e-14,-2.098534968844254e-13,2.0063043294858002e-13,-2.7300317768149535e-13,1.7442929154017073e-14
0.6,5.1054633068946254e-14,1.1189485481840483e-13,3.88144242224539e-14,7.814407486980007e-14,1.554137406874906e-14,-3.616911999938799e-15,-4.1287773980963616e-16,7.580606064747086e-16,-1.732382954536954e-14,-5.480990281862136e-14,1.9364695123032932e-13,3.445595452835834e-13,5.162237553656829e-14,-8.640802645881046e-14
0.62,9.135877818144955e-14,-1.136439033155856e-13,-1.0809278819245982e-13,-2.385461619902607e-14,2.2580461805921104e-14,4.331170838645093e-15,-5.538104697055957e-16,-3.4351861633030722e-15,-9.156737867943576e-15,7.909363268499003e-14,2.2014399851666422e-13,-1.8472614930764575e-13,2.871733341576477e-13,-2.6692135914746506e-14
0.64,-4.351574168278555e-14,-1.1734557282035846e-13,-4.5569654278342087e-14,-8.112454664196272e-14,-1.6801000152742718e-14,4.216909482192277e-15,4.248039637069767e-16,-1.0809360134408919e-15,2.0787421805591733e-14,6.105035368301343e-14,-2.0074283760881245e-13,-3.286430237106272e-13,-4.176285782041961e-14,9.439835252453982e-14
0.66,-1.0097021688800639e-13,1.0186752971100971e-13,9.870339409082801e-14,2.1792694059920292e-14,-2.4725650671873767e-14,-5.130214287239754e-15,6.394759938591066e-16,4.419438448012569e-15,1.071561730407039e-14,-8.856043882173731e-14,-2.2959866158907966e-13,1.6923833482621747e-13,-2.998030290820783e-13,3.7436335498589046e-14
0.68,3.322762529532619e-14,1.2457122464636095e-13,5.218468344080074e-14,8.335419485715201e-14,1.7851036404267773e-14,-4.894657812740122e-15,-4.641740550953566e-16,1.4041231285316647e-15,-2.47095367170852e-14,-6.740151514174342e-14,2.0698099809611514e-13,3.115682354042776e-13,3.0915726792826725e-14,-1.0150045951298758e-13
0.7000000000000001,1.1133317033042156e-13,-9.028333094150687e-14,-8.811839604348781e-14,-2.0144991360812603e-14,2.7552965334645685e-14,6.146477641091885e-15,-7.542523463438533e-16,-5.503057861830363e-15,-1.2359986081497687e-14,9.834963247447315e-14,2.381299638812978e-13,-1.5426090851748675e-13,3.108331463313324e-13,-4.961764506206112e-14
0.72,-2.123518375030109e-14,-1.294264175000226e-13,-5.989870058287217e-14,-8.510076324186322e-14,-1.84596261887382e-14,5.725888513330446e-15,4.696763811207205e-16,-1.7334224333698245e-15,2.9097384224296974e-14,7.383937211669078e-14,-2.1232646717217474e-13,-2.9341156240758615e-13,-1.927245255745058e-14,1.0741589367112281e-13
0.74,-1.207786989995338e-13,7.945002349161318e-14,7.850633392068179e-14,1.722202296137315e-14,-2.946285522411468e-14,-7.251455837707643e-15,7.195985344057854e-16,6.7442931664732364e-15,1.403880538295571e-14,-1.0843961091491078e-13,-2.4564539584295136e-13,1.398877351845365e-13,-3.202331927193089e-13,6.312000076259816e-14
0.76,8.999609868096115e-15,1.3201232099656346e-13,6.356707152842256e-14,8.702053292362899e-14,2.0594501581525093e-14,-6.571268052271706e-15,-4.702455872612754e-16,2.097145157184399e-15,-3.399247571790609e-14,-8.032173559081868e-14,2.168040866192683e-13,2.742829563733701e-13,6.9992026497517346e-15,-1.1194559548007715e-13
0.78,1.2687322980403648e-13,-6.580597611965944e-14,-6.741579950536591e-14,-1.4846739289364752e-14,3.249733381699427e-14,8.585905424129958e-15,-8.752764138475477e-16,-8.15417611904623e-15,-1.587759871496397e-14,1.1875255553212005e-13,2.521824979742626e-13,-1.2618909823319813e-13,3.279906186058612e-13,-7.774350282464815e-14
0.8,4.465910063630729e-15,-1.325356111751136e-13,-6.739327520523253e-14,-8.773811213148852e-14,-2.1707597741907336e-14,7.560656744773353e-15,6.287017347700319e-16,-2.371502516931856e-15,3.936681167680811e-14,8.677723795612324e-14,-2.204009815365976e-13,-2.5431070552368873e-13,5.761856920402653e-15,1.1483674254575416e-13
0.8200000000000001,-1.2772400324878586e-13,5.576810714613689e-14,5.757221956115277e-14,1.160898634167129e-14,-3.5048136268200913e-14,-9.752398541507112e-15,9.890092217412771e-16,9.89768163262017e-15,1.7803250193515474e-14,-1.2919765084162815e-13,-2.5766086313161463e-13,1.1323385805395159e-13,-3.3415062166905485e-13,9.325656566416818e-14
0.84,-2.0474222903014982e-14,1.337635107930349e-13,7.120244335540732e-14,8.813334448094096e-14,2.2491408149978576e-14,-8.449119767543756e-15,-6.324557847922629e-16,2.6531104787078097e-15,-4.520530813827833e-14,-9.317821850467894e-14,2.2317842289943518e-13,2.3362612029415725e-13,-1.8821790371929825e-14,-1.1592011801408314e-13
0.86,1.3146477179440397e-13,-4.406148839883328e-14,-4.814155801433073e-14,-8.895174093831448e-15,3.6790503369493743e-14,1.0967409706102993e-14,-1.1930018604944248e-15,-1.1939613794170745e-14,-1.9772757649944017e-14,1.3969603468791392e-13,2.6205714031071747e-13,-1.0108098169245294e-13,3.386864356677566e-13,-1.0949086689387988e-13
0.88,3.3279043583356316e-14,-1.3208867593456075e-13,-7.330236678065871e-14,-8.792955513009515e-14,-2.4646842726461227e-14,9.624354264936574e-15,7.633867496470437e-16,-2.961064553275161e-15,5.152746718889434e-14,9.944183063798073e-14,-2.251564820004992e-13,-2.123420254733499e-13,3.2074061288855926e-14,1.1514153888149414e-13
0.9,-1.3196941369558735e-13,3.411995078833607e-14,3.6867752774283336e-14,6.974997836250996e-15,-4.0389891951819745e-14,-1.2190227126340769e-14,1.4446993948369347e-15,1.4240019753641864e-14,2.185979262186999e-14,-1.5025404965368638e-13,-2.6541822125553116e-13,8.973106545989706e-14,-3.4164511497625227e-13,1.261924050498242e-13
0.92,-4.759739694396026e-14,1.3039910947906797e-13,7.602593684805092e-14,8.7239189396765e-14,2.5191600108026568e-14,-1.0585336860519101e-14,-7.147602822110688e-16,3.334084310718799e-15,-5.818094487089476e-14,-1.0548251725209234e-13,2.263141388701706e-13,1.905460923594393e-13,-4.5397008634900926e-14,-1.1228668548354109e-13
0.9400000000000001,1.3116340424803447e-13,-2.6127442765734588e-14,-2.7293176941591002e-14,-3.076437216954775e-15,4.1686367357150755e-14,1.3139757836476418e-14,-1.7615168221643551e-15,-1.6919530555249696e-14,-2.395296688859766e-14,1.6079031281337336e-13,2.677516276186273e-13,-7.925898706882123e-14,3.4308307876509264e-13,-1.4312895757918193e-13
0.96,6.523009535948018e-14,-1.2678297674944064e-13,-7.751683003169932e-14,-8.630146971404587e-14,-2.536410344993259e-14,1.1641017739604659e-14,5.7695140982458315e-16,-3.674855829794571e-15,6.528300442549748e-14,1.1126965641190464e-13,-2.2673102138175485e-13,-1.6837920624847638e-13,5.864161559772027e-14,1.0724882489260637e-13
0.98,-1.2638735815296426e-13,1.774734601899669e-14,1.7303256809146628e-14,-5.990894629340215e-16,-4.449453229905115e-14,-1.4962599844021984e-14,2.0827930309261222e-15,1.9938301769155398e-14,2.6039757915034822e-14,-1.7132688768118493e-13,-2.6910501008548665e-13,6.968019640018336e-14,-3.4307947379286913e-13,1.6009707394428613e-13
