t,Cxx_1_0,Cxx_1_1,Cxx_1_2,Cxx_1_3,Cxx_1_4,Cxx_1_5,Cxx_1_6,Cxx_1_7,Cxx_1_8,Cxx_1_9,Cxx_1_10,Cxx_1_11,Cxx_1_12,Cxx_1_13,Cxx_1_14,Cxx_1_15
0.0,3.3800851629709943e-46,1.0,-1.0000000000000002,-1.327401865620188e-46,1.8610995229313977e-46,1.6968848591433332e-46,1.2726636443574999e-46,1.8337304123000536e-46,1.8474149676157256e-46,1.7105694144590052e-46,1.5737238613022848e-46,1.1768717571477956e-46,9.98972538044059e-47,-1.3684555315672042e-48,1.0673953146224193e-46,4.789594360485215e-47
0.01,-4.372099175155438e-06,0.999999843476072,-0.9996096210167067,-7.698869625302697e-06,-1.91037550635679e-06,-1.0894053618938616e-06,-7.378344706767521e-07,-5.417374533808663e-07,-4.1655429961157207e-07,-3.290572797363771e-07,-2.62931548537966e-07,-2.0730589987509856e-07,-9.051240768112633e-08,-2.6856887314118463e-10,-4.719592623468995e-08,-4.7548448563672005e-08
0.02,-6.628877233591924e-05,0.9999976510533168,-0.9985442520085106,-0.00011204858186613775,-2.5010192669864444e-05,-1.377572368753497e-05,-9.15232125822999e-06,-6.656631881919468e-06,-5.112757156981685e-06,-4.068190485167654e-06,-3.3064425363096926e-06,-2.690860257501806e-06,-1.2064413264737534e-06,2.352760371509416e-09,-6.73911620477103e-07,-6.759069659896186e-07
0.03,-0.00030727152788647587,0.9999891912719951,-0.9970560004331654,-0.0004857832920851031,-8.90953527028374e-05,-4.596315190934534e-05,-2.945016448701373e-05,-2.1050539388086167e-05,-1.61519842075521e-05,-1.3051145885101343e-05,-1.0976504777274014e-05,-9.502631237907205e-06,-4.460510978917132e-06,1.8088223239110662e-08,-2.815139940398441e-06,-2.821477513707902e-06
0.04,-0.000860411224367601,0.9999694912122171,-0.9953900071036377,-0.0012437919032583485,-0.00016427605323418842,-7.536201110079632e-05,-4.51810367116251e-05,-3.129273212276219e-05,-2.4019026331287968e-05,-2.0043189028912285e-05,-1.8027282316166425e-05,-1.7505312408959937e-05,-8.874077878378954e-06,5.8329789763035544e-08,-6.841526963726613e-06,-6.859550269033149e-06
0.05,-0.001805056114395862,0.999933502238819,-0.9936402919187917,-0.0023469469046620457,-0.00017672727832774085,-6.282315137706024e-05,-3.188725984892664e-05,-2.026536628529224e-05,-1.562327053800626e-05,-1.4324980374628288e-05,-1.5322285489637044e-05,-1.9155991408998166e-05,-1.1163683641530336e-05,1.5557805785153256e-07,-1.195204847811819e-05,-1.1982715756969978e-05
0.06,-0.003130089338564991,0.9998749763285961,-0.9917009944886807,-0.0036394737635437203,-8.379830515950308e-05,-2.2965171703973747e-06,8.094463738719457e-06,8.352504273497624e-06,6.3456945457677355e-06,3.377369430131172e-06,-1.0498438821129885e-06,-9.726157257455154e-06,-8.24582523054583e-06,3.037699558457174e-07,-1.6114325220664e-05,-1.6195865118235828e-05
0.07,-0.004742289731146279,0.9997843024912683,-0.9893361914221986,-0.0049830715506910365,5.820902450449916e-05,5.3818828164912264e-05,3.507683645010036e-05,2.462572153984384e-05,1.9071805379716755e-05,1.5909966821398697e-05,1.3062111672955054e-05,5.909913744184606e-06,-6.226594358154508e-07,6.31749936417722e-07,-1.675744255077473e-05,-1.6875804013983392e-05
0.08,-0.006514991549133094,0.999647108548284,-0.986318244800498,-0.006371006108919816,0.00011946639819873303,3.7961091011222414e-05,1.0195081078197277e-05,2.6863740477840736e-06,2.4336238690740586e-06,5.474556533897196e-06,1.0433923924853955e-05,1.4441051927580745e-05,6.309071084426021e-06,1.2422435557019051e-06,-1.196125220351979e-05,-1.2086011153815412e-05
0.09,-0.008351334002853702,0.9994447155293787,-0.9825476957983552,-0.007926400075811184,1.2729295630026921e-05,-5.4683307314659646e-05,-5.3337755032717427e-05,-4.281012899835096e-05,-3.271880062165333e-05,-2.3140650308471622e-05,-1.1765416108810989e-05,5.186729215306968e-06,5.364886253234752e-06,2.0544315580926786e-06,-2.2017682404784633e-06,-2.42864036345547e-06
0.1,-0.010229591336736527,0.9991566762278704,-0.97808471657751,-0.009791290329585117,-0.00020579326141239793,-0.0001418829388229216,-9.068157224910445e-05,-6.263762161981198e-05,-4.8377398302632685e-05,-4.085765745040146e-05,-3.424240742691542e-05,-1.75396436178539e-05,-6.106849078656856e-06,3.3084347344225495e-06,8.381167810177226e-06,8.060478073165095e-06
0.11,-0.012209471322348751,0.9987646697079837,-0.9730823061349377,-0.0120071027924947,-0.00036342631413113086,-0.0001287110965919394,-5.28943095387327e-05,-2.735555791394395e-05,-2.1369184773536998e-05,-2.4514605655591437e-05,-3.2493592390908654e-05,-3.509704662315455e-05,-2.193283159016013e-05,5.080728640353971e-06,1.384604909823034e-05,1.3491837111627436e-05
0.12,-0.014397360180082308,0.9982553183035022,-0.9676762047648907,-0.014489848807704403,-0.00032173610824468707,-1.3984350582439686e-05,2.8670997878385562e-05,2.994527826857135e-05,2.2932102937522902e-05,1.2365534898063635e-05,-4.772138049495556e-06,-3.1176307725568064e-05,-3.0964230090704814e-05,7.335720825805969e-06,1.0011818177710352e-05,9.664936351412579e-06
0.13,-0.01689107925767086,0.9976197698257255,-0.9619060678806021,-0.01711272543207653,-0.00011522473229436808,9.144837752312479e-05,6.463104002307068e-05,4.266947595101683e-05,3.297504305842941e-05,2.9167945645267035e-05,2.189523434079077e-05,-8.367432210755477e-06,-2.6557334570756486e-05,1.0065116400913288e-05,-2.754443810717988e-06,-3.0463279132794674e-06
0.14,-0.019733856695078128,0.9968498561337956,-0.9557103708504425,-0.019813351838040727,6.189059122303775e-05,7.063988904007501e-05,4.822139294126393e-06,-1.2479656397744454e-05,-9.340393105128353e-06,2.9007112537574042e-06,1.8275151235293274e-05,1.3264043316481289e-05,-1.3092786462776118e-05,1.3324216290126756e-05,-1.9402181939423557e-05,-1.9597099467333345e-05
