t,Cxx_1_0,Cxx_1_1,Cxx_1_2,Cxx_1_3,Cxx_1_4,Cxx_1_5,Cxx_1_6,Cxx_1_7,Cxx_1_8,Cxx_1_9,Cxx_1_10,Cxx_1_11,Cxx_1_12,Cxx_1_13,Cxx_1_14,Cxx_1_15
0.0,3.3800851629709943e-46,1.0,-1.0000000000000002,-1.327401865620188e-46,1.8610995229313977e-46,1.6968848591433332e-46,1.2726636443574999e-46,1.8337304123000536e-46,1.8474149676157256e-46,1.7105694144590052e-46,1.5737238613022848e-46,1.1768717571477956e-46,9.98972538044059e-47,-1.3684555315672042e-48,1.0673953146224193e-46,4.789594360485215e-47
0.01,-5.166241858475806e-05,0.9999974363389736,-0.9997177440246028,-7.735663604433525e-05,-9.967745813202478e-06,-4.520136665571049e-06,-2.6886408957308393e-06,-1.8591700894716925e-06,-1.4339440770312975e-06,-1.2103730018734986e-06,-1.1087873138411735e-06,-1.1059215524152673e-06,-5.669709978366275e-07,3.3753893755560094e-09,-4.6290705723044286e-07,-4.62006995039432e-07
0.02,-0.0003908889726767749,0.9999618876552776,-0.9991545027825836,-0.00039008028444761055,7.867104548589347e-06,1.546050687187793e-06,-6.437231933869442e-08,-3.8118810859969626e-07,-2.814224455971459e-07,2.8987462838067635e-09,4.2318333782782186e-07,8.769830017281086e-07,4.916489257534434e-07,7.654586989779e-08,-6.053307580571043e-07,-5.804704464699995e-07
0.03,-0.0008320794436799672,0.9998103603677128,-0.9979779602799044,-0.0008932877875269998,-1.0698404566794953e-05,2.9204900251350585e-06,3.656347710653124e-06,2.93065341934462e-06,2.2504271949500693e-06,1.60542620582238e-06,6.072702840361627e-07,-1.2783263680544998e-06,-1.5446581239069584e-06,4.936093858896873e-07,3.228258179076293e-07,5.264661510073765e-07
0.04,-0.0014798006982606401,0.9994209421981697,-0.9962888063407841,-0.001585958158317271,-1.1414916951016374e-05,-1.2295891859418623e-05,-5.857824244951543e-06,-3.047059856826906e-06,-2.3876223392525764e-06,-2.706423431156346e-06,-2.977139545154439e-06,-8.584097197679441e-07,-2.824060340265999e-07,1.5478020312965912e-06,-2.559229519281253e-06,-1.9093936692270164e-06
0.05,-0.0022156755087942154,0.9986408226449114,-0.9938773886208772,-0.002475769390738604,1.1541154453141578e-05,1.3548229021581593e-06,-5.625863905386885e-06,-5.6568126323708334e-06,-4.307590864567612e-06,-2.3478669907497918e-06,5.673271903719468e-07,7.613549949797571e-07,-2.529012116211926e-06,3.734708873631698e-06,1.7214156057543395e-07,1.7556972344290322e-06
0.06,-0.0030148655784367623,0.9973131567777088,-0.990633047545965,-0.0035695887211620037,-2.589090670343519e-05,8.663839866501766e-06,8.113108635340871e-06,4.490191042073877e-06,3.5289492229043096e-06,3.690929219549166e-06,1.7890663887992764e-06,-1.4798402160412505e-06,-5.6576028267738e-06,7.60588760827241e-06,-6.26326670883498e-06,-2.9662033190561155e-06
0.07,-0.00385610321245565,0.9953022212841447,-0.9865914956008547,-0.004815757037987242,-3.0246193126193255e-06,-1.6037262816140374e-05,-6.997367818090128e-07,3.543859141169614e-06,2.6163110249388666e-06,-6.180607250300119e-07,-3.7774238195870113e-06,-4.963381084605034e-07,-5.741964040476e-06,1.3780221432529993e-05,-3.990661639391435e-06,2.094644740172069e-06
0.08,-0.004591800657378145,0.9924906305911768,-0.9815191631429071,-0.006237467747727918,-1.8114556014997563e-05,-3.7800588698344573e-06,-1.4006877820188501e-05,-9.95068685571976e-06,-7.700239979605006e-06,-6.068684803309243e-06,-4.767673103811543e-07,-1.3140451064347358e-06,-1.566450542350717e-05,2.291252950868683e-05,-1.3022244237936853e-05,-2.677268556267043e-06
0.09,-0.005284094591029909,0.9888546586412396,-0.9757127236375887,-0.007853834080904315,-2.5388440215781682e-05,1.1461061591583332e-05,3.655280525219351e-06,-3.6654676802833075e-06,-2.577788854624119e-06,2.0777108387382004e-06,2.235410555384565e-06,1.843681791402485e-06,-1.684779905411493e-05,3.559128868782513e-05,-1.5690183846922556e-05,7.65038787403638e-07
