t,mx_0,mx_1,mx_2,mx_3,mx_4,mx_5,mx_6,mx_7,mx_8,mx_9,mx_10,mx_11,mx_12,mx_13,mx_14,mx_15
0.0,-1.0000000000000002,7.498798913309248e-33,7.498798913309924e-33,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,1.0000000000000002,-1.0000000000000002,-1.0000000000000002
0.01,-0.999851259564106,0.0016011436619927319,-0.0017226521409040938,-0.9998229662554269,-0.9999216157753794,-0.9999422242030914,-0.9999516804420437,-0.9999554683029905,-0.9999550438706133,-0.9999502054215903,-0.9999388229031633,-0.9999127937102503,-0.999747470179281,0.9996006850780426,-0.9997023481243166,-0.9999018615860613
0.02,-0.9996019812136381,0.0061735196381331355,-0.006956045447114567,-0.9995717496855441,-0.999941011010345,-0.9999272767941391,-0.9999248862824772,-0.9999249371489253,-0.9999248582290393,-0.9999248898884465,-0.9999285499370733,-0.9999482769023912,-0.9991858230174193,0.9984109908577372,-0.999197428171643,-0.9999896924208362
0.03,-0.9991033709242523,0.013770970637075674,-0.015460246191478502,-0.9990743550228373,-0.9999854846467725,-0.9999931722813727,-0.9999841976703373,-0.9999787439487026,-0.9999794437613956,-0.9999862989701072,-0.99999553252367,-0.9999761636856688,-0.9981941933704914,0.9964554196802897,-0.9981598336739899,-0.9999208236767332
0.04,-0.9985214116770285,0.024063619882102205,-0.02705385275083782,-0.9983721543752847,-0.9999243064080573,-0.9999608500335975,-0.9999845691250918,-0.999992324044277,-0.9999916675611519,-0.999981446837856,-0.9999517617587976,-0.9999150677760585,-0.9968065055167596,0.9937740801419392,-0.9968844154031472,-0.9999622262575013
0.05,-0.9978196943180482,0.03686702259592783,-0.04139996615414189,-0.9975745689389872,-0.9999508433555553,-0.999923915841576,-0.9999271492553979,-0.9999349246322503,-0.9999336575067277,-0.9999242139069289,-0.9999255759027069,-0.9999627129800457,-0.9951336767918757,0.9904215506123999,-0.995244605268353,-0.9999494474088537
0.06,-0.9970726230434832,0.05183476846954326,-0.05806689736898061,-0.996541244387429,-0.9999609492239575,-0.9999767275334686,-0.9999514168433025,-0.9999393167551935,-0.9999404376824061,-0.999956307554945,-0.9999841620139066,-0.9999382526869613,-0.993021900901684,0.9864657086708875,-0.9933309227598408,-0.9999267491584608
0.07,-0.9963767236713401,0.0685403437097837,-0.07667607602294593,-0.9954461063041323,-0.9999407357793821,-0.9999733112989889,-0.9999954626614377,-0.9999943750172985,-0.9999953777036207,-0.9999955401329297,-0.9999615714441427,-0.9999410283677155,-0.9906971472458067,0.9819858199336343,-0.991276632957914,-0.9999738349843197
0.08,-0.995694447370383,0.08665661780166146,-0.09660764589593847,-0.9941837547878813,-0.999932328452394,-0.9999330618259843,-0.9999542421991486,-0.9999731635836805,-0.999970955564333,-0.9999466280219533,-0.9999313024324804,-0.9999189534976144,-0.9880334625892113,0.9770705800102992,-0.9889453906243966,-0.999895620180478
0.09,-0.9952197020331556,0.1055714987994411,-0.11745448189116361,-0.9928780472852169,-0.9999486213769488,-0.999959802619742,-0.9999306235422596,-0.9999259388942358,-0.9999250731753094,-0.9999331437382748,-0.9999708153340909,-0.9999259482096496,-0.9851249210687522,0.9718161328119198,-0.9866902889839951,-0.9999824289989916
0.1,-0.9948277528981836,0.12497175082756916,-0.138531145303877,-0.9914543871453442,-0.9999321298806597,-0.9999742659405458,-0.9999781633075092,-0.9999610585265788,-0.9999637910112067,-0.9999848060462332,-0.9999639707509337,-0.9999181961317957,-0.9820625080790845,0.9663238002390128,-0.9842218045061849,-0.9998802127465019
0.11,-0.9947305207542552,0.14416108283959028,-0.15938748457024232,-0.9900120360639193,-0.9999045967538804,-0.999948391130906,-0.9999804075432854,-0.9999962945901365,-0.9999960900901304,-0.9999729624441617,-0.9999431369084868,-0.9998492172928248,-0.9787341342620737,0.9606971307163347,-0.9819873687109841,-0.9999713593320431
0.12,-0.9947725341837933,0.1628070545403905,-0.179406306237078,-0.9885375118141349,-0.9999305067272414,-0.9999504432360448,-0.9999369330946094,-0.9999516779195002,-0.9999481061735342,-0.999931785690995,-0.9999610060900351,-0.9999056100309549,-0.9753754019796603,0.9550413908739969,-0.9796812522017802,-0.9998865371811696
