t,W_1_0,W_1_1,W_1_2,W_1_3,W_1_4,W_1_5,W_1_6,W_1_7,W_1_8,W_1_9,W_1_10,W_1_11,W_1_12,W_1_13,W_1_14,W_1_15
0.0,2.777590440636303e-17,,3.000000000000001,1.3898116598548575e-17,6.959222694641347e-18,3.489775742687732e-18,1.7550522667109253e-18,8.876905287225218e-19,4.5400965972832e-19,2.3716922523121907e-19,1.2874900798266865e-19,7.453889935839343e-20,4.743384504625582e-20,2.0328790734110707e-20,1.4997597826618905e-32,1.499759782661867e-32
0.01,0.015401603023739637,,2.972065506088674,0.012678858375096384,0.0016931513154973272,0.001605861859461303,0.0016037561033628476,0.0016029315598164544,0.0016025056251562266,0.0016022743067231344,0.0016021544959857743,0.0016021099537471021,0.0016013062964742421,0.0016005076778963668,0.0016011299856427714,0.0016014485352884424
0.02,0.0174525638413435,,2.8897245098358786,0.023949825062612888,0.006454811769329388,0.006174604011152697,0.006173130786097066,0.006173437645984032,0.006173337177506923,0.006173053045695577,0.006172655356584449,0.00617232341881513,0.006168006245896854,0.006164070887581196,0.006169176377978792,0.006174036526994001
0.03,0.038485264303459554,,2.754878894927941,0.052071227017068816,0.014270901765813703,0.013777073903056474,0.013767122402280445,0.0137677476201369,0.013768437152106176,0.013769176534706716,0.013770301865883194,0.013771922562790093,0.01374768822871678,0.013727483289752405,0.013745325884978227,0.01376935593190908
0.04,0.06632611829530281,,2.5720233858920674,0.0880753382662311,0.024655296488226744,0.02409776745511105,0.02406923656496712,0.02406648290890295,0.024065807032042943,0.024065879850249865,0.02406543627910956,0.024062437311551436,0.0239871197413624,0.023919751531975512,0.023991238196688504,0.024064623231801658
0.05,0.09966605875751505,,2.346201774304042,0.1290646432463665,0.03723567410202662,0.036904772683896754,0.036870315102698954,0.03687028232248436,0.03686888437173222,0.03686657645643565,0.03686371151224011,0.03686489067346693,0.03669034706762927,0.036518549197117826,0.0366917518411721,0.03686340666721758
0.06,0.1366015012007473,,2.0842011090024624,0.1715803821178639,0.05227678464423116,0.05189110274518194,0.05182506394765186,0.05182714158996315,0.05182815225338807,0.05182881275890846,0.05183215854976414,0.05183305941820822,0.05147882249620104,0.05114631406038366,0.05149568276190962,0.05183393955995384
0.07,0.17522653315578804,,1.7935068264483693,0.2120753605759872,0.07028999781804077,0.06864043806679455,0.06854260029807169,0.06853642456987691,0.06853741099179607,0.06854065609220229,0.06854148734251182,0.06853680671068439,0.0679085063242779,0.06732256702961505,0.06794665266679402,0.06853645823313856
0.08,0.213326555913886,,1.482261899959987,0.24713095545779998,0.09034928273594328,0.08674626728659801,0.08667004197918549,0.08666426388611513,0.08666180204193749,0.08665806146719665,0.08665114182810625,0.08665090961644596,0.08563561604257149,0.08469614943298644,0.0857116926078797,0.08665025645574788
0.09,0.24884332407102105,,1.1593626570619608,0.27374632607789623,0.11168569914152084,0.1056253738632157,0.10556603104010359,0.10556738617900337,0.10556616783756563,0.10556236300503957,0.10556618233576759,0.1055618453800206,0.10401811523263486,0.10263213043831494,0.1041822231193997,0.10556888526403495
0.1,0.279812419132601,,1.1391564317417808,0.28939583026320953,0.1338037542866671,0.1250188272067485,0.12496715850037131,0.12495656560959961,0.12495918318516132,0.12496594285951672,0.12497016436774723,0.12496641034783694,0.12275908942890933,0.12081846801600306,0.12302577396865015,0.12495746382344965
0.11,0.30462378766596876,,1.455860982576939,0.292655975076581,0.15567618620412335,0.14427367612490571,0.14418215170483153,0.14416358722961517,0.14416293483055886,0.1441635613911006,0.14415430384726266,0.14413813136139628,0.1411344863079751,0.13857157388823607,0.1416025154495597,0.14415905837555826
0.12,0.32218093864674013,,1.7583049031590257,0.28269436100320006,0.1765635038261007,0.16307613052460757,0.16281582423583224,0.16281416928664535,0.16280957472108368,0.1627989177185347,0.16279966749805264,0.1627897183433294,0.1588459417919151,0.15559298191840285,0.15954649028306805,0.1627861754053876
0.13,0.33186431069344435,,2.038340042319753,0.2598944510528081,0.19543797998812865,0.18076428816237455,0.18023666103871314,0.18023422301049338,0.18023455424239124,0.18023808624019486,0.18024463386558012,0.1802275741004524,0.17524750470938275,0.1712738604349575,0.17630071245701498,0.18024671199285813
0.14,0.3338494256315785,,2.288574943748073,0.22566580554584356,0.21150283729918065,0.1968777652450516,0.1961172487148831,0.1961003709520348,0.19610298415085903,0.1961133772004517,0.1961066805024071,0.19606495384855244,0.1899763134087547,0.18531431093120113,0.19145394886951617,0.19609233575762067
0.15,0.3287147906271919,,2.5019762302551793,0.26958775520312783,0.22384280529767692,0.21089315020064028,0.2099061481949787,0.20989900077474627,0.20989439219477898,0.2098835297390385,0.20988048279960114,0.20985220593616488,0.2026009006883352,0.1972755730928514,0.20460126713944846,0.2098766439839588
0.16,0.3178565921953287,,2.6731441259000692,0.3450804461167388,0.23209890216212375,0.222387444047054,0.22115986497875678,0.2211523366338224,0.2211473976927889,0.2211387834442019,0.2211420671974449,0.22109026163310683,0.21270301558708624,0.20684551961849085,0.21532322421726993,0.22113779167088776
0.17,0.30276708124844054,,2.7969256484413947,0.41774670374811634,0.23567789715532594,0.23098118096337,0.22966247108617713,0.22960421837951595,0.22960781159941446,0.22962297140223328,0.2296215648542471,0.22955429294210183,0.22009425189391604,0.21380875107968936,0.22339183400122253,0.229612823464
0.18,0.28551350460152003,,2.870428069832472,0.4831228139333162,0.23552970199674553,0.23626523996840304,0.23501162713912946,0.23492486500241638,0.23492651337327355,0.23492787560752934,0.2349265101319405,0.23485157000144874,0.224416250490936,0.21788075614079094,0.2284602033214621,0.23492152966020405
0.19,0.2678130064144536,,2.8910847209477537,0.5371824800931186,0.24523987164635536,0.2381657488801571,0.2370991695718811,0.2370262062754561,0.2370188396879183,0.2369999276218657,0.2369952758402947,0.23690579691091906,0.22567332712215943,0.21907512836622972,0.23046390368545477,0.23698614531565249
0.2,0.25157581433030857,,2.858816225857402,0.5760306837441913,0.2519934285241724,0.23636335526535981,0.23570305780378428,0.2356002088108437,0.23559724294391424,0.2356022826962682,0.23560132857397523,0.2355046383353955,0.2236964840397423,0.21719350657140735,0.22922334793912794,0.23561560162588877
0.21,0.24107063956679955,,2.7741055916609794,0.5968326546848733,0.2553071833864715,0.23109595242262704,0.23104504153350514,0.23090241522724422,0.23090441517911586,0.23092092538437456,0.23092816675590896,0.23079845769207188,0.21863372106471404,0.2124483969996693,0.22481466000601033,0.23089762685578594
0.22,0.22802186959740509,,2.639671172976865,0.5974565307719839,0.25445067438108326,0.2234954752444397,0.22302256614898502,0.2229217028949893,0.22291254718225845,0.22289951500375033,0.22289084576765,0.22277811620587024,0.2105488487630757,0.2048184278199908,0.21729737764425133,0.2229075818120481
0.23,0.22186617610719314,,2.4591029674785876,0.5771943531076176,0.24889833802675104,0.21330154222891173,0.21195851008973346,0.21191081407974105,0.2118953561232474,0.21188246137575253,0.21187311973994377,0.2117474751346447,0.1997423480181673,0.19460909065184145,0.20685847015954933,0.21186838067110375
0.24,0.21936624875663227,,2.2375665191410645,0.5362777888915142,0.2382220042346033,0.2004224942910576,0.198161421441813,0.1981194288374648,0.19811366677787623,0.19813040662399864,0.1981449108270219,0.1979949144384939,0.1864643653337593,0.18202300277545977,0.19381927665779602,0.19813865390903873
