t,Cxx_1_0,Cxx_1_1,Cxx_1_2,Cxx_1_3,Cxx_1_4,Cxx_1_5,Cxx_1_6,Cxx_1_7,Cxx_1_8,Cxx_1_9,Cxx_1_10,Cxx_1_11,Cxx_1_12,Cxx_1_13
0.0,2.220446049250313e-16,-4.440892098500626e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16
0.02,-0.0015978216744183538,0.003195687632383093,-0.0015972860323767435,-1.3390745012831218e-07,-1.7854113742998834e-09,-8.035010434781498e-10,-4.4621961681201583e-10,-2.73624345403789e-10,-1.7658041695511884e-10,-1.1642142805357025e-10,-7.641220989285102e-11,-4.825928545670877e-11,-2.743849591979597e-11,-9.221845509443938e-12
0.04,-0.00636773507502153,0.012736272733861465,-0.006365715510145198,-2.725172806750109e-06,5.904744027063202e-09,2.709947821699643e-09,1.6729559959571816e-09,1.139580541043017e-09,8.276498375536789e-10,6.289562204386812e-10,4.935555297791439e-10,3.954171434727982e-10,3.1913205411626677e-10,1.4330825415242998e-10
0.06,-0.014238945036814,0.02848460562019295,-0.014229482236288393,-1.2562008458449903e-05,-4.137243403423696e-08,-1.895403622942382e-08,-1.1424726276132446e-08,-7.660467038483887e-09,-5.499641408945877e-09,-4.129364183924622e-09,-3.1765068353450943e-09,-2.4367728945762224e-09,-1.7645862548931746e-09,-7.110007027577581e-10
0.08,-0.025096193966127833,0.05021304278173844,-0.025074719952696722,-4.067232205140492e-05,5.261741897744088e-08,3.012320182183004e-08,1.7030018839570005e-08,1.0958741691879936e-08,7.816346792033357e-09,6.093670568141363e-09,5.109055845053945e-09,4.492140326384231e-09,3.9840257759493625e-09,1.853425191100655e-09
0.1,-0.03877838196063199,0.07761062564800669,-0.038727078691414674,-9.696184823904108e-05,-2.625021943147843e-07,-8.327439149358185e-08,-4.7132985292464014e-08,-3.065077980313191e-08,-2.2268117350066063e-08,-1.7732242452161984e-08,-1.5167231137702686e-08,-1.3573833279600933e-08,-1.2214259159648577e-08,-5.797089586145887e-09
0.12,-0.05508809625071098,0.11028702154628156,-0.05499299667333846,-0.00019914744804527817,-6.920749473504628e-08,5.691627225079543e-08,1.6366206279094797e-08,2.727580938888252e-09,-1.2417024075617178e-09,-1.1360431484419564e-09,9.020451052776934e-10,3.900356038144537e-09,7.272647706280111e-09,4.352768478987912e-09
0.14,-0.07378620086047727,0.14777839184910524,-0.07361632650751082,-0.00036371499917542405,-1.0267122767526615e-06,-1.314695472487415e-07,-5.53364190025718e-08,-2.8363764781325074e-08,-1.915368252891625e-08,-1.7579823818891782e-08,-2.0030457181796635e-08,-2.5133563008594706e-08,-3.198092790590579e-08,-1.840199170821677e-08
0.16,-0.09460735163849532,0.18956412608626583,-0.09433011259167423,-0.0006073847469536542,-1.4531639698223131e-06,-7.553965430950882e-08,-1.157909492732756e-07,-1.1016437417854519e-07,-9.447114279748092e-08,-7.705471705143907e-08,-5.896319088538604e-08,-3.903037304464618e-08,-1.493479284686572e-08,-1.7690443554485569e-09
0.18,-0.11725142961707258,0.235054417700163,-0.11682955159993968,-0.0009580298864328984,-3.3259967482379693e-06,-4.6683729104657345e-09,5.065876784726697e-08,4.8393949958480675e-08,3.6216921794895995e-08,2.281820132843393e-08,7.726262851726062e-09,-1.2345909072841721e-08,-4.07981848304928e-08,-3.1142942669148965e-08
0.2,-0.14140483134269277,0.2836438649695414,-0.14077692931527608,-0.0014206189397160118,-6.591796344879164e-06,-5.357231877001212e-07,-4.389000670679266e-07,-3.4501001822118127e-07,-2.7733598106927104e-07,-2.303092105915283e-07,-1.933025307598868e-07,-1.5434686650994678e-07,-9.726372995899624e-08,-3.507428580906691e-08
0.22,-0.16672828933698258,0.3346507501764159,-0.16586159998322036,-0.0020390570341497494,-9.6866279826191e-06,3.108308945787286e-07,2.0197017991385735e-07,1.0805358119370112e-07,5.935064295581327e-08,3.93809226340025e-08,3.155241856678259e-08,1.8729728656907696e-08,-1.8044323035759646e-08,-3.052120844948547e-08
0.24,-0.19288137907502878,0.38743422079132284,-0.19167967649555173,-0.0027979106626163652,-1.9532040422709507e-05,-1.2431763330988943e-06,-7.853963952531018e-07,-5.406939060925708e-07,-4.149763032090803e-07,-3.579903119499406e-07,-3.3613479477612174e-07,-3.191715398642714e-07,-2.6004143172109195e-07,-1.1828983748074506e-07
0.26,-0.2195103497629869,0.44126215710151473,-0.21795517062898873,-0.003757092235087023,-2.5252428418998107e-05,4.1495403735325453e-07,6.009251229954771e-08,-1.1472657512889839e-07,-1.5597776159559373e-07,-1.3131782072850484e-07,-7.427421189198924e-08,-1.300070695542388e-08,1.0710561548776809e-08,-1.750179345894054e-08
0.28,-0.24626983456425033,0.4955043000105457,-0.24423318577576847,-0.004878699428758182,-4.5777260580082135e-05,-1.7617022617377742e-06,-7.9165106436907e-07,-4.5081078925424123e-07,-3.289718060184299e-07,-3.1401115041518324e-07,-3.6149331394952355e-07,-4.401620798955008e-07,-4.7138356717990604e-07,-2.6057681490332385e-07
0.3,-0.27281686914136616,0.5494268704747624,-0.27029777672543653,-0.006231588901991492,-5.835362609318828e-05,-3.6077458764882664e-07,-7.370651555760332e-07,-8.301060347992717e-07,-7.540007729289755e-07,-6.240104002408486e-07,-4.588551089090842e-07,-2.580058717782663e-07,-5.036090566790108e-08,-2.0289413593665984e-08
0.32,-0.29882184520060573,0.6024464773056877,-0.2956760228599966,-0.007761333099496448,-9.245835774385203e-05,-1.7373801936004796e-06,-3.3164985191458385e-07,-9.48320828531024e-08,-6.470102620337315e-08,-1.0624281077120656e-07,-2.1196159483150012e-07,-4.0603957351947884e-07,-6.351920236458142e-07,-4.360850865969823e-07
0.34,-0.323975357907005,0.653879882318427,-0.3202131320612755,-0.009532687364545822,-0.00011999288252362295,-2.4100093900525366e-06,-2.0236438087462005e-06,-1.771331488042982e-06,-1.49698595108827e-06,-1.28348659977906e-06,-1.077390088699559e-06,-7.809981179551784e-07,-2.997774325441682e-07,-8.837940423944701e-08
0.36,-0.3479827554382598,0.7032160352583131,-0.34346997143834523,-0.011486467681435242,-0.00016880642364391907,-1.5069951138091398e-06,8.740134993523441e-08,-1.4966490380352582e-08,-8.783884752894267e-08,-9.02298550320424e-08,-1.0402117101016017e-07,-2.685209760100449e-07,-6.793282502082221e-07,-5.956268608331428e-07
0.38,-0.3705861513934859,0.7498717715226617,-0.3653305847563402,-0.013668233106022054,-0.00022235824053734587,-5.516927953141959e-06,-3.080423046142311e-06,-2.277459981270269e-06,-1.8311277039106955e-06,-1.6528444551910937e-06,-1.589720655836846e-06,-1.417248710056107e-06,-7.706577884736276e-07,-2.897914163080273e-07
0.4,-0.39154229626070075,0.7934241164097097,-0.3854513840459511,-0.016027668927944216,-0.00028646422346656486,-2.2938865054666913e-06,-3.706944692316583e-07,-8.278410713602469e-07,-8.853397426844545e-07,-6.994715585073585e-07,-4.1776496051415535e-07,-2.676888425923174e-07,-6.125016601132849e-07,-6.88728943432082e-07
0.42,-0.41065639025339273,0.8334292581586555,-0.40371923087814704,-0.018577756844866344,-0.0003768437086788534,-8.959944614472803e-06,-3.199236376538739e-06,-1.988882226022781e-06,-1.5211762867117784e-06,-1.477638426117256e-06,-1.6911088334681246e-06,-1.9124790840985284e-06,-1.4377669440013285e-06,-6.983899741297428e-07
0.44,-0.42774983068445954,0.869562601014106,-0.4199429665956397,-0.021290003023767656,-0.0004589880906653576,-5.7183051362930115e-06,-2.202090612191121e-06,-2.5810005522819424e-06,-2.390110873495832e-06,-1.9519162329784123e-06,-1.3333533241399742e-06,-6.659438963607656e-07,-5.406083232739611e-07,-6.922188088842596e-07
0.46,-0.4426948902430987,0.901540882528097,-0.43397794140471513,-0.02413444295485212,-0.0005927687090652167,-1.2422177538273793e-05,-2.3655591149251975e-06,-1.287748666645161e-06,-9.926095832502035e-07,-1.0304200082078552e-06,-1.395941182369409e-06,-2.0574916105298158e-06,-2.1491367727666244e-06,-1.3185575777341363e-06
0.48,-0.45538699734634447,0.9291471484808017,-0.44581997942179274,-0.027116155388451635,-0.0006999804482961669,-1.2746160187038225e-05,-4.870971049730777e-06,-4.5240729332207685e-06,-3.92370405999376e-06,-3.3667351305721738e-06,-2.6785884549296313e-06,-1.6299692902066454e-06,-6.723902149508021e-07,-6.533177234202547e-07
0.5,-0.46576301855496705,0.9522590680002454,-0.45527704267825164,-0.03015482877490508,-0.0008769541470447229,-1.6910665984581907e-05,-1.6507262244336296e-06,-1.2203146224631922e-06,-1.115327124018295e-06,-9.825047390110697e-07,-1.0802782993701854e-06,-1.814490447560324e-06,-2.686800468998385e-06,-2.063731725621132e-06
0.52,-0.47379674097110197,0.9707763870452972,-0.4625305309160679,-0.03329925911292589,-0.0010204808592957915,-2.3306662588595817e-05,-6.997544300835212e-06,-5.515267164996063e-06,-4.5972673598515534e-06,-4.195146145635764e-06,-3.894617369215592e-06,-2.9891823946637253e-06,-1.1444124860815474e-06,-6.745169658095573e-07
0.54,-0.4794818095058331,0.9847184971662211,-0.4673531856376778,-0.0364148371658736,-0.0012337750428237232,-2.4566086090874184e-05,-2.41323009199379e-06,-2.6763794997025636e-06,-2.548621132941742e-06,-1.9841364521516747e-06,-1.3808119502245475e-06,-1.5344850579912528e-06,-2.9971499001385515e-06,-2.8240965249809458e-06
0.56,-0.4828690943759098,0.9941086752034822,-0.47007159500726425,-0.0396005389767764,-0.001426084262418581,-3.6749624153550875e-05,-7.604734934954505e-06,-5.138381366801004e-06,-4.154413531479162e-06,-4.0352295134632454e-06,-4.373097555118721e-06,-4.230048093481487e-06,-1.9457648289811225e-06,-9.032488160198859e-07
0.58,-0.48399841636479457,0.999076643427239,-0.4704629965768444,-0.04267015915066516,-0.0016655397903921516,-3.779763151106827e-05,-5.115481822921819e-06,-5.409806461478817e-06,-4.96899677150664e-06,-3.980961630411367e-06,-2.646889076123732e-06,-1.7144521807128943e-06,-3.142388111908312e-06,-3.444269092312685e-06
0.6,-0.4829899681967624,0.9997682655916208,-0.4689276711143671,-0.045769869696682765,-0.0019153417017739247,-5.287303746702096e-05,-6.92662905246548e-06,-4.222458137363022e-06,-3.4048637625513217e-06,-3.3734706757077015e-06,-4.0848608661298025e-06,-4.94891328409186e-06,-3.020036805800874e-06,-1.5227424517167548e-06
0.62,-0.47991901883178384,0.9963899845451477,-0.4653044382400639,-0.048677751722348506,-0.0021719203949725555,-5.805305352731688e-05,-8.932742395759141e-06,-8.170355897840764e-06,-7.236314434909408e-06,-6.133515612634366e-06,-4.567750224671041e-06,-2.6102513123807403e-06,-3.2260632473399276e-06,-3.754072114892093e-06
0.64,-0.47496075800607834,0.9891960078300363,-0.45998154061530966,-0.05156766480940098,-0.0024800286262855464,-7.287998373399496e-05,-6.311957493357334e-06,-4.130589073489399e-06,-3.5272816822501385e-06,-3.1811040135387714e-06,-3.5751587438292987e-06,-5.019822012966579e-06,-4.1874036948580384e-06,-2.6075364322891703e-06
0.66,-0.4682172817236043,0.9784428741880853,-0.45291635666998614,-0.05421575560092734,-0.0027492101244120104,-8.529966385001364e-05,-1.2289972900259016e-05,-9.685645591978043e-06,-8.335566976380715e-06,-7.511783014335638e-06,-6.454152263329904e-06,-4.1925463918346395e-06,-3.4445809365679647e-06,-3.7213988290651923e-06
0.68,-0.45989860662437176,0.9644629803680731,-0.4444073955456324,-0.056785194062245054,-0.0031062013618056994,-9.89810824640891e-05,-7.279039964475098e-06,-5.675649105446601e-06,-5.10551041679741e-06,-4.136782701696928e-06,-3.540545934738182e-06,-4.604162467586326e-06,-5.261880506923777e-06,-4.098131578672559e-06
0.7000000000000001,-0.45012847957915597,0.9475484349674297,-0.434568124452979,-0.05910020977988645,-0.0033896296738438747,-0.0001187367604931211,-1.4111908809122387e-05,-9.621531848913456e-06,-8.118418278246775e-06,-7.718935155526241e-06,-7.618529707514865e-06,-6.064724797527621e-06,-3.870365624991656e-06,-3.415177024207461e-06
0.72,-0.43912755763870537,0.9280662668594789,-0.4235575340582518,-0.06126140724474333,-0.0037768819636083695,-0.0001332713027763499,-1.0360229448003189e-05,-8.513307430513262e-06,-7.707568408121812e-06,-6.1783752303146144e-06,-4.451674044336773e-06,-4.204522386697107e-06,-6.290177154588683e-06,-5.892451448163971e-06
