t,Czz_1_0,Czz_1_1,Czz_1_2,Czz_1_3,Czz_1_4,Czz_1_5,Czz_1_6,Czz_1_7,Czz_1_8,Czz_1_9,Czz_1_10,Czz_1_11,Czz_1_12,Czz_1_13
0.0,2.7891100887189595e-17,1.0,1.4013313079375145e-17,7.074419175467916e-18,3.604972223514302e-18,1.870248747537495e-18,1.0028870095490916e-18,5.692061405548898e-19,3.5236570605778894e-19,1.3552527156068805e-19,0.0,0.0,0.0,0.0
0.02,-0.0008971672272003495,1.0,0.0006139201053453168,-0.000582136932980108,-7.124195303811177e-06,-2.8170681577521306e-09,1.1260719327349988e-09,2.0255915854686633e-11,1.140884126537775e-13,-3.313769072511852e-15,-9.173705631942974e-17,-3.9708904567281315e-18,5.299038118022916e-18,-6.758645292731514e-17
0.04,-0.0035932256044288397,1.0,0.002457299236320771,-0.0013565851858069865,-4.453592844412725e-05,-1.6237633210949387e-06,-4.622327531687452e-08,-7.536594882786955e-10,1.3576912435021155e-11,1.8341108254556204e-12,7.384473891744459e-14,-1.1877434799578072e-16,-7.668019864901705e-17,-5.846695740399606e-16
0.06,-0.008050684643754219,1.0,0.005483183073702635,-0.004042476570011392,-4.7246078901673e-05,2.9090253556025278e-06,1.0095136906690253e-07,9.885755892141473e-10,1.2196682235682786e-11,1.3069629878131527e-12,-2.892907403429302e-13,-7.071059503985788e-14,-3.696709279833678e-15,-3.759199982552634e-16
0.08,-0.014269378326840177,0.999999999999987,0.00973583144421155,-0.005441376402806726,-0.00015751125438956808,-6.398490885376181e-06,-2.1376047334746803e-07,1.248980556795732e-09,1.1628782985650176e-10,-3.717066735517763e-11,-4.215058085011361e-12,5.409487148729159e-14,5.202317797642798e-14,9.599797097391165e-16
0.1,-0.02215230399629497,0.9999999999998106,0.015072163517704006,-0.010646916624139746,-0.00022949776127680546,1.5655771032368697e-05,8.491628848342376e-07,4.422645119404211e-09,-1.3296430138290355e-09,-1.4383501993077963e-10,-1.3303139921022135e-11,6.66612354516653e-13,3.255095303471271e-13,1.3918445381734106e-15
0.12,-0.031716696540291266,0.9999999999999999,0.021565835074184223,-0.012276546655833323,-0.0003079543594760603,-9.47135899553755e-06,-1.0352312495029648e-06,-1.6697166601596966e-08,1.3461784035721314e-09,8.808279411030246e-11,2.6089373296824803e-11,5.555333387860475e-12,1.9988073425127798e-13,-1.231302928542372e-13
0.14,-0.04279532008636323,0.9999999999999672,0.029080869510767826,-0.019839802169214833,-0.0006963146056739159,3.979683712314539e-05,3.5516974547491393e-06,4.3706624921431016e-08,-7.83375023079017e-09,-4.590423319646046e-10,6.063507331053677e-11,2.1388712429334432e-11,3.5880625998250724e-13,-6.880482511867957e-13
0.16,-0.055436681020601966,0.9999999999998551,0.03751861149005,-0.02180187084410192,-0.0005226749788066397,1.0745559506792942e-05,-2.8545047201281914e-06,-1.541955329925307e-07,9.010616905906835e-09,1.2473832128616217e-09,9.303508460042488e-11,5.740497622593168e-12,-3.4361387433287843e-12,-9.727232447316953e-13
0.18,-0.06939341309941607,0.9999999999999686,0.04705452011709027,-0.03095727658351854,-0.0015470917868716353,6.267600495413183e-05,9.609638652259528e-06,3.813723382262331e-07,-8.729064654504023e-09,-6.82294967513404e-10,1.6855517695024952e-10,-4.795855363219953e-12,-1.8294795366137912e-11,-1.9854255636441223e-12
0.2,-0.08475184234276115,0.9999999999999817,0.057044315045588864,-0.03378517823421393,-0.0009447908860394361,8.90923266248735e-05,-3.7632002488443846e-06,-7.377481477271946e-07,3.287998641096096e-09,3.6729477059077904e-09,1.438169746595527e-10,-2.7260481090349107e-11,-1.752092768830253e-11,-4.045845554167592e-13
0.22,-0.10119494067742721,0.999999999999239,0.06839226275065455,-0.043335028662367776,-0.0027852564266193,6.746394740783701e-05,1.770228504338894e-05,1.3370912651724521e-06,1.5107351061830044e-08,-6.175973514216481e-09,-7.879758732851898e-10,-1.5161956422104057e-10,-1.8667967603034972e-11,1.096717481354755e-11
0.24,-0.11883317861614318,0.999999999999712,0.0795021831558411,-0.04776827540581747,-0.0018315573947406446,0.0002518211438794561,3.4534523140831266e-06,-2.017720068250605e-06,-9.448351993590389e-08,5.3926030968673e-09,2.823167810096709e-10,-1.0943246379587449e-10,-1.1638511850263722e-11,1.5728600198618718e-11
0.26,-0.13730904204446154,0.9999999999999841,0.09236642713444253,-0.05641025716596475,-0.00434015004374011,5.2629988579998434e-05,2.1645323772232278e-05,2.6817454986853625e-06,1.341269344626798e-07,-1.2150875510611166e-08,-1.7819619292381795e-09,6.868441027789505e-11,8.960997640802124e-11,2.1828136113939167e-11
0.28,-0.1567295501811437,0.9999999999995111,0.10419034404875438,-0.06305850044228181,-0.003478456760613875,0.0004873123945224205,3.017744882062739e-05,-3.415927658722394e-06,-4.1168673528711846e-07,-2.0102404917802136e-09,2.1749818764323894e-09,3.143022354152628e-10,1.3036655411335202e-10,1.9908753600776076e-11
0.3,-0.1767354503448208,0.9999999999992756,0.11815153542076455,-0.06974348457435128,-0.006140956868692203,5.768613630639963e-05,1.65027050587579e-05,3.2231476717208915e-06,4.667362922184959e-07,1.0448460285878998e-08,-1.651063307232233e-09,2.7362772800585375e-10,8.453960556771658e-11,-4.195476773097263e-11
0.32,-0.1974001147608111,0.9999999999992706,0.1303693853081327,-0.07881375497860267,-0.0061107803269962605,0.0007300434168534311,8.499816061513651e-05,-2.6164107967696622e-06,-9.244542683559181e-07,-3.4279995652804694e-08,7.083305349207092e-09,1.2476351324542716e-09,4.137510227833112e-11,-1.2010487015435713e-10
0.34,-0.21839776521739562,0.9999999999997358,0.14486958990559168,-0.08297644304729032,-0.008204411732471911,0.00015631611006606416,6.719150188405349e-06,3.5605694286189446e-07,8.460309512670917e-07,8.709950346839484e-08,-1.627935228108808e-09,-7.627359771069321e-10,-2.1750885855353e-10,-1.245513388471205e-10
0.36,-0.23974927234506335,0.9999999999984386,0.1572746670527601,-0.0941410185221648,-0.009779121332676404,0.0008858764934918168,0.00016455272604952765,3.477321533722244e-06,-1.3286017485212472e-06,-1.4079462626053035e-07,2.088344108997879e-09,4.196611870669921e-10,-5.747120135202236e-10,-1.5007565100355278e-10
0.38,-0.26117884262954155,0.9999999999982748,0.1716429941032132,-0.09579702037488139,-0.01069147227945449,0.00041290329008863096,1.3146137570819542e-05,-8.040218422998903e-06,6.130556362115158e-07,2.148549465667922e-07,4.142978934185012e-09,-2.8568126898537284e-09,-5.836833864678941e-10,1.3371553701979747e-11
0.4,-0.2826614703210789,0.9999999999999758,0.1841307644717108,-0.10820655995158235,-0.014331873761570513,0.0008746121948462875,0.0002469372387383266,1.540342961551961e-05,-1.0155086319572486e-06,-3.2534084219382153e-07,-2.412083924710789e-08,-8.805463058880609e-12,2.5762296809739607e-11,3.540492161464953e-10
0.42,-0.30395829999787594,0.9999999999991381,0.1976448351868395,-0.10788586887950287,-0.013869609039208912,0.0008359734536502163,7.156854185909269e-05,-2.0109983586116515e-05,-1.1991732415772732e-06,3.035765256031431e-07,3.020152433059177e-08,-2.621607886330244e-09,-1.0513873987734931e-10,5.019065915784245e-10
0.44,-0.32503518183640345,0.999999999998949,0.21016296703758822,-0.12033925210036929,-0.01947961611683702,0.0006810912320953887,0.00030409871153571006,2.9392085690634617e-05,8.26213158873708e-07,-3.9233744763182997e-07,-6.026401893041936e-08,2.448328261130433e-09,2.0228856536362038e-09,4.692362652946389e-10
0.46,-0.3456483592006364,0.9999999999990671,0.22214789119418155,-0.1188963420579276,-0.018018589359843573,0.0013377465289009477,0.00021409007758777944,-2.801281912122228e-05,-4.996167518584877e-06,1.7112944139319276e-07,9.042101988814095e-08,6.583267268629223e-09,9.910167838127686e-10,1.9561497059263512e-10
0.48,-0.3658156576192399,0.9999999999998653,0.23461232012535457,-0.13006922640882984,-0.024893535935263198,0.0003785315218752021,0.0003229914625140187,3.689046530834701e-05,4.022262848776753e-06,-6.196952669764337e-08,-9.255521112415765e-08,-2.572205428010909e-09,1.8499467640001158e-09,-5.935358418945741e-10
0.5,-0.3852273992613617,0.9999999999994216,0.2445547342221056,-0.1284754376296264,-0.023312636681933913,0.0017458426002730034,0.00044837635878923563,-1.954618726118047e-05,-9.633179440037386e-06,-4.2461284785459483e-07,1.3981599046124647e-07,1.9956742634460128e-08,-1.1614346805127554e-09,-1.6739811782563392e-09
0.52,-0.40402497227565887,0.9999999999990878,0.2567669512467668,-0.13713689880417257,-0.03032708172471358,8.768038713114538e-05,0.00031997590523462273,2.8122938006969423e-05,6.3980635339297105e-06,7.922825364611845e-07,-8.283201580223002e-08,-2.403984582801491e-08,-1.93289020654625e-09,-1.1956821694856032e-09
0.54,-0.421770605310901,0.9999999999999992,0.26440685867892877,-0.13628646255787913,-0.029719372945499575,0.0018614936192438846,0.000742216203587909,1.383042567657723e-05,-1.2554721863982997e-05,-1.6233562672362435e-06,5.94028027126054e-08,2.661923059952519e-08,-3.588235756267459e-09,-1.433949164730899e-09
0.56,-0.43878785409450927,0.9999999999997568,0.27600111943318156,-0.14148826641246628,-0.03568505304883322,-8.118074346731966e-05,0.00034813458831406944,1.1267901318110413e-06,4.359305194912681e-06,1.8801987925200618e-06,4.7773816292652155e-08,-4.894993845250939e-08,-5.9253311030936495e-09,1.0634801583066674e-09
0.58,-0.4544750393081955,0.9999999999999161,0.2813795449561077,-0.1420367760621087,-0.0369909481171248,0.0015298293825730639,0.001029222852445867,6.983455368156766e-05,-1.0450124562776577e-05,-2.931280675667996e-06,-2.0235585223639015e-07,3.227138132297506e-08,5.263665303211259e-09,2.2217369210651156e-09
0.6,-0.4693537200759303,0.999999999999815,0.2918177493282159,-0.14324694983453592,-0.0410115370311588,-9.306817262315496e-05,0.0004782333717089811,-3.2374972581035766e-05,-5.127767162472633e-06,2.367766699907784e-06,3.6613720941537835e-07,-3.723940532624147e-08,-5.569526855185348e-09,4.246647020782407e-09
0.62,-0.4826792424752968,0.9999999999997334,0.295262373339447,-0.14551388498005657,-0.044716888360458736,0.000707365144577094,0.0012408174338834651,0.00013359707452206926,-1.4410221559964678e-06,-3.1927242259807e-06,-5.608152702582107e-07,2.2611262932685065e-08,2.1055768615711018e-08,2.3859700019487037e-09
0.64,-0.495113782723106,0.9999999999995898,0.3038913293698921,-0.14268009069645604,-0.04643273492735628,-3.088096514409394e-05,0.0007628703863136741,-4.7317527741166415e-05,-2.145345326604433e-05,1.2058182338356915e-06,8.060844503881115e-07,4.615397848298346e-08,-7.0513928706482934e-09,-1.4243318418423806e-10
0.66,-0.5058762795132699,0.9999999999999065,0.305931214401347,-0.14659811520951133,-0.05242345132763471,-0.0005248844738901918,0.0013368077405077332,0.00018024038702402532,1.1659110373050219e-05,-1.3649666588488854e-06,-8.141506472030395e-07,-5.5785872182906865e-08,2.161731966949691e-08,-2.592745346787996e-09
0.68,-0.5156141841308206,0.9999999999999992,0.31209600861582953,-0.1401703248033195,-0.05206776451327933,-7.571779936078089e-05,0.001206319041386938,-1.4533694279829506e-05,-3.908324362344469e-05,-2.427760897686849e-06,9.964808187569366e-07,1.7230476959864812e-07,-1.870374017705295e-08,-1.0629799750702944e-08
0.7000000000000001,-0.5237181064003613,0.9999999999992394,0.31333331144516896,-0.14526856204486588,-0.059681775792597154,-0.001992516942017657,0.0013310634905341749,0.00018756736208292793,2.0926389717909083e-05,2.5877839565677563e-06,-6.323882013907044e-07,-2.1367493359591032e-07,-4.0781156609576804e-09,-1.9359151185177464e-09
0.72,-0.5305647624676479,0.9999999999995131,0.31650852461898177,-0.13615791720417456,-0.05796396684584081,-0.0004558352106340538,0.0017467168875103223,8.312472657724347e-05,-4.883147975364608e-05,-8.157642555672805e-06,4.4393465160404245e-07,2.7564576700900354e-07,-1.258556052835006e-08,-9.204882659239492e-09
0.74,-0.5360140113526367,0.999999999999849,0.3174815221702452,-0.14162843962757332,-0.06617982780221093,-0.003486526669409917,0.0012989382305423757,0.0001523969794491001,1.617021088117503e-05,6.874657609629282e-06,2.924343771424221e-07,-3.419778509704114e-07,-4.240617447080444e-08,1.2433910752408276e-08
0.76,-0.5398425542620879,0.9999999999999167,0.31739882409220094,-0.13108522067879524,-0.06406478446483985,-0.0013725649979422483,0.002269939456643044,0.0002390870360598074,-4.105951843826239e-05,-1.341488190002717e-05,-9.757098101190817e-07,2.95193260401096e-07,5.1049761055416175e-08,3.194689950962387e-09
