t,mz_0,mz_1,mz_2,mz_3,mz_4,mz_5,mz_6,mz_7,mz_8,mz_9,mz_10,mz_11,mz_12,mz_13
0.0,1.109138822452671e-16,5.5402731014009277e-17,2.7647155398380363e-17,1.3769367590565906e-17,6.830473686658678e-18,3.3610267347050637e-18,1.6263032587282567e-18,7.589415207398531e-19,3.2526065174565133e-19,1.0842021724855044e-19,0.0,0.0,0.0,0.0
0.02,-3.54737398310101e-16,2.0877532558652434e-15,8.935181153996163e-17,-7.718164215381185e-17,-2.860938482646125e-17,-4.595661958622932e-17,3.731010726065742e-17,7.8198081690517e-18,6.952446431063297e-18,-1.2563192673675783e-17,1.9651164376299768e-18,-1.3484764520288461e-17,-6.383240290508407e-18,6.35613523619627e-18
0.04,-1.8491615573837383e-13,-1.3319430736298543e-12,-1.8566555627999581e-13,-1.2297563141416834e-15,4.700016417724662e-17,-4.320545657354735e-17,8.836247705756861e-18,6.2341624917916505e-18,-7.209944447028604e-18,3.4423418976414766e-17,-2.5478751053409354e-18,4.716279450311944e-18,1.52059354691092e-17,2.8324781756183803e-18
0.06,-4.151503857211577e-11,-8.1279896645115e-11,-4.2103623308620795e-11,-4.1436015588754843e-13,2.010480811779486e-14,6.550885051428978e-16,-2.145365048805692e-17,-8.443224418230866e-18,-9.744267025213471e-18,1.531435568635775e-18,2.6156377411212794e-18,1.7035526635178488e-17,6.640738306473715e-19,-2.791820594150174e-18
0.08,4.538266024466781e-09,1.1411916110464144e-07,5.923069740609139e-09,-2.7788806218414456e-10,-1.1152713098199797e-11,-4.092799504255146e-14,1.990798476590727e-15,-5.964467201385881e-17,1.4948437453143892e-17,-2.2781798149351662e-17,1.180425115293593e-17,-1.248187751073937e-17,-1.530080315920168e-17,-1.021860547567588e-17
0.1,-1.120923875542871e-08,4.351446315537953e-07,-3.0018982537639936e-09,-2.249825988188828e-09,-3.786482534310666e-11,1.1934521025516037e-12,5.252100295470574e-14,1.2339033874514405e-15,8.754932542820448e-18,5.149960319306146e-19,-1.9434323941802667e-17,-1.7645390357201585e-17,1.6588293239028218e-17,1.734723475976807e-18
0.12,-1.8051265857958417e-08,8.900253824724639e-09,-1.7884440110297836e-08,-4.345705193403238e-10,3.48598432970337e-11,1.2012257372606347e-12,-7.111512442294077e-15,-6.999744750837977e-16,-1.3145951341386741e-18,-2.1819568721270777e-18,5.1906179007743525e-18,2.4218366027894955e-17,9.283481101907132e-18,1.8404331877941438e-17
0.14,4.777674935734714e-08,-1.8103761493188438e-07,4.128512908823593e-08,2.804281607531804e-09,-7.350485298825583e-11,-6.27190114351351e-12,-7.982130852558084e-14,1.1208888634969827e-15,1.8717395255246627e-16,3.516880796999855e-17,2.6495190590114515e-17,3.077778917143226e-17,-1.7306577178299865e-17,-1.870248747537495e-18
0.16,3.188365249717621e-08,-3.8070456831340734e-07,1.3458981763635062e-08,5.339667473290436e-09,7.16981139443993e-11,-1.0175598726255494e-11,-3.070968772247301e-13,6.927970567019437e-15,5.684743040884621e-16,-1.439278383974507e-17,-6.478107980600889e-18,-4.0684686522518554e-17,7.968885967768458e-18,-1.622237500581436e-17
0.18,-4.841704670280572e-08,1.7731093654679603e-07,-3.784534713150117e-08,-4.188273503377303e-09,9.318748791825766e-11,1.3624943865199815e-11,1.7294393456386559e-13,-6.17493794811963e-15,-1.2118669782956726e-16,-8.020385570961519e-17,-2.4475864043860263e-17,-4.7135689448807305e-17,1.0245710529988017e-17,-1.7225262015363452e-17
0.2,1.1430754589099529e-07,-1.3539416047640479e-07,1.052648403621786e-07,6.816376536616323e-09,-5.111582645329037e-10,-3.6701870221363814e-11,2.169311280088293e-13,6.990724188762898e-14,1.789855156447695e-15,-1.4999937056336954e-16,-2.3906657903305373e-17,5.2583805365546965e-17,-3.5344990823027445e-17,2.0613393804380653e-17
0.22,-2.4315976757574684e-08,-8.723095510620034e-07,-1.067116483765147e-07,1.704906707709886e-08,1.4363836809832024e-09,-2.940571165743495e-11,-4.0592124523871134e-12,-3.175006102213579e-14,8.102649410798857e-16,-6.232671713804483e-16,1.9664716903455837e-17,-1.8053321424599256e-16,3.186199134391776e-17,-1.774296855272528e-16
0.24,-2.0124398081294978e-07,5.36666004663565e-07,-1.4459833289065657e-07,-2.3335340243403526e-08,5.666907429966762e-10,1.3211831634144314e-10,1.9745421118468054e-12,-2.3406011287127604e-13,-1.48300967860171e-14,-4.681042879706165e-16,1.1064283170214573e-16,-2.0377579831865056e-16,6.572975670693371e-17,-1.633079522306291e-16
0.26,1.988558703475352e-07,1.2604076876034825e-07,2.2002756832564146e-07,8.18903680368415e-09,-2.1998561436153497e-09,-1.1653800061734668e-10,4.417756945310734e-12,3.31333037720781e-13,-7.813208088326695e-15,-4.0897461198868834e-16,1.8354187527463983e-16,1.7211709488207383e-18,3.506038775275e-17,2.892109295105083e-17
0.28,-1.296799548760935e-07,-6.992759079465832e-07,-2.4155382126909096e-07,1.312622519957841e-08,3.8141677966235885e-09,4.5812998278891084e-11,-1.3943014359188086e-11,-5.708420661078989e-13,1.1500403494096867e-15,1.7342084799448765e-15,3.768957802102735e-16,1.2658060363768264e-17,3.1956859034010243e-17,4.6349642873755315e-18
0.3,-2.747743657731958e-07,8.511447251320073e-07,-1.3066334290815027e-07,-5.003385813876025e-08,-4.098856589427116e-10,3.675895225143874e-10,1.2679324062035702e-11,-8.976930527052063e-13,-4.514368479729969e-14,4.5843320459204584e-15,3.494383601920781e-16,3.4445103019864476e-16,-1.1926223897340549e-18,3.29922721087339e-16
0.32,4.000944986033559e-07,-8.540396593097334e-07,2.389569343392981e-07,6.607808897508762e-08,-6.855809715913081e-10,-6.040924924324105e-10,-1.6824506455441306e-11,1.4471572405043778e-12,7.732200567756725e-14,5.45046050393766e-15,7.040402332306184e-16,1.6936593186939186e-16,1.2258260812664235e-16,4.098690787809889e-16
