t,Cxx_1_0,Cxx_1_1,Cxx_1_2,Cxx_1_3,Cxx_1_4,Cxx_1_5,Cxx_1_6,Cxx_1_7,Cxx_1_8,Cxx_1_9,Cxx_1_10,Cxx_1_11,Cxx_1_12,Cxx_1_13
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,-0.002949442610446803,1.0,-0.00012434637972675374,-0.00037670149310364744,-0.0003562133575611716,-0.00037201685441951926,-0.00037892956814683087,-0.00037815360646935954,-0.0003701392340488994,-0.0003547201530117337,-0.0003310380429198084,-0.00029707040749509927,-0.0002486139374680259,-0.002394565491836975
0.04,-0.0055553593811535264,1.0,-0.00066265117243496,-0.0025245893756014773,-0.0019254251330744522,-0.001986527372606485,-0.002012709768037216,-0.0020039940418447194,-0.001962484730344601,-0.0018870593085685327,-0.0017728303814275462,-0.001608352516163464,-0.0013693709516351936,-0.004761254486736949
0.06,-0.006136289100188526,1.0,-0.001016339185527377,-0.005564686553043441,-0.0033449052450382185,-0.003384667686839886,-0.0034091187081189507,-0.003392640344382227,-0.0033387174715133585,-0.0032470116015298877,-0.0031129998276627534,-0.002924623197637243,-0.002635488514563361,-0.005349916885613643
0.08,-0.00705980550329419,1.0,-0.001180187280058363,-0.009075541469028234,-0.004402484748236994,-0.004374870635656279,-0.004381888185625293,-0.004345959811687759,-0.0042741698196582766,-0.004169182981462989,-0.004030702359153655,-0.003852865573146632,-0.0035803431849791138,-0.005580337727328794
0.1,-0.00859375803846,1.0,-0.0011850299075108828,-0.012728389496092516,-0.004849426586294995,-0.004664330744029207,-0.00459529446641417,-0.004467948183935717,-0.004305509153730805,-0.004119603470733939,-0.003914320659616512,-0.003688018915048746,-0.0034382636188957302,-0.004882501226393757
0.12,-0.011405537874243518,1.0,-0.0013421466908495302,-0.01705825193865569,-0.005926843833537997,-0.005604973331266177,-0.005492516936942714,-0.005267651684219067,-0.004970113019248525,-0.004619204814172277,-0.004215714751315584,-0.0037537450213932654,-0.0033700183905044307,-0.003798601733907901
0.14,-0.015235943912122352,1.0,-0.0021679854399950377,-0.023696666109758686,-0.009200059393498255,-0.008733420022356794,-0.008621551250695133,-0.008357335303410884,-0.007975409284130248,-0.007499822257212518,-0.00694248536426454,-0.006316620364287996,-0.00579125065278685,-0.004690676361563475
0.16,-0.018287971455442992,1.0,-0.0025740224148128265,-0.030662507123473702,-0.012674128423471424,-0.012663257716573327,-0.013045516809468425,-0.01304426862711406,-0.012646205749352166,-0.011878317849952668,-0.010809583265887563,-0.009552116107969463,-0.008350960333340896,-0.004910736059915894
0.18,-0.024013845083480468,1.0,-0.0013027076123986155,-0.03323289466765641,-0.013366910214431458,-0.014241864704174457,-0.015349359398293128,-0.015800275462152385,-0.015517987847176288,-0.014504439009336286,-0.012859412915452773,-0.010795542526189169,-0.00874466714670745,-0.0003706782387451566
0.2,-0.03718617768680735,1.0,-0.0019956599492877694,-0.03486272971257036,-0.013723682155898365,-0.014934808985619599,-0.015956663901134056,-0.016209025309242016,-0.01568879629682853,-0.01442642431337338,-0.012541912211546647,-0.010312468505500253,-0.008348294233969652,0.003104298008972704
0.22,-0.04705756141931205,1.0,-0.005739208238722472,-0.04306308481753524,-0.01785649123955169,-0.01892134465965179,-0.019702966009967366,-0.01962954797564474,-0.01875639504639186,-0.017120022588651713,-0.014805256494741395,-0.012058818793274218,-0.009670483450203453,0.0029431008996187854
0.24,-0.050985229530463395,1.0,-0.00715731279764499,-0.053324675746520195,-0.02105924341484124,-0.021483138147915436,-0.022150064471034445,-0.0220195603246473,-0.02113158423857856,-0.019518791290664937,-0.017278141781360543,-0.014695238844403973,-0.012476291977748822,0.0007077061781287832
0.26,-0.053544399517000504,1.0,-0.006716050022260797,-0.06296205302222839,-0.022056874843512188,-0.021655748897375388,-0.022203851844405393,-0.021997373455868708,-0.021051280888314934,-0.019436591264749906,-0.017341457441355346,-0.01516628384379172,-0.01344958670837312,-0.0012112817071492097
0.28,-0.056876365853505015,1.0,-0.00583816249833846,-0.07222557973655744,-0.022822333826630403,-0.021518849424333367,-0.02177833081511929,-0.021173101394783952,-0.019761364337231465,-0.017699104366964917,-0.015261944866304064,-0.012986784140673547,-0.011502002448546485,-0.0004987538601232168
0.3,-0.06310099916530501,1.0,-0.005444156172282597,-0.08117474726001991,-0.025239595826598148,-0.023053791751358264,-0.02290389803920782,-0.021790001261319573,-0.01981453968222622,-0.017146540639493665,-0.013971045559878922,-0.010894315845023544,-0.008974992936639238,0.002200972902460515
0.32,-0.07148160949174973,1.0,-0.006246414997270956,-0.09015780134789195,-0.02844517945340759,-0.02530472640958264,-0.024920671442332853,-0.02366237146597338,-0.02157581978358492,-0.01884573659059701,-0.015512985295134804,-0.012156163727662019,-0.0099717087320586,0.002476867492607608
0.34,-0.0785154868092059,1.0,-0.0069275418305612775,-0.09910454019674422,-0.03040237764936691,-0.027039251283257782,-0.027373681375710224,-0.026634530968222755,-0.02453636605184572,-0.021466374017231882,-0.017781667307673565,-0.014381943511019955,-0.012303950762244774,0.0002882096585087909
0.36,-0.0858452836014258,1.0,-0.004696121971577581,-0.10485850844733367,-0.029852228008443768,-0.027587583090492633,-0.029638102895072516,-0.03013767376657369,-0.02822287424359956,-0.024362130113922045,-0.019326090437371338,-0.014688840387235606,-0.011868007497159107,0.0011906490806157868
0.38,-0.09937571458576898,1.0,-0.004218148877869112,-0.10782780185002415,-0.027906712862211146,-0.026160822385807105,-0.0287260450389833,-0.029537491114045192,-0.027675832819506873,-0.023606723470672254,-0.018176803050593552,-0.013386198835513763,-0.010888836766852011,0.003524096472352627
0.4,-0.1112741125564284,1.0,-0.009041328120998548,-0.114372221313006,-0.028363829821427645,-0.02537028825457501,-0.02777675142175139,-0.02839842717426691,-0.026581911909833573,-0.02267415727146366,-0.01729022096472756,-0.012505254250150024,-0.010155628870419486,0.004398591255328484
0.42,-0.11818713732849442,1.0,-0.011446524410931427,-0.1236503174400801,-0.029810256783137413,-0.024329321239417428,-0.026480273523100333,-0.027092767570207208,-0.025645849299918103,-0.022399862991172796,-0.017664872701449046,-0.013270272564768659,-0.010886550675115871,0.0032396201696698462
0.44,-0.12340462010298031,1.0,-0.01210278615264994,-0.1345264469972076,-0.03081195318670754,-0.022482436116571095,-0.02416830007642229,-0.024777025610604353,-0.023401440099276097,-0.020554765582816693,-0.016562877425858994,-0.012986373541024212,-0.011096039574693888,0.0016396754299696967
0.46,-0.1282712384566348,1.0,-0.012486977246281627,-0.14585839312271898,-0.03208178196084898,-0.02093075799535535,-0.022044386812919408,-0.022466863108768137,-0.020509608691317353,-0.01708810188896837,-0.01286438422187893,-0.009563719274459773,-0.008326065032944044,0.0023428820709877497
0.48,-0.13483448827953864,1.0,-0.012767383804513649,-0.15597673834931444,-0.034510890712582704,-0.021027141625336854,-0.02155807952263757,-0.021597011418890873,-0.018993463667574727,-0.01477613584788039,-0.009524295428105763,-0.005463563863925389,-0.0040922833060183725,0.004927695529792995
0.5,-0.14356495351145235,1.0,-0.013390397809502338,-0.16310535160142856,-0.036305712264326315,-0.021109351564407207,-0.02145585630427127,-0.021410177611317853,-0.01884831877295071,-0.015040252572504673,-0.009782182235682417,-0.005236683805516649,-0.0030388678465789387,0.005593513478920175
0.52,-0.15220854785237686,1.0,-0.014641600244521784,-0.16842730294289357,-0.03623456931159736,-0.019831605962215202,-0.02080195199679108,-0.02097483057539611,-0.01804454243358643,-0.014598706290931088,-0.010519324048296622,-0.007078008904725808,-0.005002886947184309,0.0032899372826225093
0.54,-0.15954234437206602,1.0,-0.014943381270286164,-0.17337648101062195,-0.03517061957917951,-0.01828727287808418,-0.021176555884662277,-0.02266234038374052,-0.019048406761026624,-0.014339706890873142,-0.009617648569321343,-0.006158721841935581,-0.004527195382212761,0.0022808926954753766
0.56,-0.1683653552301303,1.0,-0.015136351855278106,-0.17699806289535294,-0.03338667121363904,-0.01542649599596418,-0.01963839367449874,-0.02236932041353869,-0.018986227080313646,-0.013909525463677361,-0.008646901799707354,-0.004940270164164822,-0.0033120816795486267,0.0022458667886687232
0.58,-0.17663845411128923,1.0,-0.018182862973121768,-0.17959475657603768,-0.0325535529439559,-0.012004448184230451,-0.017071950536571668,-0.020410838726446716,-0.017772382549339015,-0.013172062203901103,-0.007915286022934329,-0.004302682010058361,-0.0026569556764340814,0.0014295923733881402
0.6,-0.1834302768967202,1.0,-0.019799690139884824,-0.18291327161399926,-0.03410609113921469,-0.010097053115221646,-0.016058933379180868,-0.019698215026556568,-0.017798238754371625,-0.014059232460148344,-0.009160340624232466,-0.0050503558997318145,-0.002463217086973289,0.0009100495602632304
0.62,-0.18962270374584259,1.0,-0.021107916435752588,-0.188460328914453,-0.03607995681102271,-0.008812126272388721,-0.015607688264346723,-0.019402424455488655,-0.01752712254433959,-0.014649845935293419,-0.010920233792576353,-0.006765604196038093,-0.0035251202948511752,2.571379053274139e-05
0.64,-0.19503350364678487,1.0,-0.022892293557271577,-0.19471229874859453,-0.037393635649470985,-0.007127546536736391,-0.014543971668255013,-0.0183708281155063,-0.015560515884127253,-0.012463408973393977,-0.009477070481873113,-0.005875172165021183,-0.0030859128394421153,0.00032994900811938034
0.66,-0.20043526963807146,1.0,-0.024639150110049652,-0.20059058206497254,-0.038956735983511036,-0.006038148248606367,-0.013819622609033114,-0.017361847317093653,-0.013492987740453204,-0.009201536841445215,-0.0056222282010519745,-0.002328719725832881,-0.0002894628622389107,0.0020096400728653635
0.68,-0.20646047437897178,1.0,-0.02582265213326686,-0.20372728525781428,-0.04002978762527822,-0.005706243121886029,-0.014140267104970279,-0.017361945554089136,-0.013160868215829184,-0.008589457940803524,-0.004410209705994247,-0.0005178490744449139,0.001873894395453533,0.0028462312679724913
0.7000000000000001,-0.21269848419214588,1.0,-0.026631574081043035,-0.2036518651445812,-0.04000607533314954,-0.005291383362581709,-0.014835262897002816,-0.017225854508645028,-0.011739691269995262,-0.007941858272666061,-0.005861831149767172,-0.002503367321342799,0.0006927672930032653,0.0011542538290812104
0.72,-0.21816907519597437,1.0,-0.02757705709471809,-0.20270992489688278,-0.039542025620685796,-0.004639598692535291,-0.01656022312156181,-0.019193276954877082,-0.011369149970018337,-0.006376089251775873,-0.005508104956549956,-0.00327538779202456,-0.0006594098560791005,-0.0008747679127408918
0.74,-0.22289064051614998,1.0,-0.02887396007286643,-0.20243052174462686,-0.03913385670611962,-0.003054201341588735,-0.01702543222890333,-0.020579936552084302,-0.011902720792113373,-0.005898678898058936,-0.004640106405824512,-0.0025460652090940586,7.339299587894553e-05,-0.0013980616825290896
0.76,-0.2267669656147235,1.0,-0.030792479848318913,-0.20171517624944696,-0.03979174221601701,-0.0015855426607254463,-0.016815627805073046,-0.020912332314835653,-0.012600909293043142,-0.005981483247877666,-0.003910596021537122,-0.0021530994871219893,0.00034755402523015913,-0.002651394161745553
0.78,-0.23008157541781554,1.0,-0.03147398547533661,-0.20006017867445378,-0.04188667906142426,-0.0015178247052102546,-0.018364431609618134,-0.02300535831973963,-0.015650137634914824,-0.00885132660494413,-0.005485811408452987,-0.002390607433858598,0.0006818688516833742,-0.0032894822686280302
0.8,-0.23267066795399027,1.0,-0.032108478841791716,-0.19833223945952008,-0.04336019222892051,-0.0019101507732326207,-0.02101033442214006,-0.025973449918492358,-0.019095158600688836,-0.013473759183086671,-0.010164074895026133,-0.0052164129252498205,-0.0008555760452827073,-0.00423253839986026
0.8200000000000001,-0.2348006360792974,1.0,-0.03316825023187879,-0.1963397223026235,-0.04337221019802378,-0.0016320029796438266,-0.022789306400014114,-0.02747991926974596,-0.019793344420708264,-0.015101277073310045,-0.01307422688776799,-0.008056798741421806,-0.0030883596815243558,-0.00529221735538476
0.84,-0.23662353427644484,1.0,-0.034523895677601335,-0.19458365182160997,-0.042905128153552574,-0.000849256410379398,-0.023339968080044536,-0.027518354689584294,-0.01859211171260266,-0.012797756086267546,-0.011495179672140733,-0.008202299635304663,-0.004019446010774004,-0.005981331905974368
