t,Czz_1_0,Czz_1_1,Czz_1_2,Czz_1_3,Czz_1_4,Czz_1_5,Czz_1_6,Czz_1_7,Czz_1_8,Czz_1_9,Czz_1_10,Czz_1_11,Czz_1_12,Czz_1_13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,-0.06887832549039608,0.3311783574238646,-0.07094525634897875,-0.06938771960842782,-0.06840816256290194,-0.06770250796579491,-0.06707102086308114,-0.06643192064086278,-0.06574132758146412,-0.06496835206495011,-0.0640836508710213,-0.06304973917782342,-0.06180237874931804,-0.06041530080165369
0.04,-0.32314336821674494,0.8244731636580012,-0.3297878799092969,-0.33365664030609454,-0.3339192948678318,-0.3336102926175087,-0.3328229246358401,-0.3316125946082572,-0.33000393631901226,-0.3279960074438846,-0.32556056258199767,-0.3226303343668754,-0.3190848806743992,-0.31595135299841615
0.06,-0.46685625604406317,0.9901702082472544,-0.4677088292556723,-0.4714344902356321,-0.4693877644224491,-0.4669982942551102,-0.4644386642286179,-0.46185863892367846,-0.45935466554867016,-0.4570049922901265,-0.45489521830257607,-0.4531538400178191,-0.45212025111898846,-0.4529858700664263
0.08,-0.4797161803777829,0.9984237881400096,-0.4768608694686364,-0.47628153779958116,-0.47142480258975555,-0.46653300494380207,-0.46168653989998537,-0.45711528057724793,-0.4529792919903704,-0.44941952955195286,-0.44660400271084916,-0.44480244662185797,-0.44469031289130895,-0.4483285834584084
0.1,-0.5172285218752308,0.9934241624355725,-0.514072367069276,-0.5086458876359993,-0.5018825667043225,-0.4951161463301075,-0.4882510730145681,-0.48173158161184765,-0.47585595714052803,-0.47083069352978907,-0.46682164953926325,-0.46404766926402796,-0.46347884652134896,-0.46982507202279566
0.12,-0.5445593570186312,0.9882639489555277,-0.5349551656191773,-0.5233608794538807,-0.511674007210612,-0.5008628751315642,-0.4905623284686877,-0.48128987945475543,-0.4733946912630655,-0.46713498455443536,-0.4627314501213051,-0.46047429611114254,-0.4620431318489735,-0.47187135208126724
0.14,-0.4562927240931821,0.9709067453191349,-0.44695568034723276,-0.4399765973120925,-0.4220165275229985,-0.4060285344545887,-0.3916616145296666,-0.378990075490346,-0.3681069140774963,-0.3592039018796559,-0.3526884442430791,-0.34939413861264157,-0.35134516292196555,-0.3535223339999583
0.16,-0.4550239121349473,0.9507677621241885,-0.47857762379661517,-0.48049783676519253,-0.4785894603667872,-0.4763468548064134,-0.4735835751010104,-0.46932018946595144,-0.46257488462629925,-0.4526179104577788,-0.4392088975062902,-0.4229190090113125,-0.4050611063582568,-0.38327750836272145
0.18,-0.7089488476900598,0.9448501446779993,-0.7308003594372744,-0.6830929533099923,-0.6782292859156105,-0.678891442770196,-0.6812675980915733,-0.6839610524844332,-0.6858260632912551,-0.6858976647177875,-0.6834438442100979,-0.6782472482012305,-0.671211469400137,-0.6610536683217221
0.2,-0.6931416649019685,0.9517887046203642,-0.6454333491929376,-0.5584008907963826,-0.5252837556508728,-0.5032735367826279,-0.48594236357025733,-0.473196191251646,-0.4653718253346784,-0.46290121102008913,-0.46628358407364645,-0.476379620652026,-0.49649878501953093,-0.5194113635701745
0.22,-0.49591893904462536,0.9712147025199492,-0.4541994163424103,-0.4094520671516618,-0.3712683395096823,-0.33636235645869317,-0.3053068199924395,-0.2790033875413073,-0.25777306269337075,-0.24193469804368894,-0.2320032013315736,-0.2289439118781079,-0.23651056825669617,-0.2452854282556103
0.24,-0.42900484328036903,0.9933937852744692,-0.3946160418202831,-0.3622638908167066,-0.3137335437373937,-0.26887875247929555,-0.22984366095810713,-0.19716557000697554,-0.17022763275636185,-0.14840667861857373,-0.13202987753901618,-0.12291624845049694,-0.1246924227723123,-0.12213444302886016
