t,W_1_0,W_1_1,W_1_2,W_1_3,W_1_4,W_1_5,W_1_6,W_1_7,W_1_8,W_1_9,W_1_10,W_1_11,W_1_12,W_1_13
0.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.02,1.0045006866322568,,0.9975136498541717,0.9944506718371996,0.9897645996138534,0.9853861707372419,0.9815134379836876,0.9781384764439948,0.9752387635321957,0.9728221642045922,0.9709604702693496,0.9698674773450675,0.9701852411028046,0.9766466428163181
0.04,1.0135911503483412,,0.9907433327096198,0.9782278760306042,0.9595902031599028,0.9425073617901243,0.9275965540583297,0.914749450750721,0.903831488921959,0.8948342438757592,0.8879886910143306,0.8840290090272298,0.8851219051760318,0.9076661717658446
0.06,1.0181604402863438,,0.9797922459424863,0.9511827682489269,0.909675618998761,0.8729383764558385,0.8416120059952565,0.8151443649688148,0.7930647567825702,0.7752113895714041,0.761922983036752,0.7545039617445792,0.7566807783152331,0.7973723093071229
0.08,1.0127202370454536,,0.962456999105844,0.91202111869861,0.8399593461273928,0.779199078914498,0.7290330619216637,0.6877871599833887,0.6542436901753351,0.6277942816657857,0.6086630781991291,0.5985277034914824,0.6020883770457233,0.6560076629995706
0.1,0.998519236739293,,0.9366801397128525,0.8607313560075074,0.7530307143049295,0.6673480497454717,0.5994185368283793,0.5455126923912612,0.5030687431934945,0.47058882784696127,0.44780550229780347,0.4363323976215777,0.4411747917952093,0.4998905454078139
0.12,0.9794792224653852,,0.902947214915095,0.7996593548465185,0.6545150814772356,0.546432630197814,0.4649655896002408,0.40320780147470286,0.356527404068667,0.32203328946573406,0.29855808659745653,0.2869909753716916,0.2922314474713416,0.3470103112464821
0.14,0.9581263476389348,,0.8632455829764104,0.7318522639178922,0.5505798594212886,0.42537576086922946,0.33685698842925416,0.27360921879607675,0.22821111722513976,0.19600783507296632,0.1747478825311981,0.1639669546181461,0.1682452895697285,0.21216770778026686
0.16,0.9352755324829903,,0.8192168635126722,0.6597715457707376,0.44646091419875267,0.31136668005341805,0.22341864431742464,0.16524911723358393,0.1261323605359172,0.09962334379287788,0.08263496757818606,0.0732347107188834,0.07540062946439027,0.10478504437885727
0.18,0.9111733971042939,,0.7718735917660383,0.5855136550506489,0.34674263176794634,0.20996427679809943,0.12999906969788608,0.08232773190316198,0.0528203492761842,0.03373276307928774,0.022746566423992948,0.03404280155529311,0.03885140486717785,0.04418443285651397
0.2,0.8860342108783184,,0.7218971576232962,0.5110216735021709,0.2553731087322654,0.12494260825045851,0.058871933281858815,0.05321927563807262,0.04453892872366381,0.042938908053551425,0.05905052257921825,0.0820990236350135,0.088726052054476,0.08061269833708705
0.22,0.8602703603289128,,0.66993462122871,0.43810582712785906,0.17523960138876069,0.06623547687029913,0.08598088710071067,0.08872075588722472,0.075304571701391,0.0692584436496801,0.09000042715539527,0.1224012059384913,0.1316774883934024,0.11655950395920815
0.24,0.8340919800716253,,0.6169790674901843,0.3685604078650121,0.10815639747132705,0.06482709152920374,0.09251140936354761,0.10113820410438942,0.08611915921120393,0.0742103770468365,0.09241986363792397,0.12738476445853514,0.1423109193328743,0.13012107215113908
0.26,0.8071939101186327,,0.5641385571457425,0.3039961792559228,0.05502736476284564,0.05186567298161015,0.07749526799342923,0.08901072667669481,0.07188531296021362,0.052846608184203836,0.06024363759318879,0.0887021656447158,0.11833374354424102,0.11700285367282952
0.28,0.7791517943927382,,0.512243906865624,0.24589803277283923,0.01777978115507684,0.07113439519414307,0.06242946787682105,0.059697487166943085,0.04279645648631832,0.03743993714213133,0.031692895704707916,0.02687835172969307,0.06393785696414402,0.07986378405455724
0.3,0.7497901068143054,,0.46180500708933964,0.19552975581440868,0.035228460072095895,0.08087607301778775,0.06176249620955722,0.039994771418617805,0.03996044359219795,0.03514555469899932,0.029408505399145687,0.026029666379497062,0.02398535640937287,0.026072596418148634
0.32,0.719278539260727,,0.41326871624393036,0.15367989095889117,0.04598485498554324,0.08494660407114865,0.05927780739516963,0.03494305708945687,0.03796908881842856,0.03323789384036982,0.03440577952922236,0.02306904628929373,0.02869215506065755,0.029694038126555525
0.34,0.6881427493671941,,0.3670469902516178,0.12476212184626126,0.047979677144966405,0.08642963551295862,0.05700232813327219,0.03169680123019863,0.036313684761480516,0.06616746875405476,0.09350625557168707,0.054703439483082,0.01945837878053427,0.03062509722273072
0.36,0.6570937666146761,,0.3235915577758559,0.1330471377555086,0.043972345804654894,0.08712103855784484,0.05479862490699049,0.029047131468254918,0.03294293875890275,0.03449713607386876,0.06918384384191238,0.06621373288420981,0.045810390385498015,0.023108564178394724
0.38,0.6266448384706617,,0.2836366369589539,0.13946913213167744,0.03645538896328669,0.08741612742915887,0.0516315302558404,0.025618388926322747,0.04126145198234504,0.043280991545024294,0.027926442847430982,0.004199230855458935,0.028853706571806498,0.028453596690064607
0.4,0.596899646829833,,0.2480841112291367,0.14451971787687956,0.029236819351274805,0.08690845931338304,0.047301590462940225,0.021812555697461048,0.04198020419512352,0.05624536602617736,0.07008265878675354,0.06465350766446264,0.03195249869526165,0.03521117962954792
0.42,0.5678308649569912,,0.21776334103198752,0.15599059781613606,0.026235035770151332,0.08490875384561129,0.04249986832120153,0.02105681253216193,0.01982466038432931,0.02788924029528558,0.034462360812137535,0.04383811090586028,0.05517021810511555,0.07924701104711558
0.44,0.5396398107993976,,0.19321317915914663,0.17003530179232496,0.02385835185136548,0.08071715321467657,0.03793070635993567,0.020610306446202573,0.02229142077397654,0.03210485427964423,0.03598124013504815,0.027638086877319706,0.034825014188001,0.058567504966651154
0.46,0.5125058472946504,,0.17425705397790497,0.16815136178104667,0.054141830141847216,0.07348968849659651,0.03399766349610366,0.019271938947860317,0.025641273470978738,0.03231673373507812,0.03959464082904318,0.039079169825694385,0.0408457607097297,0.032985989844254174
0.48,0.48593640807188954,,0.15941257328575273,0.15895051596458112,0.06115826304467438,0.06638337640770946,0.03131665849291049,0.021613569624433407,0.025702732797397376,0.027670327277518274,0.02861541461776971,0.03421540143997522,0.04020582029709311,0.03392207269261683
0.5,0.45942014345836557,,0.1470726181007537,0.17748432592805982,0.027431704523265394,0.05987155962742814,0.03987899418957717,0.02517197263096569,0.02324617513548924,0.025850832297053865,0.018210882507064916,0.02409185696360923,0.03458107515667408,0.0277274287434853
0.52,0.4339628997280417,,0.13800118292762298,0.20661139079713975,0.0541761958800636,0.029758206132157888,0.040217721110133935,0.030379206427113156,0.02274973151682378,0.027693155909406894,0.013740557354861141,0.014735409192802442,0.02736218527217911,0.017160102869198113
0.54,0.4115001909456334,,0.13435396758879736,0.19171143538747157,0.04027112742209257,0.0672874294265253,0.05378941524992395,0.036765532282991564,0.01909294785907097,0.029238320867515773,0.01045151620269744,0.018104996323921756,0.021652569559997153,0.017726792858809296
0.56,0.3924001903756804,,0.13568347039886963,0.179670775375514,0.04230154616559875,0.059712156330095356,0.06182427806481726,0.04220772587451119,0.02225398677841738,0.027858979304000765,0.007747089877730031,0.02375887202109422,0.029325763442732647,0.02917936839670012
0.58,0.37502420367678224,,0.13890668729630473,0.19140970687985073,0.04117255436345352,0.041734544855080935,0.04853424729619442,0.04494002172491587,0.03448074052215017,0.024988338800342763,0.006193217403979282,0.026444698177137918,0.03366358504567669,0.037312336724114895
0.6,0.3581903096509792,,0.14246586092340865,0.20014929306049467,0.06273465304482773,0.05150049259285829,0.05393789519583205,0.04608521399119831,0.039547500605271464,0.02044658633174627,0.00660982854051388,0.02731199859836589,0.025286897424989428,0.040724956840550386
0.62,0.3424482941047474,,0.14724989762171825,0.206349020721764,0.08014529872414793,0.053539427355041705,0.05565346119875487,0.04793876698239955,0.030801194195697875,0.014160716704359514,0.009471274165355146,0.030073125360827315,0.02273280554641348,0.039211519795470835
0.64,0.3287010622556069,,0.15382569468455312,0.21019395120652057,0.08992623018132019,0.04899552050165639,0.05318980368386786,0.05016926998579401,0.023998698440954182,0.011505495419237835,0.01270771483456002,0.03255712559995577,0.02360401131141883,0.03414456883663759
0.66,0.3171818193982816,,0.1615655155090232,0.21176314873577717,0.09650256765732042,0.039578755208058466,0.046543916256495343,0.050431070218589086,0.03390001432967732,0.00905125539278638,0.01544942027531847,0.028577401815457208,0.022629729096690452,0.03776623133054954
0.68,0.30787749671295206,,0.16974997989398094,0.21119977728771,0.11104839652849269,0.029795452254564772,0.037616936530299835,0.04745727977328033,0.04409251842516009,0.005382045408800017,0.016523961425770284,0.02464671010717589,0.020060916436715332,0.047124005687228236
0.7000000000000001,0.30065971475463393,,0.17767919285422784,0.20867379514364293,0.12888115649497345,0.0329945676593327,0.029006040940618188,0.041492169902702485,0.037682212949796276,0.007123928612966524,0.0149873147432516,0.026983297968927303,0.017202549099833923,0.05525411851852481
0.72,0.2951053661487302,,0.1845191532390169,0.20455455838858683,0.142770852213496,0.02957450662437832,0.02198160213935288,0.033339305948254704,0.026095413435761102,0.011803453204333951,0.020475422594172184,0.03273986753085105,0.023814554381944054,0.06086082506098352
0.74,0.29086145609147307,,0.18984071307301786,0.19932543850807494,0.1518423834222066,0.02785460949669139,0.01672478664732909,0.02408948452231901,0.02198006689818009,0.019823438727712573,0.028467587362536306,0.030489577007562444,0.01920302344269542,0.06189374592107735
