{0. + 0.*I, 0.9999833334165987 + 0.*I, 0.9999833334165987 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.00009998720320592015 + 0.*I, 0.9996838389006113 + 0.*I, 0.9996838381219897 + 0.*I, 0.00009998548220480076 + 0.*I, 2.499600526562063*^-9 + 0.*I, 1.998401444325282*^-13 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.9992147613234731*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.0003998152780182452 + 0.*I, 0.9987856861024103 + 0.*I, 0.9987856736454137 + 0.*I, 0.0003997877473960188 + 0.*I, 3.998601449950456*^-8 + 0.*I, 1.998401444325282*^-12 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 6.417089082333406*^-12 + 0.*I, 3.198711078990803*^-12 + 0.*I, 3.3972824553529794*^-12 + 0.*I, 0. + 0.*I, 1.998401444325282*^-13 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.0008990838292088912 + 0.*I, 0.9972898667778064 + 0.*I, 0.9972898037426071 + 0.*I, 0.0008989444993945385 + 0.*I, 2.0234480757608253*^-7 + 0.*I, 2.0405899192610377*^-11 + 0.*I, 0. + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 3.2795988147427124*^-11 + 0.*I, 1.64045432868469*^-11 + 0.*I, 1.658673198789984*^-11 + 0.*I, 0. + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I}
{0.0015971262214087292 + 0.*I, 0.9951980322128186 + 0.*I, 0.9951978331111999 + 0.*I, 0.0015966860724025977 + 0.*I, 6.391362106228371*^-7 + 0.*I, 1.1339817973521349*^-10 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.0400569294688468*^-10 + 0.*I, 5.2001415346268174*^-11 + 0.*I, 5.1803006329009804*^-11 + 0.*I, 0. + 0.*I, 1.998401444325282*^-13 + 0.*I, 0. + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I}
{0.002493010616588798 + 0.*I, 0.9925124907627982 + 0.*I, 0.9925120050543969 + 0.*I, 0.0024919366691911198 + 0.*I, 1.5592213964410464*^-6 + 0.*I, 4.329869796038111*^-10 + 0.*I, 1.998401444325282*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 2.531974629960132*^-10 + 0.*I, 1.2679380131097524*^-10 + 0.*I, 1.2621015343938782*^-10 + 0.*I, 0. + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.003585541422013172 + 0.*I, 0.9892362044152004 + 0.*I, 0.9892351982121905 + 0.*I, 0.003583316091404498 + 0.*I, 3.23023841009018*^-6 + 0.*I, 1.2925882586500848*^-9 + 0.*I, 1.998401444325282*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 5.23803223018149*^-10 + 0.*I, 2.623950536483923*^-10 + 0.*I, 2.612132732338069*^-10 + 0.*I, 3.996802888650564*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.004873261145998953 + 0.*I, 0.9853727843821992 + 0.*I, 0.985370922371609 + 0.*I, 0.004869141961005853 + 0.*I, 5.977933814627079*^-6 + 0.*I, 3.257194514105777*^-9 + 0.*I, 1.998401444325282*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 5.795364188543318*^-12 + 0.*I, 9.67381730276884*^-10 + 0.*I, 4.854058128026257*^-10 + 0.*I, 4.830136290934206*^-10 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.0063544526611947205 + 0.*I, 0.9809264857278067 + 0.*I, 0.980923313359794 + 0.*I, 0.006347432424602673 + 0.*I, 0.000010185347387725587 + 0.*I, 7.251999001312015*^-9 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.1612932837579136*^-11 + 0.*I, 1.6441958905488718*^-9 + 0.*I, 8.266026752015123*^-10 + 0.*I, 8.22408807721331*^-10 + 0.*I, 4.9960036108132044*^-12 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.008027141870003973 + 0.*I, 0.9759022010437991 + 0.*I, 0.975897127031411 + 0.*I, 0.008015909336989147 + 0.*I, 0.000016291850002403407 + 0.*I, 1.4687007166003243*^-8 + 0.*I, 7.416289804496046*^-12 + 0.*I, 1.998401444325282*^-13 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 2.260414078136819*^-11 + 0.*I, 2.6235902339522*^-9 + 0.*I, 1.3210051108636859*^-9 + 0.*I, 1.3137935184204252*^-9 + 0.*I, 1.0991207943789048*^-11 + 0.*I, 0. + 0.*I, 1.998401444325282*^-13 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.009889100766602432 + 0.*I, 0.9703054531801981 + 0.*I, 0.9702977323597928 + 0.*I, 0.009872001921396036 + 0.*I, 0.000024792044195365296 + 0.*I, 2.76033862434133*^-8 + 0.*I, 1.7208456881689926*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 4.2810199829546036*^-11 + 0.*I, 3.9824143982514215*^-9 + 0.*I, 2.0083965740515923*^-9 + 0.*I, 1.9954038421587943*^-9 + 0.*I, 2.0605739337042905*^-11 + 0.*I, 0. + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I}
