{0. + 0.*I, 0.9999833334165987 + 0.*I, 0.9999833334165987 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.00009998882999351366 + 0.*I, 0.9996835571983942 + 0.*I, 0.9996835577460007 + 0.*I, 0.00009998578318626274 + 0.*I, 2.500000206850928*^-9 + 0.*I, 1.998401444325282*^-13 + 0.*I, 2.2204460492503133*^-13 + 0.*I, 2.2204460492503133*^-13 + 0.*I, 2.2204460492503133*^-13 + 0.*I, 2.2204460492503133*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 5.997590052061897*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 2.2204460492503133*^-13 + 0.*I, 2.2204460492503133*^-13 + 0.*I, 2.2204460492503133*^-13 + 0.*I, 2.2204460492503133*^-13 + 0.*I}
{0.0003998412981820465 + 0.*I, 0.9987845252984018 + 0.*I, 0.9987845340514003 + 0.*I, 0.0003997925560161875 + 0.*I, 3.998659181547737*^-8 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 2.2204460492503133*^-13 + 0.*I, 2.2204460492503133*^-13 + 0.*I, 2.2204460492503133*^-13 + 0.*I, 2.2204460492503133*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 3.3972824553529794*^-12 + 0.*I, 8.596563818528936*^-12 + 0.*I, 4.9960036108132044*^-12 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 2.2204460492503133*^-13 + 0.*I, 2.2204460492503133*^-13 + 0.*I, 2.2204460492503133*^-13 + 0.*I, 2.2204460492503133*^-13 + 0.*I}
{0.0008992154671982889 + 0.*I, 0.9972871276396011 + 0.*I, 0.9972871719245824 + 0.*I, 0.0008989688087934767 + 0.*I, 2.0235340070229316*^-7 + 0.*I, 2.020605904817785*^-11 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 1.998401444325282*^-13 + 0.*I, 0. + 0.*I, 0. + 0.*I, 1.820765760385257*^-11 + 0.*I, 4.4204549107807156*^-11 + 0.*I, 2.600142323672117*^-11 + 0.*I, 0. + 0.*I, 0. + 0.*I, 1.998401444325282*^-13 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.0015975418772073981 + 0.*I, 0.9951928463020067 + 0.*I, 0.9951929861390152 + 0.*I, 0.0015967627420065968 + 0.*I, 6.391847939823947*^-7 + 0.*I, 1.1379786002407856*^-10 + 0.*I, 1.998401444325282*^-13 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 1.998401444325282*^-13 + 0.*I, 0. + 0.*I, 5.74207348336131*^-11 + 0.*I, 1.3939981981253782*^-10 + 0.*I, 8.22009127432466*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I, 0. + 0.*I, 1.998401444325282*^-13 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.002494024193211431 + 0.*I, 0.9925037538305981 + 0.*I, 0.9925040948370046 + 0.*I, 0.002492123347397346 + 0.*I, 1.5594056046452922*^-6 + 0.*I, 4.3340886435316866*^-10 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 2.2204460492503133*^-13 + 0.*I, 1.397992832607997*^-10 + 0.*I, 3.4019722803765414*^-10 + 0.*I, 1.9979573551154317*^-10 + 0.*I, 1.998401444325282*^-13 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.003587640114988133 + 0.*I, 0.9892225108733889 + 0.*I, 0.9892232169919968 + 0.*I, 0.0035837019149997933 + 0.*I, 3.2307875930115415*^-6 + 0.*I, 1.293209983543875*^-9 + 0.*I, 1.998401444325282*^-13 + 0.*I, 0. + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 0. + 0.*I, 1.998401444325282*^-13 + 0.*I, 2.891908934543608*^-10 + 0.*I, 7.039962363168034*^-10 + 0.*I, 4.134026454494233*^-10 + 0.*I, 7.993605777301128*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.004877142543002755 + 0.*I, 0.9853523631502048 + 0.*I, 0.9853536691506182 + 0.*I, 0.004869853966393834 + 0.*I, 5.979315598203529*^-6 + 0.*I, 3.258593395116805*^-9 + 0.*I, 7.993605777301128*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 5.342171149891328*^-10 + 0.*I, 1.301601708359849*^-9 + 0.*I, 7.639888721655552*^-10 + 0.*I, 1.998401444325282*^-12 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I}
{0.006361061001802781 + 0.*I, 0.9808971377518017 + 0.*I, 0.9808993614625949 + 0.*I, 0.006348641613795891 + 0.*I, 0.00001018841919719904 + 0.*I, 7.254996603478503*^-9 + 0.*I, 2.8199664825478976*^-12 + 0.*I, 1.998401444325282*^-13 + 0.*I, 0. + 0.*I, 1.998401444325282*^-13 + 0.*I, 0. + 0.*I, 1.998401444325282*^-12 + 0.*I, 9.092060437865259*^-10 + 0.*I, 2.215402861162692*^-9 + 0.*I, 1.299604868165716*^-9 + 0.*I, 4.596323321948148*^-12 + 0.*I, 0. + 0.*I, 1.998401444325282*^-13 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.008037703317009816 + 0.*I, 0.9758612387831934 + 0.*I, 0.9758647929978049 + 0.*I, 0.008017836338192199 + 0.*I, 0.000016298062188724316 + 0.*I, 1.4693579686309022*^-8 + 0.*I, 7.194245199571015*^-12 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 3.996802888650564*^-12 + 0.*I, 1.4511947199480348*^-9 + 0.*I, 3.539806642255352*^-9 + 0.*I, 2.0745849482750604*^-9 + 0.*I, 9.392486788328826*^-12 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I}
{0.009905157545220256 + 0.*I, 0.9702496423446006 + 0.*I, 0.970255046364188 + 0.*I, 0.009874922186003941 + 0.*I, 0.000024803704001818975 + 0.*I, 2.7618796138995094*^-8 + 0.*I, 1.7408297026122458*^-11 + 0.*I, 0. + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 0. + 0.*I, 7.793765632868599*^-12 + 0.*I, 2.2039925440253683*^-9 + 0.*I, 5.3796040538913955*^-9 + 0.*I, 3.1501912189924046*^-9 + 0.*I, 1.778577285449501*^-11 + 0.*I, 0. + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I}
