{0. + 0.*I, 0.9999833334165987 + 0.*I, 0.9999833334165987 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.00009998884558104493 + 0.*I, 0.9996835537996018 + 0.*I, 0.9996835543613914 + 0.*I, 0.00009998578398562331 + 0.*I, 2.499800366706495*^-9 + 0.*I, 1.998401444325282*^-13 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 1.998401444325282*^-13 + 0.*I, 3.9984024066620856*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.0003998415476047512 + 0.*I, 0.9987845114161953 + 0.*I, 0.9987845204006085 + 0.*I, 0.0003997925734022801 + 0.*I, 3.998639197533294*^-8 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 5.4089510880568215*^-12 + 0.*I, 2.997602166487923*^-12 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I}
{0.0008992167283894404 + 0.*I, 0.9972870953325996 + 0.*I, 0.9972871407891937 + 0.*I, 0.000898968896612118 + 0.*I, 2.0235280118185986*^-7 + 0.*I, 1.9606538614880268*^-11 + 0.*I, 5.995204332975846*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 9.392486788328826*^-12 + 0.*I, 2.760007934012771*^-11 + 0.*I, 1.70086167372574*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.0015975458591999117 + 0.*I, 0.9951927862035915 + 0.*I, 0.995192929742611 + 0.*I, 0.0015967630199842377 + 0.*I, 6.391844165065663*^-7 + 0.*I, 1.1319833959078096*^-10 + 0.*I, 3.996802888650564*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.099742684753438*^-11 + 0.*I, 8.700965348748681*^-11 + 0.*I, 5.480060849549773*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I}
{0.0024940339035994796 + 0.*I, 0.9925036545867849 + 0.*I, 0.9925040046245893 + 0.*I, 0.0024921240248110266 + 0.*I, 1.5594054048051478*^-6 + 0.*I, 4.330091840643036*^-10 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 7.638334409421078*^-11 + 0.*I, 2.121928502127457*^-10 + 0.*I, 1.3458123504506148*^-10 + 0.*I, 3.996802888650564*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.0035876602237916444 + 0.*I, 0.9892223585918014 + 0.*I, 0.9892230834176008 + 0.*I, 0.0035837033139918266 + 0.*I, 3.2307881925319752*^-6 + 0.*I, 1.2928103032550098*^-9 + 0.*I, 1.998401444325282*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 4.218847493575595*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.5860646129794986*^-10 + 0.*I, 4.3920214687847396*^-10 + 0.*I, 2.7899904608830184*^-10 + 0.*I, 0. + 0.*I, 3.996802888650564*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.0048771797396041094 + 0.*I, 0.9853521408563993 + 0.*I, 0.9853534814696141 + 0.*I, 0.004869856545197671 + 0.*I, 5.9793179962852605*^-6 + 0.*I, 3.257993874683507*^-9 + 0.*I, 1.998401444325282*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 2.9318769634301134*^-10 + 0.*I, 8.121973579841618*^-10 + 0.*I, 5.154099369519827*^-10 + 0.*I, 6.217248937900878*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I}
{0.006361124344800295 + 0.*I, 0.9808968248621985 + 0.*I, 0.9808991075314077 + 0.*I, 0.006348645988385471 + 0.*I, 0.00001018842501476769 + 0.*I, 7.253997402756341*^-9 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 4.992006807924554*^-10 + 0.*I, 1.382402699259495*^-9 + 0.*I, 8.771872117563362*^-10 + 0.*I, 2.19824158875781*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.008037804574811958 + 0.*I, 0.9758608105900014 + 0.*I, 0.9758644590841968 + 0.*I, 0.008017843300800466 + 0.*I, 0.000016298075600218453 + 0.*I, 1.4693002370336217*^-8 + 0.*I, 6.59472476627343*^-12 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 7.978062654956375*^-10 + 0.*I, 2.208605520699662*^-9 + 0.*I, 1.400990434774485*^-9 + 0.*I, 5.795364188543318*^-12 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
{0.009905311530200578 + 0.*I, 0.9702490695229882 + 0.*I, 0.9702546169649829 + 0.*I, 0.00987493272019968 + 0.*I, 0.00002480372920388163 + 0.*I, 2.7617996778417367*^-8 + 0.*I, 1.6608936448392342*^-11 + 0.*I, 5.995204332975846*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 2.020605904817785*^-12 + 0.*I, 1.211786226917866*^-9 + 0.*I, 3.3566021490076856*^-9 + 0.*I, 2.12780904007559*^-9 + 0.*I, 1.1790568521519164*^-11 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I}
